x	y
1	629.9656667
2	629.9622222
3	629.9596810
4	629.9650789
5	629.9700000
6	629.9693333
7	629.9675000
8	629.9630000
9	629.9644444
10	629.9681481
11	629.9631250
12	629.9609091
13	629.9595623
14	629.9582155
15	629.9636364
16	629.9649158
17	629.9661953
18	629.9746577
19	629.9775000
20	629.9738889
21	629.9608971
22	629.9627778
23	629.9654545
24	629.9650000
25	629.9650000
26	629.9587037
27	629.9609091
28	629.9600000
29	629.9493249
30	629.9500000
31	629.9600000
32	629.9600000
33	629.9600000
34	629.9650000
35	629.9388889
36	629.9430000
37	629.9700000
38	629.9712500
39	629.9712500
40	629.9716667
41	629.9710000
42	629.9700000
43	629.9600000
44	629.9606426
45	629.9600000
46	629.9546414
47	629.9511111
48	629.9538889
49	629.9500000
50	629.9500000
51	629.9583333
52	629.9580000
53	629.9534074
54	629.9557143
55	629.9615344
56	629.9575000
57	629.9436111
58	629.9434259
59	629.9450000
60	629.9498148
61	629.9528571
62	629.9560000
63	629.9645926
64	629.9668008
65	629.9660403
66	629.9664579
67	629.9668755
68	629.9683625
69	629.9683333
70	629.9680000
71	629.9550000
72	629.9587500
73	629.9590909
74	629.9603544
75	629.9550000
76	629.9479630
77	629.9600000
78	629.9575000
79	629.9575000
80	629.9572727
81	629.9605263
82	629.9600000
83	629.9592827
84	629.9600000
85	629.9600000
86	629.9600000
87	629.9555556
88	629.9451852
89	629.9397284
90	629.9437500
91	629.9452901
92	629.9477280
93	629.9459444
94	629.9500000
95	629.9500000
96	629.9588889
97	629.9583333
98	629.9581297
99	629.9596481
100	629.9666667
101	629.9700000
102	629.9700000
103	629.9706329
104	629.9650000
105	629.9658889
106	629.9797407
107	629.9809091
108	629.9971429
109	629.9950000
110	629.9950000
111	629.9935714
112	629.9930530
113	630.0025025
114	630.0111870
115	630.0133333
116	630.0133755
117	630.0080692
118	630.0037500
119	630.0105263
120	630.0168421
121	630.0187500
122	630.0192857
123	630.0225000
124	630.0275000
125	630.0290000
126	630.0390000
127	630.0387500
128	630.0396994
129	630.0447451
130	630.0439565
131	630.0435714
132	630.0437500
133	630.0433890
134	630.0425000
135	630.0375000
136	630.0378571
137	630.0460000
138	630.0485493
139	630.0550000
140	630.0664815
141	630.0688272
142	630.0650000
143	630.0640000
144	630.0628571
145	630.0660000
146	630.0624798
147	630.0643750
148	630.0590909
149	630.0562500
150	630.0609091
151	630.0609091
152	630.0579402
153	630.0587500
154	630.0566667
155	630.0471429
156	630.0473616
157	630.0548606
158	630.0550000
159	630.0560000
160	630.0580000
161	630.0582353
162	630.0596178
163	630.0592059
164	630.0600000
165	630.0600000
166	630.0629630
167	630.0642857
168	630.0646667
169	630.0542857
170	630.0546111
171	630.0793889
172	630.0800000
173	630.0756250
174	630.0781039
175	630.0700000
176	630.0650000
177	630.0646667
178	630.0655556
179	630.0664444
180	630.0662500
181	630.0657143
182	630.0666667
183	630.0690000
184	630.0770741
185	630.0742752
186	630.0709091
187	630.0533333
188	630.0459259
189	630.0563636
