x	y
1	5641.6087951
2	5641.5520764
3	5641.6753696
4	5641.0110999
5	5640.7080250
6	5640.7138001
7	5641.0708603
8	5642.0462440
9	5642.0236820
10	5641.9400238
11	5642.3123671
12	5642.5909388
13	5642.6576841
14	5642.6231353
15	5642.5315607
16	5642.2509444
17	5641.7921938
18	5640.6968517
19	5640.5720845
20	5641.8865830
21	5642.5915672
22	5642.4497509
23	5642.0079781
24	5641.8981947
25	5641.2208449
26	5641.5958064
27	5641.4152530
28	5641.5119335
29	5642.7029184
30	5642.4316029
31	5640.9341792
32	5640.8700074
33	5641.2014920
34	5640.9402285
35	5642.7171882
36	5642.4982557
37	5641.0833170
38	5641.0193730
39	5641.0207450
40	5641.0062569
41	5640.5717095
42	5640.7834704
43	5642.0259235
44	5642.2129700
45	5642.2465460
46	5642.7007255
47	5642.8485120
48	5642.5658681
49	5642.7520274
50	5642.7317496
51	5641.8111068
52	5641.8285244
53	5642.1058231
54	5643.0828657
55	5642.4276334
56	5642.2465460
57	5642.9461516
58	5642.8280992
59	5642.7981023
60	5642.5828018
61	5642.6705808
62	5642.4555568
63	5642.1226877
64	5642.0011941
65	5641.5576914
66	5641.7157162
67	5641.4953893
68	5641.5773511
69	5641.4518695
70	5641.4663345
71	5642.1159143
72	5642.2991845
73	5642.1198728
74	5642.0538527
75	5641.7566769
76	5642.1497817
77	5641.5672609
78	5641.8546507
79	5641.7664605
80	5641.7794385
81	5641.3191370
82	5641.9199666
83	5642.0202825
84	5641.8135872
85	5641.7764273
86	5641.7893349
87	5641.9562532
88	5642.5634489
89	5643.4364238
90	5643.5262533
91	5643.4257358
92	5643.1490549
93	5643.3728820
94	5643.0303365
95	5644.0753905
96	5643.6980099
97	5643.5796598
98	5642.2478082
99	5642.7311893
100	5642.2465460
101	5641.7869740
102	5642.2138881
103	5642.4747381
104	5642.8997048
105	5643.2214019
106	5642.6519882
107	5643.6359928
108	5642.7093556
109	5643.6602718
110	5643.9012148
111	5643.6565395
112	5643.8785372
113	5643.5091885
114	5644.1004555
115	5644.0674734
116	5643.8990101
117	5644.1762791
118	5644.7696741
119	5644.7832974
120	5645.5467165
121	5646.5617481
122	5646.7756316
123	5646.5573937
124	5646.2961302
125	5646.0871194
126	5645.5645924
127	5645.5449977
128	5645.9526018
129	5646.6490932
130	5646.7476901
131	5646.8933040
132	5646.4805028
133	5645.5587934
134	5645.7362799
135	5646.3832181
136	5647.4096104
137	5647.1209764
138	5647.0904065
139	5646.7344723
140	5646.0880871
141	5646.0700244
142	5646.3745093
143	5646.5583614
144	5646.5387321
145	5646.3149812
146	5646.6890793
147	5646.4594199
148	5646.7645572
149	5647.0144213
150	5647.0324183
151	5646.9764333
152	5647.7451197
153	5647.7983954
154	5648.0465957
155	5647.9786279
156	5648.4587872
157	5648.6547833
158	5648.6475018
159	5648.6097637
160	5648.7258808
161	5648.6417386
162	5647.3957878
163	5647.0534948
164	5647.3593275
165	5647.3971693
166	5648.0275193
167	5647.9445785
168	5647.9537020
169	5648.4945199
170	5648.6678222
171	5647.2134554
172	5647.1968018
173	5648.3489967
174	5648.1516575
175	5648.5865403
176	5649.0547654
177	5648.2033538
178	5648.1790748
179	5648.3578247
180	5648.1902906
181	5648.2473124
182	5648.3426943
183	5648.4181705
184	5648.0970654
185	5648.0783211
186	5648.1590270
187	5648.7575403
188	5649.5425711
189	5649.2294068
190	5648.3376048
191	5648.2701211
192	5648.4501027
193	5649.5619240
194	5649.8152704
195	5649.3125361
196	5649.2135727
197	5648.6523400
198	5648.4123646
199	5648.2812206
200	5647.9943430
201	5648.2009029
202	5649.2716312
203	5650.1828489
204	5650.6981721
205	5650.3034901
206	5649.7906171
207	5649.6519148
208	5649.2716312
209	5649.4200556
210	5648.9565349
211	5648.5934244
212	5649.0285110
213	5648.6862075
214	5648.3023759
215	5648.6475017
216	5649.1886904
217	5649.2439843
218	5648.8872687
219	5648.0422413
220	5647.5589038
221	5647.6552396
222	5647.5912507
223	5648.0233723
224	5649.1616936
225	5649.5492572
226	5649.3442044
227	5649.0750238
228	5649.0758413
229	5649.8194470
230	5649.4566470
231	5648.9433432
232	5648.0698191
233	5647.9759700
234	5648.2797976
235	5648.3185033
236	5648.4297822
237	5648.3316705
238	5648.6910457
239	5648.3309114
240	5648.3630458
241	5648.2674256
242	5648.2229486
243	5648.8688500
244	5648.9087653
245	5648.9644350
246	5649.1047129
247	5649.3708146
248	5648.7810218
249	5648.9602981
250	5649.3974248
251	5649.3451721
252	5649.3820933
253	5648.7764147
254	5648.9807719
255	5648.5979575
256	5648.4710343
257	5648.2991504
258	5647.9459609
259	5648.1588422
260	5648.0620780
261	5648.0613273
262	5648.0524016
263	5648.9124976
264	5649.0176250
265	5649.1002202
266	5649.1361613
267	5648.4381003
268	5647.8798961
269	5647.5487943
270	5647.2954631
271	5647.3413747
272	5648.2714407
273	5648.1757760
274	5647.4514955
275	5647.3985080
276	5647.1524939
277	5647.1456220
278	5647.9362844
279	5648.0576796
280	5647.9377988
281	5647.7766385
282	5647.5651562
283	5647.4131718
284	5647.2105525
285	5646.2700039
286	5646.4516442
287	5646.6285846
288	5646.7474664
289	5646.8041426
290	5648.0662250
291	5646.9409949
292	5647.6039341
293	5646.5276515
294	5645.9873759
295	5646.2453290
296	5646.1553383
297	5647.1803713
298	5647.1379793
299	5647.0259878
300	5646.9587895
301	5647.0004470
302	5647.0015417
303	5646.5196557
304	5645.9217996
305	5645.7874735
306	5645.3451458
307	5645.5757265
308	5647.3678203
309	5647.3411843
310	5646.6687285
311	5646.4647916
312	5646.4267620
313	5646.2324285
314	5646.1985908
315	5645.6653655
316	5645.2227381
317	5646.1447074
318	5647.2741495
319	5646.5205342
320	5646.1892497
321	5645.3506102
322	5645.1581826
323	5645.0623859
324	5645.1301886
325	5644.7735139
326	5644.4556740
327	5644.4109910
328	5645.0365904
329	5644.9403961
330	5644.5517273
331	5644.6122090
332	5644.9830216
333	5646.2574874
334	5646.0022088
335	5644.7370161
336	5644.5187467
337	5644.8156371
338	5644.9244969
339	5645.0065100
340	5644.9893991
341	5645.0690216
342	5645.0434129
343	5644.8402773
344	5644.6458505
345	5645.3747897
346	5645.1722502
347	5644.8301517
348	5644.8334588
349	5644.6777480
350	5644.3693119
351	5644.1537696
352	5644.2088883
353	5644.1493880
354	5643.8199893
355	5643.7865186
356	5644.1900867
357	5643.8489621
358	5643.6709159
359	5643.7183304
360	5644.2234398
361	5644.0681332
362	5643.2045122
363	5643.1174243
364	5643.4875476
365	5643.9036339
366	5643.8357153
367	5643.8473718
368	5643.8031698
369	5644.3947126
370	5644.3977286
371	5643.7696406
372	5643.9029742
373	5643.7965335
374	5642.9683822
375	5642.8974385
376	5643.2589421
377	5644.2060222
378	5644.5640500
379	5644.6103586
380	5644.0595293
381	5643.7488111
382	5644.3397333
383	5644.4905092
384	5643.7299421
385	5643.6680130
386	5643.7070862
387	5644.0802287
388	5644.7904784
389	5644.9130925
390	5644.6263356
391	5643.8159475
392	5644.8347353
393	5644.2785954
394	5643.5267371
395	5642.9955014
396	5643.1870946
397	5644.1571237
398	5644.1324936
399	5643.9578126
400	5644.0536185
401	5644.0487803
402	5644.0439421
403	5644.0729309
404	5643.4222317
405	5643.1823444
406	5643.3050090
407	5643.4077171
408	5644.7720932
409	5644.6298865
410	5643.8286049
411	5643.5644752
412	5643.3191014
413	5643.0259270
414	5643.1508631
415	5643.2182629
416	5643.6564890
417	5643.5310915
418	5643.7635554
419	5643.5995177
420	5642.7910741
421	5642.7483378
422	5643.1622878
423	5642.8461910
424	5643.1348419
425	5643.1378551
426	5643.1252777
427	5642.9186804
428	5642.9581780
429	5643.0836951
430	5642.7429467
431	5643.0217537
432	5642.9326978
433	5643.0494790
434	5643.3607742
435	5644.4316589
436	5644.2638169
437	5643.3883643
438	5644.2288310
439	5643.6352859
440	5643.4918075
441	5643.7705831
442	5644.2418496
443	5643.9375014
444	5643.7589714
445	5644.1820966
446	5643.9555402
447	5643.7547489
448	5642.2333509
449	5641.6812840
450	5642.5473573
451	5642.8844361
452	5643.3820809
453	5643.4035701
454	5643.2625707
455	5642.9384105
456	5642.8931072
457	5643.6524049
458	5643.7320156
459	5643.6067750
460	5643.9128265
461	5643.9172573
462	5643.4782168
463	5642.8933268
464	5643.3569159
465	5643.6490358
466	5643.7839303
467	5643.9201785
468	5643.8431563
469	5643.1674998
470	5642.7403915
471	5642.8959724
472	5643.3353487
473	5643.2149480
474	5643.0199006
475	5643.0201597
476	5644.3286422
477	5644.2526046
478	5643.9012148
479	5643.6841864
480	5643.4178660
481	5643.8663797
482	5643.0303365
483	5642.0433411
484	5642.0143118
485	5642.3833983
486	5642.0525800
487	5642.2537091
488	5642.4870743
489	5642.9017783
490	5642.7870435
491	5643.3886092
492	5643.6689806
493	5643.0303365
494	5642.8437197
495	5642.4851950
496	5642.0024056
497	5642.2093839
498	5642.3336338
499	5643.1077479
500	5642.4207217
501	5642.1013996
502	5642.1884874
503	5642.1429225
504	5642.0405239
505	5642.2346704
506	5643.0303365
507	5642.5586107
508	5642.1243921
509	5641.9628885
510	5642.1050283
511	5642.7364151
512	5643.0008018
513	5642.6850954
514	5641.6258033
515	5641.9298630
516	5641.9199666
517	5641.5993251
518	5641.5038803
519	5641.5047443
520	5641.8285244
521	5641.8691654
522	5642.2102073
523	5642.3564990
524	5641.5720111
525	5641.6601546
526	5641.7501454
527	5642.5213565
528	5642.3277545
529	5642.1998918
530	5642.7846274
531	5642.9290806
532	5642.7005333
533	5642.5489343
534	5641.8546507
535	5641.9330298
536	5642.2484813
537	5641.9997971
538	5641.9444281
539	5641.9678649
540	5642.2707983
541	5642.1127588
542	5642.3771777
543	5642.2465460
544	5642.4829448
545	5642.5078095
546	5642.2915041
547	5642.2276388
548	5642.1747537
549	5642.7690730
550	5642.3889019
551	5642.1826816
552	5642.1470170
553	5641.6203430
554	5641.7240190
555	5641.7240190
556	5641.6079019
557	5642.5876400
558	5642.5270761
559	5641.5941790
560	5642.3703289
561	5642.0391940
562	5642.3771778
563	5643.7096216
564	5643.3191014
565	5641.9199666
566	5641.0100642
