x	y
1	108.4123907
2	108.4126111
3	108.4049737
4	108.3950098
5	108.3968750
6	108.4155808
7	108.4153509
8	108.4240000
9	108.4250505
10	108.4254798
11	108.4185017
12	108.4225000
13	108.4358333
14	108.4336364
15	108.4299647
16	108.4300000
17	108.4235185
18	108.4266667
19	108.4281250
20	108.4229861
21	108.4290215
22	108.4283143
23	108.4201301
24	108.4080123
25	108.3995475
26	108.4022222
27	108.4134028
28	108.4056667
29	108.4032824
30	108.4057778
31	108.4147229
32	108.4075940
33	108.4075000
34	108.4268750
35	108.4222222
36	108.4289861
37	108.4283333
38	108.4250211
39	108.4105556
40	108.4069697
41	108.4129846
42	108.4151705
43	108.4090728
44	108.4122368
45	108.4206250
46	108.4278409
47	108.4285833
48	108.4294737
49	108.4281818
50	108.4126263
51	108.4123684
52	108.4033821
53	108.4067641
54	108.4083821
55	108.4088402
56	108.3951258
57	108.4062857
58	108.4040476
59	108.3837778
60	108.3816944
61	108.4010179
62	108.4043750
63	108.4131019
64	108.4110609
65	108.3776664
66	108.3938194
67	108.4094954
68	108.4118003
69	108.4103238
70	108.4110978
71	108.4171591
72	108.4306250
73	108.4312500
74	108.4218750
75	108.4149341
76	108.4145497
77	108.4060714
78	108.3994444
79	108.3861667
80	108.3832407
81	108.3814286
82	108.3866667
83	108.3991667
84	108.3800000
85	108.3855926
86	108.3858333
87	108.4158779
88	108.3840909
89	108.3954545
90	108.3450000
91	108.3488333
92	108.3133333
93	108.2462500
94	108.1500000
95	108.0225000
96	107.9425000
97	107.8600000
98	107.7650000
99	107.5900000
100	107.5450000
101	107.2800000
102	107.1200000
103	107.0900000
104	106.9500000
105	107.0500000
106	106.7700000
107	106.6600000
108	107.0200000
109	107.0100000
110	107.1700000
111	107.3000000
112	107.5100000
113	107.7200000
114	107.7300000
115	107.9900000
116	108.0900000
117	108.1800000
118	108.5300000
119	108.5800000
120	108.7650000
121	108.8925000
122	108.9662500
123	109.0281250
124	109.0938958
125	109.0161667
126	109.0486096
127	109.0493048
128	109.0495208
129	109.0100000
130	108.9950370
131	108.9991975
132	108.9500000
133	108.8600000
134	108.8350000
135	108.8050000
136	108.7842593
137	108.7280864
138	108.6792414
139	108.6426188
140	108.5987500
141	108.5839815
142	108.5604630
143	108.5150617
144	108.4623734
145	108.4406818
146	108.4233333
147	108.3818519
148	108.3925926
149	108.3329630
150	108.2867593
151	108.2650000
152	108.2566667
153	108.2164815
154	108.1560833
