x	y
1	-0.5662848
2	-0.5663155
3	-0.5663194
4	-0.5663013
5	-0.5662904
6	-0.5663021
7	-0.5662127
8	-0.5662272
9	-0.5663526
10	-0.5664016
11	-0.5663641
12	-0.5663670
13	-0.5663600
14	-0.5663551
15	-0.5663506
16	-0.5663461
17	-0.5663267
18	-0.5662693
19	-0.5663037
20	-0.5664304
21	-0.5663984
22	-0.5663745
23	-0.5663442
24	-0.5663468
25	-0.5663216
26	-0.5663017
27	-0.5663213
28	-0.5663276
29	-0.5663486
30	-0.5663186
31	-0.5663480
32	-0.5664623
33	-0.5664688
34	-0.5664519
35	-0.5663568
36	-0.5663486
37	-0.5664053
38	-0.5663902
39	-0.5663474
40	-0.5663407
41	-0.5663111
42	-0.5662605
43	-0.5663026
44	-0.5663111
45	-0.5663514
46	-0.5663891
47	-0.5663826
48	-0.5663156
49	-0.5663434
50	-0.5663131
51	-0.5662901
52	-0.5662799
53	-0.5662459
54	-0.5662364
55	-0.5661834
56	-0.5661972
57	-0.5662159
58	-0.5662210
59	-0.5663169
60	-0.5663729
61	-0.5662944
62	-0.5660884
63	-0.5660928
64	-0.5661473
65	-0.5661776
66	-0.5661953
67	-0.5662227
68	-0.5663049
69	-0.5663965
70	-0.5663931
71	-0.5663844
72	-0.5663948
73	-0.5663082
74	-0.5662836
75	-0.5662808
76	-0.5661928
77	-0.5662048
78	-0.5662028
79	-0.5662157
80	-0.5662562
81	-0.5662731
82	-0.5662649
83	-0.5662821
84	-0.5663612
85	-0.5663605
86	-0.5664014
87	-0.5663334
88	-0.5662886
89	-0.5662700
90	-0.5663199
91	-0.5663089
92	-0.5663801
93	-0.5664672
94	-0.5664135
95	-0.5664158
96	-0.5665389
97	-0.5665659
98	-0.5665005
99	-0.5661761
100	-0.5663289
101	-0.5665378
102	-0.5664473
103	-0.5667929
104	-0.5667870
105	-0.5665567
106	-0.5665382
107	-0.5666370
108	-0.5668054
109	-0.5668254
110	-0.5668895
111	-0.5673405
112	-0.5670018
113	-0.5672805
114	-0.5672422
115	-0.5670834
116	-0.5672814
117	-0.5673903
118	-0.5676080
119	-0.5676366
120	-0.5678901
121	-0.5680165
122	-0.5677836
123	-0.5677648
124	-0.5679936
125	-0.5680830
126	-0.5681567
127	-0.5680185
128	-0.5682220
129	-0.5681789
130	-0.5684451
131	-0.5684745
132	-0.5684525
133	-0.5683686
134	-0.5686587
135	-0.5686018
136	-0.5687863
137	-0.5686836
138	-0.5689053
139	-0.5689187
140	-0.5689061
141	-0.5690740
142	-0.5692017
143	-0.5692845
144	-0.5694043
145	-0.5693467
146	-0.5693413
147	-0.5695059
148	-0.5694555
149	-0.5695120
150	-0.5695194
151	-0.5695022
152	-0.5696475
153	-0.5697300
154	-0.5698360
155	-0.5697237
156	-0.5697448
157	-0.5698514
158	-0.5698810
159	-0.5701440
160	-0.5701989
161	-0.5701549
162	-0.5702589
163	-0.5703661
164	-0.5704103
165	-0.5702887
166	-0.5702947
167	-0.5704427
168	-0.5706788
169	-0.5705917
170	-0.5705317
171	-0.5705864
172	-0.5707633
173	-0.5706925
174	-0.5706970
175	-0.5707969
