x	y
1	3.3141327
2	3.3141339
3	3.3141130
4	3.3141132
5	3.3140999
6	3.3140840
7	3.3140628
8	3.3140670
9	3.3140808
10	3.3140687
11	3.3140578
12	3.3140404
13	3.3140361
14	3.3140562
15	3.3140702
16	3.3140338
17	3.3140301
18	3.3139446
19	3.3139577
20	3.3139935
21	3.3139998
22	3.3139568
23	3.3139707
24	3.3139777
25	3.3139652
26	3.3139612
27	3.3139678
28	3.3139920
29	3.3139900
30	3.3138934
31	3.3138488
32	3.3139152
33	3.3138986
34	3.3138998
35	3.3138924
36	3.3138672
37	3.3138420
38	3.3138513
39	3.3138662
40	3.3137966
41	3.3137810
42	3.3137767
43	3.3137760
44	3.3138270
45	3.3138662
46	3.3138662
47	3.3138616
48	3.3138594
49	3.3138882
50	3.3138793
51	3.3138009
52	3.3138140
53	3.3137953
54	3.3136994
55	3.3137454
56	3.3137567
57	3.3137562
58	3.3137557
59	3.3137466
60	3.3137376
61	3.3137095
62	3.3136964
63	3.3137037
64	3.3136386
65	3.3136485
66	3.3136615
67	3.3136561
68	3.3136866
69	3.3137019
70	3.3137031
71	3.3137043
72	3.3136979
73	3.3137020
74	3.3137029
75	3.3137508
76	3.3137478
77	3.3137447
78	3.3137748
79	3.3137692
80	3.3137617
81	3.3137752
82	3.3137552
83	3.3137351
84	3.3137617
85	3.3138401
86	3.3138793
87	3.3138900
88	3.3139206
89	3.3139512
90	3.3141322
91	3.3142512
92	3.3142712
93	3.3143960
94	3.3144280
95	3.3146849
96	3.3148474
97	3.3149113
98	3.3151900
99	3.3153641
100	3.3155187
101	3.3157324
102	3.3160086
103	3.3163744
104	3.3165311
105	3.3169491
106	3.3174586
107	3.3178897
108	3.3182555
109	3.3186212
110	3.3191568
111	3.3195095
112	3.3201496
113	3.3205872
114	3.3210249
115	3.3213906
116	3.3215996
117	3.3222886
118	3.3225402
119	3.3230888
120	3.3234507
121	3.3237594
122	3.3241275
123	3.3243342
124	3.3248132
125	3.3250352
126	3.3254526
127	3.3256144
128	3.3260808
129	3.3262828
130	3.3266094
131	3.3267988
132	3.3271384
133	3.3275112
134	3.3276348
135	3.3278961
136	3.3281378
137	3.3283315
138	3.3285754
139	3.3288947
140	3.3291718
141	3.3292634
142	3.3294049
143	3.3294114
144	3.3297849
145	3.3299992
146	3.3301952
147	3.3304526
148	3.3305000
149	3.3307636
150	3.3307700
151	3.3311938
152	3.3312141
153	3.3314963
154	3.3317105
155	3.3319718
156	3.3320240
157	3.3321460
158	3.3323463
159	3.3325824
160	3.3326075
161	3.3329187
162	3.3330377
163	3.3331728
164	3.3332455
165	3.3334797
166	3.3335916
167	3.3337716
168	3.3338464
169	3.3340358
170	3.3341838
171	3.3343302
172	3.3344081
173	3.3345814
174	3.3346889
175	3.3348196
176	3.3348718
177	3.3350808
178	3.3351853
179	3.3352705
180	3.3352811
181	3.3356034
182	3.3356295
183	3.3357732
184	3.3359125
185	3.3360736
186	3.3360891
187	3.3361046
188	3.3362565
189	3.3364644
190	3.3365439
191	3.3365962
192	3.3366745
193	3.3369097
194	3.3370560
195	3.3370730
196	3.3371056
197	3.3373427
198	3.3374792
199	3.3376688
200	3.3376804
201	3.3376935
202	3.3377457
203	3.3379112
204	3.3381115
205	3.3381115
206	3.3381115
207	3.3382682
208	3.3384250
209	3.3384459
210	3.3384773
211	3.3386392
212	3.3387820
213	3.3389018
214	3.3389083
215	3.3390085
216	3.3391165
217	3.3393677
218	3.3393906
219	3.3393917
220	3.3394570
221	3.3395119
222	3.3396242
223	3.3396268
224	3.3398087
225	3.3398750
226	3.3399926
227	3.3401563
228	3.3402315
229	3.3402669
230	3.3402788
231	3.3403305
232	3.3403322
233	3.3404106
234	3.3405964
235	3.3406131
236	3.3406980
237	3.3408352
238	3.3409701
239	3.3409803
240	3.3410376
241	3.3411160
242	3.3412147
243	3.3412519
244	3.3413227
245	3.3414733
246	3.3414770
247	3.3414808
248	3.3414948
249	3.3416661
250	3.3416789
251	3.3417990
252	3.3419340
253	3.3419521
254	3.3419544
255	3.3420600
256	3.3421349
257	3.3421349
258	3.3422627
259	3.3422656
260	3.3422786
261	3.3423701
262	3.3424688
263	3.3425007
264	3.3424952
265	3.3425051
266	3.3425878
267	3.3426313
268	3.3426575
269	3.3426836
270	3.3426668
271	3.3425909
272	3.3426104
273	3.3427023
274	3.3427163
275	3.3427163
276	3.3427475
277	3.3427417
278	3.3426623
279	3.3426488
280	3.3426269
281	3.3426183
282	3.3425617
283	3.3425007
284	3.3421489
285	3.3419461
286	3.3418737
287	3.3417692
288	3.3416777
289	3.3414622
290	3.3411675
291	3.3408729
292	3.3406382
293	3.3405216
294	3.3404106
295	3.3399500
296	3.3398032
297	3.3395850
298	3.3393668
299	3.3390641
300	3.3389523
301	3.3388383
302	3.3386208
303	3.3384034
304	3.3383728
305	3.3380786
306	3.3378189
307	3.3377144
308	3.3377065
309	3.3375890
310	3.3374496
311	3.3373103
312	3.3371860
313	3.3371317
314	3.3369024
315	3.3368052
316	3.3367950
317	3.3367497
318	3.3366223
319	3.3364810
320	3.3364481
321	3.3364179
322	3.3363877
323	3.3363871
324	3.3362285
325	3.3362043
326	3.3359546
327	3.3358985
328	3.3359069
329	3.3359038
330	3.3357887
331	3.3356735
