x	y
1	-0.0068525
2	-0.0068524
3	-0.0068523
4	-0.0068524
5	-0.0068523
6	-0.0068523
7	-0.0068524
8	-0.0068522
9	-0.0068525
10	-0.0068524
11	-0.0068526
12	-0.0068531
13	-0.0068535
14	-0.0068542
15	-0.0068539
16	-0.0068535
17	-0.0068541
18	-0.0068540
19	-0.0068530
20	-0.0068529
21	-0.0068531
22	-0.0068532
23	-0.0068521
24	-0.0068520
25	-0.0068527
26	-0.0068532
27	-0.0068539
28	-0.0068543
29	-0.0068543
30	-0.0068539
31	-0.0068540
32	-0.0068540
33	-0.0068545
34	-0.0068546
35	-0.0068538
36	-0.0068534
37	-0.0068534
38	-0.0068531
39	-0.0068532
40	-0.0068531
41	-0.0068529
42	-0.0068527
43	-0.0068526
44	-0.0068528
45	-0.0068521
46	-0.0068522
47	-0.0068529
48	-0.0068538
49	-0.0068545
50	-0.0068539
51	-0.0068529
52	-0.0068523
53	-0.0068524
54	-0.0068524
55	-0.0068526
56	-0.0068536
57	-0.0068542
58	-0.0068539
59	-0.0068525
60	-0.0068532
61	-0.0068539
62	-0.0068545
63	-0.0068544
64	-0.0068541
65	-0.0068542
66	-0.0068552
67	-0.0068552
68	-0.0068544
69	-0.0068541
70	-0.0068546
71	-0.0068550
72	-0.0068551
73	-0.0068545
74	-0.0068539
75	-0.0068540
76	-0.0068541
77	-0.0068537
78	-0.0068528
79	-0.0068532
80	-0.0068539
81	-0.0068538
82	-0.0068537
83	-0.0068541
84	-0.0068541
85	-0.0068540
86	-0.0068536
87	-0.0068537
88	-0.0068535
89	-0.0068532
90	-0.0068530
91	-0.0068532
92	-0.0068527
93	-0.0068533
94	-0.0068521
95	-0.0068518
96	-0.0068522
97	-0.0068543
98	-0.0068542
99	-0.0068545
100	-0.0068546
101	-0.0068549
102	-0.0068548
103	-0.0068551
104	-0.0068545
105	-0.0068560
106	-0.0068553
107	-0.0068544
108	-0.0068549
109	-0.0068564
110	-0.0068563
111	-0.0068556
112	-0.0068558
113	-0.0068567
114	-0.0068577
115	-0.0068594
116	-0.0068587
117	-0.0068592
118	-0.0068591
119	-0.0068590
120	-0.0068588
121	-0.0068588
122	-0.0068594
123	-0.0068588
124	-0.0068602
125	-0.0068604
126	-0.0068615
127	-0.0068615
128	-0.0068610
129	-0.0068623
130	-0.0068622
131	-0.0068621
132	-0.0068617
133	-0.0068625
134	-0.0068628
135	-0.0068618
136	-0.0068621
137	-0.0068630
138	-0.0068640
139	-0.0068639
140	-0.0068639
141	-0.0068645
142	-0.0068642
143	-0.0068640
144	-0.0068640
145	-0.0068648
146	-0.0068649
147	-0.0068648
148	-0.0068653
149	-0.0068655
150	-0.0068655
151	-0.0068652
152	-0.0068647
153	-0.0068644
154	-0.0068642
155	-0.0068650
156	-0.0068650
157	-0.0068650
158	-0.0068652
159	-0.0068659
160	-0.0068665
161	-0.0068664
162	-0.0068661
163	-0.0068652
164	-0.0068645
165	-0.0068649
166	-0.0068651
167	-0.0068651
168	-0.0068664
169	-0.0068661
170	-0.0068656
171	-0.0068656
172	-0.0068654
173	-0.0068658
174	-0.0068660
175	-0.0068667
176	-0.0068675
177	-0.0068671
178	-0.0068671
179	-0.0068668
180	-0.0068661
181	-0.0068661
182	-0.0068659
183	-0.0068660
184	-0.0068665
185	-0.0068666
186	-0.0068661
187	-0.0068664
188	-0.0068660
189	-0.0068659
190	-0.0068659
191	-0.0068660
192	-0.0068662
193	-0.0068661
194	-0.0068667
195	-0.0068665
196	-0.0068666
197	-0.0068665
198	-0.0068667
199	-0.0068675
200	-0.0068678
201	-0.0068682
202	-0.0068677
203	-0.0068680
204	-0.0068679
205	-0.0068673
206	-0.0068666
207	-0.0068668
208	-0.0068665
209	-0.0068667
210	-0.0068670
211	-0.0068679
212	-0.0068675
213	-0.0068676
214	-0.0068675
215	-0.0068683
216	-0.0068682
217	-0.0068680
218	-0.0068683
219	-0.0068693
220	-0.0068689
221	-0.0068684
222	-0.0068678
223	-0.0068677
224	-0.0068681
225	-0.0068678
226	-0.0068676
227	-0.0068673
228	-0.0068677
229	-0.0068682
230	-0.0068691
231	-0.0068677
232	-0.0068677
233	-0.0068677
234	-0.0068680
235	-0.0068675
236	-0.0068666
237	-0.0068667
238	-0.0068680
239	-0.0068682
240	-0.0068681
241	-0.0068680
242	-0.0068698
243	-0.0068699
244	-0.0068699
245	-0.0068694
246	-0.0068691
247	-0.0068691
248	-0.0068691
249	-0.0068692
250	-0.0068692
251	-0.0068694
252	-0.0068690
253	-0.0068687
254	-0.0068685
255	-0.0068686
256	-0.0068691
257	-0.0068693
258	-0.0068686
259	-0.0068681
260	-0.0068675
261	-0.0068672
262	-0.0068685
263	-0.0068692
264	-0.0068693
265	-0.0068692
266	-0.0068692
267	-0.0068684
268	-0.0068681
269	-0.0068680
270	-0.0068681
271	-0.0068689
272	-0.0068683
273	-0.0068685
274	-0.0068687
275	-0.0068683
276	-0.0068681
277	-0.0068679
278	-0.0068680
279	-0.0068680
280	-0.0068681
281	-0.0068682
282	-0.0068679
283	-0.0068688
284	-0.0068686
285	-0.0068666
286	-0.0068670
287	-0.0068663
288	-0.0068660
289	-0.0068661
290	-0.0068653
291	-0.0068650
292	-0.0068663
293	-0.0068660
294	-0.0068656
295	-0.0068653
296	-0.0068637
297	-0.0068639
298	-0.0068645
299	-0.0068651
300	-0.0068654
301	-0.0068647
302	-0.0068634
303	-0.0068625
304	-0.0068640
305	-0.0068647
306	-0.0068647
307	-0.0068644
308	-0.0068636
309	-0.0068635
310	-0.0068633
311	-0.0068615
312	-0.0068627
313	-0.0068618
314	-0.0068609
315	-0.0068611
316	-0.0068614
317	-0.0068599
318	-0.0068604
319	-0.0068614
320	-0.0068622
321	-0.0068616
322	-0.0068616
323	-0.0068617
324	-0.0068614
325	-0.0068614
326	-0.0068611
327	-0.0068608
328	-0.0068609
329	-0.0068606
330	-0.0068594
331	-0.0068598
332	-0.0068606
333	-0.0068607
334	-0.0068608
335	-0.0068612
336	-0.0068613
337	-0.0068608
338	-0.0068600
339	-0.0068590
340	-0.0068592
341	-0.0068594
342	-0.0068599
343	-0.0068599
344	-0.0068599
345	-0.0068602
346	-0.0068601
347	-0.0068601
348	-0.0068603
349	-0.0068603
350	-0.0068601
351	-0.0068595
352	-0.0068593
353	-0.0068588
354	-0.0068588
355	-0.0068588
356	-0.0068584
357	-0.0068586
358	-0.0068596
359	-0.0068594
360	-0.0068589
361	-0.0068588
362	-0.0068589
363	-0.0068591
364	-0.0068592
365	-0.0068592
366	-0.0068589
367	-0.0068578
368	-0.0068580
369	-0.0068598
370	-0.0068596
371	-0.0068595
372	-0.0068592
373	-0.0068592
374	-0.0068594
375	-0.0068585
376	-0.0068592
377	-0.0068591
378	-0.0068592
379	-0.0068595
380	-0.0068596
381	-0.0068576
382	-0.0068575
383	-0.0068581
384	-0.0068583
385	-0.0068585
386	-0.0068578
387	-0.0068575
388	-0.0068579
389	-0.0068569
390	-0.0068570
391	-0.0068577
392	-0.0068582
393	-0.0068593
394	-0.0068587
395	-0.0068584
396	-0.0068579
397	-0.0068575
398	-0.0068568
399	-0.0068568
400	-0.0068566
401	-0.0068566
402	-0.0068568
403	-0.0068560
404	-0.0068557
405	-0.0068564
406	-0.0068566
407	-0.0068573
408	-0.0068578
409	-0.0068584
410	-0.0068582
411	-0.0068577
412	-0.0068574
413	-0.0068577
414	-0.0068580
415	-0.0068569
416	-0.0068568
417	-0.0068566
418	-0.0068566
419	-0.0068565
420	-0.0068583
421	-0.0068581
422	-0.0068578
423	-0.0068584
424	-0.0068582
425	-0.0068585
426	-0.0068580
427	-0.0068580
428	-0.0068578
429	-0.0068567
430	-0.0068574
431	-0.0068580
432	-0.0068579
433	-0.0068575
434	-0.0068576
435	-0.0068580
436	-0.0068576
437	-0.0068570
438	-0.0068572
439	-0.0068572
440	-0.0068576
441	-0.0068575
442	-0.0068577
443	-0.0068581
444	-0.0068578
445	-0.0068570
446	-0.0068564
447	-0.0068561
448	-0.0068559
449	-0.0068558
450	-0.0068564
451	-0.0068565
452	-0.0068565
453	-0.0068568
454	-0.0068569
455	-0.0068565
456	-0.0068562
457	-0.0068563
458	-0.0068570
459	-0.0068574
460	-0.0068583
461	-0.0068582
462	-0.0068567
463	-0.0068568
464	-0.0068576
465	-0.0068579
466	-0.0068577
467	-0.0068584
468	-0.0068577
469	-0.0068573
470	-0.0068564
471	-0.0068564
472	-0.0068565
473	-0.0068569
474	-0.0068568
475	-0.0068567
476	-0.0068567
477	-0.0068567
478	-0.0068570
479	-0.0068575
