x	y
1	32910.9160441
2	32910.8986266
3	32910.8986266
4	32910.8986266
5	32911.4018007
6	32911.4147026
7	32911.4276045
8	32911.3630950
9	32911.2977791
10	32910.9929717
11	32911.1598901
12	32910.8079101
13	32910.4813307
14	32910.5502752
15	32910.6980606
16	32911.0991925
17	32911.1018315
18	32911.1308608
19	32911.1255827
20	32911.1018315
21	32910.8504895
22	32910.8405680
23	32910.8955708
24	32911.0365156
25	32910.9276558
26	32910.5793045
27	32910.1341889
28	32910.4300111
29	32910.3655435
30	32910.6772783
31	32910.5793045
32	32910.6101711
33	32910.7285979
34	32910.4922167
35	32910.4922167
36	32910.8405680
37	32910.8405680
38	32910.8695973
39	32910.8880705
40	32911.0112250
41	32911.0138974
42	32910.9857144
43	32911.1018315
44	32911.1106507
45	32911.1546619
46	32911.1194416
47	32911.0842214
48	32910.6912746
49	32910.2931588
50	32909.9149070
51	32910.7211750
52	32911.0330046
53	32911.1671474
54	32911.2324633
55	32911.1344894
56	32910.5139886
57	32910.2807176
58	32910.3655435
59	32910.5661094
60	32910.0277482
61	32910.0567775
62	32910.0916126
63	32910.1148361
64	32910.1341889
65	32910.1535418
66	32909.3600748
67	32909.2671811
68	32909.9055197
69	32910.1615034
70	32909.8905189
71	32909.6209982
72	32910.3180410
73	32910.4486727
74	32910.6081134
75	32910.5793045
76	32910.5793045
77	32910.4668620
78	32910.5080508
79	32910.3180410
80	32909.8934878
81	32909.7894662
82	32909.9000194
83	32910.6129626
84	32910.5105509
85	32910.6663923
86	32910.9355729
87	32910.8608885
88	32911.0055765
89	32911.1018315
90	32911.0271848
91	32910.9801850
92	32911.0495788
93	32911.0780803
94	32912.3448124
95	32912.2718210
96	32912.2122014
97	32912.3500904
98	32912.3558963
99	32911.8203061
100	32911.7985342
101	32911.8624722
102	32911.7852498
103	32911.9859942
104	32912.6157821
105	32912.9418285
106	32913.2678749
107	32913.8946011
108	32913.8680277
109	32913.8925033
110	32914.0589567
111	32915.4317127
112	32915.4562232
113	32915.3981646
114	32915.1700774
115	32915.2530182
116	32915.7948981
117	32915.7523218
118	32915.9497209
119	32916.6077179
120	32916.7189967
121	32916.7189968
122	32916.8060846
123	32917.7901771
124	32917.8946825
125	32917.8946825
126	32917.6334190
127	32917.6334190
128	32918.0862757
129	32918.0361348
130	32918.0102786
131	32918.1770605
132	32918.3438423
133	32918.3425628
134	32918.3711042
135	32919.5862356
136	32919.6115569
137	32919.7815856
138	32919.7859949
139	32919.8977027
140	32919.8570099
141	32920.1714073
142	32920.4858046
143	32920.3505594
144	32920.3505594
145	32920.2460540
146	32920.1299369
147	32920.2133961
148	32920.3745086
149	32920.3357127
150	32920.3505594
151	32920.4202297
152	32920.7569693
153	32920.8992127
154	32921.3433607
155	32921.3386105
156	32921.3284314
157	32921.3582900
158	32921.4362544
159	32921.4543977
160	32920.9021157
161	32920.8556688
162	32921.0901361
163	32921.6498801
164	32921.7483191
165	32921.6830033
166	32921.6168606
167	32921.7781752
168	32921.7555764
169	32921.8136350
170	32921.8910464
171	32921.9684578
172	32922.1439237
173	32922.2988386
174	32922.2839093
175	32922.0987099
176	32922.0210968
177	32922.2055303
178	32922.1402144
179	32922.3734854
180	32922.4647202
181	32922.5518102
182	32922.7486833
183	32922.7467189
184	32922.4033440
185	32922.2780951
186	32922.3555121
187	32922.3361620
188	32922.3688199
189	32922.5974255
190	32922.6496782
191	32922.6264548
192	32922.5974255
193	32922.7019309
194	32922.8935241
195	32923.0851174
196	32922.9792893
197	32922.9893207
198	32922.9893208
199	32923.0011964
200	32922.5974255
201	32922.4232498
202	32922.9167476
203	32923.1489818
204	32923.1199525
205	32923.0826291
206	32923.0872946
207	32923.2445365
208	32923.4017784
209	32923.2360696
210	32923.1199525
211	32922.9457768
212	32923.3159001
213	32923.2949549
214	32923.2692459
215	32922.9333357
216	32922.8942801
217	32922.9457768
218	32923.0471436
219	32923.0328647
220	32923.0546366
221	32923.2941282
222	32923.3812160
223	32923.2941282
224	32923.4857214
225	32923.5553917
226	32923.7313009
227	32924.0198601
228	32924.3295057
229	32924.2303224
230	32923.3546058
231	32923.3812160
232	32923.5796440
233	32923.5771636
234	32923.6424795
235	32923.9690589
236	32924.0029264
237	32924.0367939
238	32924.1887577
239	32924.1237544
240	32923.7731113
241	32923.8631020
242	32923.9037430
243	32923.9908308
244	32923.9783897
245	32923.7404533
246	32923.7331960
247	32923.8710851
248	32923.9037430
249	32923.9346096
250	32923.7567593
251	32923.5071942
252	32923.6662307
253	32923.8087381
254	32923.9908308
255	32923.8475218
256	32923.5712258
257	32923.5771636
258	32924.3870805
259	32924.3769202
260	32924.3740173
261	32924.3516233
262	32924.2620472
263	32924.2641368
264	32924.0937528
265	32924.0937528
266	32923.8363933
267	32923.7005381
268	32923.7731112
269	32923.7731112
270	32923.7731112
271	32923.8166552
272	32924.2617708
273	32924.0530364
274	32924.0343748
275	32924.0779187
276	32923.9364009
277	32923.7749026
278	32923.5960327
279	32923.6051561
280	32923.4683038
281	32923.3812160
282	32923.6040221
283	32923.3812160
284	32923.3812160
285	32923.8927192
286	32923.4425026
287	32922.8586890
288	32922.7425719
289	32922.6953993
290	32922.5974255
291	32922.4667937
292	32921.5088276
293	32921.4360706
294	32921.1778938
295	32921.2257921
296	32921.1749909
297	32920.8338969
298	32920.2983067
299	32919.7293329
300	32918.9900539
301	32919.0616595
302	32919.0964946
303	32918.9397365
304	32917.6741873
305	32917.1583945
306	32917.1267262
307	32917.4156994
308	32917.6334190
309	32917.8656532
310	32917.9599984
311	32917.8946825
312	32917.0238042
313	32917.0455761
314	32917.4244082
315	32917.5289136
316	32917.2088658
317	32917.6624483
318	32917.4353585
319	32916.9802602
320	32916.1529258
321	32916.1964698
322	32916.5157918
323	32916.4013627
324	32916.5230491
325	32916.5012772
326	32916.5012772
327	32916.6754528
328	32916.6319089
329	32916.8496285
330	32916.7783748
331	32916.7189967
332	32916.3996747
333	32916.4141893
334	32916.4141893
335	32916.3271015
336	32916.1529258
337	32916.2400137
338	32916.7189968
339	32916.5883650
340	32916.3793542
341	32916.1703434
342	32915.8045745
343	32915.8045745
344	32915.8045745
345	32915.8916623
346	32915.9497209
347	32915.9115221
348	32915.7577366
349	32915.7734669
350	32915.8257547
351	32916.3644249
352	32916.4141893
353	32916.3271015
354	32916.3271015
355	32916.2617856
356	32915.9301539
357	32915.5868549
358	32915.2094743
359	32915.4388056
360	32916.0658380
361	32916.0989094
362	32915.9613326
363	32915.8336038
364	32915.4453372
365	32915.4950623
366	32915.5433110
367	32915.5433110
368	32915.4910583
369	32915.0614250
370	32915.2167316
371	32915.0860999
372	32915.1229890
373	32915.1908787
374	32915.4312748
375	32915.3334506
376	32914.8126228
377	32915.1078718
378	32915.1497622
379	32914.7756887
380	32914.7832717
381	32915.8494759
382	32915.6739427
383	32915.1632914
384	32915.5026700
385	32915.4883082
386	32915.5723403
387	32915.3650933
388	32915.0310484
389	32915.4333053
390	32915.3981646
391	32915.2626946
392	32915.1272247
393	32914.4982570
394	32914.7595205
395	32914.7132207
396	32914.7357693
397	32914.6886898
398	32914.7595205
399	32914.8562848
400	32914.9530490
401	32914.8939069
402	32914.7849631
403	32915.3401061
404	32915.2820475
405	32915.2820475
406	32915.1872431
407	32914.8827418
408	32915.0207840
409	32914.8756376
410	32914.7788734
411	32914.7968439
412	32914.9272394
413	32914.8341672
414	32914.3713576
415	32914.4655321
416	32914.6470990
417	32914.7595205
418	32914.7595205
419	32914.9554681
420	32914.8416244
421	32914.8901523
422	32914.6724327
423	32914.1063617
424	32914.1499057
