x	y
1	-0.3581114
2	-0.3580895
3	-0.3580866
4	-0.3580763
5	-0.3581057
6	-0.3580604
7	-0.3580553
8	-0.3580628
9	-0.3580766
10	-0.3580941
11	-0.3580943
12	-0.3581447
13	-0.3581506
14	-0.3581588
15	-0.3581510
16	-0.3581332
17	-0.3581257
18	-0.3580629
19	-0.3580503
20	-0.3580736
21	-0.3581409
22	-0.3580634
23	-0.3580043
24	-0.3580326
25	-0.3581165
26	-0.3581358
27	-0.3581493
28	-0.3581486
29	-0.3581458
30	-0.3581192
31	-0.3580719
32	-0.3580736
33	-0.3581034
34	-0.3581060
35	-0.3581211
36	-0.3581088
37	-0.3581012
38	-0.3581217
39	-0.3580957
40	-0.3581040
41	-0.3581358
42	-0.3581816
43	-0.3581615
44	-0.3581476
45	-0.3580519
46	-0.3580588
47	-0.3580828
48	-0.3581063
49	-0.3580913
50	-0.3580842
51	-0.3580734
52	-0.3580875
53	-0.3580860
54	-0.3580431
55	-0.3580516
56	-0.3580985
57	-0.3581126
58	-0.3580966
59	-0.3581150
60	-0.3580622
61	-0.3580754
62	-0.3580834
63	-0.3580632
64	-0.3580582
65	-0.3581415
66	-0.3581431
67	-0.3581364
68	-0.3580793
69	-0.3581148
70	-0.3580973
71	-0.3580961
72	-0.3581204
73	-0.3581192
74	-0.3581406
75	-0.3581989
76	-0.3581768
77	-0.3581742
78	-0.3581656
79	-0.3580714
80	-0.3580957
81	-0.3581018
82	-0.3581024
83	-0.3581628
84	-0.3581200
85	-0.3581293
86	-0.3581348
87	-0.3580938
88	-0.3581124
89	-0.3581452
90	-0.3581285
91	-0.3581227
92	-0.3580996
93	-0.3581050
94	-0.3581979
95	-0.3582590
96	-0.3582227
97	-0.3582320
98	-0.3582456
99	-0.3582682
100	-0.3583590
101	-0.3583837
102	-0.3584030
103	-0.3583626
104	-0.3583914
105	-0.3584509
106	-0.3584506
107	-0.3584124
108	-0.3583992
109	-0.3584582
110	-0.3584624
111	-0.3585735
112	-0.3586288
113	-0.3585517
114	-0.3585361
115	-0.3586243
116	-0.3586962
117	-0.3587033
118	-0.3587862
119	-0.3587286
120	-0.3587355
121	-0.3588364
122	-0.3589070
123	-0.3588983
124	-0.3589000
125	-0.3589039
126	-0.3589142
127	-0.3589589
128	-0.3589055
129	-0.3589503
130	-0.3589298
131	-0.3589138
132	-0.3589623
133	-0.3590113
134	-0.3590107
135	-0.3590272
136	-0.3590354
137	-0.3590499
138	-0.3590474
139	-0.3591772
140	-0.3591681
141	-0.3591481
142	-0.3591463
143	-0.3591325
144	-0.3591329
145	-0.3591669
146	-0.3591278
147	-0.3591296
148	-0.3591896
149	-0.3592152
150	-0.3592202
151	-0.3592086
152	-0.3592164
153	-0.3592818
154	-0.3592736
155	-0.3592582
156	-0.3592572
157	-0.3592768
158	-0.3592823
159	-0.3592600
160	-0.3592531
161	-0.3593101
162	-0.3593496
163	-0.3593486
164	-0.3593296
165	-0.3593120
166	-0.3592813
167	-0.3593475
168	-0.3594189
169	-0.3594189
170	-0.3594130
171	-0.3593962
172	-0.3593684
173	-0.3593477
174	-0.3593516
175	-0.3593565
176	-0.3593815
177	-0.3594074
178	-0.3594196
179	-0.3594283
180	-0.3593977
181	-0.3593809
182	-0.3593769
183	-0.3593825
184	-0.3593883
185	-0.3594074
186	-0.3594119
187	-0.3594032
188	-0.3593918
189	-0.3594103
190	-0.3594474
191	-0.3594441
192	-0.3594454
193	-0.3594218
194	-0.3594009
195	-0.3593973
196	-0.3594062
197	-0.3594085
198	-0.3594403
199	-0.3594709
200	-0.3594668
201	-0.3594724
202	-0.3594577
203	-0.3594438
204	-0.3594241
205	-0.3594127
206	-0.3594117
207	-0.3594251
208	-0.3594266
209	-0.3595214
210	-0.3595333
211	-0.3595445
212	-0.3595827
213	-0.3595652
214	-0.3595546
215	-0.3595637
216	-0.3595869
217	-0.3596147
218	-0.3596181
219	-0.3595755
220	-0.3595676
221	-0.3595653
222	-0.3595931
223	-0.3595799
224	-0.3595759
225	-0.3595605
226	-0.3595599
227	-0.3595838
228	-0.3596013
229	-0.3595804
230	-0.3595815
231	-0.3595765
232	-0.3595799
233	-0.3596289
234	-0.3596211
235	-0.3595807
236	-0.3596289
237	-0.3596362
238	-0.3596210
239	-0.3596076
240	-0.3596094
241	-0.3596300
242	-0.3596552
243	-0.3596312
244	-0.3596113
245	-0.3596091
246	-0.3595928
247	-0.3596130
248	-0.3596258
249	-0.3596514
250	-0.3596831
251	-0.3596679
252	-0.3596628
253	-0.3596785
254	-0.3596679
255	-0.3596584
256	-0.3596672
257	-0.3596518
258	-0.3596342
259	-0.3596366
260	-0.3596455
261	-0.3596075
262	-0.3596165
263	-0.3596833
264	-0.3596840
265	-0.3596458
266	-0.3596992
267	-0.3596573
268	-0.3595789
269	-0.3595799
270	-0.3595725
271	-0.3596002
272	-0.3595982
273	-0.3596578
274	-0.3596407
275	-0.3596212
276	-0.3596263
277	-0.3596153
278	-0.3596139
279	-0.3595974
280	-0.3595950
281	-0.3595910
282	-0.3595578
283	-0.3595271
284	-0.3595221
285	-0.3594998
286	-0.3595181
287	-0.3595018
288	-0.3593875
289	-0.3594002
290	-0.3593663
291	-0.3594129
292	-0.3593930
293	-0.3593238
294	-0.3592547
295	-0.3593210
296	-0.3592506
297	-0.3592230
298	-0.3592144
299	-0.3591577
300	-0.3591720
301	-0.3592014
302	-0.3591791
303	-0.3591911
304	-0.3591865
305	-0.3591748
306	-0.3591391
307	-0.3590443
308	-0.3590255
309	-0.3590066
310	-0.3590271
311	-0.3589823
312	-0.3590279
313	-0.3590769
314	-0.3590644
315	-0.3590027
316	-0.3589461
317	-0.3589451
318	-0.3589166
319	-0.3588992
320	-0.3589392
321	-0.3589383
322	-0.3589131
323	-0.3589387
324	-0.3589444
325	-0.3589146
326	-0.3589087
327	-0.3589276
328	-0.3588929
329	-0.3588779
330	-0.3588952
331	-0.3589107
332	-0.3589094
333	-0.3588753
334	-0.3588620
335	-0.3588198
336	-0.3588169
337	-0.3588481
338	-0.3588668
339	-0.3588318
340	-0.3588673
341	-0.3588818
342	-0.3587706
343	-0.3587823
344	-0.3588592
345	-0.3588598
346	-0.3588680
347	-0.3588594
348	-0.3587728
349	-0.3587665
350	-0.3587109
351	-0.3587083
352	-0.3586943
353	-0.3586895
354	-0.3586944
355	-0.3587364
356	-0.3587011
357	-0.3587226
358	-0.3587416
359	-0.3587585
360	-0.3587751
361	-0.3587821
362	-0.3587791
363	-0.3586875
364	-0.3586374
365	-0.3586498
366	-0.3586870
367	-0.3586921
368	-0.3586808
369	-0.3586418
370	-0.3586070
371	-0.3586113
372	-0.3586208
373	-0.3586855
374	-0.3586763
375	-0.3586890
376	-0.3586913
377	-0.3587836
378	-0.3587424
379	-0.3587514
380	-0.3587473
381	-0.3587445
382	-0.3586768
383	-0.3586832
384	-0.3587974
385	-0.3587880
386	-0.3587749
387	-0.3587628
388	-0.3587419
389	-0.3587462
390	-0.3587301
391	-0.3587313
392	-0.3587243
393	-0.3586965
394	-0.3586823
395	-0.3586721
396	-0.3586540
397	-0.3586829
398	-0.3586574
399	-0.3586693
400	-0.3585939
401	-0.3586494
402	-0.3586443
403	-0.3586427
404	-0.3586543
405	-0.3586684
406	-0.3586048
407	-0.3586239
408	-0.3586309
409	-0.3586427
410	-0.3586502
411	-0.3586521
412	-0.3586387
413	-0.3586217
414	-0.3585992
415	-0.3585609
416	-0.3585632
417	-0.3585995
418	-0.3585994
419	-0.3585882
420	-0.3585623
421	-0.3586091
422	-0.3586250
423	-0.3586038
424	-0.3586203
425	-0.3586018
426	-0.3585848
427	-0.3585885
428	-0.3585856
429	-0.3585569
430	-0.3585503
431	-0.3585377
432	-0.3585509
433	-0.3586125
434	-0.3586028
435	-0.3586019
436	-0.3586102
437	-0.3586084
438	-0.3585694
439	-0.3585304
440	-0.3585364
441	-0.3585638
442	-0.3585678
443	-0.3585739
444	-0.3585843
445	-0.3585495
446	-0.3585269
447	-0.3585574
448	-0.3585502
449	-0.3585674
450	-0.3586552
451	-0.3586630
452	-0.3586775
453	-0.3586439
454	-0.3586291
455	-0.3586215
456	-0.3586157
457	-0.3586070
458	-0.3585819
459	-0.3585775
460	-0.3585814
461	-0.3585894
462	-0.3585587
463	-0.3585730
464	-0.3585981
465	-0.3586138
466	-0.3586445
467	-0.3586540
468	-0.3586291
469	-0.3586267
470	-0.3586278
471	-0.3585273
472	-0.3585153
473	-0.3585094
474	-0.3585343
475	-0.3585338
476	-0.3585435
477	-0.3584942
