x	y
1	-0.5645676
2	-0.5645493
3	-0.5646034
4	-0.5646121
5	-0.5645098
6	-0.5644921
7	-0.5644853
8	-0.5644966
9	-0.5644996
10	-0.5644946
11	-0.5644256
12	-0.5644191
13	-0.5644284
14	-0.5644213
15	-0.5644658
16	-0.5644579
17	-0.5644692
18	-0.5645044
19	-0.5645270
20	-0.5645102
21	-0.5645370
22	-0.5645285
23	-0.5644780
24	-0.5644785
25	-0.5644702
26	-0.5644576
27	-0.5644842
28	-0.5644864
29	-0.5644729
30	-0.5644598
31	-0.5644114
32	-0.5643849
33	-0.5643866
34	-0.5643984
35	-0.5645241
36	-0.5645182
37	-0.5645026
38	-0.5644747
39	-0.5644925
40	-0.5644889
41	-0.5644533
42	-0.5644017
43	-0.5643828
44	-0.5644114
45	-0.5644295
46	-0.5644875
47	-0.5644901
48	-0.5645356
49	-0.5645050
50	-0.5644792
51	-0.5644196
52	-0.5644054
53	-0.5644043
54	-0.5644236
55	-0.5644380
56	-0.5644351
57	-0.5644673
58	-0.5643502
59	-0.5643430
60	-0.5643174
61	-0.5643437
62	-0.5643643
63	-0.5643769
64	-0.5644239
65	-0.5644061
66	-0.5643621
67	-0.5643586
68	-0.5643963
69	-0.5644964
70	-0.5644999
71	-0.5644763
72	-0.5644235
73	-0.5644446
74	-0.5644729
75	-0.5644952
76	-0.5644192
77	-0.5644075
78	-0.5644254
79	-0.5644493
80	-0.5644476
81	-0.5644845
82	-0.5644504
83	-0.5644403
84	-0.5644527
85	-0.5644599
86	-0.5644436
87	-0.5644029
88	-0.5644565
89	-0.5645006
90	-0.5645088
91	-0.5645223
92	-0.5646743
93	-0.5645652
94	-0.5646435
95	-0.5646296
96	-0.5647960
97	-0.5648256
98	-0.5648348
99	-0.5650037
100	-0.5650215
101	-0.5651362
102	-0.5650868
103	-0.5649956
104	-0.5650532
105	-0.5651841
106	-0.5652276
107	-0.5654722
108	-0.5655073
109	-0.5655547
110	-0.5655505
111	-0.5655761
112	-0.5657095
113	-0.5658314
114	-0.5659695
115	-0.5659474
116	-0.5659490
117	-0.5660404
118	-0.5662137
119	-0.5662886
120	-0.5663409
121	-0.5664773
122	-0.5665973
123	-0.5666022
124	-0.5665216
125	-0.5665584
126	-0.5666578
127	-0.5667496
128	-0.5667589
129	-0.5669589
130	-0.5670491
131	-0.5669195
132	-0.5670587
133	-0.5671421
134	-0.5671704
135	-0.5672806
136	-0.5673397
137	-0.5674583
138	-0.5675335
139	-0.5675050
140	-0.5675166
141	-0.5675427
142	-0.5675741
143	-0.5675453
144	-0.5677254
145	-0.5677118
146	-0.5677197
147	-0.5677713
148	-0.5677778
149	-0.5678361
150	-0.5678479
151	-0.5679150
152	-0.5679612
153	-0.5679290
154	-0.5679590
155	-0.5679085
156	-0.5678723
157	-0.5678794
158	-0.5678980
159	-0.5679137
160	-0.5680833
161	-0.5681221
162	-0.5681371
163	-0.5681269
164	-0.5681322
165	-0.5681152
166	-0.5681149
167	-0.5680943
168	-0.5680710
169	-0.5680739
170	-0.5681506
171	-0.5681931
172	-0.5682491
173	-0.5682252
174	-0.5682652
175	-0.5682840
176	-0.5683523
177	-0.5683613
178	-0.5683544
179	-0.5683481
180	-0.5683394
181	-0.5683400
182	-0.5683631
183	-0.5685307
184	-0.5684359
185	-0.5684351
186	-0.5685664
187	-0.5685682
188	-0.5685917
189	-0.5686095
190	-0.5686455
191	-0.5686591
192	-0.5686348
193	-0.5685991
194	-0.5686044
195	-0.5685958
196	-0.5686442
197	-0.5686131
198	-0.5686107
199	-0.5685706
200	-0.5686275
201	-0.5686318
202	-0.5685586
203	-0.5685494
204	-0.5685511
205	-0.5686191
206	-0.5687830
207	-0.5687521
208	-0.5687384
209	-0.5687445
210	-0.5687833
211	-0.5687654
212	-0.5687270
213	-0.5687077
214	-0.5687543
215	-0.5688849
216	-0.5688582
217	-0.5687849
218	-0.5688158
219	-0.5689291
220	-0.5689707
221	-0.5689437
222	-0.5688146
223	-0.5688050
224	-0.5688810
225	-0.5689001
226	-0.5689540
227	-0.5690433
228	-0.5690352
229	-0.5690154
230	-0.5689173
231	-0.5689633
232	-0.5690274
233	-0.5690773
234	-0.5690656
235	-0.5690817
236	-0.5690537
237	-0.5689715
238	-0.5690537
239	-0.5689434
240	-0.5689389
241	-0.5689453
242	-0.5689516
243	-0.5690609
244	-0.5690819
245	-0.5690384
246	-0.5689927
247	-0.5690203
248	-0.5690728
249	-0.5690743
250	-0.5691490
251	-0.5691460
252	-0.5691334
253	-0.5691245
254	-0.5691642
255	-0.5692372
256	-0.5692670
257	-0.5692115
258	-0.5692004
259	-0.5691947
260	-0.5692316
261	-0.5692264
262	-0.5691146
263	-0.5691077
264	-0.5690080
265	-0.5690098
266	-0.5690135
267	-0.5690058
268	-0.5690426
269	-0.5690730
270	-0.5690833
271	-0.5690431
272	-0.5690834
273	-0.5690888
274	-0.5692163
275	-0.5692148
276	-0.5691862
277	-0.5691572
278	-0.5691379
279	-0.5689921
280	-0.5689884
281	-0.5689913
282	-0.5689678
283	-0.5689208
284	-0.5687656
285	-0.5686956
286	-0.5686375
287	-0.5686093
288	-0.5686085
289	-0.5685587
290	-0.5685676
291	-0.5686108
292	-0.5685961
293	-0.5685304
294	-0.5685306
295	-0.5684545
296	-0.5684098
297	-0.5683153
298	-0.5683080
299	-0.5682507
300	-0.5681915
301	-0.5680691
302	-0.5680156
303	-0.5679776
304	-0.5679128
305	-0.5678464
306	-0.5677528
307	-0.5677253
308	-0.5675843
309	-0.5674430
310	-0.5674759
311	-0.5675083
312	-0.5675633
313	-0.5674839
314	-0.5674263
315	-0.5673464
316	-0.5673786
317	-0.5673716
318	-0.5674243
319	-0.5673341
320	-0.5672213
321	-0.5671953
322	-0.5671571
323	-0.5671839
324	-0.5671573
325	-0.5671005
326	-0.5670637
327	-0.5670398
328	-0.5670480
329	-0.5670463
330	-0.5669705
331	-0.5670048
332	-0.5671602
333	-0.5670421
334	-0.5670107
335	-0.5669051
336	-0.5668837
337	-0.5666950
338	-0.5666972
339	-0.5666995
340	-0.5667067
341	-0.5667922
342	-0.5667952
343	-0.5667937
344	-0.5667396
345	-0.5667607
346	-0.5667785
347	-0.5667694
348	-0.5667253
349	-0.5666370
350	-0.5666126
351	-0.5665786
352	-0.5666109
353	-0.5666413
354	-0.5666491
355	-0.5666342
356	-0.5667458
357	-0.5667207
358	-0.5667156
359	-0.5667119
360	-0.5667328
361	-0.5667589
362	-0.5667260
363	-0.5667208
364	-0.5666843
365	-0.5666634
366	-0.5666451
367	-0.5665841
368	-0.5665591
369	-0.5666094
370	-0.5665897
371	-0.5665779
372	-0.5665824
373	-0.5665414
374	-0.5665706
375	-0.5665681
376	-0.5665547
377	-0.5665900
378	-0.5666578
379	-0.5666486
380	-0.5665267
381	-0.5664570
382	-0.5664476
383	-0.5664631
384	-0.5664770
385	-0.5664637
386	-0.5664528
387	-0.5664595
388	-0.5664124
389	-0.5664378
390	-0.5663844
391	-0.5663770
392	-0.5664086
393	-0.5664029
394	-0.5663093
395	-0.5662946
396	-0.5662828
397	-0.5663278
398	-0.5662968
399	-0.5663148
400	-0.5663322
401	-0.5663075
402	-0.5663210
403	-0.5663414
404	-0.5662992
405	-0.5663483
406	-0.5663474
407	-0.5663300
408	-0.5663241
409	-0.5662538
410	-0.5662414
411	-0.5662383
412	-0.5662386
413	-0.5663064
414	-0.5662625
415	-0.5661609
416	-0.5661687
417	-0.5661907
418	-0.5662113
419	-0.5662015
420	-0.5661002
421	-0.5661103
422	-0.5661077
423	-0.5661079
424	-0.5661486
425	-0.5662259
426	-0.5661523
427	-0.5661865
428	-0.5661684
