x	y
1	-108.1961250
2	-108.1981667
3	-108.2025694
4	-108.2040068
5	-108.2069444
6	-108.2075000
7	-108.2045139
8	-108.2054167
9	-108.1998477
10	-108.2045614
11	-108.2018168
12	-108.2019493
13	-108.2051667
14	-108.2007500
15	-108.1969146
16	-108.2106587
17	-108.2143750
18	-108.2180916
19	-108.2097917
20	-108.2043750
21	-108.2056472
22	-108.2074938
23	-108.1995499
24	-108.1980000
25	-108.2055017
26	-108.2047969
27	-108.2040920
28	-108.2053117
29	-108.2200694
30	-108.2167080
31	-108.2173939
32	-108.2058732
33	-108.2060653
34	-108.1990000
35	-108.1911905
36	-108.1922851
37	-108.1953175
38	-108.1877778
39	-108.1878672
40	-108.1872327
41	-108.1723810
42	-108.1728968
43	-108.1918333
44	-108.1900000
45	-108.1852500
46	-108.1851786
47	-108.1836111
48	-108.1744156
49	-108.1736508
50	-108.1865962
51	-108.1935784
52	-108.1978595
53	-108.2010162
54	-108.2028055
55	-108.1927024
56	-108.1910719
57	-108.1987261
58	-108.2076057
59	-108.2079167
60	-108.2073347
61	-108.2098523
62	-108.2050556
63	-108.2045000
64	-108.2056667
65	-108.1944359
66	-108.1921959
67	-108.1729474
68	-108.1807474
69	-108.1835714
70	-108.1880794
71	-108.1825000
72	-108.1826382
73	-108.1795146
74	-108.1783553
75	-108.1807173
76	-108.1879365
77	-108.1915458
78	-108.1875000
79	-108.1927685
80	-108.2016667
81	-108.2000000
82	-108.1987500
83	-108.1927273
84	-108.2191667
85	-108.2063025
86	-108.2060101
87	-108.1952256
88	-108.2050000
89	-108.2264838
90	-108.2127946
91	-108.2270202
92	-108.2653030
93	-108.2675000
94	-108.2765000
95	-108.2846667
96	-108.2951971
97	-108.3263333
98	-108.3486667
99	-108.3433333
100	-108.3766383
101	-108.4051852
102	-108.4311299
103	-108.4425000
104	-108.4733333
105	-108.5113636
106	-108.5352694
107	-108.5492424
108	-108.5808586
109	-108.6169444
110	-108.6275000
111	-108.6395491
112	-108.6437500
113	-108.6828241
114	-108.6842424
115	-108.7379697
116	-108.7655987
117	-108.7650000
118	-108.7971429
119	-108.8187500
120	-108.9037778
121	-108.9366759
122	-108.9486574
123	-108.9632523
124	-109.0183410
125	-109.0204167
126	-109.0277778
127	-109.0470464
128	-109.0781481
129	-109.1247867
130	-109.1375000
131	-109.1470833
132	-109.1540741
133	-109.1781481
134	-109.2227778
135	-109.2583333
136	-109.2705556
137	-109.2792857
138	-109.3100422
139	-109.2950000
140	-109.3333086
141	-109.3420370
142	-109.3741512
143	-109.3977976
144	-109.4175496
145	-109.3990000
146	-109.4057405
147	-109.4243540
148	-109.4360627
149	-109.4500000
150	-109.4525000
151	-109.4526190
152	-109.4831944
153	-109.4820437
154	-109.4887831
155	-109.4857870
156	-109.5000000
157	-109.5258381
158	-109.5344286
159	-109.5350741
160	-109.5638889
161	-109.5781667
162	-109.5650000
163	-109.5775000
164	-109.5489815
165	-109.5807677
166	-109.5964815
167	-109.5933333
168	-109.5774444
169	-109.5861852
170	-109.6262593
171	-109.6413333
172	-109.6594167
173	-109.6468750
174	-109.6526052
175	-109.6573241
176	-109.6476667
177	-109.6563353
178	-109.6636111
179	-109.6612778
180	-109.6598571
181	-109.6718042
182	-109.6847037
183	-109.6729365
184	-109.6957857
185	-109.7105000
186	-109.7220185
187	-109.7335370
188	-109.7420000
189	-109.7624444
190	-109.7390741
191	-109.7544691
192	-109.7540138
193	-109.7474861
194	-109.7469156
195	-109.7479114
196	-109.7624074
197	-109.7633333
198	-109.7755556
199	-109.7783333
200	-109.7793333
201	-109.7906250
202	-109.8047037
203	-109.8127273
204	-109.8188889
205	-109.8117778
206	-109.8129167
207	-109.8104630
208	-109.8434259
209	-109.8434257
210	-109.8411806
211	-109.8478868
212	-109.8338131
213	-109.8318182
214	-109.8355882
215	-109.8681429
216	-109.8786502
217	-109.8713333
218	-109.8649444
219	-109.8864926
220	-109.8962500
221	-109.9026190
222	-109.8799088
223	-109.8742108
224	-109.8971693
225	-109.8977778
226	-109.9160942
227	-109.9190000
228	-109.9300000
229	-109.9366667
230	-109.9059705
231	-109.9107173
232	-109.9423525
233	-109.9448519
234	-109.9447037
235	-109.9611111
236	-109.9516034
237	-109.9329630
238	-109.9307143
239	-109.9577778
240	-109.9560619
241	-109.9590972
242	-109.9629605
243	-109.9795054
244	-109.9781169
245	-109.9778315
246	-109.9685035
247	-109.9662500
248	-109.9872727
249	-110.0061212
250	-110.0025740
251	-109.9720000
252	-109.9719893
253	-109.9825000
254	-109.9836111
255	-109.9790476
256	-109.9791667
257	-109.9950000
258	-109.9865873
259	-109.9927183
260	-110.0076190
261	-110.0122963
262	-110.0180688
263	-110.0266019
264	-110.0300893
265	-110.0309091
266	-110.0296591
267	-110.0266667
268	-110.0111674
269	-109.9935373
270	-109.9906250
271	-110.0026250
272	-110.0089620
273	-109.9748333
274	-109.9732143
275	-109.9719444
276	-109.9687037
277	-109.9711448
278	-109.9594795
279	-109.9452381
280	-109.9376582
281	-109.9234529
282	-109.9093115
283	-109.8914444
284	-109.8900000
285	-109.8800000
286	-109.8587500
287	-109.8316204
288	-109.8131007
289	-109.7988889
290	-109.7930661
291	-109.7885035
292	-109.7492982
293	-109.7259259
294	-109.7000000
295	-109.6984074
296	-109.6768519
297	-109.6816667
298	-109.6762500
299	-109.6413333
300	-109.6219259
301	-109.6138519
302	-109.5825000
303	-109.5476667
304	-109.5416667
305	-109.5216919
306	-109.4888636
307	-109.4721667
308	-109.4608333
309	-109.4572727
310	-109.4479798
311	-109.3975084
312	-109.3750000
313	-109.3771351
314	-109.3606667
315	-109.3434309
316	-109.3459091
317	-109.3104507
318	-109.2753868
319	-109.2700000
320	-109.2723148
321	-109.2622222
322	-109.2584444
323	-109.2526667
324	-109.2226316
325	-109.1836574
326	-109.2007143
327	-109.2110785
328	-109.2150000
329	-109.2020370
330	-109.2123676
331	-109.2124444
332	-109.2000000
333	-109.1940000
334	-109.1925000
335	-109.1751667
336	-109.1701225
337	-109.1612765
338	-109.1650198
339	-109.1528363
340	-109.1413953
341	-109.1400000
342	-109.1308579
343	-109.1222222
344	-109.1209544
345	-109.1180000
346	-109.1263736
347	-109.1199341
348	-109.1138889
349	-109.1208462
350	-109.1121591
351	-109.1018167
352	-109.1103770
353	-109.1079369
354	-109.1074158
355	-109.1057066
356	-109.0821250
357	-109.0840000
358	-109.0675000
359	-109.0560164
360	-109.0425000
361	-109.0457328
362	-109.0441667
363	-109.0443519
364	-109.0444444
365	-109.0545550
366	-109.0455324
367	-109.0459028
368	-109.0177837
369	-109.0240926
370	-109.0375000
371	-109.0386392
372	-109.0380649
373	-109.0353532
374	-109.0175185
375	-109.0033866
376	-108.9955514
377	-109.0083929
378	-108.9946495
379	-108.9993117
380	-109.0112500
381	-109.0135065
382	-109.0140278
383	-109.0225000
384	-109.0262500
385	-109.0253237
386	-109.0006756
387	-109.0066667
388	-109.0014444
389	-108.9916667
390	-108.9778622
391	-108.9858685
392	-108.9852392
393	-108.9803589
394	-108.9735833
395	-108.9708206
396	-108.9700370
397	-108.9653947
398	-108.9438426
399	-108.9390586
400	-108.9497840
401	-108.9590176
402	-108.9580512
403	-108.9491710
404	-108.9433509
405	-108.9426115
406	-108.9453333
407	-108.9393750
408	-108.9448333
409	-108.9459543
410	-108.9441667
411	-108.9488072
412	-108.9481818
413	-108.9337765
414	-108.9242588
415	-108.9253576
416	-108.9314629
417	-108.9392815
418	-108.9429686
419	-108.9357918
420	-108.9285714
421	-108.9195177
422	-108.9187500
423	-108.9172521
424	-108.9294146
425	-108.9247222
426	-108.9186975
427	-108.9060370
428	-108.9073333
429	-108.9126158
430	-108.9101515
431	-108.8950000
432	-108.8956329
433	-108.8938556
434	-108.9033333
435	-108.9000000
436	-108.8995320
437	-108.8884055
438	-108.8973810
439	-108.8950000
440	-108.8957237
441	-108.8890838
442	-108.8936667
443	-108.8869643
444	-108.8790000
445	-108.8800000
446	-108.8799278
447	-108.8818182
448	-108.8732323
449	-108.8555556
450	-108.8568325
451	-108.8651269
452	-108.8668942
453	-108.8700613
454	-108.8665278
455	-108.8810056
456	-108.8883102
457	-108.8804152
458	-108.8695455
459	-108.8698333
460	-108.8725000
461	-108.8830556
462	-108.8749108
463	-108.8426079
464	-108.8435282
465	-108.8536940
466	-108.8495000
467	-108.8484975
468	-108.8586658
469	-108.8586932
470	-108.8447368
471	-108.8411818
472	-108.8420606
473	-108.8429394
474	-108.8434242
475	-108.8439091
476	-108.8495893
477	-108.8452778
478	-108.8211842
479	-108.8072500
480	-108.8133333
481	-108.8253333
482	-108.8220000
483	-108.8211576
484	-108.8262037
485	-108.8311574
486	-108.8311111
487	-108.8234672
488	-108.8186810
489	-108.8209519
490	-108.8242023
491	-108.8177778
492	-108.8197884
493	-108.8209259
494	-108.8256540
495	-108.8237034
496	-108.8257576
497	-108.8180233
498	-108.8204051
499	-108.8236842
500	-108.7970151
501	-108.7987395
502	-108.8087500
503	-108.8100000
504	-108.7914722
505	-108.7932500
506	-108.7953056
507	-108.7978084
508	-108.7992735
509	-108.7981190
510	-108.8014286
511	-108.7958095
512	-108.7900000
513	-108.7615000
514	-108.7646929
515	-108.7824379
516	-108.7820635
517	-108.7925000
518	-108.7940401
519	-108.7824762
520	-108.7820246
521	-108.7786806
522	-108.7875694
523	-108.7970231
524	-108.7895000
525	-108.7896481
526	-108.7764583
527	-108.7636090
528	-108.7631331
529	-108.7814286
530	-108.7805926
531	-108.7814933
532	-108.7700000
533	-108.7607437
534	-108.7642857
535	-108.7657093
536	-108.7854545
537	-108.7700000
538	-108.7625316
539	-108.7635714
540	-108.7641667
541	-108.7715886
542	-108.7666508
543	-108.7636505
544	-108.7745995
545	-108.7780909
546	-108.7775000
547	-108.7608591
548	-108.7586108
549	-108.7521429
550	-108.7435185
551	-108.7444737
552	-108.7461389
553	-108.7494444
554	-108.7504167
555	-108.7575000
556	-108.7625000
557	-108.7496429
558	-108.7533333
559	-108.7514545
560	-108.7517240
561	-108.7562576
562	-108.7534465
563	-108.7532833
564	-108.7475000
565	-108.7552083
566	-108.7641582
567	-108.7600000
568	-108.7471667
569	-108.7408333
570	-108.7321296
571	-108.7411111
572	-108.7407407
573	-108.7377778
574	-108.7422222
575	-108.7462351
576	-108.7536250
577	-108.7555377
578	-108.7465341
579	-108.7464286
580	-108.7450278
581	-108.7425053
582	-108.7450944
583	-108.7464286
584	-108.7481250
585	-108.7383333
586	-108.7346296
587	-108.7414983
588	-108.7393750
589	-108.7463051
590	-108.7499801
591	-108.7677299
592	-108.7553294
593	-108.7504924
594	-108.7475000
595	-108.7442593
596	-108.7547727
597	-108.7502778
598	-108.7452778
599	-108.7449543
600	-108.7393400
601	-108.7455556
602	-108.7335354
603	-108.7292857
604	-108.7031804
605	-108.7212500
606	-108.7208333
607	-108.7262698
608	-108.7213497
609	-108.7064113
610	-108.7060000
611	-108.6937500
612	-108.6933333
613	-108.6933333
614	-108.6886667
615	-108.6978571
616	-108.6913460
617	-108.6992857
618	-108.7047945
619	-108.7035455
620	-108.7108114
621	-108.7075000
622	-108.6997758
623	-108.7009072
624	-108.7032789
625	-108.7084454
626	-108.6995238
627	-108.6816667
628	-108.6920000
629	-108.6950000
630	-108.6941942
631	-108.7042593
632	-108.7040000
633	-108.7052679
634	-108.6965000
635	-108.6971983
636	-108.6993750
637	-108.7056102
638	-108.7036195
639	-108.7012065
640	-108.6981911
641	-108.6965972
642	-108.6933796
643	-108.6988889
644	-108.6887500
645	-108.6946783
646	-108.6962517
647	-108.7013291
648	-108.6867503
649	-108.6892857
650	-108.6867857
651	-108.6866667
652	-108.6781013
653	-108.6810317
654	-108.6803747
655	-108.6818475
656	-108.6802083
657	-108.6818889
658	-108.6770556
659	-108.6793333
660	-108.6779820
661	-108.6905801
662	-108.6918750
663	-108.6793636
664	-108.6748216
665	-108.6697619
666	-108.6769748
667	-108.6777193
668	-108.6806993
669	-108.6893636
670	-108.6903593
671	-108.6900000
672	-108.6847222
673	-108.6761111
674	-108.6767083
