x	y
1	0.0068949
2	0.0068951
3	0.0068952
4	0.0068950
5	0.0068949
6	0.0068950
7	0.0068945
8	0.0068944
9	0.0068945
10	0.0068941
11	0.0068951
12	0.0068956
13	0.0068946
14	0.0068940
15	0.0068940
16	0.0068952
17	0.0068937
18	0.0068935
19	0.0068938
20	0.0068941
21	0.0068937
22	0.0068935
23	0.0068941
24	0.0068941
25	0.0068940
26	0.0068929
27	0.0068927
28	0.0068926
29	0.0068927
30	0.0068932
31	0.0068933
32	0.0068936
33	0.0068935
34	0.0068932
35	0.0068930
36	0.0068931
37	0.0068927
38	0.0068929
39	0.0068933
40	0.0068932
41	0.0068936
42	0.0068940
43	0.0068939
44	0.0068941
45	0.0068942
46	0.0068945
47	0.0068944
48	0.0068940
49	0.0068937
50	0.0068939
51	0.0068934
52	0.0068930
53	0.0068927
54	0.0068929
55	0.0068928
56	0.0068931
57	0.0068934
58	0.0068934
59	0.0068934
60	0.0068939
61	0.0068926
62	0.0068923
63	0.0068923
64	0.0068925
65	0.0068934
66	0.0068935
67	0.0068934
68	0.0068922
69	0.0068921
70	0.0068923
71	0.0068935
72	0.0068930
73	0.0068925
74	0.0068917
75	0.0068914
76	0.0068917
77	0.0068927
78	0.0068926
79	0.0068923
80	0.0068913
81	0.0068912
82	0.0068916
83	0.0068927
84	0.0068919
85	0.0068893
86	0.0068880
87	0.0068890
88	0.0068897
89	0.0068895
90	0.0068865
91	0.0068846
92	0.0068838
93	0.0068774
94	0.0068732
95	0.0068646
96	0.0068612
97	0.0068569
98	0.0068443
99	0.0068361
100	0.0068246
101	0.0068158
102	0.0068062
103	0.0068132
104	0.0068024
105	0.0067904
106	0.0067935
107	0.0067897
108	0.0067923
109	0.0067967
110	0.0068100
111	0.0068177
112	0.0068335
113	0.0068519
114	0.0068545
115	0.0068659
116	0.0068748
117	0.0068932
118	0.0068945
119	0.0069002
120	0.0069154
121	0.0069186
122	0.0069275
123	0.0069256
124	0.0069287
125	0.0069281
126	0.0069297
127	0.0069268
128	0.0069211
129	0.0069267
130	0.0069235
131	0.0069213
132	0.0069178
133	0.0069159
134	0.0069136
135	0.0069102
136	0.0069074
137	0.0069049
138	0.0069004
139	0.0068985
140	0.0068964
141	0.0068957
142	0.0068930
143	0.0068918
144	0.0068893
145	0.0068889
146	0.0068873
147	0.0068848
148	0.0068821
149	0.0068802
150	0.0068815
151	0.0068774
152	0.0068739
153	0.0068776
154	0.0068780
155	0.0068750
156	0.0068755
157	0.0068754
158	0.0068730
159	0.0068703
160	0.0068694
161	0.0068706
162	0.0068751
163	0.0068726
164	0.0068747
165	0.0068693
166	0.0068701
167	0.0068718
168	0.0068690
169	0.0068724
170	0.0068724
171	0.0068724
172	0.0068702
173	0.0068755
174	0.0068734
175	0.0068730
176	0.0068702
177	0.0068699
178	0.0068702
179	0.0068720
180	0.0068727
181	0.0068713
182	0.0068712
183	0.0068721
184	0.0068752
185	0.0068746
186	0.0068767
187	0.0068764
188	0.0068753
189	0.0068732
190	0.0068748
191	0.0068758
192	0.0068759
193	0.0068766
194	0.0068777
195	0.0068789
196	0.0068808
197	0.0068815
198	0.0068840
199	0.0068822
200	0.0068815
201	0.0068851
202	0.0068830
203	0.0068832
204	0.0068823
205	0.0068849
206	0.0068870
207	0.0068869
208	0.0068884
209	0.0068887
210	0.0068899
211	0.0068915
212	0.0068911
213	0.0068941
214	0.0068977
215	0.0069006
216	0.0069054
217	0.0069126
218	0.0069148
219	0.0069148
220	0.0069267
221	0.0069292
222	0.0069330
223	0.0069306
224	0.0069332
225	0.0069364
226	0.0069287
227	0.0069338
228	0.0069281
229	0.0069122
230	0.0069046
231	0.0068900
232	0.0068729
233	0.0068608
234	0.0068583
235	0.0068411
236	0.0068342
237	0.0068304
238	0.0068158
239	0.0068145
240	0.0068151
241	0.0068119
242	0.0068139
243	0.0068107
244	0.0068062
245	0.0068183
246	0.0068215
247	0.0068278
248	0.0068400
249	0.0068387
250	0.0068453
251	0.0068502
252	0.0068578
253	0.0068623
254	0.0068656
255	0.0068709
256	0.0068724
257	0.0068758
258	0.0068767
259	0.0068759
260	0.0068815
261	0.0068869
262	0.0068889
263	0.0068887
264	0.0068890
265	0.0068924
266	0.0068937
267	0.0068941
268	0.0068951
269	0.0068969
270	0.0068989
271	0.0068979
272	0.0068982
273	0.0069001
274	0.0069001
275	0.0069005
276	0.0069006
277	0.0068993
278	0.0069008
279	0.0069011
280	0.0069012
281	0.0069011
282	0.0069009
283	0.0069008
284	0.0069008
285	0.0069013
286	0.0069015
287	0.0069004
288	0.0069000
289	0.0069001
290	0.0069003
291	0.0068998
292	0.0069002
293	0.0069006
294	0.0069006
295	0.0068992
296	0.0068991
297	0.0068986
298	0.0068985
299	0.0068985
300	0.0068985
301	0.0068978
302	0.0068975
303	0.0068975
304	0.0068979
305	0.0068989
306	0.0068990
307	0.0068990
308	0.0068980
309	0.0068977
310	0.0068974
311	0.0068963
312	0.0068967
313	0.0068968
314	0.0068967
315	0.0068962
316	0.0068959
317	0.0068958
318	0.0068959
319	0.0068958
320	0.0068952
321	0.0068953
322	0.0068949
323	0.0068949
324	0.0068958
325	0.0068961
326	0.0068961
327	0.0068953
328	0.0068943
329	0.0068945
330	0.0068944
331	0.0068944
332	0.0068949
333	0.0068964
334	0.0068960
335	0.0068948
336	0.0068950
337	0.0068947
338	0.0068941
339	0.0068941
340	0.0068928
341	0.0068926
342	0.0068927
343	0.0068935
344	0.0068935
345	0.0068937
346	0.0068935
347	0.0068931
348	0.0068932
349	0.0068932
350	0.0068932
351	0.0068930
352	0.0068930
353	0.0068928
354	0.0068910
355	0.0068912
356	0.0068913
357	0.0068924
358	0.0068926
359	0.0068929
360	0.0068932
361	0.0068923
362	0.0068926
363	0.0068926
364	0.0068930
365	0.0068928
366	0.0068929
367	0.0068929
368	0.0068934
369	0.0068931
370	0.0068928
371	0.0068931
372	0.0068930
373	0.0068925
374	0.0068924
375	0.0068930
376	0.0068928
377	0.0068925
378	0.0068920
379	0.0068920
380	0.0068918
381	0.0068918
382	0.0068916
383	0.0068917
384	0.0068918
385	0.0068919
386	0.0068915
387	0.0068921
388	0.0068926
389	0.0068919
390	0.0068921
391	0.0068923
392	0.0068918
393	0.0068919
394	0.0068904
395	0.0068910
396	0.0068909
397	0.0068919
398	0.0068922
399	0.0068921
400	0.0068915
401	0.0068914
402	0.0068916
403	0.0068911
404	0.0068912
405	0.0068911
406	0.0068909
407	0.0068907
408	0.0068908
409	0.0068904
410	0.0068902
411	0.0068906
412	0.0068906
413	0.0068897
414	0.0068898
415	0.0068903
416	0.0068914
417	0.0068916
