x	y
1	108.2985000
2	108.2993519
3	108.3131818
4	108.3221295
5	108.2995371
6	108.3019130
7	108.3093476
8	108.3217659
9	108.3221905
10	108.3080556
11	108.3114286
12	108.3115086
13	108.3127864
14	108.3041025
15	108.2927193
16	108.3024721
17	108.3125000
18	108.3138889
19	108.3203383
20	108.3150160
21	108.3057576
22	108.3066667
23	108.3155445
24	108.3221793
25	108.3184722
26	108.3145833
27	108.3132323
28	108.3145265
29	108.3187929
30	108.3338148
31	108.3145556
32	108.2961111
33	108.2822345
34	108.2852405
35	108.2883463
36	108.2899366
37	108.3125294
38	108.3001301
39	108.3125972
40	108.3217368
41	108.3196825
42	108.3270455
43	108.3264407
44	108.3230000
45	108.3247037
46	108.3158861
47	108.3138889
48	108.3088657
49	108.3145714
50	108.3187071
51	108.3181944
52	108.3067778
53	108.3031797
54	108.3077778
55	108.3233333
56	108.3247037
57	108.3223684
58	108.3165419
59	108.3161227
60	108.3123063
61	108.3100049
62	108.3073280
63	108.3084921
64	108.3236842
65	108.3199937
66	108.3142407
67	108.3133981
68	108.3115395
69	108.3090812
70	108.3101337
71	108.3020476
72	108.3071053
73	108.3092929
74	108.3179125
75	108.3225470
76	108.3262500
77	108.3197917
78	108.3217467
79	108.3342211
80	108.3342500
81	108.3432685
82	108.3450000
83	108.3492130
84	108.3681019
85	108.3552778
86	108.3613889
87	108.3510584
88	108.3420378
89	108.3506018
90	108.3441368
91	108.3467336
92	108.3707108
93	108.3680147
94	108.3820000
95	108.3939074
96	108.3837500
97	108.3879167
98	108.4151429
99	108.4206825
100	108.4197500
101	108.4411389
102	108.4183796
103	108.3974339
104	108.4085119
105	108.3900000
106	108.4666667
107	108.4448148
108	108.4750000
109	108.4373148
110	108.4927273
111	108.5072727
112	108.5340000
113	108.4962963
114	108.5277778
115	108.5370370
116	108.5423920
117	108.5656019
118	108.5506944
119	108.5720216
120	108.5383333
121	108.5925000
122	108.6001852
123	108.5627778
124	108.5566667
125	108.5582222
126	108.5700000
127	108.5782407
128	108.6183333
129	108.6150000
130	108.6081250
131	108.6115972
132	108.5941667
133	108.6318333
134	108.6446852
135	108.6300000
136	108.6237500
137	108.6188552
138	108.6280952
139	108.6394613
140	108.6128615
141	108.6420690
142	108.6580000
143	108.6700000
144	108.6883333
145	108.6687037
146	108.6853571
147	108.7017857
148	108.6940000
149	108.7011111
150	108.7298148
151	108.7290000
152	108.7109578
153	108.7162500
154	108.7285185
155	108.7495370
156	108.7125047
157	108.7174189
158	108.7376667
159	108.7820964
160	108.7872482
161	108.7873214
162	108.7890952
163	108.7511221
164	108.7736376
165	108.7952857
166	108.8175000
167	108.8357407
168	108.8325000
169	108.8490000
170	108.8605370
171	108.8427318
172	108.8358924
173	108.8409800
174	108.8447727
175	108.8525000
176	108.8478704
177	108.8857407
178	108.9000000
179	108.9200000
180	108.9259259
181	108.9100000
182	108.8910000
183	108.9150000
184	108.9000000
185	108.9000000
186	108.8931111
187	108.8923333
188	108.9550244
189	108.9588847
190	108.9525000
191	108.9600000
192	108.9463291
193	108.9488429
194	108.9670000
195	108.9520370
196	108.9521605
197	108.9522840
198	108.9487500
199	108.9400000
200	108.9769213
201	109.0098081
202	109.0081818
203	109.0027778
204	108.9831250
205	108.9992654
206	109.0170741
207	109.0158333
208	108.9980696
209	109.0607407
210	109.0558889
211	109.0523802
212	109.0469068
213	109.0417130
214	109.0496759
215	109.0316667
216	109.0267932
217	109.0450000
218	109.0587262
219	109.0700000
220	109.0643750
221	109.0518308
222	109.0549771
223	109.0707143
224	109.0674675
225	109.0865873
226	109.0887500
227	109.0776389
228	109.0810714
229	109.0948016
230	109.1079762
231	109.1058333
232	109.1183333
233	109.1024074
234	109.0983466
235	109.0890000
236	109.0877407
237	109.0999136
238	109.1039594
239	109.1113198
240	109.1264210
241	109.1216071
242	109.1149587
243	109.1345783
244	109.1350000
245	109.1216667
246	109.1147638
247	109.1160000
248	109.1433796
249	109.1427273
250	109.1526160
251	109.1606667
252	109.1642455
253	109.1445570
254	109.1435833
255	109.1452778
256	109.1491667
257	109.1512764
258	109.1601400
259	109.1599269
260	109.1553535
261	109.1483502
262	109.1389562
263	109.1132006
264	109.1059192
265	109.1052914
266	109.0961111
267	109.1021212
268	109.1083333
269	109.1118056
270	109.1143241
271	109.1073889
272	109.1068519
273	109.1066823
274	109.1271693
275	109.1106039
276	109.1075000
277	109.1072555
278	109.1057143
279	109.0857532
280	109.0644286
281	109.0783333
282	109.0553571
283	109.0755476
284	109.0747908
285	109.0962859
286	109.0761204
287	109.0600000
288	109.0550000
289	109.0471958
290	109.0268430
291	109.0054286
292	109.0154762
293	109.0455238
294	109.0262593
295	109.0217407
296	109.0151178
297	109.0365825
298	108.9940000
299	108.9653333
300	108.9662500
301	108.9917500
302	108.9927778
303	108.9224074
304	108.9320000
305	108.9278571
306	108.9660390
307	108.9483333
308	108.9307778
309	108.9306296
310	108.9170944
311	108.9171429
312	108.9148571
313	108.9109524
314	108.9200000
315	108.9000000
316	108.8850000
317	108.8966667
318	108.8884991
319	108.9108333
320	108.8944444
321	108.9021296
322	108.8792284
323	108.8746268
324	108.8422559
325	108.8447475
326	108.8470000
327	108.8641806
328	108.8488750
329	108.8546933
330	108.8557576
331	108.8259091
332	108.8200568
333	108.8147500
334	108.8070918
335	108.8073016
336	108.8000000
337	108.7838889
338	108.7860417
339	108.7900000
340	108.8106667
341	108.8192148
342	108.8122198
343	108.8075000
344	108.7781557
345	108.7850000
346	108.8042593
347	108.8066667
348	108.8029167
349	108.7925000
350	108.7923418
351	108.7817037
352	108.7799074
353	108.7758333
354	108.7558333
355	108.7549074
356	108.7556481
357	108.7444753
358	108.7456966
359	108.7456481
360	108.7243519
361	108.7383422
362	108.7032143
363	108.6960690
364	108.7269214
365	108.7288945
366	108.7028009
367	108.7155556
368	108.7250000
369	108.7193776
370	108.7181250
371	108.7193166
372	108.7004630
373	108.6998571
374	108.7150000
375	108.7003704
376	108.7005934
377	108.6953676
378	108.6866068
379	108.6876608
380	108.6848295
381	108.6772727
382	108.6911995
383	108.6900000
384	108.6732634
385	108.6555000
386	108.6681905
387	108.6715832
388	108.6580000
389	108.6602781
390	108.6567244
391	108.6550000
392	108.6583333
393	108.6587879
394	108.6435714
395	108.6484406
396	108.6387500
397	108.6367364
398	108.6340741
399	108.6203210
400	108.6192911
401	108.6200758
402	108.6295833
403	108.6124074
404	108.6205368
405	108.6027922
406	108.5861429
407	108.5975000
408	108.6021296
409	108.5818750
410	108.5889286
411	108.6044839
412	108.5916667
413	108.5800000
414	108.5805556
415	108.5822222
416	108.5942593
417	108.5939630
418	108.5806972
419	108.5696296
420	108.5700000
421	108.5930556
422	108.5823377
423	108.5746077
424	108.5648889
425	108.5699543
426	108.5639286
427	108.5675000
428	108.5569444
429	108.5531349
430	108.5517857
431	108.5696508
432	108.5659828
433	108.5579861
434	108.5623510
435	108.5547222
436	108.5537037
437	108.5497070
438	108.5320062
439	108.5531250
440	108.5486523
441	108.5464286
442	108.5270000
443	108.5332227
444	108.5336364
445	108.5195833
446	108.5195370
447	108.5205694
448	108.5239630
449	108.5222500
450	108.5062222
451	108.5133036
452	108.5297255
453	108.5305515
454	108.5200000
455	108.4915000
456	108.4831250
457	108.4991693
458	108.5030000
459	108.5116667
460	108.5100000
461	108.5100000
462	108.5100000
463	108.4812310
464	108.4842105
465	108.4908386
466	108.5009028
467	108.5049399
468	108.5042361
469	108.5117824
470	108.5118210
471	108.5085000
472	108.5066667
473	108.4875000
474	108.4817593
475	108.4920317
476	108.5080556
477	108.5090000
478	108.4892963
479	108.4894877
480	108.4875504
481	108.4726337
482	108.4701818
483	108.4732256
484	108.4660740
485	108.4531717
486	108.4379091
487	108.4575000
488	108.4628571
489	108.4505556
490	108.4571429
491	108.4592563
492	108.4606250
493	108.4708410
494	108.4611111
495	108.4559906
496	108.4647778
497	108.4861389
498	108.4805928
499	108.4754545
500	108.4766667
501	108.4796053
502	108.4800000
503	108.4750000
504	108.4719048
505	108.4464286
506	108.4474111
507	108.4464623
508	108.4258176
509	108.4292857
510	108.4544830
511	108.4581508
512	108.4695833
513	108.4700000
514	108.4691667
515	108.4643333
516	108.4442911
517	108.4215238
518	108.4270707
519	108.4291455
520	108.4297915
521	108.4228053
522	108.4125000
523	108.3981250
524	108.4011111
525	108.4033333
526	108.4032066
527	108.4042788
528	108.4212781
529	108.4207519
530	108.4172222
531	108.4210217
532	108.4255556
533	108.4233333
534	108.4241843
535	108.4274868
536	108.4256250
537	108.4263194
538	108.4270139
539	108.4359259
540	108.4346439
541	108.4292857
542	108.4023222
543	108.4039815
544	108.4117593
545	108.3936307
546	108.3980864
547	108.3987603
548	108.4050000
549	108.3988889
550	108.3971429
551	108.4094074
552	108.4123377
553	108.4184091
554	108.4230863
555	108.4140741
556	108.4000000
557	108.4055237
558	108.4052381
559	108.4030357
560	108.4037698
561	108.3964286
562	108.3909041
563	108.4018713
564	108.3954762
565	108.3979076
566	108.4011279
567	108.4022236
568	108.3996667
569	108.3993198
570	108.3950351
571	108.3838158
572	108.3866234
573	108.3929697
574	108.3822222
575	108.3893056
576	108.4083333
577	108.4053911
578	108.3877230
579	108.3808333
580	108.3862500
581	108.3914167
582	108.3912083
583	108.3924261
584	108.3662243
585	108.3676984
586	108.3738168
587	108.3850000
588	108.3984921
589	108.3877083
590	108.3903333
591	108.3841852
592	108.3816053
593	108.3772912
594	108.3760417
595	108.3730617
596	108.3737083
597	108.3614325
598	108.3600000
599	108.3787046
600	108.3750049
601	108.3748592
602	108.3746749
603	108.3768333
604	108.3806574
605	108.3990269
606	108.3944456
607	108.3875000
608	108.3832595
609	108.3865909
610	108.3851190
611	108.3841667
612	108.3700000
613	108.3675000
614	108.3805000
615	108.3767778
616	108.3711010
617	108.3727374
618	108.3718767
619	108.3581544
620	108.3621250
621	108.3709711
622	108.3712500
623	108.3720036
624	108.3703714
625	108.3714623
626	108.3725217
627	108.3717881
628	108.3737049
629	108.3697347
630	108.3622126
631	108.3657811
632	108.3694444
633	108.3762500
634	108.3722727
635	108.3731250
636	108.3800000
637	108.3690084
638	108.3505556
639	108.3566667
640	108.3556579
641	108.3535227
642	108.3568337
643	108.3584286
644	108.3580159
645	108.3478926
646	108.3641667
647	108.3631100
648	108.3692130
649	108.3705000
650	108.3756296
651	108.3750000
652	108.3683333
653	108.3612963
654	108.3696043
655	108.3812012
656	108.3689311
657	108.3732385
658	108.3696748
659	108.3621429
660	108.3644444
661	108.3735584
662	108.3723333
663	108.3399630
664	108.3509777
665	108.3509028
666	108.3455926
667	108.3530000
668	108.3489635
669	108.3416667
670	108.3443750
671	108.3525168
672	108.3475714
673	108.3366667
674	108.3437764
