x	y
1	38581.8522253
2	38581.9044780
3	38582.0873625
4	38582.4937724
5	38581.7099819
6	38581.7310941
7	38581.9879592
8	38582.0127158
9	38582.2018208
10	38582.1163918
11	38582.1620092
12	38582.1119297
13	38582.0761987
14	38582.0404677
15	38581.3906598
16	38581.5885867
17	38581.9567308
18	38581.9422161
19	38582.3113026
20	38582.1085693
21	38581.6519233
22	38581.6519233
23	38581.9306044
24	38582.3318690
25	38582.2833101
26	38582.0655905
27	38582.0095114
28	38581.9646479
29	38581.9197844
30	38581.8260990
31	38581.5938648
32	38581.3616306
33	38581.3550163
34	38581.4948958
35	38581.6347752
36	38581.6954672
37	38581.6835916
38	38581.1980110
39	38581.6628093
40	38582.1918679
41	38582.1454211
42	38582.5861383
43	38582.6851682
44	38582.3486260
45	38582.3486260
46	38582.2207502
47	38582.0293039
48	38581.0810142
49	38581.4901888
50	38581.7585389
51	38581.7607831
52	38581.7012731
53	38581.5568077
54	38581.5648355
55	38581.6228941
56	38581.6538586
57	38581.5648355
58	38581.2848315
59	38581.2873735
60	38581.4668617
61	38581.4487184
62	38581.3132484
63	38581.4487184
64	38581.4960819
65	38581.5038740
66	38581.5251622
67	38581.5464503
68	38581.5146465
69	38581.7055158
70	38581.8330841
71	38581.8634224
72	38582.0873625
73	38582.2536211
74	38582.7427204
75	38583.0235953
76	38583.3610221
77	38583.2775629
78	38583.2920775
79	38583.9162070
80	38584.0729651
81	38585.1683365
82	38585.4837880
83	38586.0716309
84	38587.3440809
85	38587.5738960
86	38588.3867158
87	38588.3404160
88	38588.6516079
89	38589.3906396
90	38589.4108540
91	38589.4526855
92	38591.2687278
93	38592.1729028
94	38592.9036714
95	38593.9177608
96	38594.4973787
97	38596.1520476
98	38597.6138791
99	38599.5173703
100	38599.5267011
101	38601.1668553
102	38601.8587198
103	38602.9511191
104	38604.5435824
105	38604.8172870
106	38608.8233273
107	38610.2747912
108	38612.5245602
109	38613.1777190
110	38616.3128810
111	38617.3579350
112	38620.7021078
113	38622.1767951
114	38624.1653006
115	38627.5036676
116	38628.6575814
117	38630.1042071
118	38631.5508327
119	38633.6619063
120	38633.8175355
121	38637.4752245
122	38638.2686914
123	38639.0621584
124	38639.8265960
125	38641.8470337
126	38642.8311262
127	38644.0068120
128	38646.5323592
129	38647.4032375
130	38647.9584224
131	38648.8801020
132	38649.8852408
133	38652.2017771
134	38653.0474967
135	38653.1510345
136	38653.9348250
137	38655.3064584
138	38655.8507573
139	38657.0893399
140	38657.2441627
141	38659.6710103
142	38660.4664125
143	38661.2502030
144	38662.2952570
145	38662.2952570
146	38663.9934697
147	38666.0739013
148	38666.2142095
149	38666.6206194
150	38668.8461974
151	38669.0358553
152	38670.5337660
153	38670.9822684
154	38671.7007430
155	38672.8764287
156	38672.8764288
157	38673.4773348
158	38674.6617293
159	38677.4274495
160	38677.8998520
161	38677.9057511
162	38678.5806818
163	38678.6242258
164	38680.5498345
165	38681.6810087
166	38683.1963370
167	38684.2800967
168	38684.7639180
169	38685.7044666
170	38687.0127194
171	38687.2552751
172	38687.4978309
173	38688.6013735
174	38688.8135022
175	38689.9891880
176	38689.9891880
177	38692.2099277
178	38693.1243500
179	38694.4306675
180	38696.5401284
181	38696.5207755
182	38696.3117647
183	38697.8270930
184	38697.8270930
185	38697.8270930
186	38698.2799497
187	38698.7328065
188	38701.9892301
189	38702.2102935
190	38702.2685725
191	38703.5748900
192	38704.6199440
193	38704.8812075
194	38706.0307669
195	38706.7971398
196	38706.9713155
197	38707.1454912
198	38707.2325790
199	38707.7551060
200	38709.6516855
201	38711.3640455
202	38711.4127950
203	38712.3417319
204	38712.4578490
205	38713.3480802
206	38714.2383114
207	38714.2866935
208	38715.1575718
209	38718.5056152
210	38718.3827246
211	38718.3300195
212	38718.2399682
213	38718.7281730
214	38719.9038588
215	38719.9474027
216	38720.1281926
217	38721.0048978
218	38721.6673874
219	38722.6471255
220	38722.5491517
221	38723.0983988
222	38724.0840747
223	38724.9984970
224	38725.4260191
225	38726.4167846
226	38726.5660780
227	38726.7692829
228	38727.0139583
229	38728.1087768
230	38729.2035952
231	38729.5967346
232	38730.2673109
233	38730.2769873
234	38730.2866638
235	38730.4327778
236	38730.8507994
237	38731.5707255
238	38731.8659947
239	38733.4883166
240	38734.1427195
241	38734.0307494
242	38734.2590991
243	38735.3616867
244	38735.4490370
245	38735.5361248
246	38735.7340517
247	38735.7625532
248	38736.6900386
249	38737.0166180
250	38737.6758399
251	38738.0094193
252	38738.1923037
253	38737.3853634
254	38737.3998045
255	38737.9455549
256	38738.1923038
257	38738.4987647
258	38738.4490047
259	38738.4378699
260	38738.4100233
261	38738.2552005
262	38738.1003777
263	38736.7160037
264	38736.6582368
265	38736.8576681
266	38736.2908861
267	38736.2565787
268	38736.2328275
269	38736.2618568
270	38736.2241187
271	38735.9396318
272	38735.9193113
273	38735.8355306
274	38735.4490370
275	38734.3702241
276	38734.1427195
277	38734.0120878
278	38733.9187794
279	38732.7095026
280	38731.5002258
281	38731.1817332
282	38729.5892699
283	38729.4772999
284	38728.7640090
285	38728.7084387
286	38727.4737268
287	38726.3048145
288	38725.2597605
289	38722.7245369
290	38720.2925285
291	38719.0640832
292	38718.7530552
293	38718.4420273
294	38716.1155380
295	38715.1091897
296	38714.1028414
297	38713.7641665
298	38711.4127950
299	38708.5563141
300	38707.7551060
301	38707.7551060
302	38707.4938425
303	38703.0620394
304	38702.5298360
305	38702.2685725
306	38702.4348311
307	38701.3976942
308	38699.9578420
309	38698.5179898
310	38697.2049930
311	38697.1552726
312	38696.5133108
313	38695.7867495
314	38695.7369850
315	38694.6919310
316	38693.6468770
317	38693.2114378
318	38692.4860732
319	38692.2099278
320	38690.6133175
321	38690.5988028
322	38689.3408675
323	38689.0391389
324	38686.9244000
325	38686.8540260
326	38686.8540260
327	38686.6254204
328	38685.6979350
329	38685.6416870
330	38685.6347963
331	38683.9801275
332	38683.1013321
333	38682.1839409
334	38681.9959856
335	38681.8609902
336	38681.3674925
337	38680.2643799
338	38680.2897806
339	38680.0611750
340	38680.0611750
341	38679.9040315
342	38679.2893816
343	38678.8854892
344	38677.3521684
345	38677.1872765
346	38676.6260438
347	38676.7518373
348	38676.4688019
349	38675.2278003
350	38674.8359050
351	38673.9843795
352	38673.1328540
353	38672.8764287
354	38671.8313747
355	38671.7829926
356	38671.7346105
357	38669.9315698
358	38670.0824731
359	38670.0025302
360	38668.8123299
361	38668.6402277
362	38666.8673683
363	38666.4125762
364	38666.5749931
365	38666.3303266
366	38664.9562741
367	38665.1691555
368	38665.1691555
369	38665.0385238
370	38664.9078920
371	38663.9789551
372	38662.9726068
373	38662.9222894
374	38662.8177840
375	38660.9212045
376	38660.8909657
377	38660.9036432
378	38659.7464864
379	38659.8132537
380	38659.6499641
381	38659.0175876
382	38658.3736655
383	38658.4053338
384	38657.6505726
385	38656.4168282
386	38656.1742264
387	38655.5198152
388	38655.1366371
389	38655.0748839
390	38654.6265345
391	38654.4573520
392	38654.4573520
393	38654.2198397
394	38653.0763878
395	38652.9050548
396	38652.3672440
397	38652.2124212
398	38652.0575984
399	38651.0254463
400	38650.2771360
401	38650.2335921
402	38650.1900482
403	38649.0095242
404	38649.0374512
405	38648.0004112
406	38646.9404279
407	38647.0113422
408	38647.2532529
409	38646.1948938
410	38646.4328302
411	38646.2658987
412	38645.4873052
413	38645.0518660
414	38645.0808953
415	38645.0518660
416	38644.7906025
417	38643.8848890
418	38643.2230215
419	38642.8553173
420	38642.7004945
421	38642.5698628
422	38641.9642065
423	38641.7559265
424	38641.1851662
425	38641.0022817
426	38640.7410182
427	38640.7410182
428	38639.2605251
429	38639.0573201
430	38639.0054821
431	38638.8561887
432	38638.8141999
433	38638.2844156
434	38638.1918497
435	38637.6058562
436	38637.5381213
437	38637.4703863
438	38635.8673251
439	38635.8096697
440	38635.7044386
441	38635.6463800
442	38634.5316557
443	38634.3125113
444	38634.2688088
445	38633.2079207
446	38632.3563952
447	38632.3776833
448	38632.6602350
449	38632.5765339
450	38631.7274275
451	38631.8254013
452	38632.0116725
453	38631.9140443
454	38631.3355322
455	38629.1931716
456	38628.9841607
457	38629.7679513
458	38629.7940776
459	38629.7244073
460	38629.6373195
461	38629.6179666
462	38629.5986138
463	38627.8824750
464	38628.0284864
465	38628.1788737
466	38628.1677123
467	38628.1677123
468	38628.0298232
469	38627.6887292
470	38627.6778432
471	38627.5210852
472	38627.2424041
473	38626.2408940
474	38625.4667799
475	38625.9738246
476	38625.9360866
477	38625.9273778
478	38624.8978061
479	38624.8178143
480	38624.7378225
481	38623.8819964
482	38623.5332541
483	38623.0265612
484	38622.4523093
485	38621.8780575
486	38620.8773391
487	38621.5381510
488	38621.7247678
489	38621.2188289
490	38621.2768875
491	38621.3033447
492	38621.3422034
493	38621.2930097
494	38621.0156240
495	38620.6797138
496	38620.6846902
497	38620.5584129
498	38620.6831068
499	38620.4930970
500	38620.4930970
501	38620.0805757
502	38619.9705700
503	38619.5002957
504	38619.3733963
505	38618.2686249
506	38618.3287835
507	38618.3159012
508	38617.2738581
509	38617.3579350
510	38617.6820341
511	38617.8491545
512	38617.9675498
513	38617.8804620
514	38617.4885667
515	38617.2708472
516	38616.2257932
517	38614.9368932
518	38615.1728221
519	38615.1974530
520	38615.2220839
521	38614.8106159
522	38614.2227730
523	38613.1777190
524	38613.2357776
525	38613.2648068
526	38613.1227162
527	38613.0432676
528	38613.0554905
529	38613.0677133
530	38613.0657489
531	38613.2808702
532	38613.2357776
533	38612.5390749
534	38612.5254799
535	38612.5432219
536	38612.4265864
537	38612.3467559
538	38612.2669254
539	38611.6101380
540	38611.4982789
541	38611.3115511
542	38611.2835586
543	38611.2303383
544	38611.1771179
545	38609.7702210
546	38609.7812935
547	38609.8466094
548	38609.7812935
549	38609.0265323
