x	y
1	5681.6735833
2	5676.6343646
3	5672.4321567
4	5666.5875954
5	5662.5597831
6	5663.7389741
7	5663.1998787
8	5661.2190263
9	5660.1950579
10	5660.4104557
11	5660.3281574
12	5660.1757537
13	5658.8283114
14	5658.1836195
15	5658.1642666
16	5658.1449138
17	5656.9934191
18	5657.3998290
19	5657.2348205
20	5657.2909692
21	5656.7581500
22	5656.4737950
23	5655.3546428
24	5655.3750369
25	5654.7871940
26	5654.7631867
27	5654.8998815
28	5654.8525099
29	5655.3014269
30	5655.2182788
31	5654.7871940
32	5654.8821989
33	5654.7218781
34	5653.8668577
35	5654.1291243
36	5654.1418895
37	5654.2214197
38	5654.2454323
39	5654.4633957
40	5654.1340352
41	5653.7711693
42	5653.2096917
43	5653.1984433
44	5653.9821956
45	5654.9351773
46	5653.9915279
47	5653.9717352
48	5653.6550522
49	5652.9389966
50	5653.1157689
51	5652.9583495
52	5652.7847669
53	5652.1842354
54	5651.7318625
55	5651.6592893
56	5651.7350292
57	5651.5893899
58	5652.0762669
59	5651.0617700
60	5651.1544291
61	5651.3340295
62	5651.2123704
63	5650.8495798
64	5650.8392122
65	5651.2262693
66	5651.7334648
67	5651.4676107
68	5650.4704247
69	5650.4688035
70	5650.2226255
71	5650.3140462
72	5650.6823002
73	5650.2566160
74	5650.1018686
75	5649.7902877
76	5649.7638388
77	5649.8504451
78	5650.0961212
79	5650.1616968
80	5650.0811703
81	5649.5942340
82	5649.3790395
83	5649.7738377
84	5649.5957915
85	5649.6365707
86	5649.5928540
87	5649.6021890
88	5649.7148820
89	5649.6127252
90	5649.6407178
91	5649.8736431
92	5649.3184739
93	5649.1308392
94	5649.1569656
95	5649.8115758
96	5649.7715228
97	5649.7631937
98	5650.9291285
99	5650.5509930
100	5650.0404346
101	5650.1641807
102	5650.2137321
103	5649.8720871
104	5648.3136651
105	5648.1440452
106	5648.3949470
107	5648.3922860
108	5648.2182831
109	5647.9943430
110	5648.9523092
111	5649.0829409
112	5648.8998585
113	5648.5915167
114	5648.4646173
115	5648.4471997
116	5649.0601573
117	5649.4286401
118	5648.9087653
119	5648.7128176
120	5649.9608666
121	5650.3635273
122	5648.4646173
123	5648.8158716
124	5650.2034710
125	5649.8757674
126	5649.0207353
127	5648.9168441
128	5648.2735342
129	5648.0059161
130	5648.4921951
131	5648.6112152
132	5648.6564128
133	5648.9443921
134	5649.1264848
135	5648.7543823
136	5647.8508336
137	5647.5171382
138	5647.2554153
139	5647.2744169
140	5647.6624416
141	5648.4278469
142	5648.7835199
143	5648.8942506
144	5648.1988340
145	5648.2466338
146	5648.1691298
147	5648.3775295
148	5648.5417868
149	5648.4580857
150	5648.4284726
151	5648.2404007
152	5648.3330179
153	5648.3956697
154	5648.3360968
155	5649.5851474
156	5649.4966081
157	5649.3597416
158	5649.2232491
159	5649.1821243
160	5649.0054581
161	5649.0176250
162	5648.6708139
163	5647.9420903
164	5648.0557087
165	5648.1430775
166	5648.0101772
167	5648.0270067
168	5648.2372722
169	5648.2820636
170	5647.8310533
171	5647.2525952
172	5647.3048977
173	5647.8443584
174	5647.6750209
175	5647.6272162
176	5647.6974182
177	5647.0255954
178	5647.2105525
179	5647.2478759
180	5647.6247810
181	5647.6910907
182	5648.2056591
183	5648.0988484
184	5647.6957561
185	5646.1530574
186	5646.5900517
187	5647.1561226
188	5647.2030878
189	5648.5748331
190	5648.6461267
191	5647.5668209
192	5646.9275170
193	5647.0508609
194	5647.3225226
195	5646.9953211
196	5647.0073476
197	5646.6930498
198	5646.5428791
199	5646.8373189
200	5646.4872651
201	5645.9081056
202	5646.4095037
203	5646.4547545
204	5646.2961303
205	5646.0999900
206	5646.4559839
207	5646.5545148
208	5645.5094128
209	5645.9332643
210	5646.7339057
211	5646.8186572
212	5647.0655899
213	5647.4935880
214	5647.1551580
215	5646.9057451
216	5646.7838221
217	5646.0377697
218	5646.3614461
219	5646.0422526
220	5646.4524045
221	5646.9221950
222	5646.8733311
223	5647.0394325
224	5647.1608462
225	5646.9582015
226	5646.7730923
227	5647.0363768
228	5646.1599969
229	5645.5474168
230	5645.6937727
231	5645.8092301
232	5645.7097793
233	5645.3696309
234	5645.3163921
235	5645.6778066
236	5646.0467176
237	5646.4452269
238	5646.5080623
239	5647.0333453
240	5646.6588496
241	5645.5252371
242	5645.5683248
243	5646.8649308
244	5646.7253489
245	5645.9695509
246	5645.7990510
247	5645.5123398
248	5645.5385254
249	5645.7557830
250	5646.1597734
251	5646.1674287
252	5645.1080247
253	5644.8940161
254	5644.7544997
255	5645.9374113
256	5645.8260821
257	5645.4034800
258	5645.6548471
259	5646.0937604
260	5645.8881189
261	5646.1572236
262	5646.1767366
263	5645.7120141
264	5645.9474481
265	5646.2429861
266	5646.7309649
267	5646.6299669
268	5647.3841402
269	5646.7810373
270	5646.6685096
271	5647.0388238
272	5647.5044739
273	5647.1016927
274	5647.0462982
275	5647.2889315
276	5646.2620868
277	5645.9770721
278	5645.7082874
279	5645.4481262
280	5645.7590886
281	5646.1328406
282	5645.9543166
283	5645.4190314
284	5644.9838687
285	5644.9141838
286	5643.8431563
287	5643.8773301
288	5644.2192507
289	5644.4791614
290	5644.5652596
291	5644.3950801
292	5645.2858895
293	5645.3294691
294	5645.5820100
295	5645.3817080
296	5646.2332335
297	5645.6807096
298	5645.8179933
299	5645.9113114
300	5645.7881179
301	5645.8544705
302	5646.0348667
303	5646.1872705
304	5646.0733525
305	5645.9618667
306	5645.0645631
307	5644.7350808
308	5645.0520758
309	5644.9715658
310	5645.2044221
311	5645.1079049
312	5645.1900488
313	5645.0582516
314	5644.4241234
315	5644.4890619
316	5644.5706796
317	5644.1690418
318	5644.0722633
319	5644.0318466
320	5644.1420844
321	5644.2433456
322	5644.2436445
323	5644.1624783
324	5643.8576709
325	5643.9517864
326	5644.2386802
327	5643.9447588
328	5644.3681024
329	5644.2504900
330	5644.3067953
331	5644.3511686
332	5644.4672858
333	5644.7624468
334	5644.6411212
335	5644.7662873
336	5644.9142437
337	5645.3624992
338	5644.9753571
339	5644.5262033
340	5644.2048326
341	5644.2607632
342	5644.2118281
343	5644.3520873
344	5644.6153351
345	5645.2118125
346	5645.3817080
347	5644.5688882
348	5644.0260530
349	5643.9215353
350	5644.3439113
351	5645.2970393
352	5644.9898128
353	5644.8591810
354	5644.8913143
355	5644.7897526
356	5643.5638410
357	5643.3716011
358	5643.4222318
359	5643.8402534
360	5643.3815908
361	5643.3569159
362	5643.1740314
363	5643.1987148
364	5643.3278866
365	5643.3448814
366	5643.4212399
367	5643.2568649
368	5643.0958419
369	5642.9484256
370	5642.9961303
371	5643.7096216
372	5643.8121917
373	5644.2321486
374	5643.8358990
375	5643.6399513
376	5642.8934842
377	5642.8437197
378	5643.6662159
379	5643.9128265
380	5643.8141270
381	5643.5272332
382	5643.4875476
383	5643.3155492
384	5643.4682685
385	5643.5249365
386	5643.1493565
387	5642.7868864
388	5642.2092226
389	5642.5833226
390	5643.4299852
391	5643.4406046
392	5644.2702051
393	5643.8447690
394	5643.4105912
395	5642.7485455
396	5642.6871467
397	5642.0254745
398	5642.0902888
399	5643.5845318
400	5643.5426844
401	5642.7168203
402	5642.9471192
403	5643.6275102
404	5643.6370544
405	5643.7266289
406	5644.0645045
407	5643.0245306
408	5643.3438527
409	5643.2625707
410	5643.0554952
411	5642.7371408
412	5642.6384412
413	5642.6384412
414	5642.5658681
415	5642.5455476
416	5641.8023980
417	5641.7474522
418	5642.2069606
419	5642.2540861
420	5641.8275950
421	5641.9023417
422	5642.3526367
423	5642.3829836
424	5642.5078095
425	5641.4482409
426	5641.4627555
427	5641.6372986
428	5641.7274120
429	5642.7552495
430	5642.5948973
431	5642.3336338
432	5642.1660934
433	5642.0844022
434	5642.0369564
435	5642.4163381
436	5642.9650206
437	5642.9676388
438	5642.5831254
439	5642.8595752
440	5642.6645676
441	5641.8133986
442	5642.1393398
443	5642.1485722
444	5643.1037406
445	5642.6195700
446	5642.0692601
447	5641.9232436
448	5641.8933565
449	5642.1124766
450	5642.4570083
451	5642.6431067
452	5643.1464536
453	5642.7835876
454	5641.3460871
455	5641.5208141
456	5641.8546507
457	5641.7240190
458	5641.1892698
459	5642.0798435
460	5642.1222372
461	5641.8234455
462	5641.5208141
463	5641.2401977
464	5641.4288574
465	5641.6820302
466	5641.8152539
467	5641.7101955
468	5641.6618134
469	5640.9415171
470	5641.0273163
471	5641.3369620
472	5641.2299935
473	5641.5225734
474	5641.3079327
475	5641.2862702
476	5640.9046235
477	5641.0156451
478	5641.4603509
479	5641.6260452
480	5641.7108635
481	5641.6825486
482	5641.5448669
483	5641.3797623
484	5641.7955560
485	5641.5498433
486	5641.4005499
487	5641.4944238
488	5641.6369312
489	5641.7607015
490	5641.9101802
491	5641.1772285
492	5641.2167324
493	5641.4032616
494	5641.5868557
495	5641.7472424
496	5641.7671231
497	5641.2401977
498	5641.3787779
499	5641.4541158
500	5641.5294537
501	5641.4498258
502	5641.2014920
503	5641.0055444
504	5641.0567655
505	5640.5549685
506	5641.0447339
507	5641.7027309
508	5641.8061304
509	5641.2574770
510	5641.1434334
511	5641.1234523
512	5641.2001097
513	5641.0895219
514	5641.3408325
515	5641.5635129
516	5641.7750402
517	5641.6369312
518	5640.9378094
519	5641.7983201
520	5641.9455400
521	5641.9154279
522	5641.6120489
523	5641.1997597
524	5641.1607756
525	5641.0946115
526	5640.4177015
527	5640.4503594
528	5640.7169421
529	5640.6276454
530	5640.9788242
531	5641.0708602
532	5641.0819190
533	5641.2416521
534	5641.8761504
535	5641.8807771
536	5641.9698002
537	5641.4627555
538	5640.8056810
539	5640.8811176
540	5641.3305845
541	5641.1963218
542	5640.3719654
543	5640.3939503
544	5640.4759272
545	5640.6707193
546	5641.1208031
547	5641.2014920
548	5641.2624904
549	5641.3491266
550	5641.2761387
551	5640.7073031
552	5640.3704506
553	5640.2680401
554	5640.4102368
555	5641.1782686
556	5642.0385028
557	5641.3030945
558	5641.2180802
559	5641.5139023
560	5642.0336646
561	5643.2916000
562	5642.4048875
563	5642.2465460
564	5641.5560639
565	5641.2761387
566	5641.5279850
567	5640.9877310
568	5640.0487878
569	5640.0620928
570	5640.6717077
571	5641.2764843
572	5640.2338494
573	5640.0857379
574	5640.4060898
575	5640.8337878
576	5640.8524059
577	5640.4293132
578	5640.4830174
579	5640.9374726
580	5641.5450051
581	5641.5567332
582	5640.7747616
583	5640.5273880
584	5640.3263144
585	5640.6733796
586	5640.7566401
587	5640.7486353
588	5640.7449406
589	5640.7162884
590	5640.7948722
591	5641.0114822
592	5640.7453176
593	5639.8854981
594	5640.2144966
595	5639.9604904
596	5639.5032793
597	5639.9884829
598	5640.2186436
599	5640.4467308
600	5641.1047277
601	5640.9726261
602	5641.1071214
603	5641.0750178
604	5640.8357231
605	5641.0796243
606	5641.1361761
607	5641.1231129
608	5641.2537447
609	5641.6059666
610	5641.6867219
611	5641.0034818
612	5641.0643669
613	5640.7048042
614	5640.3007277
615	5640.6449866
616	5639.4050889
617	5639.3465211
618	5639.8903363
619	5640.2544118
620	5641.6532678
621	5641.5650837
622	5641.4714643
623	5641.5411345
624	5641.4385644
625	5641.4395321
626	5641.4852532
627	5641.8212671
628	5640.5047893
629	5641.1419637
630	5641.1221208
631	5641.0490883
632	5640.5090661
633	5640.6644504
634	5641.1289188
635	5640.9913452
636	5641.0919574
637	5641.1884839
638	5641.1165814
639	5640.9985510
640	5641.1173071
641	5641.9436739
642	5641.9201563
643	5641.9114657
644	5641.1617677
645	5640.8981360
646	5640.9677183
647	5640.4641483
648	5640.6043183
649	5640.7314942
650	5640.7871650
651	5640.8698545
652	5641.0092111
653	5641.0045828
654	5640.6326815
655	5641.0141212
656	5640.9172470
657	5640.7273471
658	5640.6596121
659	5640.4660836
660	5640.1252994
661	5640.1709526
662	5640.0376819
663	5640.2217539
664	5640.6789650
665	5640.5487038
666	5640.5628479
667	5640.5127064
668	5640.1172485
669	5640.4747924
670	5640.4767277
671	5640.5593045
672	5640.7501824
673	5640.5264656
674	5640.0392552
675	5641.0326384
676	5640.9438572
677	5640.7858455
678	5640.4902746
679	5640.4177015
680	5640.8535056
681	5640.7312177
682	5640.7660528
683	5640.9865284
684	5641.6020960
685	5641.4143734
686	5641.4095352
687	5641.2119646
688	5640.9859850
689	5640.8567693
690	5641.2537447
691	5641.2388154
692	5639.9474272
693	5640.9617204
694	5642.4181493
695	5640.9588902
696	5641.1623025
697	5641.4627555
698	5641.5768776
699	5641.1713462
700	5641.3093841
701	5641.3127709
702	5640.9334550
703	5641.1185512
704	5642.1884874
705	5642.0357955
706	5642.2465460
707	5642.3433103
708	5641.3888628
709	5641.5590105
710	5641.5081377
711	5640.8780229
712	5640.9692578
713	5641.6120489
714	5642.3856030
715	5642.3744219
716	5642.1718993
717	5641.8546508
718	5641.6369312
719	5641.5933872
720	5641.7127197
721	5641.5150082
722	5641.3974396
723	5640.9196661
724	5641.1115012
725	5641.0382023
726	5641.4978325
727	5641.6369312
728	5641.6946856
729	5641.6445709
730	5641.6721096
731	5641.6812008
732	5641.1816113
733	5642.6065090
734	5643.3699790
735	5643.9091319
736	5643.5677080
737	5642.3732192
738	5641.8965961
739	5642.2156561
740	5642.4100085
741	5642.2093622
742	5641.7917540
743	5641.8285244
744	5642.7214504
745	5642.2146138
746	5641.9546215
747	5641.8285244
748	5641.9852825
749	5641.7240190
750	5641.7653857
751	5642.2501747
752	5642.1485722
753	5641.7573670
754	5641.6209651
755	5641.7150683
756	5641.8032463
757	5641.9412673
758	5642.2774649
759	5642.5078095
760	5642.4981331
761	5642.5755445
762	5643.0116748
763	5643.1935625
764	5642.5269909
765	5642.2813811
766	5642.0375352
767	5641.4760606
768	5642.4497509
769	5642.6522210
770	5641.9852825
771	5641.9255651
772	5641.7834599
773	5641.7907605
774	5641.9489959
775	5642.0572465
776	5642.4009290
777	5641.3567436
778	5641.0288730
779	5641.4838272
780	5642.2030021
781	5642.3478088
782	5642.1825939
783	5642.0897879
784	5641.7501453
785	5641.6020451
786	5641.4288880
787	5641.3588491
788	5641.7126314
789	5641.8594359
790	5641.6087951
791	5641.5520764
