x	y
1	32911.9806269
2	32909.7955140
3	32906.3507064
4	32905.0927710
5	32904.4396122
6	32902.8623548
7	32902.3059603
8	32901.3044502
9	32899.4407706
10	32899.0837105
11	32899.3924765
12	32899.1623801
13	32898.5986310
14	32898.7353592
15	32898.8551049
16	32898.9107444
17	32898.8224470
18	32898.8224470
19	32898.8224470
20	32898.3579786
21	32898.2999200
22	32898.2999200
23	32898.2128322
24	32898.1099102
25	32898.1809000
26	32898.3652359
27	32898.3652359
28	32898.5611835
29	32898.4884265
30	32898.3436477
31	32898.2999200
32	32897.4871002
33	32897.5814454
34	32897.7773930
35	32897.7773930
36	32897.9080247
37	32898.2937385
38	32898.0249058
39	32898.0149053
40	32897.9381398
41	32897.8488804
42	32897.5573762
43	32898.1692882
44	32898.2999200
45	32898.2227535
46	32898.2524175
47	32898.1865951
48	32898.1778602
49	32898.1506266
50	32898.0523575
51	32898.0059986
52	32897.4442820
53	32897.2018876
54	32898.0822004
55	32898.0386565
56	32897.9515687
57	32897.9515687
58	32897.7244790
59	32897.7773930
60	32897.8638877
61	32897.6903052
62	32897.6322466
63	32897.5741881
64	32897.4911908
65	32897.1723617
66	32896.5693676
67	32897.2548660
68	32897.2073635
69	32897.0067976
70	32896.8062317
71	32897.1242342
72	32897.2548660
73	32896.9065147
74	32896.3523194
75	32896.3942333
76	32897.0589022
77	32896.8774854
78	32896.6452512
79	32896.6452512
80	32896.5690493
81	32896.4034159
82	32896.6278336
83	32897.5490293
84	32897.6625661
85	32897.6417434
86	32897.4485742
87	32897.2066495
88	32897.3162052
89	32897.4257610
90	32897.5683822
91	32897.7251403
92	32897.7193344
93	32897.7027463
94	32897.7138051
95	32897.7248638
96	32897.6280996
97	32897.6612759
98	32897.6612759
99	32897.6080555
100	32897.8248955
101	32897.8644808
102	32897.6903052
103	32897.6322466
104	32897.8354516
105	32897.8664161
106	32897.8973807
107	32898.1692882
108	32898.1075551
109	32898.0169854
110	32898.2693384
111	32898.5993718
112	32898.8224470
113	32898.9269524
114	32898.7701943
115	32899.5082637
116	32899.6435609
117	32899.8675010
118	32899.6933253
119	32899.6933253
120	32899.7695272
121	32899.8675010
122	32900.1810172
123	32900.1113469
124	32899.5617259
125	32899.5191497
126	32899.4756057
127	32899.1490264
128	32898.1249175
129	32898.2346041
130	32900.1287645
131	32900.0910264
132	32898.7034270
133	32898.9344171
134	32899.7555309
135	32899.7810431
136	32899.9194643
137	32900.0634486
138	32900.0634486
139	32900.0997352
140	32899.9387881
141	32899.8675010
142	32899.5191497
143	32899.6299887
144	32900.5026710
145	32900.7166074
146	32900.7164344
147	32900.7964379
148	32901.0431868
149	32900.9125550
150	32900.6459051
151	32900.5351744
152	32900.5206597
153	32900.5325354
154	32900.5177568
155	32900.4771158
156	32900.6186336
157	32900.7100758
158	32900.7259382
159	32900.9277608
160	32900.9706136
161	32901.0431868
162	32901.1883331
163	32900.4190573
164	32900.3900280
165	32900.4480866
166	32900.6416151
167	32900.8351436
168	32901.0415740
169	32900.9996428
170	32901.1738185
171	32901.6963455
172	32901.6059505
173	32901.4431056
174	32901.6092577
175	32901.5765940
176	32901.6275919
177	32901.9576090
178	32902.1535566
179	32902.1683629
180	32902.1898432
181	32902.4994889
182	32902.4801360
183	32902.4969762
184	32902.4470437
185	32902.4038296
186	32902.2188725
187	32902.1815491
188	32902.3271710
189	32902.0322557
190	32902.0229249
191	32902.1317847
192	32902.4054893
193	32903.4616021
194	32903.3945582
195	32903.3292424
196	32903.4206846
197	32903.4598741
198	32903.3684319
199	32903.1926728
200	32903.1986106
201	32903.0365611
202	32903.1519564
203	32903.4356139
204	32903.2929558
205	32903.3242181
206	32903.5251900
207	32903.5251900
208	32903.6296954
209	32904.2180221
210	32904.4568706
211	32904.3463039
