x	y
1	3.0200841
2	3.0200870
3	3.0200829
4	3.0200680
5	3.0200624
6	3.0199875
7	3.0199840
8	3.0199753
9	3.0199896
10	3.0200015
11	3.0200135
12	3.0200018
13	3.0199923
14	3.0198876
15	3.0199393
16	3.0199507
17	3.0199383
18	3.0199141
19	3.0198873
20	3.0198751
21	3.0199317
22	3.0199187
23	3.0199121
24	3.0199187
25	3.0198888
26	3.0198874
27	3.0198860
28	3.0198259
29	3.0197358
30	3.0192655
31	3.0194223
32	3.0215646
33	3.0238637
34	3.0272602
35	3.0342620
36	3.0469594
37	3.0656659
38	3.0941436
39	3.1383494
40	3.1936328
41	3.2630766
42	3.3485620
43	3.4485214
44	3.5727784
45	3.6965128
46	3.8257337
47	3.9556339
48	4.0957756
49	4.2166361
50	4.3302335
51	4.4352092
52	4.5305181
53	4.6235279
54	4.6978835
55	4.7614750
56	4.8217747
57	4.8679660
58	4.9067375
59	4.9391865
60	4.9665146
61	4.9918049
62	5.0100411
63	5.0259782
64	5.0383098
65	5.0490216
66	5.0579046
67	5.0645407
68	5.0705498
69	5.0765588
70	5.0800597
71	5.0837697
72	5.0864346
73	5.0897265
74	5.0922869
75	5.0942202
76	5.0963887
77	5.0983351
78	5.1002228
79	5.1019504
80	5.1035560
81	5.1050235
82	5.1065048
83	5.1077302
84	5.1089555
85	5.1104108
86	5.1115114
87	5.1124019
88	5.1132925
89	5.1143453
90	5.1149646
91	5.1156700
92	5.1163754
93	5.1168195
94	5.1172114
95	5.1176836
96	5.1180663
97	5.1181938
98	5.1182549
99	5.1183161
100	5.1183374
101	5.1182957
102	5.1182042
103	5.1179430
104	5.1175859
105	5.1173878
106	5.1168979
107	5.1163134
108	5.1159574
109	5.1151474
110	5.1143375
111	5.1136844
112	5.1128379
113	5.1119914
114	5.1111501
115	5.1100789
116	5.1090208
117	5.1077798
118	5.1066041
119	5.1054807
120	5.1044095
121	5.1029595
122	5.1016009
123	5.1001574
124	5.0989132
125	5.0976689
