x	y
1	0.0079465
2	0.0079467
3	0.0079478
4	0.0079479
5	0.0079478
6	0.0079492
7	0.0079490
8	0.0079490
9	0.0079489
10	0.0079493
11	0.0079491
12	0.0079489
13	0.0079490
14	0.0079502
15	0.0079497
16	0.0079495
17	0.0079490
18	0.0079493
19	0.0079497
20	0.0079498
21	0.0079492
22	0.0079494
23	0.0079484
24	0.0079478
25	0.0079482
26	0.0079484
27	0.0079493
28	0.0079493
29	0.0079477
30	0.0079386
31	0.0079100
32	0.0078574
33	0.0077748
34	0.0077399
35	0.0077145
36	0.0077107
37	0.0077285
38	0.0077342
39	0.0077507
40	0.0077552
41	0.0077647
42	0.0078764
43	0.0078916
44	0.0077628
45	0.0077856
46	0.0078224
47	0.0080065
48	0.0079062
49	0.0079284
50	0.0078999
51	0.0079424
52	0.0078339
53	0.0076358
54	0.0075406
55	0.0074613
56	0.0073756
57	0.0073128
58	0.0072709
59	0.0072664
60	0.0072213
61	0.0071496
62	0.0071249
63	0.0070938
64	0.0070969
65	0.0070735
66	0.0070424
67	0.0070347
68	0.0070138
69	0.0069928
70	0.0069827
71	0.0069725
72	0.0069659
73	0.0069467
74	0.0069355
75	0.0069262
76	0.0069170
77	0.0069054
78	0.0068917
79	0.0068799
80	0.0068703
81	0.0068565
82	0.0068449
83	0.0068351
84	0.0068264
85	0.0068087
86	0.0067954
87	0.0067865
88	0.0067760
89	0.0067625
90	0.0067535
91	0.0067424
92	0.0067304
93	0.0067234
94	0.0067106
95	0.0067040
96	0.0066898
97	0.0066813
98	0.0066714
99	0.0066652
100	0.0066559
101	0.0066453
102	0.0066378
103	0.0066350
104	0.0066265
105	0.0066143
106	0.0066082
107	0.0066039
108	0.0065923
109	0.0065897
110	0.0065871
111	0.0065792
112	0.0065729
113	0.0065678
114	0.0065657
115	0.0065603
116	0.0065537
117	0.0065506
118	0.0065530
119	0.0065456
120	0.0065412
121	0.0065414
122	0.0065325
123	0.0065314
124	0.0065271
125	0.0065212
126	0.0065184
127	0.0065185
128	0.0065169
129	0.0065146
130	0.0065119
131	0.0065089
132	0.0065060
133	0.0064955
134	0.0064970
135	0.0065003
136	0.0064984
137	0.0064949
