x	y
1	-0.4152263
2	-0.4152354
3	-0.4152919
4	-0.4152969
5	-0.4152917
6	-0.4153665
7	-0.4153555
8	-0.4153593
9	-0.4153527
10	-0.4153734
11	-0.4153645
12	-0.4153491
13	-0.4153551
14	-0.4154215
15	-0.4153955
16	-0.4153843
17	-0.4153560
18	-0.4153716
19	-0.4153929
20	-0.4154001
21	-0.4153683
22	-0.4153751
23	-0.4153232
24	-0.4152940
25	-0.4153163
26	-0.4153229
27	-0.4153718
28	-0.4153719
29	-0.4152885
30	-0.4148131
31	-0.4133206
32	-0.4105678
33	-0.4062562
34	-0.4044320
35	-0.4031054
36	-0.4029064
37	-0.4038350
38	-0.4041335
39	-0.4049959
40	-0.4052280
41	-0.4057255
42	-0.4115628
43	-0.4123588
44	-0.4056260
45	-0.4068200
46	-0.4087437
47	-0.4183619
48	-0.4131216
49	-0.4142825
50	-0.4127900
51	-0.4150121
52	-0.4093407
53	-0.3989927
54	-0.3940177
55	-0.3898719
56	-0.3853945
57	-0.3821110
58	-0.3799220
59	-0.3796898
60	-0.3773350
61	-0.3735872
62	-0.3722937
63	-0.3706685
64	-0.3708344
65	-0.3696072
66	-0.3679821
67	-0.3675841
68	-0.3664896
69	-0.3653951
70	-0.3648644
71	-0.3643338
72	-0.3639855
73	-0.3629822
74	-0.3624006
75	-0.3619126
76	-0.3614317
77	-0.3608264
78	-0.3601098
79	-0.3594947
80	-0.3589912
81	-0.3582726
82	-0.3576640
83	-0.3571516
84	-0.3566956
85	-0.3557735
86	-0.3550766
87	-0.3546108
88	-0.3540622
89	-0.3533574
90	-0.3528880
91	-0.3523069
92	-0.3516807
93	-0.3513159
94	-0.3506471
95	-0.3503031
96	-0.3495615
97	-0.3491170
98	-0.3485991
99	-0.3482765
100	-0.3477904
101	-0.3472364
102	-0.3468426
103	-0.3466975
104	-0.3462525
105	-0.3456154
106	-0.3452962
107	-0.3450702
108	-0.3444670
109	-0.3443301
110	-0.3441931
111	-0.3437816
112	-0.3434529
113	-0.3431868
114	-0.3430740
115	-0.3427921
116	-0.3424478
117	-0.3422889
118	-0.3424107
119	-0.3420232
120	-0.3417941
121	-0.3418054
122	-0.3413411
123	-0.3412855
124	-0.3410571
125	-0.3407524
126	-0.3406031
127	-0.3406114
128	-0.3405257
129	-0.3404041
130	-0.3402632
131	-0.3401098
132	-0.3399564
133	-0.3394091
134	-0.3394838
135	-0.3396579
136	-0.3395584
137	-0.3393760
138	-0.3391024
139	-0.3390277
140	-0.3389780
141	-0.3388619
142	-0.3386728
143	-0.3386845
144	-0.3384639
145	-0.3385717
146	-0.3385993
147	-0.3384639
148	-0.3383147
149	-0.3381654
150	-0.3381820
151	-0.3380659
152	-0.3378835
153	-0.3378337
154	-0.3379001
155	-0.3377342
156	-0.3378172
157	-0.3377508
158	-0.3378006
159	-0.3377674
160	-0.3376845
161	-0.3376182
162	-0.3378669
163	-0.3374026
164	-0.3376347
165	-0.3373528
166	-0.3371372
167	-0.3376513
168	-0.3376762
169	-0.3374357
170	-0.3369382
171	-0.3372036
172	-0.3372533
173	-0.3372367
174	-0.3366563
175	-0.3366729
176	-0.3372367
177	-0.3365402
178	-0.3364407
179	-0.3364076
180	-0.3363744
181	-0.3363081
182	-0.3351804
183	-0.3355121
184	-0.3353131
185	-0.3352799
186	-0.3341854
187	-0.3336879
188	-0.3337211
189	-0.3330578
190	-0.3316979
191	-0.3319633
192	-0.3310014
193	-0.3295421
194	-0.3281491
195	-0.3267893
196	-0.3262255
197	-0.3249651
198	-0.3230083
199	-0.3213168
200	-0.3194595
201	-0.3177680
202	-0.3149489
203	-0.3133900
204	-0.3110352
205	-0.3084814
206	-0.3028763
207	-0.2997918
208	-0.2967736
209	-0.2913675
210	-0.2847674
211	-0.2752486
212	-0.2684163
213	-0.2586654
214	-0.2476541
215	-0.2355483
216	-0.2230114
217	-0.2116021
218	-0.1946209
219	-0.1860971
220	-0.1808900
221	-0.1738918
222	-0.1696465
223	-0.1626816
224	-0.1672254
225	-0.1686184
226	-0.1720345
227	-0.1771090
228	-0.1843393
229	-0.1925314
230	-0.1994300
231	-0.2136916
232	-0.2240396
233	-0.2346197
234	-0.2437073
235	-0.2554482
236	-0.2645027
237	-0.2722968
238	-0.2788306
239	-0.2842367
240	-0.2910027
241	-0.2955133
242	-0.2996591
243	-0.3028763
244	-0.3067236
245	-0.3094764
246	-0.3120966
247	-0.3137880
248	-0.3157449
249	-0.3175690
250	-0.3190283
251	-0.3208857
252	-0.3223782
253	-0.3237214
254	-0.3252139
255	-0.3263830
256	-0.3276019
257	-0.3290790
258	-0.3307857
259	-0.3319599
260	-0.3338538
261	-0.3359764
262	-0.3383457
263	-0.3405441
264	-0.3427875
265	-0.3445062
266	-0.3463605
267	-0.3480671
268	-0.3494262
269	-0.3508184
270	-0.3522031
271	-0.3534662
272	-0.3548592
273	-0.3558827
274	-0.3568381
275	-0.3574517
276	-0.3585978
277	-0.3594260
278	-0.3599273
279	-0.3606854
280	-0.3612566
281	-0.3618414
282	-0.3623537
283	-0.3628318
284	-0.3633321
285	-0.3638141
286	-0.3640187
287	-0.3646193
288	-0.3651060
289	-0.3653702
290	-0.3657765
291	-0.3662234
292	-0.3665393
293	-0.3669871
294	-0.3672131
295	-0.3676098
296	-0.3679380
297	-0.3682426
298	-0.3684961
299	-0.3688809
300	-0.3691390
301	-0.3693622
302	-0.3696371
303	-0.3697786
304	-0.3700840
305	-0.3704040
306	-0.3705525
307	-0.3705525
308	-0.3709438
309	-0.3710444
310	-0.3713417
311	-0.3715324
312	-0.3717365
313	-0.3718384
314	-0.3721599
315	-0.3721803
316	-0.3722550
317	-0.3724896
318	-0.3727353
319	-0.3728776
320	-0.3730384
321	-0.3731920
322	-0.3733985
323	-0.3734674
324	-0.3736735
325	-0.3738346
326	-0.3739079
327	-0.3740936
328	-0.3742969
329	-0.3744137
330	-0.3744523
331	-0.3746274
332	-0.3747563
333	-0.3748113
334	-0.3747729
335	-0.3750224
336	-0.3751453
337	-0.3752286
338	-0.3752828
339	-0.3754041
340	-0.3755078
341	-0.3755473
342	-0.3757273
343	-0.3757604
344	-0.3757537
345	-0.3759563
346	-0.3759587
347	-0.3759738
348	-0.3761219
349	-0.3761141
350	-0.3761442
351	-0.3762134
352	-0.3762308
353	-0.3763419
354	-0.3763898
355	-0.3763583
356	-0.3763732
357	-0.3763756
358	-0.3764623
359	-0.3765724
360	-0.3766160
361	-0.3766341
362	-0.3766662
363	-0.3766736
364	-0.3766778
365	-0.3766983
366	-0.3768001
367	-0.3768569
368	-0.3768848
369	-0.3768786
370	-0.3768586
371	-0.3768747
372	-0.3769073
373	-0.3768897
374	-0.3768652
375	-0.3768879
376	-0.3768834
377	-0.3768790
378	-0.3768776
379	-0.3769020
380	-0.3769475
381	-0.3769427
382	-0.3769536
383	-0.3769696
384	-0.3769670
385	-0.3769992
386	-0.3770319
387	-0.3770125
388	-0.3769939
389	-0.3770007
390	-0.3770599
391	-0.3770767
392	-0.3770673
393	-0.3770655
394	-0.3770682
395	-0.3771218
396	-0.3771630
397	-0.3771747
398	-0.3771692
399	-0.3771581
400	-0.3771581
401	-0.3771440
402	-0.3771379
403	-0.3771456
404	-0.3771485
405	-0.3771544
406	-0.3771379
407	-0.3771408
408	-0.3772263
409	-0.3772898
410	-0.3772950
411	-0.3772826
412	-0.3772902
413	-0.3772872
414	-0.3772763
415	-0.3771858
416	-0.3771913
417	-0.3772189
418	-0.3772546
419	-0.3772245
420	-0.3771484
421	-0.3771958
422	-0.3771963
423	-0.3772008
424	-0.3772172
425	-0.3771735
426	-0.3771637
427	-0.3771795
428	-0.3772306
429	-0.3772350
430	-0.3772497
431	-0.3772426
432	-0.3772023
433	-0.3772023
434	-0.3771935
435	-0.3771847
436	-0.3771684
437	-0.3772042
438	-0.3772060
439	-0.3772052
440	-0.3772098
441	-0.3772116
442	-0.3772052
443	-0.3771928
444	-0.3771832
445	-0.3771759
446	-0.3771702
447	-0.3771937
448	-0.3771977
449	-0.3772008
450	-0.3771856
451	-0.3772079
452	-0.3772168
453	-0.3772310
454	-0.3771817
455	-0.3771837
456	-0.3771684
457	-0.3771590
458	-0.3771621
459	-0.3771230
460	-0.3771046
461	-0.3771220
462	-0.3772155
463	-0.3772107
464	-0.3771933
465	-0.3771659
466	-0.3771663
467	-0.3771563
468	-0.3771578
469	-0.3771590
470	-0.3771790
471	-0.3771896
472	-0.3770440
473	-0.3770431
474	-0.3771109
475	-0.3771471
476	-0.3771524
477	-0.3771460
478	-0.3771385
479	-0.3771194
480	-0.3771164
481	-0.3771236
482	-0.3770973
483	-0.3770780
484	-0.3770507
485	-0.3770862
486	-0.3770979
487	-0.3771045
488	-0.3770954
489	-0.3770987
490	-0.3770925
491	-0.3770755
492	-0.3770780
493	-0.3771277
494	-0.3771594
495	-0.3771424
496	-0.3771390
497	-0.3770264
498	-0.3770668
499	-0.3770976
500	-0.3771287
501	-0.3771402
502	-0.3771342
503	-0.3771227
