x	y
1	30200.8413703
2	30200.8703996
3	30200.8289292
4	30200.6796358
5	30200.6236508
6	30199.8746954
7	30199.8398602
8	30199.7527724
9	30199.8958453
10	30200.0152800
11	30200.1347148
12	30200.0179945
13	30199.9229895
14	30198.8762932
15	30199.3929622
16	30199.5070421
17	30199.3826491
18	30199.1412284
19	30198.8731853
20	30198.7512623
21	30199.3173333
22	30199.1867015
23	30199.1213856
24	30199.1867015
25	30198.8881146
26	30198.8742912
27	30198.8604677
28	30198.2588705
29	30197.3578570
30	30192.6551140
31	30194.2226950
32	30215.6463020
33	30238.6374900
34	30272.6017450
35	30342.6203630
36	30469.5944240
37	30656.6590900
38	30941.4363050
39	31383.4941470
40	31936.3277130
41	32630.7660960
42	33485.6202680
43	34485.2144190
44	35727.7836250
45	36965.1275610
46	38257.3368320
47	39556.3389540
48	40957.7563680
49	42166.3613190
50	43302.3350170
51	44352.0917600
52	45305.1810080
53	46235.2790680
54	46978.8349890
55	47614.7503480
56	48217.7465060
57	48679.6603740
58	49067.3754080
59	49391.8646750
60	49665.1462960
61	49918.0493640
62	50100.4112870
63	50259.7820220
64	50383.0983940
65	50490.2164290
66	50579.0460190
67	50645.4069480
68	50705.4975530
69	50765.5881580
70	50800.5974670
71	50837.6968840
72	50864.3457610
73	50897.2649620
74	50922.8687850
75	50942.2022840
76	50963.8871545
77	50983.3512852
78	51002.2275731
79	51019.5036221
80	51035.5604413
81	51050.2347412
82	51065.0483817
83	51077.3016398
84	51089.5548980
85	51104.1082426
86	51115.1135643
87	51124.0191017
88	51132.9246390
89	51143.4525904
90	51149.6455030
91	51156.6996175
92	51163.7537320
93	51168.1952115
94	51172.1141640
95	51176.8362599
96	51180.6627516
97	51181.9376716
98	51182.5492217
99	51183.1607718
100	51183.3738982
101	51182.9565992
102	51182.0421770
103	51179.4295420
104	51175.8589408
105	51173.8776926
106	51168.9790020
107	51163.1344407
108	51159.5735160
109	51151.4743475
110	51143.3751790
111	51136.8435915
112	51128.3786541
113	51119.9137167
114	51111.5010320
115	51100.7892285
116	51090.2080567
117	51077.7980405
118	51066.0411830
119	51054.8068525
120	51044.0950490
121	51029.5949247
122	51016.0092227
123	51001.5744144
124	50989.1317402
125	50976.6890660
126	50959.4456750
127	50941.6797570
128	50925.3943322
129	50909.5443465
130	50891.9090602
131	50874.4697216
132	50857.0303830
133	50839.0032015
134	50820.9760200
135	50800.0749400
136	50779.1738600
137	50758.2727800
138	50739.7230715
139	50721.1733630
140	50697.9209115
141	50676.4973045
142	50656.2232569
143	50634.0942385
144	50611.9652200
145	50586.7532922
146	50562.8041381
147	50539.5952305
148	50518.0409918
149	50496.4867530
150	50469.3153490
151	50445.8016340
152	50422.8104460
153	50397.7291500
154	50368.4676380
155	50347.0440310
156	50321.1789445
157	50295.3138580
158	50267.6199270
159	50240.4485230
160	50214.5834365
161	50188.7183500
162	50157.8892570
163	50131.7629070
164	50104.5915030
165	50076.3750450
166	50047.1135330
167	50014.9781225
168	49983.7571342
169	49952.5361460
170	49921.7070530
171	49889.8329060
172	49854.8235970
173	49820.8593420
174	49785.0662425
175	49749.2731430
176	49703.8132940
177	49671.9391470
178	49631.1820410
179	49578.4068140
180	49537.1271810
181	49488.0096430
182	49439.4146320
183	49380.8916080
184	49321.3235300
185	49259.6653440
186	49197.4846310
187	49123.2857970
188	49046.4743280
189	48966.5276970
190	48881.3557960
191	48778.9405040
192	48683.8405900
193	48582.9928790
194	48469.0819930
195	48348.3782560
196	48213.5662900
197	48076.6642160
198	47932.9692910
199	47766.2831780
200	47606.3899160
201	47435.0010600
202	47247.9363940
203	47054.0788770
204	46851.3384010
205	46641.2825470
206	46430.1816390
207	46192.9543810
208	45931.6908810
209	45676.6977050
210	45404.9836650
211	45124.3866660
212	44789.4468590
213	44467.0477000
214	44131.0628390
215	43720.8791440
216	43335.2542180
217	42901.5568080
218	42442.2555750
219	41931.2241690
220	41341.8137130
221	40751.8807300
222	40140.0016130
223	39500.9510920
224	38762.6204410
225	38096.3985160
226	37422.3386860
227	36685.5756160
228	36038.1646630
229	35413.2223710
230	34821.1992800
231	34212.4553250
232	33701.9464460
233	33243.6902670
234	32826.7137210
235	32429.0706740
236	32107.1940420
237	31830.7772590
238	31585.1895690
239	31380.8815120
240	31184.9338870
241	31017.7252470
242	30887.0934970
243	30762.2095440
244	30649.8662390
245	30557.3789600
246	30467.5043160
247	30395.9181170
248	30329.5571880
249	30265.2863670
250	30211.4660860
251	30157.6458050
252	30109.5733210
253	30068.0324245
254	30026.4915280
255	29993.5723270
256	29961.4369165
257	29929.3015060
258	29897.9498860
259	29878.0938600
260	29851.9675100
261	29831.0664300
262	29810.9817984
263	29794.1139737
264	29779.1484739
265	29765.6566634
266	29752.6404342
267	29740.1232591
268	29729.4231921
269	29720.0294425
270	29710.7545883
271	29702.3506123
272	29692.6838628
273	29685.3104263
274	29679.0110730
275	29677.4434920
276	29669.0830600
277	29663.5965265
278	29658.5578733
279	29654.9748310
280	29650.6784979
281	29646.6918104
282	29643.8450059
283	29641.3891290
284	29637.3134184
285	29635.2058928
286	29634.2043827
287	29631.8613141
288	29630.3322609
289	29629.2403763
290	29627.8034270
291	29626.5493622
292	29625.7133190
293	29624.2763697
