x	y
1	-0.0000377
2	-0.0000377
3	-0.0000377
4	-0.0000377
5	-0.0000377
6	-0.0000377
7	-0.0000377
8	-0.0000377
9	-0.0000377
10	-0.0000377
11	-0.0000377
12	-0.0000377
13	-0.0000377
14	-0.0000377
15	-0.0000377
16	-0.0000377
17	-0.0000377
18	-0.0000377
19	-0.0000377
20	-0.0000377
21	-0.0000377
22	-0.0000377
23	-0.0000377
24	-0.0000377
25	-0.0000377
26	-0.0000377
27	-0.0000377
28	-0.0000377
29	-0.0000377
30	-0.0000373
31	-0.0000366
32	-0.0000356
33	-0.0000349
34	-0.0000346
35	-0.0000346
36	-0.0000347
37	-0.0000351
38	-0.0000352
39	-0.0000355
40	-0.0000358
41	-0.0000368
42	-0.0000366
43	-0.0000369
44	-0.0000371
45	-0.0000384
46	-0.0000379
47	-0.0000380
48	-0.0000382
49	-0.0000389
50	-0.0000380
51	-0.0000377
52	-0.0000373
53	-0.0000373
54	-0.0000365
55	-0.0000361
56	-0.0000359
57	-0.0000357
58	-0.0000354
59	-0.0000353
60	-0.0000353
61	-0.0000351
62	-0.0000349
63	-0.0000348
64	-0.0000348
65	-0.0000347
66	-0.0000346
67	-0.0000345
68	-0.0000344
69	-0.0000344
70	-0.0000343
71	-0.0000343
72	-0.0000342
73	-0.0000342
74	-0.0000342
75	-0.0000341
76	-0.0000341
77	-0.0000340
78	-0.0000340
79	-0.0000340
80	-0.0000339
81	-0.0000338
82	-0.0000338
83	-0.0000338
84	-0.0000337
85	-0.0000337
86	-0.0000336
87	-0.0000336
88	-0.0000335
89	-0.0000335
90	-0.0000334
91	-0.0000334
92	-0.0000333
93	-0.0000333
94	-0.0000332
95	-0.0000332
96	-0.0000332
97	-0.0000331
98	-0.0000331
99	-0.0000331
100	-0.0000330
101	-0.0000330
102	-0.0000330
103	-0.0000330
104	-0.0000329
105	-0.0000329
106	-0.0000329
107	-0.0000329
108	-0.0000328
109	-0.0000328
110	-0.0000328
111	-0.0000328
112	-0.0000327
113	-0.0000327
114	-0.0000327
115	-0.0000327
116	-0.0000327
117	-0.0000327
118	-0.0000327
119	-0.0000327
120	-0.0000327
121	-0.0000327
122	-0.0000326
123	-0.0000326
124	-0.0000326
125	-0.0000326
126	-0.0000326
127	-0.0000326
128	-0.0000326
129	-0.0000326
130	-0.0000326
131	-0.0000326
132	-0.0000326
133	-0.0000326
134	-0.0000326
135	-0.0000326
136	-0.0000326
137	-0.0000326
138	-0.0000326
139	-0.0000326
140	-0.0000325
141	-0.0000325
142	-0.0000325
143	-0.0000325
144	-0.0000325
145	-0.0000325
146	-0.0000325
147	-0.0000325
148	-0.0000325
149	-0.0000325
150	-0.0000325
151	-0.0000325
152	-0.0000325
153	-0.0000325
154	-0.0000325
155	-0.0000325
156	-0.0000325
157	-0.0000325
158	-0.0000325
159	-0.0000324
160	-0.0000325
161	-0.0000325
162	-0.0000325
163	-0.0000325
164	-0.0000325
165	-0.0000325
166	-0.0000324
167	-0.0000324
168	-0.0000324
169	-0.0000325
170	-0.0000324
171	-0.0000324
172	-0.0000325
173	-0.0000324
174	-0.0000324
175	-0.0000324
176	-0.0000324
177	-0.0000324
178	-0.0000324
179	-0.0000324
180	-0.0000323
181	-0.0000323
182	-0.0000323
183	-0.0000322
184	-0.0000322
185	-0.0000322
186	-0.0000322
187	-0.0000321
188	-0.0000320
189	-0.0000321
190	-0.0000320
191	-0.0000320
192	-0.0000318
193	-0.0000319
194	-0.0000317
195	-0.0000315
196	-0.0000315
197	-0.0000314
198	-0.0000313
199	-0.0000310
200	-0.0000309
201	-0.0000308
202	-0.0000307
203	-0.0000305
204	-0.0000302
205	-0.0000300
206	-0.0000297
207	-0.0000292
208	-0.0000288
