x	y
1	566.4840972
2	566.4825694
3	566.4766667
4	566.4784648
5	566.4807143
6	566.4821429
7	566.4842857
8	566.4836842
9	566.4842616
10	566.4850000
11	566.4875926
12	566.4901852
13	566.4950000
14	566.5000000
15	566.4962500
16	566.4920000
17	566.4840675
18	566.4836364
19	566.4775000
20	566.4637555
21	566.4633333
22	566.4633333
23	566.4635714
24	566.4618750
25	566.4625000
26	566.4616667
27	566.4616667
28	566.4450000
29	566.3375000
30	566.3200000
31	566.5888889
32	566.9200000
33	567.6100000
34	568.9600000
35	570.8400000
36	574.1300000
37	578.9400000
38	586.8400000
39	596.7100000
40	609.4900000
41	625.1900000
42	645.8700000
43	667.2300000
44	690.4100000
45	714.7200000
46	741.9200000
47	766.8500000
48	790.3000000
49	812.4700000
50	835.0500000
51	853.6900000
52	870.3300000
53	885.2300000
54	899.1300000
55	910.2700000
56	919.7600000
57	928.4300000
58	935.1500000
59	940.7000000
60	945.4100000
61	949.7000000
62	953.0100000
63	955.6000000
64	957.7800000
65	959.8500000
66	961.4400000
67	962.7000000
68	963.8900000
69	964.6400000
70	965.5700000
71	966.3200000
72	966.8700000
73	967.3950000
74	967.9175000
75	968.4400000
76	968.7800000
77	969.2100000
78	969.6200000
79	969.9650000
80	970.3100000
81	970.6285185
82	970.9392593
83	971.2275000
84	971.4900000
85	971.7500000
86	972.0025000
87	972.2334259
88	972.4535714
89	972.6231905
90	972.7928095
91	972.9000000
92	973.0950000
93	973.2183333
94	973.3291667
95	973.4106013
96	973.4897227
97	973.5501865
98	973.5925000
99	973.6300000
100	973.6270042
101	973.6277778
102	973.6243750
103	973.6236806
104	973.6075000
105	973.4987963
106	973.4700000
107	973.3800000
108	973.2840000
109	973.1871111
110	973.1150000
111	973.0400000
112	972.8600000
113	972.7000000
114	972.5248437
115	972.3612500
116	972.2078571
117	972.0183333
118	971.8294444
119	971.6300000
120	971.3966667
121	971.1675000
122	970.9687500
123	970.7700000
124	970.4450000
125	970.2125000
126	969.9800000
127	969.6000000
128	969.3335714
129	969.0400000
130	968.7300000
131	968.4012500
132	968.0575000
133	967.7600000
134	967.4100000
135	967.0300000
136	966.6500000
137	966.2600000
138	965.8700000
139	965.4350000
140	965.0400000
141	964.6400000
142	964.1950000
143	963.7500000
144	963.3500000
145	962.8400000
146	962.3650000
147	961.8900000
148	961.3700000
149	960.8400000
150	960.3500000
151	959.7850000
152	959.2425000
153	958.7000000
154	958.1500000
155	957.4500000
156	956.9400000
157	956.3200000
158	955.6400000
159	955.0400000
160	954.3100000
161	953.7300000
162	953.0100000
163	952.3000000
164	951.5700000
165	950.8100000
166	950.1200000
167	949.3500000
168	948.5200000
169	947.6900000
170	946.9100000
171	945.9800000
172	945.1000000
173	944.1700000
174	943.2400000
175	942.2800000
176	941.3500000
177	940.2600000
178	939.2500000
179	938.2300000
180	936.9300000
181	935.7500000
182	934.5800000
183	933.2600000
184	931.8800000
185	930.4300000
186	929.0000000
187	927.5600000
188	926.0100000
189	924.0900000
190	922.3600000
191	920.4100000
192	918.3600000
193	916.1900000
194	914.0400000
195	911.7000000
196	909.1400000
197	906.5900000
198	903.9100000
199	901.1100000
200	898.0600000
201	894.6200000
202	891.4000000
203	888.0300000
204	884.1200000
205	880.3600000
206	876.4700000
207	872.3800000
208	867.9900000
209	862.8800000
210	858.1000000
211	852.8900000
212	846.9600000
213	841.1200000
214	834.8500000
215	828.2800000
216	821.1000000
217	812.2900000
218	803.8800000
219	794.5800000
220	783.6000000
221	772.9100000
222	761.3200000
223	749.5000000
224	737.2500000
225	723.3800000
226	710.9600000
227	698.5000000
228	686.3500000
229	673.5800000
230	662.1700000
231	651.6500000
232	642.1400000
233	632.3900000
234	624.4500000
235	617.6400000
236	611.5600000
237	606.1700000
238	601.0400000
239	597.0000000
240	593.6100000
241	590.2600000
242	587.6600000
243	585.3300000
244	583.3300000
245	581.3300000
246	579.7900000
247	578.5400000
248	577.2100000
249	576.0500000
250	574.9500000
251	573.9800000
252	573.1900000
253	572.3600000
254	571.6600000
255	571.0000000
256	570.4100000
257	569.8800000
258	569.2900000
259	568.8600000
260	568.4300000
261	568.0250000
262	567.6200000
263	567.3400000
264	567.0200000
265	566.7450000
266	566.4925000
267	566.2712500
268	566.0525000
269	565.8600000
270	565.6800000
271	565.5250000
272	565.3900000
273	565.2313333
274	565.1100000
275	565.0050000
276	564.9000000
277	564.8400000
278	564.7340741
279	564.6466667
280	564.5703704
281	564.5237500
282	564.4750000
283	564.4116667
284	564.3483333
285	564.2894444
286	564.2305556
287	564.1961111
288	564.1616667
289	564.1331481
290	564.1137500
291	564.0760000
292	564.0500000
293	564.0313333
294	564.0126667
295	564.0075000
296	563.9916667
297	563.9805556
298	563.9733333
299	563.9700000
300	563.9433333
301	563.9359259
302	563.9346420
303	563.9350000
304	563.9360127
305	563.9494444
306	563.9504815
307	563.9425000
308	563.9425000
309	563.9367335
310	563.9373684
311	563.9494932
312	563.9594607
313	563.9620425
314	563.9625000
315	563.9650000
316	563.9640000
317	563.9650000
318	563.9690741
319	563.9731481
320	563.9766667
321	563.9816667
322	563.9818750
323	563.9989474
324	564.0167511
325	564.0172727
326	564.0201326
327	564.0175000
328	564.0087658
329	564.0100000
330	564.0166667
331	564.0225000
332	564.0387500
333	564.0477315
334	564.0462500
335	564.0430873
336	564.0412500
337	564.0449842
338	564.0475000
339	564.0575000
340	564.0540000
341	564.0550000
342	564.0590741
343	564.0631481
344	564.0647531
345	564.0606250
346	564.0620000
347	564.0856564
348	564.0893750
349	564.0900000
350	564.0950000
351	564.1125000
352	564.1125000
353	564.0990401
354	564.1000000
355	564.1050000
356	564.1080000
357	564.1101097
358	564.1100000
359	564.1143889
360	564.1212807
361	564.1263840
362	564.1261111
363	564.1266667
364	564.1331250
365	564.1300000
366	564.1159259
367	564.1210000
368	564.1366667
369	564.1525000
370	564.1516667
371	564.1464286
372	564.1488374
373	564.1503532
374	564.1518690
375	564.1672897
376	564.1685714
377	564.1681250
378	564.1514286
379	564.1512500
380	564.1547500
381	564.1540000
382	564.1483704
383	564.1520000
384	564.1551111
385	564.1564286
386	564.1588095
387	564.1542857
388	564.1500000
389	564.1566667
390	564.1588889
391	564.1611111
392	564.1625000
393	564.1631329
394	564.1652682
395	564.1666667
396	564.1702222
397	564.1716667
398	564.1750000
399	564.1775000
400	564.1767778
401	564.1775000
402	564.1997363
403	564.2014286
404	564.2000000
405	564.1925000
406	564.1907143
407	564.1954106
408	564.1916667
409	564.1878571
410	564.1842948
411	564.1881250
412	564.1908565
413	564.1931250
414	564.1912500
415	564.1875000
416	564.1890000
417	564.1937500
418	564.1975264
419	564.2000000
420	564.1938889
421	564.1866667
422	564.1875000
423	564.2002778
424	564.2130556
425	564.2100000
426	564.2140928
427	564.2126721
428	564.2142222
429	564.2140000
430	564.2050000
431	564.2050000
432	564.2056548
433	564.2075000
434	564.2087236
435	564.1981250
436	564.1981361
437	564.1994444
438	564.2016667
439	564.2138889
440	564.2253704
441	564.2270000
442	564.2341852
443	564.2290000
444	564.2306456
445	564.2368819
446	564.2315789
447	564.2325000
448	564.2372486
449	564.2357895
450	564.2311891
451	564.2265887
452	564.2250000
453	564.2184211
454	564.2212500
455	564.2233333
456	564.2200000
457	564.2142857
458	564.2142857
459	564.2171429
460	564.2333333
461	564.2272222
462	564.2275000
463	564.2275000
464	564.2283333
465	564.2283333
466	564.2283333
467	564.2317511
468	564.2250625
469	564.2188641
470	564.2226316
471	564.2275439
472	564.2281250
473	564.2268064
474	564.2266667
475	564.2211639
476	564.2230546
477	564.2249454
478	564.2228571
479	564.2281250
480	564.2300000
481	564.2318928
482	564.2321429
483	564.2400000
484	564.2451852
485	564.2457143
486	564.2475000
487	564.2535714
488	564.2563757
489	564.2550000
490	564.2533333
491	564.2392593
492	564.2400000
493	564.2307778
494	564.2353426
495	564.2338889
496	564.2320370
497	564.2320000
498	564.2380000
499	564.2467407
500	564.2518765
501	564.2566667
502	564.2695556
503	564.2573684
