x	y
1	3.6730893
2	3.6730893
3	3.6730662
4	3.6729990
5	3.6728702
6	3.6728684
7	3.6727581
8	3.6727019
9	3.6726681
10	3.6725160
11	3.6725118
12	3.6724993
13	3.6723138
14	3.6722488
15	3.6722501
16	3.6722571
17	3.6722796
18	3.6722740
19	3.6722588
20	3.6721630
21	3.6721793
22	3.6721665
23	3.6721787
24	3.6721758
25	3.6721850
26	3.6721695
27	3.6721532
28	3.6721688
29	3.6721727
30	3.6721765
31	3.6724230
32	3.6726006
33	3.6726159
34	3.6727182
35	3.6727583
36	3.6727985
37	3.6730444
38	3.6731166
39	3.6733753
40	3.6733915
41	3.6733862
42	3.6734827
43	3.6735048
44	3.6735268
45	3.6737671
46	3.6738473
47	3.6738431
48	3.6738761
49	3.6739455
50	3.6739631
51	3.6740101
52	3.6741399
53	3.6741800
54	3.6741731
55	3.6741844
56	3.6741837
57	3.6742339
58	3.6742357
59	3.6742473
60	3.6742589
61	3.6742596
62	3.6742769
63	3.6743617
64	3.6743547
65	3.6743408
66	3.6743837
67	3.6743630
68	3.6743602
69	3.6743641
70	3.6744087
71	3.6744066
72	3.6743707
73	3.6743707
74	3.6743707
75	3.6743813
76	3.6743750
77	3.6743181
78	3.6743184
79	3.6743252
80	3.6743244
81	3.6743309
82	3.6743286
83	3.6742403
84	3.6742009
85	3.6742061
86	3.6742151
87	3.6742908
88	3.6742307
89	3.6740093
90	3.6727900
91	3.6705954
92	3.6684008
93	3.6639071
94	3.6644296
95	3.6693414
96	3.6817252
97	3.7018948
98	3.7308428
99	3.7764071
100	3.8320563
101	3.9022839
102	3.9969658
103	4.0981793
104	4.2118289
105	4.3374444
106	4.4696960
107	4.6147495
108	4.7466353
109	4.8693246
110	4.9805706
111	5.0890472
112	5.1754209
113	5.2521279
114	5.3186456
115	5.3757055
116	5.4289510
117	5.4699694
118	5.5052922
119	5.5373754
120	5.5609936
121	5.5803793
122	5.5965777
123	5.6099544
124	5.6225473
125	5.6313257
126	5.6376483
127	5.6436574
128	5.6479421
129	5.6522268
130	5.6548917
131	5.6577656
132	5.6598818
133	5.6615931
134	5.6632371
135	5.6644017
136	5.6658125
137	5.6668053
138	5.6675639
139	5.6683226
140	5.6691349
141	5.6694702
142	5.6699927
143	5.6704108
144	5.6709178
145	5.6709204
146	5.6709230
147	5.6710796
148	5.6711059
149	5.6710482
150	5.6709281
151	5.6707179
152	5.6704369
153	5.6703062
154	5.6696444
155	5.6695747
156	5.6687890
157	5.6682161
158	5.6674614
159	5.6670143
160	5.6662697
161	5.6653553
162	5.6646434
163	5.6641535
164	5.6630954
