x	y
1	-0.6518143
2	-0.6518619
3	-0.6518524
4	-0.6518732
5	-0.6519514
6	-0.6519896
7	-0.6519690
8	-0.6519524
9	-0.6520440
10	-0.6520816
11	-0.6521490
12	-0.6522139
13	-0.6520555
14	-0.6520101
15	-0.6520440
16	-0.6521555
17	-0.6522695
18	-0.6523268
19	-0.6523597
20	-0.6523488
21	-0.6523390
22	-0.6522740
23	-0.6522716
24	-0.6522733
25	-0.6522762
26	-0.6522770
27	-0.6522672
28	-0.6522906
29	-0.6522523
30	-0.6522438
31	-0.6525230
32	-0.6527211
33	-0.6527238
34	-0.6528135
35	-0.6527851
36	-0.6528325
37	-0.6530437
38	-0.6530022
39	-0.6532737
40	-0.6532882
41	-0.6532794
42	-0.6533492
43	-0.6533724
44	-0.6533860
45	-0.6536199
46	-0.6536848
47	-0.6536860
48	-0.6537223
49	-0.6537917
50	-0.6538180
51	-0.6538646
52	-0.6539948
53	-0.6540320
54	-0.6540128
55	-0.6540265
56	-0.6540201
57	-0.6541150
58	-0.6541593
59	-0.6541695
60	-0.6541691
61	-0.6541755
62	-0.6541898
63	-0.6542788
64	-0.6542867
65	-0.6542785
66	-0.6543963
67	-0.6543790
68	-0.6543850
69	-0.6543746
70	-0.6544071
71	-0.6543931
72	-0.6543689
73	-0.6543784
74	-0.6544830
75	-0.6544420
76	-0.6544243
77	-0.6543799
78	-0.6544043
79	-0.6544379
80	-0.6544492
81	-0.6543991
82	-0.6544099
83	-0.6543282
84	-0.6542822
85	-0.6543173
86	-0.6543277
87	-0.6544047
88	-0.6544048
89	-0.6542735
90	-0.6535245
91	-0.6511731
92	-0.6468362
93	-0.6400433
94	-0.6371694
95	-0.6350793
96	-0.6347658
97	-0.6362289
98	-0.6366991
99	-0.6380577
100	-0.6384235
101	-0.6392073
102	-0.6484038
103	-0.6496578
104	-0.6390505
105	-0.6409316
106	-0.6439623
107	-0.6591156
108	-0.6508596
109	-0.6526885
110	-0.6503371
111	-0.6538380
112	-0.6449028
113	-0.6286000
114	-0.6207621
115	-0.6142305
116	-0.6071764
117	-0.6020034
118	-0.5985547
119	-0.5981889
120	-0.5944790
121	-0.5885744
122	-0.5865366
123	-0.5839762
124	-0.5842374
125	-0.5823041
126	-0.5797437
127	-0.5791167
128	-0.5773923
129	-0.5756680
130	-0.5748320
131	-0.5739959
132	-0.5734473
133	-0.5718666
134	-0.5709503
135	-0.5701815
136	-0.5694238
137	-0.5684702
138	-0.5673412
139	-0.5663722
140	-0.5655789
141	-0.5644467
142	-0.5634879
143	-0.5626806
144	-0.5619623
145	-0.5605096
146	-0.5594116
147	-0.5586777
148	-0.5578135
149	-0.5567030
150	-0.5559635
151	-0.5550479
152	-0.5540615
153	-0.5534867
154	-0.5524330
155	-0.5518911
156	-0.5507227
157	-0.5500224
158	-0.5492065
159	-0.5486982
160	-0.5479323
161	-0.5470596
162	-0.5464391
163	-0.5462105
164	-0.5455095
165	-0.5445058
166	-0.5440029
167	-0.5436468
168	-0.5426965
169	-0.5424808
170	-0.5422650
171	-0.5416167
172	-0.5410988
173	-0.5406796
174	-0.5405019
175	-0.5400578
176	-0.5395153
177	-0.5392649
178	-0.5394569
179	-0.5388463
180	-0.5384854
181	-0.5385033
182	-0.5377717
183	-0.5376842
184	-0.5373243
185	-0.5368442
186	-0.5366091
187	-0.5366222
188	-0.5364872
189	-0.5362956
190	-0.5360735
191	-0.5358318
192	-0.5355902
193	-0.5347280
194	-0.5348456
195	-0.5351199
196	-0.5349631
197	-0.5346758
198	-0.5342447
199	-0.5341271
200	-0.5340487
201	-0.5338658
202	-0.5335680
203	-0.5335863
204	-0.5332388
205	-0.5334086
206	-0.5334522
207	-0.5332388
208	-0.5330037
209	-0.5327685
210	-0.5327947
211	-0.5326118
212	-0.5323244
213	-0.5322460
214	-0.5323505
215	-0.5320892
216	-0.5322199
217	-0.5321154
218	-0.5321937
219	-0.5321415
220	-0.5320109
221	-0.5319064
222	-0.5322983
223	-0.5315667
224	-0.5319325
225	-0.5314883
226	-0.5311487
227	-0.5319586
228	-0.5319978
229	-0.5316190
230	-0.5308352
231	-0.5312532
232	-0.5313316
233	-0.5313055
234	-0.5303910
235	-0.5304172
236	-0.5313055
237	-0.5302081
238	-0.5300514
239	-0.5299991
240	-0.5299469
241	-0.5298424
242	-0.5280658
243	-0.5285883
244	-0.5282748
245	-0.5282225
246	-0.5264982
247	-0.5257144
248	-0.5257667
249	-0.5247216
250	-0.5225793
251	-0.5229973
252	-0.5214819
253	-0.5191828
254	-0.5169882
255	-0.5148459
256	-0.5139576
257	-0.5119720
258	-0.5088890
259	-0.5062242
260	-0.5032980
261	-0.5006331
262	-0.4961916
263	-0.4937358
264	-0.4900258
265	-0.4860024
266	-0.4771717
267	-0.4723122
268	-0.4675572
269	-0.4590400
270	-0.4486417
271	-0.4336452
272	-0.4228811
273	-0.4075188
274	-0.3901709
275	-0.3710987
276	-0.3513472
277	-0.3333722
278	-0.3066188
279	-0.2931899
280	-0.2849862
281	-0.2739609
282	-0.2672726
283	-0.2562995
284	-0.2634581
285	-0.2656527
286	-0.2710348
287	-0.2790294
288	-0.2904205
289	-0.3033269
290	-0.3141955
291	-0.3366641
292	-0.3529670
293	-0.3696356
294	-0.3839528
295	-0.4024503
296	-0.4167153
297	-0.4289947
298	-0.4392884
299	-0.4478056
300	-0.4584652
301	-0.4655716
302	-0.4721031
303	-0.4771717
304	-0.4832330
305	-0.4875699
306	-0.4916979
307	-0.4943628
308	-0.4974457
309	-0.5003196
310	-0.5026187
311	-0.5055449
312	-0.5078962
313	-0.5100125
314	-0.5123638
315	-0.5142058
316	-0.5161260
317	-0.5184532
318	-0.5211420
319	-0.5229919
320	-0.5259757
321	-0.5293199
322	-0.5330527
323	-0.5365160
324	-0.5400504
325	-0.5427582
326	-0.5456796
327	-0.5483683
328	-0.5505095
329	-0.5527029
330	-0.5548845
331	-0.5568744
332	-0.5590691
333	-0.5606816
334	-0.5621868
335	-0.5631535
336	-0.5649591
337	-0.5662640
338	-0.5670538
339	-0.5682481
340	-0.5691480
341	-0.5700692
342	-0.5708764
343	-0.5716296
344	-0.5724179
345	-0.5731773
346	-0.5734995
347	-0.5744458
348	-0.5752126
349	-0.5756288
350	-0.5762689
351	-0.5769730
352	-0.5774707
353	-0.5781761
354	-0.5785322
355	-0.5791572
356	-0.5796742
357	-0.5801541
358	-0.5805536
359	-0.5811599
360	-0.5815664
361	-0.5819181
362	-0.5823512
363	-0.5825741
364	-0.5830552
365	-0.5835594
366	-0.5837933
367	-0.5837933
368	-0.5844099
369	-0.5845684
370	-0.5850367
371	-0.5853372
372	-0.5856588
373	-0.5858193
374	-0.5863257
375	-0.5863579
376	-0.5864756
377	-0.5868452
378	-0.5872323
379	-0.5874565
380	-0.5877099
381	-0.5879517
382	-0.5882772
383	-0.5883857
384	-0.5887103
385	-0.5889642
386	-0.5890797
387	-0.5893723
388	-0.5896925
389	-0.5898765
390	-0.5899373
391	-0.5902132
392	-0.5904163
393	-0.5905030
394	-0.5904424
395	-0.5908355
396	-0.5910291
397	-0.5911604
398	-0.5912458
