Seconds	Ch1	Ch2
1	702.960000	578.350000
1	702.960000	578.340000
1	702.960000	578.390000
1	702.970000	578.310000
1	702.870000	578.420000
1	703.030000	578.350000
1	702.810000	578.350000
1	702.860000	578.390000
1	703.010000	578.390000
1	703.020000	578.340000
1	702.970000	578.410000
2	702.850000	578.290000
2	703.030000	578.250000
2	702.960000	578.260000
2	702.940000	578.260000
2	703.070000	578.290000
2	702.920000	578.270000
2	702.960000	578.260000
2	702.960000	578.170000
2	702.960000	578.210000
3	702.860000	578.270000
3	703.040000	578.180000
3	703.000000	578.190000
3	702.890000	578.130000
3	703.040000	578.200000
3	702.890000	578.190000
3	702.830000	578.180000
3	702.880000	578.270000
3	702.990000	578.230000
4	702.890000	578.160000
4	702.960000	578.140000
4	702.870000	578.180000
4	702.850000	578.190000
4	702.930000	578.180000
4	702.880000	578.200000
4	702.830000	578.260000
4	702.840000	578.220000
4	702.840000	578.140000
5	702.940000	578.090000
5	702.980000	578.210000
5	702.850000	578.160000
5	702.800000	578.240000
5	702.880000	578.240000
5	702.870000	578.210000
5	702.890000	578.150000
5	702.880000	578.170000
5	702.920000	578.210000
5	702.920000	578.120000
6	702.890000	578.250000
6	702.870000	578.100000
6	702.900000	578.260000
6	702.940000	578.160000
6	702.810000	578.180000
6	702.840000	578.180000
6	702.820000	578.230000
6	702.890000	578.120000
6	702.880000	578.180000
7	702.780000	578.160000
7	702.920000	578.150000
7	702.850000	578.120000
7	702.890000	578.140000
7	702.860000	578.220000
7	702.920000	578.120000
7	702.930000	578.140000
7	702.840000	578.120000
7	702.870000	578.190000
8	702.870000	578.130000
8	702.740000	578.040000
8	702.840000	578.110000
8	702.890000	578.080000
8	702.860000	578.160000
8	702.860000	578.100000
8	702.980000	578.100000
8	702.850000	578.230000
8	702.800000	578.060000
9	702.820000	578.090000
9	702.840000	578.120000
9	702.910000	578.130000
9	702.740000	578.200000
9	702.860000	578.050000
9	702.870000	578.050000
9	702.700000	578.040000
9	702.850000	578.070000
9	702.880000	578.040000
10	702.820000	578.160000
10	702.740000	578.100000
10	702.870000	578.100000
10	702.840000	578.130000
10	702.720000	578.030000
10	702.800000	578.120000
10	702.900000	578.110000
10	702.910000	578.170000
10	702.840000	578.090000
10	702.790000	578.020000
11	702.830000	578.110000
11	702.780000	578.150000
11	702.800000	578.030000
11	702.760000	578.130000
11	702.920000	578.110000
11	702.890000	578.070000
11	702.930000	578.060000
11	702.770000	578.090000
11	702.840000	578.100000
12	702.760000	578.050000
12	702.730000	578.080000
12	702.720000	578.040000
12	702.760000	577.960000
12	702.840000	578.060000
12	702.860000	578.040000
12	702.690000	578.030000
12	702.820000	578.020000
12	702.770000	578.050000
13	702.750000	577.980000
13	702.750000	578.050000
13	702.810000	578.010000
13	702.770000	578.050000
13	702.810000	578.050000
13	702.780000	578.080000
13	702.790000	578.020000
13	702.730000	578.000000
13	702.840000	577.990000
14	702.800000	578.030000
14	702.730000	578.040000
14	702.680000	577.990000
14	702.880000	578.020000
14	702.740000	577.990000
14	702.700000	578.020000
14	702.840000	577.980000
14	702.800000	577.950000
14	702.850000	578.080000
14	702.760000	577.940000
15	702.700000	578.000000
15	702.830000	578.030000
15	702.780000	578.000000
15	702.870000	578.010000
15	702.770000	578.050000
15	702.770000	577.940000
15	702.770000	578.030000
15	702.770000	578.010000
15	702.840000	578.000000
16	702.890000	578.010000
16	702.790000	577.890000
16	702.790000	578.010000
16	702.750000	578.010000
16	702.740000	577.970000
16	702.850000	578.040000
16	702.840000	578.050000
16	702.820000	578.000000
16	702.850000	577.950000
17	702.780000	578.030000
17	702.690000	577.990000
17	702.790000	578.040000
17	702.770000	577.950000
17	702.820000	578.010000
17	702.790000	577.970000
17	702.840000	577.920000
17	702.780000	577.980000
17	702.750000	577.970000
17	702.830000	577.990000
18	702.770000	578.010000
18	702.770000	577.910000
18	702.680000	578.010000
18	702.810000	578.010000
18	702.860000	577.980000
18	702.790000	577.970000
18	702.790000	577.980000
18	702.820000	577.960000
18	702.760000	577.940000
19	702.830000	577.980000
19	702.770000	577.920000
19	702.760000	577.980000
19	702.760000	577.930000
19	702.710000	577.930000
19	702.620000	577.920000
19	702.710000	578.030000
19	702.800000	578.020000
19	702.720000	578.010000
20	702.770000	577.930000
20	702.720000	577.890000
20	702.730000	577.950000
20	702.870000	577.940000
20	702.720000	577.890000
20	702.770000	577.960000
20	702.780000	577.900000
20	702.700000	577.960000
20	702.670000	577.890000
21	702.820000	577.980000
21	702.710000	577.880000
21	702.790000	578.000000
21	702.860000	577.870000
21	702.820000	577.950000
21	702.760000	577.960000
21	702.850000	577.980000
21	702.730000	577.990000
21	702.750000	577.890000
22	702.820000	577.910000
22	702.810000	577.910000
22	702.720000	577.920000
22	702.830000	577.970000
22	702.710000	577.890000
22	702.760000	577.930000
22	702.790000	577.860000
22	702.790000	577.970000
22	702.710000	577.980000
22	702.750000	577.890000
23	702.800000	577.900000
23	702.750000	577.920000
23	702.720000	577.890000
23	702.840000	577.920000
23	702.750000	577.920000
23	702.770000	577.930000
23	702.780000	577.870000
23	702.800000	577.840000
23	702.790000	577.980000
24	702.750000	577.910000
24	702.850000	578.030000
24	702.700000	577.900000
24	702.860000	577.980000
24	702.840000	577.990000
24	702.780000	577.940000
24	702.760000	577.940000
24	702.720000	577.990000
24	702.700000	577.970000
25	702.660000	577.910000
25	702.800000	577.980000
25	702.730000	577.850000
25	702.780000	577.970000
25	702.810000	577.890000
25	702.790000	578.010000
25	702.830000	577.970000
25	702.830000	577.990000
25	702.750000	577.970000
26	702.690000	577.960000
26	702.710000	577.960000
26	702.650000	577.970000
26	702.810000	577.880000
26	702.770000	577.930000
26	702.690000	577.940000
26	702.910000	577.850000
26	702.790000	577.990000
26	702.790000	578.010000
26	702.740000	577.900000
27	702.690000	577.860000
