x	y
1	0.0079178
2	0.0079184
3	0.0079183
4	0.0079185
5	0.0079195
6	0.0079200
7	0.0079197
8	0.0079195
9	0.0079206
10	0.0079211
11	0.0079219
12	0.0079227
13	0.0079208
14	0.0079202
15	0.0079206
16	0.0079220
17	0.0079234
18	0.0079240
19	0.0079244
20	0.0079243
21	0.0079242
22	0.0079234
23	0.0079234
24	0.0079234
25	0.0079234
26	0.0079234
27	0.0079233
28	0.0079236
29	0.0079231
30	0.0079230
31	0.0079264
32	0.0079288
33	0.0079289
34	0.0079300
35	0.0079296
36	0.0079302
37	0.0079328
38	0.0079323
39	0.0079356
40	0.0079357
41	0.0079356
42	0.0079365
43	0.0079367
44	0.0079369
45	0.0079398
46	0.0079405
47	0.0079406
48	0.0079410
49	0.0079418
50	0.0079422
51	0.0079427
52	0.0079443
53	0.0079448
54	0.0079445
55	0.0079447
56	0.0079446
57	0.0079458
58	0.0079463
59	0.0079464
60	0.0079464
61	0.0079465
62	0.0079467
63	0.0079478
64	0.0079479
65	0.0079478
66	0.0079492
67	0.0079490
68	0.0079490
69	0.0079489
70	0.0079493
71	0.0079491
72	0.0079489
73	0.0079490
74	0.0079502
75	0.0079497
76	0.0079495
77	0.0079490
78	0.0079493
79	0.0079497
80	0.0079498
81	0.0079492
82	0.0079494
83	0.0079484
84	0.0079478
85	0.0079482
86	0.0079484
87	0.0079493
88	0.0079493
89	0.0079477
90	0.0079386
91	0.0079100
92	0.0078574
93	0.0077748
94	0.0077399
95	0.0077145
96	0.0077107
97	0.0077285
98	0.0077342
99	0.0077507
100	0.0077552
101	0.0077647
102	0.0078764
103	0.0078916
104	0.0077628
105	0.0077856
106	0.0078224
107	0.0080065
108	0.0079062
109	0.0079284
110	0.0078999
111	0.0079424
112	0.0078339
113	0.0076358
114	0.0075406
115	0.0074613
116	0.0073756
117	0.0073128
118	0.0072709
119	0.0072664
120	0.0072213
121	0.0071496
122	0.0071249
123	0.0070938
124	0.0070969
125	0.0070735
126	0.0070424
127	0.0070347
128	0.0070138
129	0.0069928
130	0.0069827
131	0.0069725
132	0.0069659
133	0.0069467
134	0.0069355
135	0.0069262
136	0.0069170
137	0.0069054
138	0.0068917
139	0.0068799
140	0.0068703
141	0.0068565
142	0.0068449
143	0.0068351
144	0.0068264
145	0.0068087
146	0.0067954
147	0.0067865
148	0.0067760
149	0.0067625
150	0.0067535
151	0.0067424
152	0.0067304
153	0.0067234
154	0.0067106
155	0.0067040
156	0.0066898
157	0.0066813
158	0.0066714
159	0.0066652
160	0.0066559
161	0.0066453
162	0.0066378
163	0.0066350
164	0.0066265
165	0.0066143
166	0.0066082
167	0.0066039
168	0.0065923
169	0.0065897
170	0.0065871
171	0.0065792
172	0.0065729
173	0.0065678
174	0.0065657
175	0.0065603
176	0.0065537
177	0.0065506
178	0.0065530
179	0.0065456
180	0.0065412
181	0.0065414
182	0.0065325
183	0.0065314
184	0.0065271
185	0.0065212
186	0.0065184
187	0.0065185
188	0.0065169
189	0.0065146
190	0.0065119
191	0.0065089
192	0.0065060
193	0.0064955
194	0.0064970
195	0.0065003
196	0.0064984
197	0.0064949
198	0.0064897
199	0.0064882
200	0.0064873
201	0.0064851
202	0.0064814
203	0.0064817
204	0.0064774
205	0.0064795
206	0.0064800
207	0.0064774
208	0.0064746
209	0.0064717
210	0.0064720
211	0.0064698
212	0.0064663
213	0.0064654
