x	y
1	0.0446183
2	0.0446183
3	0.0446181
4	0.0446172
5	0.0446157
6	0.0446157
7	0.0446143
8	0.0446136
9	0.0446132
10	0.0446114
11	0.0446113
12	0.0446112
13	0.0446089
14	0.0446081
15	0.0446081
16	0.0446082
17	0.0446085
18	0.0446084
19	0.0446082
20	0.0446071
21	0.0446073
22	0.0446071
23	0.0446073
24	0.0446072
25	0.0446074
26	0.0446072
27	0.0446070
28	0.0446072
29	0.0446072
30	0.0446072
31	0.0446102
32	0.0446124
33	0.0446126
34	0.0446138
35	0.0446143
36	0.0446148
37	0.0446178
38	0.0446187
39	0.0446218
40	0.0446220
41	0.0446219
42	0.0446231
43	0.0446234
44	0.0446236
45	0.0446266
46	0.0446275
47	0.0446275
48	0.0446279
49	0.0446287
50	0.0446289
51	0.0446295
52	0.0446311
53	0.0446316
54	0.0446315
55	0.0446316
56	0.0446316
57	0.0446322
58	0.0446323
59	0.0446324
60	0.0446325
61	0.0446326
62	0.0446328
63	0.0446338
64	0.0446337
65	0.0446335
66	0.0446341
67	0.0446338
68	0.0446338
69	0.0446338
70	0.0446344
71	0.0446343
72	0.0446339
73	0.0446339
74	0.0446339
75	0.0446340
76	0.0446340
77	0.0446333
78	0.0446333
79	0.0446333
80	0.0446333
81	0.0446334
82	0.0446334
83	0.0446323
84	0.0446318
85	0.0446319
86	0.0446320
87	0.0446329
88	0.0446322
89	0.0446295
90	0.0446147
91	0.0445880
92	0.0445614
93	0.0445068
94	0.0445131
95	0.0445728
96	0.0447232
97	0.0449682
98	0.0453199
99	0.0458734
100	0.0465494
101	0.0474024
102	0.0485526
103	0.0497821
104	0.0511626
105	0.0526885
106	0.0542950
107	0.0560570
108	0.0576591
109	0.0591494
110	0.0605008
111	0.0618185
112	0.0628677
113	0.0637995
114	0.0646075
115	0.0653006
116	0.0659474
117	0.0664457
118	0.0668748
119	0.0672645
120	0.0675514
121	0.0677869
122	0.0679836
123	0.0681461
124	0.0682991
125	0.0684057
126	0.0684825
127	0.0685555
128	0.0686076
129	0.0686596
130	0.0686920
131	0.0687269
132	0.0687526
133	0.0687734
134	0.0687934
135	0.0688075
136	0.0688247
137	0.0688367
138	0.0688459
139	0.0688552
140	0.0688650
141	0.0688691
142	0.0688754
143	0.0688805
144	0.0688867
145	0.0688867
146	0.0688867
147	0.0688886
148	0.0688890
149	0.0688883
150	0.0688868
151	0.0688842
152	0.0688808
153	0.0688792
154	0.0688712
155	0.0688704
156	0.0688608
157	0.0688539
158	0.0688447
159	0.0688393
160	0.0688302
161	0.0688191
162	0.0688105
163	0.0688045
164	0.0687917
165	0.0687771
166	0.0687650
167	0.0687536
168	0.0687377
169	0.0687252
170	0.0687128
171	0.0686970
172	0.0686804
173	0.0686650
174	0.0686526
175	0.0686342
176	0.0686148
177	0.0685967
178	0.0685847
179	0.0685637
180	0.0685463
181	0.0685289
182	0.0685035
183	0.0684849
184	0.0684654
185	0.0684445
186	0.0684207
187	0.0683992
188	0.0683778
189	0.0683562
190	0.0683321
191	0.0683080
192	0.0682839
193	0.0682515
194	0.0682310
195	0.0682090
196	0.0681817
197	0.0681528
198	0.0681250
199	0.0681011
200	0.0680719
201	0.0680436
202	0.0680154
203	0.0679887
204	0.0679576
205	0.0679291
206	0.0679005
207	0.0678697
208	0.0678407
209	0.0678116
210	0.0677789
211	0.0677482
212	0.0677167
213	0.0676853
214	0.0676510
215	0.0676218
216	0.0675920
217	0.0675593
218	0.0675266
219	0.0674930
220	0.0674600
221	0.0674273
222	0.0673946
223	0.0673540
224	0.0673254
225	0.0672858
226	0.0672461
227	0.0672169
228	0.0671794
229	0.0671369
230	0.0670899
231	0.0670563
232	0.0670147
233	0.0669731
234	0.0669186
235	0.0668754
236	0.0668310
237	0.0667789
238	0.0667275
239	0.0666628
240	0.0666120
241	0.0665510
242	0.0664704
243	0.0664057
244	0.0663295
245	0.0662540
246	0.0661575
247	0.0660579
248	0.0659652
249	0.0658554
250	0.0657259
251	0.0656066
252	0.0654726
253	0.0653222
254	0.0651572
255	0.0649845
256	0.0648100
257	0.0646196
258	0.0644076
259	0.0641727
260	0.0639429
261	0.0637024
262	0.0634212
263	0.0631559
264	0.0628645
265	0.0625605
266	0.0621968
267	0.0618496
268	0.0614745
269	0.0610612
270	0.0606049
271	0.0600819
272	0.0595442
273	0.0589660
274	0.0583471
275	0.0576172
276	0.0569088
277	0.0561637
278	0.0552807
279	0.0544968
280	0.0536812
281	0.0528307
282	0.0520062
283	0.0510966
284	0.0502867
285	0.0495040
286	0.0487506
287	0.0479528
288	0.0473047
289	0.0467023
290	0.0461152
291	0.0456487
292	0.0452266
293	0.0448724
294	0.0445398
295	0.0442815
296	0.0440638
297	0.0438771
298	0.0437039
299	0.0435591
300	0.0434506
301	0.0433338
302	0.0432545
303	0.0431643
304	0.0431015
305	0.0430418
306	0.0429828
307	0.0429282
308	0.0428851
309	0.0428419
310	0.0428044
311	0.0427746
312	0.0427448
313	0.0427200
314	0.0426981
315	0.0426805
316	0.0426648
317	0.0426540
318	0.0426486
319	0.0426470
320	0.0426515
321	0.0426667
322	0.0426877
323	0.0427092
324	0.0427340
325	0.0427505
326	0.0427702
327	0.0427876
328	0.0428006
329	0.0428159
330	0.0428311
331	0.0428451
332	0.0428600
333	0.0428706
334	0.0428812
335	0.0428911
336	0.0429029
337	0.0429120
338	0.0429155
339	0.0429257
340	0.0429314
341	0.0429377
342	0.0429441
343	0.0429503
344	0.0429549
345	0.0429615
346	0.0429642
347	0.0429729
348	0.0429803
349	0.0429841
350	0.0429901
351	0.0429971
352	0.0430022
353	0.0430090
354	0.0430118
355	0.0430192
356	0.0430254
357	0.0430307
358	0.0430355
359	0.0430410
360	0.0430461
361	0.0430507
362	0.0430564
363	0.0430583
364	0.0430640
365	0.0430701
366	0.0430729
367	0.0430729
368	0.0430804
369	0.0430830
370	0.0430892
371	0.0430934
372	0.0430971
373	0.0430990
374	0.0431052
375	0.0431070
376	0.0431085
377	0.0431132
378	0.0431179
379	0.0431199
380	0.0431231
381	0.0431261
382	0.0431302
383	0.0431316
384	0.0431356
385	0.0431386
386	0.0431407
387	0.0431440
388	0.0431477
389	0.0431500
390	0.0431508
391	0.0431542
392	0.0431564
393	0.0431574
394	0.0431574
395	0.0431623
396	0.0431640
397	0.0431651
398	0.0431662
399	0.0431690
400	0.0431711
401	0.0431718
402	0.0431748
403	0.0431753
404	0.0431753
405	0.0431791
406	0.0431791
407	0.0431792
408	0.0431820
409	0.0431818
410	0.0431826
411	0.0431840
412	0.0431845
413	0.0431867
414	0.0431871
415	0.0431871
416	0.0431872
417	0.0431872
418	0.0431878
419	0.0431888
420	0.0431897
421	0.0431904
422	0.0431910
423	0.0431910
424	0.0431912
425	0.0431915
426	0.0431916
427	0.0431927
428	0.0431935
429	0.0431933
430	0.0431928
431	0.0431930
432	0.0431930
433	0.0431927
434	0.0431928
435	0.0431927
436	0.0431927
437	0.0431929
438	0.0431927
439	0.0431929
440	0.0431937
441	0.0431936
442	0.0431939
443	0.0431942
444	0.0431933
445	0.0431935
446	0.0431940
447	0.0431935
448	0.0431931
449	0.0431932
450	0.0431932
451	0.0431935
452	0.0431933
453	0.0431932
454	0.0431932
455	0.0431932
456	0.0431940
457	0.0431943
458	0.0431944
459	0.0431942
460	0.0431942
461	0.0431939
462	0.0431937
463	0.0431939
464	0.0431938
465	0.0431937
466	0.0431933
467	0.0431933
468	0.0431942
469	0.0431942
470	0.0431933
471	0.0431932
472	0.0431931
473	0.0431930
474	0.0431930
475	0.0431913
476	0.0431914
477	0.0431919
478	0.0431926
479	0.0431921
480	0.0431906
481	0.0431908
482	0.0431909
483	0.0431910
484	0.0431911
485	0.0431909
486	0.0431907
487	0.0431906
488	0.0431906
489	0.0431907
490	0.0431908
491	0.0431904
492	0.0431891
493	0.0431891
494	0.0431889
495	0.0431888
496	0.0431885
497	0.0431888
498	0.0431888
499	0.0431888
500	0.0431886
501	0.0431886
502	0.0431886
503	0.0431885
504	0.0431880
505	0.0431879
506	0.0431878
507	0.0431872
508	0.0431873
509	0.0431873
510	0.0431869
511	0.0431869
512	0.0431870
513	0.0431869
514	0.0431858
515	0.0431859
516	0.0431857
517	0.0431854
518	0.0431855
519	0.0431848
520	0.0431846
521	0.0431848
522	0.0431849
523	0.0431849
524	0.0431847
525	0.0431847
526	0.0431846
527	0.0431849
528	0.0431848
529	0.0431848
530	0.0431848
531	0.0431845
532	0.0431822
533	0.0431821
