1:1 binding with drifting basel_X	1:1 binding with drifting basel_Y	1:1 binding with drifting basel_X	1:1 binding with drifting basel_Y	1:1 binding with drifting basel_X	1:1 binding with drifting basel_Y	1:1 binding with drifting basel_X	1:1 binding with drifting basel_Y	1:1 binding with drifting basel_X	1:1 binding with drifting basel_Y
0	-0.01	0	-0.02	0	-0.03	0	-0.04	0	-0.05
1	-9e-3	1	-0.018	1	-0.027	1	-0.036	1	-0.045
2	-8e-3	2	-0.016	2	-0.024	2	-0.032	2	-0.04
3	-7e-3	3	-0.014	3	-0.021	3	-0.028	3	-0.035
4	-6e-3	4	-0.012	4	-0.018	4	-0.024	4	-0.03
5	-5e-3	5	-0.01	5	-0.015	5	-0.02	5	-0.025
6	-4e-3	6	-8e-3	6	-0.012	6	-0.016	6	-0.02
7	-3e-3	7	-6e-3	7	-9e-3	7	-0.012	7	-0.015
8	-2e-3	8	-4e-3	8	-6e-3	8	-8e-3	8	-0.01
9	-1e-3	9	-2e-3	9	-3e-3	9	-4e-3	9	-5e-3
10	-2.60287e-5	10	1.99995	10	3.9999	10	7.99979	10	10.0152
11	0.480255	11	2.95955	11	5.91428	11	11.8113	11	17.5744
12	0.9591	12	3.91438	12	7.81154	12	15.5587	12	24.8883
13	1.43651	13	4.86446	13	9.69183	13	19.243	13	31.965
14	1.9125	14	5.8098	14	11.5553	14	22.8652	14	38.8121
15	2.38706	15	6.75045	15	13.4021	15	26.4264	15	45.4372
16	2.86021	16	7.68641	16	15.2324	16	29.9277	16	51.8473
17	3.33194	17	8.61771	17	17.0463	17	33.3701	17	58.0495
18	3.80226	18	9.54438	18	18.844	18	36.7544	18	64.0505
19	4.27118	19	10.4664	19	20.6256	19	40.0818	19	69.8569
20	4.73869	20	11.3839	20	22.3913	20	43.3532	20	75.475
21	5.20481	21	12.2968	21	24.1411	21	46.5695	21	80.9109
22	5.66953	22	13.2052	22	25.8754	22	49.7316	22	86.1705
23	6.13286	23	14.109	23	27.5941	23	52.8405	23	91.2595
24	6.59481	24	15.0083	24	29.2974	24	55.8971	24	96.1835
25	7.05538	25	15.9032	25	30.9855	25	58.9022	25	100.948
26	7.51457	26	16.7936	26	32.6585	26	61.8568	26	105.558
27	7.97239	27	17.6796	27	34.3166	27	64.7616	27	110.018
28	8.42884	28	18.5612	28	35.9598	28	67.6175	28	114.334
29	8.88392	29	19.4383	29	37.5883	29	70.4253	29	118.509
30	9.33765	30	20.3112	30	39.2023	30	73.1859	30	122.55
31	9.79002	31	21.1796	31	40.8018	31	75.8999	31	126.459
32	10.241	32	22.0438	32	42.387	32	78.5684	32	130.242
33	10.6907	33	22.9037	33	43.9581	33	81.1919	33	133.902
34	11.139	34	23.7592	34	45.5151	34	83.7712	34	137.443
35	11.586	35	24.6105	35	47.0581	35	86.3072	35	140.87
36	12.0317	36	25.4576	36	48.5874	36	88.8004	36	144.185
37	12.476	37	26.3005	37	50.103	37	91.2517	37	147.393
38	12.919	38	27.1392	38	51.605	38	93.6618	38	150.497
39	13.3606	39	27.9737	39	53.0937	39	96.0313	39	153.501
40	13.801	40	28.804	40	54.569	40	98.3609	40	156.407
41	14.24	41	29.6302	41	56.0311	41	100.651	41	159.219
42	14.6777	42	30.4523	42	57.4801	42	102.903	42	161.94
43	15.1141	43	31.2704	43	58.9162	43	105.117	43	164.572
44	15.5492	44	32.0843	44	60.3394	44	107.294	44	167.12
45	15.9831	45	32.8942	45	61.75	45	109.434	45	169.585
46	16.4156	46	33.7001	46	63.1479	46	111.538	46	171.97
47	16.8468	47	34.5019	47	64.5333	47	113.607	47	174.277
48	17.2767	48	35.2998	48	65.9063	48	115.641	48	176.51
49	17.7053	49	36.0937	49	67.2671	49	117.64	49	178.671
50	18.1327	50	36.8837	50	68.6156	50	119.606	50	180.762
51	18.5588	51	37.6697	51	69.9522	51	121.539	51	182.785
52	18.9836	52	38.4518	52	71.2768	52	123.44	52	184.742
53	19.4071	53	39.23	53	72.5895	53	125.308	53	186.636
54	19.8294	54	40.0043	54	73.8905	54	127.145	54	188.469
55	20.2504	55	40.7748	55	75.1799	55	128.952	55	190.242
56	20.6702	56	41.5415	56	76.4577	56	130.727	56	191.958
57	21.0887	57	42.3044	57	77.7242	57	132.473	57	193.619
58	21.5059	58	43.0634	58	78.9793	58	134.19	58	195.226
59	21.9219	59	43.8187	59	80.2232	59	135.877	59	196.78
60	22.3367	60	44.5702	60	81.4559	60	137.537	60	198.285
61	22.7502	61	45.318	61	82.6777	61	139.168	61	199.741
62	23.1625	62	46.0621	62	83.8885	62	140.772	62	201.149
63	23.5736	63	46.8024	63	85.0885	63	142.349	63	202.513
64	23.9834	64	47.5391	64	86.2778	64	143.9	64	203.832
65	24.392	65	48.2721	65	87.4565	65	145.424	65	205.108
66	24.7994	66	49.0015	66	88.6246	66	146.923	66	206.343
67	25.2055	67	49.7272	67	89.7823	67	148.396	67	207.538
68	25.6105	68	50.4494	68	90.9296	68	149.845	68	208.695
69	26.0142	69	51.1679	69	92.0667	69	151.27	69	209.814
70	26.4167	70	51.8829	70	93.1936	70	152.67	70	210.897
71	26.8181	71	52.5943	71	94.3105	71	154.047	71	211.945
72	27.2182	72	53.3021	72	95.4174	72	155.401	72	212.959
73	27.6171	73	54.0065	73	96.5144	73	156.732	73	213.94
74	28.0149	74	54.7073	74	97.6016	74	158.041	74	214.89
75	28.4114	75	55.4047	75	98.679	75	159.328	75	215.809
76	28.8068	76	56.0986	76	99.7469	76	160.593	76	216.698
77	29.201	77	56.7891	77	100.805	77	161.837	77	217.559
78	29.594	78	57.4761	78	101.854	78	163.059	78	218.392
79	29.9858	79	58.1597	79	102.894	79	164.262	79	219.198
80	30.3765	80	58.8399	80	103.924	80	165.444	80	219.978
81	30.766	81	59.5167	81	104.945	81	166.606	81	220.733
82	31.1543	82	60.1901	82	105.957	82	167.749	82	221.463
83	31.5415	83	60.8602	83	106.959	83	168.873	83	222.17
84	31.9275	84	61.527	84	107.953	84	169.978	84	222.854
85	32.3124	85	62.1904	85	108.938	85	171.064	85	223.517
86	32.6961	86	62.8506	86	109.914	86	172.132	86	224.157
87	33.0787	87	63.5074	87	110.882	87	173.182	87	224.777
88	33.4601	88	64.161	88	111.841	88	174.214	88	225.378
