Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	14508.2	0.6	15689.5	1.6	1181.18
1.5	14508	1.6	15689.3	2.6	1181.28
2.5	14508.1	2.6	15689.3	3.6	1181.06
3.5	14508.1	3.6	15689.1	4.6	1181.27
4.5	14507.9	4.6	15689.3	5.6	1181.29
5.5	14508	5.6	15689.2	6.6	1181.3
6.5	14508	6.6	15689.3	7.6	1181.21
7.5	14508.1	7.6	15689.2	8.6	1181.12
8.5	14508.2	8.6	15689.3	9.6	1181.09
9.5	14507.9	9.6	15689.2	10.6	1181.33
10.5	14508.1	10.6	15689.3	11.6	1181.28
11.5	14507.9	11.6	15689.3	12.6	1181.39
12.5	14507.9	12.6	15689.3	13.6	1181.64
13.5	14507.9	13.6	15689.5	14.6	1181.65
14.5	14507.8	14.6	15689.5	15.6	1181.34
15.5	14508	15.6	15689.2	16.6	1181.69
16.5	14507.5	16.6	15689.5	17.6	1181.87
17.5	14507.6	17.6	15689.5	18.6	1181.74
18.5	14507.9	18.6	15689.5	19.6	1181.29
19.5	14507.7	19.6	15689.1	20.6	1181.39
20.5	14507.9	20.6	15689.2	21.6	1181.33
21.5	14508	21.6	15689.2	22.6	1181.53
22.5	14507.6	22.6	15689.3	23.6	1181.4
23.5	14507.4	23.6	15688.9	24.6	1181.69
24.5	14507.1	24.6	15689	25.6	1181.6
25.5	14507.5	25.6	15688.9	26.6	1181.23
26.5	14506.7	26.6	15688.3	27.6	1181.3
27.5	14507.5	27.6	15688.4	28.6	1181.08
28.5	14507.4	28.6	15688.5	29.6	1181.37
29.5	14507.4	29.6	15688.8	30.6	1180.43
30.5	14506.7	30.6	15687.5	31.6	1180.7
31.5	14506	31.6	15687.1	32.6	1181.27
32.5	14505.7	32.6	15687.1	33.6	1181.36
33.5	14505.9	33.6	15687.2	34.6	1182.07
34.5	14507.3	34.6	15688.7	35.6	1181.32
35.5	14507.9	35.6	15688.9	36.6	1181.22
36.5	14507.9	36.6	15689.1	37.6	1180.79
37.5	14508.1	37.6	15688.8	38.6	1181.02
38.5	14508	38.6	15689	39.6	1180.79
39.5	14508	39.6	15688.8	40.6	1181.21
40.5	14508	40.6	15689.2	41.6	1181.13
41.5	14507.8	41.6	15689	42.6	1181.04
42.5	14507.6	42.6	15688.8	43.6	1181.05
43.5	14507.4	43.6	15688.6	44.6	1181.09
44.5	14507.5	44.6	15688.6	45.6	1181.08
45.5	14507.4	45.6	15688.6	46.6	1181.12
46.5	14507.2	46.6	15688.4	47.6	1181.29
47.5	14507.3	47.6	15688.5	48.6	1181.11
48.5	14507.4	48.6	15688.4	49.6	1181.08
49.5	14507.3	49.6	15688.4	50.6	1181.23
50.5	14507.2	50.6	15688.5	51.6	1180.85
51.5	14507.4	51.6	15688.1	52.6	1180.86
52.5	14507.2	52.6	15688.2	53.6	1181.01
53.5	14507.3	53.6	15688.2	54.6	1180.95
54.5	14507.2	54.6	15688.2	55.6	1181.28
55.5	14507.2	55.6	15688.5	56.6	1180.99
56.5	14507.6	56.6	15688.4	57.6	1180.86
57.5	14507.2	57.6	15688.2	58.6	1180.96
58.5	14507.4	58.6	15688.2	59.6	1180.92
59.5	14507.2	59.6	15688.2	60.6	1180.91
60.5	14507.2	60.6	15688.1	61.6	1180.95
61.5	14507.1	61.6	15688.1	62.6	1181.15
62.5	14507.2	62.6	15688.3	63.6	1181.18
63.5	14507.1	63.6	15688.3	64.6	1181.14
64.5	14507.3	64.6	15688.3	65.6	1180.91
65.5	14507.6	65.6	15688.4	66.6	1180.65
66.5	14507.3	66.6	15688.1	67.6	1180.89
