Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	14503	0.6	15689.3	1.6	1186.2
1.5	14503.1	1.6	15689.3	2.6	1185.92
2.5	14502.9	2.6	15689	3.6	1186.17
3.5	14503.2	3.6	15689.2	4.6	1186.05
4.5	14503	4.6	15689.2	5.6	1186.17
5.5	14503	5.6	15689.2	6.6	1186.2
6.5	14502.9	6.6	15689.1	7.6	1186.5
7.5	14503	7.6	15689.4	8.6	1186.34
8.5	14502.9	8.6	15689.3	9.6	1186.18
9.5	14502.9	9.6	15689.1	10.6	1186.22
10.5	14502.9	10.6	15689.1	11.6	1186.22
11.5	14502.9	11.6	15689.1	12.6	1185.98
12.5	14502.8	12.6	15688.9	13.6	1186.25
13.5	14502.9	13.6	15689.1	14.6	1186.19
14.5	14503	14.6	15689.2	15.6	1186.2
15.5	14502.7	15.6	15689.1	16.6	1186.21
16.5	14502.7	16.6	15688.9	17.6	1186.28
17.5	14502.8	17.6	15689	18.6	1186
18.5	14503	18.6	15688.9	19.6	1185.99
19.5	14502.8	19.6	15688.9	20.6	1185.8
20.5	14503	20.6	15688.7	21.6	1186.28
21.5	14502.7	21.6	15689.1	22.6	1186.42
22.5	14502.8	22.6	15689.1	23.6	1186.17
23.5	14502.5	23.6	15688.8	24.6	1186.16
24.5	14502.2	24.6	15688.5	25.6	1186.07
25.5	14502.3	25.6	15688.3	26.6	1186.16
26.5	14501.7	26.6	15688.1	27.6	1186.35
27.5	14502.4	27.6	15688.4	28.6	1185.93
28.5	14502.5	28.6	15688.4	29.6	1185.93
29.5	14502.3	29.6	15688.3	30.6	1185.6
30.5	14501.5	30.6	15687.5	31.6	1186
31.5	14500.7	31.6	15687.1	32.6	1186.26
32.5	14500.8	32.6	15687	33.6	1185.99
33.5	14501.1	33.6	15686.9	34.6	1186.88
34.5	14502.7	34.6	15688.8	35.6	1185.88
35.5	14502.9	35.6	15688.7	36.6	1185.74
36.5	14503	36.6	15688.7	37.6	1185.71
37.5	14503.1	37.6	15688.7	38.6	1185.53
38.5	14503	38.6	15688.6	39.6	1185.59
39.5	14502.9	39.6	15688.6	40.6	1185.82
40.5	14503	40.6	15688.8	41.6	1185.81
41.5	14502.8	41.6	15688.7	42.6	1185.95
42.5	14502.6	42.6	15688.6	43.6	1185.77
43.5	14502.4	43.6	15688.2	44.6	1186.25
44.5	14502.3	44.6	15688.6	45.6	1185.88
45.5	14502.4	45.6	15688.2	46.6	1185.84
46.5	14502.4	46.6	15688.2	47.6	1185.75
47.5	14502.6	47.6	15688.3	48.6	1185.86
48.5	14502.4	48.6	15688.3	49.6	1186.11
49.5	14502.6	49.6	15688.6	50.6	1185.71
50.5	14502.4	50.6	15688.2	51.6	1185.97
51.5	14502.2	51.6	15688.3	52.6	1185.8
52.5	14502.6	52.6	15688.2	53.6	1185.87
53.5	14502.4	53.6	15688.4	54.6	1186.1
54.5	14502.4	54.6	15688.5	55.6	1185.84
55.5	14502.4	55.6	15688.2	56.6	1185.92
56.5	14502.4	56.6	15688.3	57.6	1186.08
57.5	14502.5	57.6	15688.5	58.6	1185.92
58.5	14502.5	58.6	15688.4	59.6	1186.09
59.5	14502.4	59.6	15688.5	60.6	1185.93
60.5	14502.5	60.6	15688.4	61.6	1186.05
61.5	14502.3	61.6	15688.4	62.6	1186.1
62.5	14502.2	62.6	15688.3	63.6	1185.98
63.5	14502.3	63.6	15688.2	64.6	1186.03
64.5	14502.4	64.6	15688.4	65.6	1185.99
65.5	14502.5	65.6	15688.4	66.6	1186.12
66.5	14502.1	66.6	15688.4	67.6	1186.15
67.5	14502	67.6	15688.2	68.6	1186.06
68.5	14502.4	68.6	15688.3	69.6	1186.08
69.5	14502.1	69.6	15688.3	70.6	1186.04
70.5	14502.4	70.6	15688.3	71.6	1185.81
71.5	14502.2	71.6	15688.1	72.6	1186.04
72.5	14502.6	72.6	15688.4	73.6	1185.88
73.5	14502.4	73.6	15688.4	74.6	1186.18
74.5	14502.2	74.6	15688.5	75.6	1186.25
75.5	14502.2	75.6	15688.5	76.6	1186.1
76.5	14502.1	76.6	15688.3	77.6	1186.27
77.5	14502.2	77.6	15688.5	78.6	1185.97
78.5	14502.4	78.6	15688.3	79.6	1186.23
79.5	14502.2	79.6	15688.5	80.6	1186.3
80.5	14502.2	80.6	15688.5	81.6	1186.06
81.5	14502.3	81.6	15688.3	82.6	1186.26
82.5	14502.2	82.6	15688.5	83.6	1186.36
83.5	14502.1	83.6	15688.5	84.6	1185.98
84.5	14502.4	84.6	15688.2	85.6	1185.94
85.5	14502.1	85.6	15688.2	86.6	1186.23
86.5	14502.3	86.6	15688.4	87.6	1186.17
87.5	14502.1	87.6	15688.4	88.6	1186.24
88.5	14502	88.6	15688.3	89.6	1186.75
89.5	14501.7	89.6	15688.6	90.6	1186.78
90.5	14501.6	90.6	15688.5	91.6	1186.53
91.5	14501.8	91.6	15688.3	92.6	1186.28
92.5	14502.3	92.6	15688.4	93.6	1186.09
93.5	14502	93.6	15688.3	94.6	1186.13
94.5	14502.1	94.6	15688.2	95.6	1186.16
95.5	14502.1	95.6	15688.2	96.6	1186.39
96.5	14502	96.6	15688.4	97.6	1186.27
97.5	14501.8	97.6	15688.2	98.6	1186.23
98.5	14501.7	98.6	15688	99.6	1186.13
99.5	14501.6	99.6	15687.8	100.6	1186.05
100.5	14501.7	100.6	15687.7	101.6	1186.33
101.5	14501.5	101.6	15687.9	102.6	1186.18
102.5	14501.7	102.6	15687.8	103.6	1186.09
103.5	14501.9	103.6	15687.9	104.6	1186.28
104.5	14501.8	104.6	15688.1	105.6	1186.21
105.5	14501.9	105.6	15688.1	106.6	1186.04
106.5	14501.7	106.6	15687.9	107.6	1185.89
107.5	14501.8	107.6	15687.6	108.6	1185.87
108.5	14501.8	108.6	15687.7	109.6	1185.94
109.5	14501.7	109.6	15687.7	110.6	1186.17
110.5	14501.7	110.6	15687.9	111.6	1186.12
111.5	14501.8	111.6	15687.9	112.6	1186.13
112.5	14501.7	112.6	15687.9	113.6	1186.01
113.5	14501.7	113.6	15687.7	114.6	1186.23
114.5	14501.7	114.6	15688	115.6	1185.98
115.5	14501.8	115.6	15687.7	116.6	1186.01
116.5	14501.7	116.6	15687.8	117.6	1186.02
117.5	14501.8	117.6	15687.8	118.6	1185.83
118.5	14501.7	118.6	15687.6	119.6	1186.05
119.5	14501.8	119.6	15687.8	120.6	1186.12
120.5	14501.6	120.6	15687.8	121.6	1185.87
121.5	14501.9	121.6	15687.6	122.6	1186.04
122.5	14501.7	122.6	15687.8	123.6	1186
123.5	14501.8	123.6	15687.7	124.6	1185.65
124.5	14502	124.6	15687.5	125.6	1185.9
125.5	14501.7	125.6	15687.7	126.6	1186.16
126.5	14501.5	126.6	15687.8	127.6	1185.88
127.5	14501.7	127.6	15687.5	128.6	1185.65
128.5	14502.1	128.6	15687.6	129.6	1186.35
129.5	14502	129.6	15688.4	130.6	1181.44
130.5	14531.2	130.6	15698	131.6	1192.49
131.5	14552.4	131.6	15734.3	132.6	1187.03
132.5	14552.3	132.6	15739.4	133.6	1187.89
133.5	14552.5	133.6	15740.3	134.6	1188.81
134.5	14552.2	134.6	15741.2	135.6	1189.55
135.5	14552.3	135.6	15741.8	136.6	1190.14
136.5	14552.4	136.6	15742.5	137.6	1191.23
137.5	14552.4	137.6	15743.7	138.6	1191.75
138.5	14552.6	138.6	15744.3	139.6	1192.49
139.5	14552.6	139.6	15745.1	140.6	1193.26
140.5	14552.6	140.6	15745.9	141.6	1193.91
141.5	14552.4	141.6	15746.4	142.6	1194.84
142.5	14552.3	142.6	15747.2	143.6	1195.39
143.5	14552.4	143.6	15747.8	144.6	1196.28
144.5	14552.3	144.6	15748.6	145.6	1196.73
145.5	14552.4	145.6	15749.1	146.6	1197
146.5	14552.6	146.6	15749.5	147.6	1197.63
