Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	17618	0.6	19229.7	1.6	1611.49
1.5	17618.2	1.6	19229.6	2.6	1611.23
2.5	17618.3	2.6	19229.5	3.6	1611.31
3.5	17618.3	3.6	19229.6	4.6	1611.39
4.5	17618.1	4.6	19229.6	5.6	1611.32
5.5	17618.2	5.6	19229.5	6.6	1611.18
6.5	17618.1	6.6	19229.3	7.6	1611.17
7.5	17618.3	7.6	19229.4	8.6	1611.26
8.5	17618.1	8.6	19229.5	9.6	1611.44
9.5	17618	9.6	19229.5	10.6	1611.79
10.5	17618.1	10.6	19229.8	11.6	1611.86
11.5	17618.1	11.6	19230	12.6	1611.52
12.5	17618	12.6	19229.6	13.6	1611.54
13.5	17618.1	13.6	19229.6	14.6	1611.65
14.5	17618.3	14.6	19229.8	15.6	1611.25
15.5	17618.2	15.6	19229.5	16.6	1611.14
16.5	17618.2	16.6	19229.4	17.6	1611.11
17.5	17618.4	17.6	19229.4	18.6	1611.04
18.5	17618.3	18.6	19229.4	19.6	1610.92
19.5	17618.4	19.6	19229.3	20.6	1611.17
20.5	17618.4	20.6	19229.6	21.6	1611.15
21.5	17618.4	21.6	19229.5	22.6	1611.33
22.5	17618.1	22.6	19229.6	23.6	1611.46
23.5	17618.2	23.6	19229.6	24.6	1611.04
24.5	17618	24.6	19229.1	25.6	1610.97
25.5	17617.9	25.6	19228.9	26.6	1611.52
26.5	17617.6	26.6	19229.3	27.6	1611.91
27.5	17618.1	27.6	19229.8	28.6	1611.27
28.5	17618.4	28.6	19229.5	29.6	1611.31
29.5	17618.3	29.6	19229.7	30.6	1610.59
30.5	17616.6	30.6	19228.1	31.6	1611.64
31.5	17616.7	31.6	19228.3	32.6	1611.52
32.5	17616.7	32.6	19228.2	33.6	1612.08
33.5	17616.9	33.6	19228.8	34.6	1611.77
34.5	17618.4	34.6	19229.4	35.6	1611.34
35.5	17618.4	35.6	19229.8	36.6	1611.31
36.5	17618.2	36.6	19229.6	37.6	1611.42
37.5	17618.4	37.6	19229.7	38.6	1611.02
38.5	17618.6	38.6	19229.6	39.6	1611.12
39.5	17618.5	39.6	19229.7	40.6	1611.4
40.5	17618.6	40.6	19230	41.6	1611.14
41.5	17618.5	41.6	19229.7	42.6	1611.04
42.5	17618.5	42.6	19229.6	43.6	1611.06
43.5	17618.3	43.6	19229.5	44.6	1611.38
44.5	17618.4	44.6	19229.7	45.6	1611.06
45.5	17618.2	45.6	19229.4	46.6	1611.21
46.5	17618.3	46.6	19229.5	47.6	1611.17
47.5	17618.4	47.6	19229.5	48.6	1611.1
48.5	17618.3	48.6	19229.4	49.6	1611.21
49.5	17618.3	49.6	19229.5	50.6	1611.26
