x	y
1	0.000000
2	-0.046962
3	-0.070442
4	-0.082183
5	-0.393303
6	0.061637
7	0.594357
8	0.860717
9	0.688647
10	1.213112
11	1.170094
12	1.453836
13	2.206206
14	1.666642
15	2.007359
16	2.177718
17	2.873398
18	2.610737
19	2.479407
20	2.413742
21	1.770409
22	1.753993
23	1.745785
24	2.046931
25	1.587004
26	1.662290
27	2.005184
28	2.176630
29	1.957104
30	2.152590
31	1.945084
32	1.536080
33	1.636829
34	1.381953
35	0.949265
36	0.427671
37	0.777374
38	0.341725
39	0.429151
40	0.472864
41	0.799970
42	0.963524
43	0.740050
44	0.628314
45	0.572445
46	0.849761
47	0.683169
48	0.599873
49	1.168725
50	1.758401
51	1.747989
52	2.353283
53	2.655930
54	1.586253
55	1.661915
56	2.004996
57	2.481786
58	2.109682
59	1.923629
60	1.830603
61	1.478840
62	0.997708
63	0.451893
64	0.484235
65	-0.110094
66	-0.407259
67	-0.250591
68	-0.172257
69	-0.743590
70	-0.724007
71	-0.408965
72	-0.251444
73	-0.172684
74	-0.133303
75	0.191637
76	0.354107
77	-0.480408
78	-0.287166
79	0.419956
80	0.163016
81	0.645047
82	0.886062
83	1.311819
84	1.219448
85	0.868013
86	0.997545
87	1.062311
88	1.094694
89	1.110885
90	0.813731
91	0.665154
92	-0.019635
93	0.248471
94	0.993024
95	1.060050
96	1.093564
97	1.110320
98	0.202949
99	0.054513
100	0.590795
101	-0.056814
102	0.840381
103	0.678479
104	0.902778
105	1.320177
106	1.223627
107	0.870102
108	0.998589
109	1.062833
110	1.094955
111	0.805766
112	1.576921
113	1.962499
114	1.544788
115	1.335932
116	1.231505
117	0.874041
118	1.000559
119	1.674318
120	1.705947
121	1.416512
122	1.271795
123	1.199436
124	0.858006
125	0.992542
126	1.365059
127	1.246068
128	1.491823
129	1.919950
130	1.828763
131	1.783170
132	1.760374
133	1.138475
134	1.438026
135	1.282551
136	1.204814
137	0.860696
138	0.993886
139	0.755232
140	0.941154
141	1.339366
142	0.927971
143	0.722274
144	0.008926
145	0.873251
146	1.915914
147	2.131995
148	2.240036
149	2.294057
150	2.626317
151	3.097697
152	3.333387
153	4.061732
154	3.815404
155	2.776491
156	2.562284
157	2.760430
158	3.775254
159	3.672165
160	3.925871
161	4.052724
162	4.726650
163	4.758364
164	5.079470
165	5.545274
166	5.472925
167	5.436751
168	6.029164
169	6.935870
170	5.862974
171	7.463275
172	7.652926
173	7.747752
174	7.489914
175	8.581996
176	9.128036
177	8.790557
178	9.232317
179	10.063697
180	9.563637
181	9.618857
182	9.646467
183	10.576022
184	7.988299
185	8.525938
186	8.184258
187	8.929167
188	8.996372
189	9.029975
190	9.352026
191	9.818301
192	9.746189
193	9.404883
194	9.539480
195	10.522528
196	10.403553
197	10.649315
198	10.772196
199	9.917886
200	10.101232
201	10.192904
202	10.543991
203	9.498534
204	10.502055
205	10.393316
206	10.033697
207	11.685387
208	11.290232
209	11.092654
210	12.214866
211	11.860221
212	12.598649
213	12.052113
214	11.473595
215	12.405336
216	12.565956
217	12.646267
218	12.381172
219	11.943374
220	11.724476
221	12.225526
222	12.170802
223	11.838189
224	12.282383
225	12.504480
226	12.615528
227	12.976303
228	14.072440
229	14.010008
230	13.673543
231	13.505310
232	13.421193
233	13.684385
234	14.121231
235	14.644904
236	14.601490
237	14.579784
238	14.874180
239	15.326629
240	15.247603
241	15.208090
242	14.577833
243	14.262705
244	14.715641
245	14.942109
246	14.750093
247	14.959335
248	15.063956
249	15.116266
250	14.837172
251	15.002874
252	15.085726
253	15.127151
254	14.537364
255	14.242471
256	14.095024
257	14.021300
258	13.679189
259	14.118633
260	14.033105
261	13.990341
262	14.274209
263	14.416143
264	14.792360
265	14.980468
266	14.769273
267	15.274175
268	15.526626
269	15.652851
270	15.410714
271	14.679146
272	14.923861
273	15.656719
274	15.412648
275	15.290612
276	15.534845
277	15.351711
278	15.260144
279	15.214360
280	14.275719
281	13.806398
282	13.876987
283	14.217532
284	13.777305
285	13.557191
286	13.447134
287	14.002605
288	13.975091
289	14.266584
290	14.412330
291	14.485204
292	14.216390
293	14.692484
294	14.930530
295	15.354804
296	15.872190
297	16.130884
298	16.260230
299	16.324904
300	15.746740
301	15.762909
302	16.076243
303	15.317160
304	15.548118
305	15.053098
306	14.805587
307	14.987082
308	14.772580
309	14.665328
310	15.527453
311	15.958515
312	16.479296
313	15.823936
314	15.191007
315	15.179792
316	14.868934
317	15.018756
318	15.398916
319	15.894247
320	16.141912
321	15.960494
322	16.175036
323	16.892806
324	16.641192
325	16.515384
326	16.757731
327	16.573654
328	16.481615
329	16.435596
330	16.412587
331	16.095832
332	15.632204
333	15.400391
334	15.589734
335	15.989655
336	15.579116
337	15.679097
338	15.118587
339	15.143582
340	14.850829
341	14.399203
342	14.478640
343	14.823608
344	14.690843
345	14.624460
346	14.896518
347	15.032548
348	15.100562
349	14.829320
350	14.693698
351	14.625888
352	14.591982
353	14.575030
354	14.261303
355	14.409690
356	13.873384
357	13.910480
358	13.929029
359	14.548803
360	14.858690
361	14.708383
362	15.243730
363	15.206154
364	15.492615
365	15.330596
366	14.639086
367	14.293332
368	14.425704
369	15.102391
370	15.135484
371	15.152030
372	15.160304
373	14.859190
374	15.319134
375	14.938605
376	15.053591
377	15.111084
378	15.139830
379	15.154204
380	15.161390
381	15.164984
382	15.166780
383	15.167679
384	14.557628
385	14.557852
386	14.557965
387	14.252771
388	14.405424
389	14.481750
390	14.214664
391	14.081120
392	13.709099
393	13.828338
394	13.887957
395	13.612517
396	12.864297
397	13.405937
398	13.371507
399	13.049042
400	12.582559
401	12.654568
402	12.690573
403	12.403325
404	12.870201
405	13.103639
406	13.220358
407	14.194467
408	14.681522
409	14.925050
410	14.741563
411	14.649820
412	14.603949
413	14.581013
414	15.180045
415	15.174311
416	15.171444
417	15.170010
418	14.864044
419	14.711060
420	14.634569
421	14.596323
422	14.882450
423	15.025513
424	14.791795
425	15.590686
426	15.990131
427	16.189854
428	15.984466
429	15.881771
430	16.135674
431	16.262626
432	16.020851
433	15.899964
434	15.534270
435	15.351424
436	15.565250
437	15.061664
438	14.809870
439	14.989224
440	15.078900
441	14.818489
442	13.772533
443	13.554805
444	13.751191
445	13.849384
446	14.814230
447	15.296654
448	14.927365
449	15.047971
450	15.413524
451	15.291050
452	14.314064
453	15.351820
454	15.565449
455	15.367013
456	15.267795
457	15.218186
458	15.193381
459	15.180979
460	15.174778
461	15.171677
462	14.864877
463	15.321977
464	15.550527
465	15.664802
466	15.721939
467	15.750508
468	15.764793
469	15.771935
470	16.080756
471	15.929916
472	15.854497
473	16.122037
474	15.950557
475	16.170067
476	15.974572
477	15.876824
478	16.133201
479	16.261389
480	16.325483
481	16.357530
482	16.678803
483	17.144690
484	17.072384
485	17.036230
486	16.712904
487	16.551240
488	16.775659
489	16.887868
490	16.943972
491	16.972025
492	16.986051
493	16.993064
494	16.996570
495	16.998324
496	16.693950
497	16.541764
498	16.160420
499	15.664499
500	16.027038
501	16.208307
502	15.993692
503	15.886385
504	15.527481
505	14.737529
506	14.953053
507	14.755565
508	14.962071
509	14.760074
510	14.964325
511	15.066451
512	15.117514
513	15.753545
514	15.766311
515	15.467444
516	15.623260
517	16.006419
518	15.892748
519	15.835912
520	15.807495
521	15.793286
522	15.786181
523	15.782629
524	15.780853
525	16.390465
526	16.390021
527	16.389799
528	16.694938
529	16.847507
530	16.923792
531	16.351435
532	15.760006
533	15.769541
534	15.774309
535	16.387193
536	16.693635
537	17.457356
538	17.533966
539	16.351272
540	16.065174
541	15.922126
542	15.850601
543	15.814839
544	15.491708
545	15.024892
546	14.791485
547	15.285281
548	14.311179
549	13.824128
550	13.885852
551	13.916715
552	14.237396
553	14.397736
554	14.783157
555	14.670617
556	14.919597
557	15.654587
558	15.716832
559	15.442704
560	15.610891
561	15.694984
562	16.652780
563	16.521179
564	16.455378
565	16.117227
566	16.253402
567	16.321490
568	16.660783
569	16.525180
570	16.457378
571	16.423478
572	17.322277
573	16.855927
574	16.928002
575	16.964039
576	16.371558
577	15.464818
578	15.621947
579	16.005762
580	15.587170
581	15.377873
582	15.578475
583	15.068276
584	14.813176
585	14.685627
586	14.316602
587	14.437339
588	14.497708
589	14.527893
590	14.542985
591	14.550531
592	15.470054
593	15.319315
594	15.243946
595	15.511512
596	15.950544
597	15.864811
598	16.127194
599	15.953135
600	16.171356
601	15.975217
602	15.571897
603	15.370237
604	15.574657
605	16.287367
606	16.643722
607	16.821899
608	16.910988
609	16.650283
610	16.519930
611	17.065253
612	17.948415
613	17.779496
614	17.389786
615	17.500182
616	17.555379
617	17.277728
618	17.138903
619	17.679990
620	17.950533
621	18.085805
622	17.542941
623	16.966259
624	16.983168
625	16.991622
626	16.690600
627	16.540088
628	17.075333
629	17.342955
630	17.171516
631	18.001546
632	18.111312
633	18.166194
634	18.804136
635	18.817856
636	18.519467
637	18.980772
638	18.906174
639	17.953126
640	18.087101
641	18.154089
642	18.187583
643	17.899080
644	17.144328
645	17.072203
646	16.730890
