211202_kinetic_519, 00 Fc=3 - 1_X	211202_kinetic_519, 00 Fc=3 - 1_Y	211202_kinetic_519, 00 Fc=3 - 2_X	211202_kinetic_519, 00 Fc=3 - 2_Y	211202_kinetic_519, 00 Fc=3 - 3_X	211202_kinetic_519, 00 Fc=3 - 3_Y	211202_kinetic_519, 00 Fc=3 - 4_X	211202_kinetic_519, 00 Fc=3 - 4_Y	211202_kinetic_519, 00 Fc=3 - 5_X	211202_kinetic_519, 00 Fc=3 - 5_Y	211202_kinetic_519, 00 Fc=3 - 6_X	211202_kinetic_519, 00 Fc=3 - 6_Y	211202_kinetic_519, 00 Fc=4 - 1_X	211202_kinetic_519, 00 Fc=4 - 1_Y	211202_kinetic_519, 00 Fc=4 - 2_X	211202_kinetic_519, 00 Fc=4 - 2_Y	211202_kinetic_519, 00 Fc=4 - 3_X	211202_kinetic_519, 00 Fc=4 - 3_Y	211202_kinetic_519, 00 Fc=4 - 4_X	211202_kinetic_519, 00 Fc=4 - 4_Y	211202_kinetic_519, 00 Fc=4 - 5_X	211202_kinetic_519, 00 Fc=4 - 5_Y	211202_kinetic_519, 00 Fc=4 - 6_X	211202_kinetic_519, 00 Fc=4 - 6_Y
0.7	7.58594	0.7	4.66406	0.7	3.29688	0.7	2.50781	0.7	1.30469	0.7	1.81641	0.8	-1.86328	0.8	2.61719	0.8	3.90625e-3	0.8	1.65625	0.8	-0.605469	0.8	1.24219
1.7	8.08984	1.7	4.21094	1.7	2.77734	1.7	2.10938	1.7	1.19922	1.7	1.05469	1.8	-1.86719	1.8	2.26563	1.8	-0.703125	1.8	-0.4375	1.8	-1.96094	1.8	-0.269531
2.7	7.57422	2.7	4.17969	2.7	2.40234	2.7	2	2.7	1.05078	2.7	1.91797	2.8	-0.671875	2.8	0.660156	2.8	1.52344	2.8	-0.539063	2.8	-2.01172	2.8	0.527344
3.7	7.38672	3.7	3.86328	3.7	2.90234	3.7	1.86328	3.7	1.26172	3.7	1.41797	3.8	-1.48047	3.8	3.10938	3.8	0.0898438	3.8	0.863281	3.8	-0.84375	3.8	-0.75
4.7	7.74219	4.7	4.33203	4.7	2.64844	4.7	2.125	4.7	1.19141	4.7	1.27344	4.8	-0.390625	4.8	1.75781	4.8	2.03125	4.8	0.417969	4.8	-1.30469	4.8	0.800781
5.7	7.34375	5.7	4.22656	5.7	2.40234	5.7	1.71484	5.7	0.742188	5.7	1.46484	5.8	-1.46875	5.8	0.890625	5.8	-1.17578	5.8	0.867188	5.8	-0.796875	5.8	1.11719
6.7	6.57422	6.7	4.28125	6.7	2.22656	6.7	1.44922	6.7	1.06641	6.7	0.859375	6.8	-0.902344	6.8	-0.132813	6.8	-0.152344	6.8	1.49609	6.8	-1.16016	6.8	0.691406
7.7	6.94922	7.7	3.68359	7.7	2.46875	7.7	1.47266	7.7	0.875	7.7	1.00781	7.8	-1.61719	7.8	1.06641	7.8	0.644531	7.8	0.273438	7.8	-2.72656	7.8	-0.109375
8.7	5.81641	8.7	3.83594	8.7	2.64844	8.7	1.08984	8.7	0.949219	8.7	1.10156	8.8	-2.00391	8.8	0.792969	8.8	0.453125	8.8	0.394531	8.8	-0.476563	8.8	0.644531
9.7	6.09375	9.7	3.80469	9.7	2.63672	9.7	1.46875	9.7	0.90625	9.7	1.21094	9.8	-1.07422	9.8	1.24219	9.8	-0.734375	9.8	0.0429688	9.8	-0.269531	9.8	0.195313
10.7	5.87891	10.7	3.39453	10.7	2.32031	10.7	1.26172	10.7	0.945313	10.7	1.22656	10.8	-0.320313	10.8	-0.148438	10.8	-0.984375	10.8	1.57813	10.8	-1.31641	10.8	-0.121094
11.7	5.94141	11.7	2.94141	11.7	1.83984	11.7	1.39844	11.7	0.644531	11.7	0.996094	11.8	-1.39453	11.8	1.43359	11.8	-1.44922	11.8	0.214844	11.8	0.503906	11.8	0.0820313
