x	y
1	-6.5155188
2	-6.5248889
3	-6.5306667
4	-6.5037778
5	-6.5022183
6	-6.4982143
7	-6.4971825
8	-6.5046250
9	-6.5000000
10	-6.5004426
11	-6.5100000
12	-6.5150000
13	-6.5188333
14	-6.5167857
15	-6.5146067
16	-6.5166293
17	-6.5147159
18	-6.5058177
19	-6.5095856
20	-6.5152162
21	-6.5201515
22	-6.5211111
23	-6.5210000
24	-6.5120926
25	-6.5091667
26	-6.5147315
27	-6.5165079
28	-6.5234656
29	-6.5237126
30	-6.5167239
31	-6.5172727
32	-6.5165873
33	-6.5161412
34	-6.5219981
35	-6.5290609
36	-6.5275000
37	-6.5150000
38	-6.5150000
39	-6.5138689
40	-6.5103786
41	-6.4940807
42	-6.4975556
43	-6.4990000
44	-6.5107168
45	-6.5130425
46	-6.5150068
47	-6.5091447
48	-6.5126389
49	-6.5193750
50	-6.5093750
51	-6.5105556
52	-6.5144907
53	-6.5141204
54	-6.5114772
55	-6.5039271
56	-6.5066667
57	-6.5116667
58	-6.5229606
59	-6.5278571
60	-6.5258981
61	-6.5293056
62	-6.5326181
63	-6.5414286
64	-6.5309259
65	-6.5330286
66	-6.5532222
67	-6.5494074
68	-6.5716667
69	-6.5589991
70	-6.5600000
71	-6.5421296
72	-6.5593519
73	-6.5485185
74	-6.5425000
75	-6.5391693
76	-6.5325000
77	-6.5226389
78	-6.5201389
79	-6.4916667
80	-6.4987500
81	-6.4950000
82	-6.4535000
83	-6.4359815
84	-6.4400000
85	-6.4362500
86	-6.4333333
87	-6.4368519
88	-6.4380556
89	-6.4188426
90	-6.4098672
91	-6.4129167
92	-6.4177778
93	-6.4204993
94	-6.4211852
95	-6.4060714
96	-6.4108590
97	-6.4183333
98	-6.4233333
99	-6.4237500
100	-6.4300000
101	-6.4351515
102	-6.4361364
103	-6.4438889
104	-6.4400000
105	-6.4263636
106	-6.4296334
107	-6.4305332
108	-6.4344972
109	-6.4355840
110	-6.4340278
111	-6.4336667
112	-6.4207816
113	-6.4391270
114	-6.4477831
115	-6.4523333
116	-6.4515361
117	-6.4517857
118	-6.4393254
119	-6.4416667
120	-6.4416667
121	-6.4317361
122	-6.4349306
123	-6.4325185
124	-6.4315545
125	-6.4328825
126	-6.4312500
127	-6.4312963
128	-6.4275772
