x	y
1	32263.5650850
2	32263.1160988
3	32262.6980772
4	32262.9419231
5	32262.6595752
6	32262.8697646
7	32263.5139381
8	32263.1356936
9	32263.1683515
10	32263.1026278
11	32262.6458245
12	32262.6458245
13	32262.5151927
14	32262.5151927
15	32262.6022806
16	32262.5780282
17	32262.6131666
18	32262.6453241
19	32262.4715284
20	32262.1232975
21	32261.9491218
22	32261.8620340
23	32261.8620340
24	32262.2539293
25	32262.4803576
26	32262.5805086
27	32262.5297074
28	32262.3845610
29	32262.4825348
30	32262.6107475
31	32262.5270684
32	32262.5338544
33	32262.5571620
34	32262.4543289
35	32262.4336306
36	32262.5151928
37	32263.1683515
38	32263.1683515
39	32263.1683515
40	32263.2366988
41	32263.1973808
42	32263.1683515
43	32263.1683515
44	32262.6877149
45	32262.6977898
46	32262.7680349
47	32262.8417721
48	32262.7111404
49	32262.9397459
50	32263.2663253
51	32263.1030356
52	32262.9336982
53	32262.9724039
54	32263.0258473
55	32262.9800855
56	32262.9070880
57	32262.9070880
58	32263.1442858
59	32262.8324413
60	32262.8384255
61	32262.9724039
62	32263.2928133
63	32263.4296150
64	32264.1650234
65	32264.1422409
66	32264.2134055
67	32264.4746690
68	32264.4746690
69	32265.5042898
70	32265.5197230
71	32267.1066569
72	32268.1323580
73	32269.2548234
74	32269.5693073
75	32271.7757904
76	32272.3125740
77	32273.9382136
78	32275.5638531
79	32277.7991075
80	32278.0603710
81	32279.1054250
82	32281.4045438
83	32282.5811972
84	32283.2856410
85	32283.4815886
86	32284.3306950
87	32285.1144855
88	32285.8692467
89	32287.2699094
90	32287.9579033
91	32287.9230681
92	32288.0174133
93	32287.9622944
94	32288.1973948
95	32289.1080847
96	32289.0756433
97	32289.0334380
98	32289.1205258
99	32289.0987539
100	32289.0334380
101	32288.8592623
102	32288.8434282
103	32288.8302331
104	32288.7721745
105	32288.7009208
106	32288.7395166
107	32288.9702993
108	32288.9028062
109	32288.8366636
110	32288.9681221
111	32288.9463502
112	32288.9884856
113	32288.0630307
114	32288.0519719
115	32288.0928894
116	32288.1006305
117	32288.0257074
118	32287.3704751
119	32287.1175057
120	32287.2045935
121	32287.1719356
122	32287.2372514
123	32287.3787692
124	32287.4446244
125	32287.3152366
126	32287.2045935
127	32287.1078292
128	32287.0699269
129	32287.3392601
130	32287.2336228
131	32287.2792402
132	32287.2792402
133	32287.2045935
134	32286.5272437
135	32286.5253084
136	32286.6014095
137	32286.8207821
138	32287.1387415
139	32287.2045935
140	32287.2045935
141	32286.8755950
142	32286.8388246
143	32286.4954497
144	32286.4581264
145	32286.4208030
146	32286.4208030
147	32286.4208030
148	32286.1595395
149	32286.3685503
150	32286.4033854
151	32286.4208030
152	32286.1595395
153	32286.1595395
154	32286.2466273
155	32286.4788616
156	32286.7110958
157	32286.7522979
158	32286.6350196
159	32286.6074198
160	32286.5526789
161	32286.4979379
162	32286.5078908
163	32286.4788616
164	32286.5262791
165	32286.9841310
166	32286.9433300
167	32286.7473824
168	32286.8008226
169	32287.1280618
170	32287.4553009
171	32287.4081992
172	32287.4762066
173	32287.3207106
174	32287.2283447
175	32287.1227837
176	32287.1396325
177	32287.1650491
178	32287.1175057
179	32287.2758472
180	32287.3419044
181	32287.4658570
182	32287.6226151
183	32288.0058016
184	32288.2015097
185	32288.0406367
186	32287.6151504
187	32287.5703624
188	32287.5758627
189	32287.0739618
190	32287.0304178
191	32287.0304178
192	32286.8562422
193	32286.4208030
194	32284.8338691
195	32284.7661342
196	32284.0694315
197	32283.1550092
198	32282.4292773
199	32282.3385608
200	32281.4567965
201	32281.1955330
202	32279.1099713
203	32278.3869504
204	32278.1305251
205	32277.8740998
206	32277.5378440
207	32277.5378440
208	32277.5378440
209	32275.9702630
210	32275.4477360
211	32274.0107868
212	32273.8075818
213	32273.9405934
214	32273.7813982
215	32273.6150019
216	32273.6842074
217	32273.5535756
218	32273.5608329
219	32273.3576280
220	32273.3576280
221	32273.3576280
222	32272.7770424
223	32272.7968853
224	32272.8223624
225	32272.8478396
226	32272.8324986
227	32272.7697851
228	32272.6760832
229	32272.9941188
230	32272.9972220
231	32272.7044693
232	32272.8351010
233	32272.8351010
234	32273.3769809
235	32273.3576280
236	32273.3576280
237	32273.3576280
238	32272.3512797
239	32272.4245441
240	32272.6982487
241	32272.6111609
242	32272.6111609
243	32273.3023341
244	32273.2626231
245	32273.1616804
246	32272.8626024
247	32272.8351010
248	32272.8351010
249	32272.8351010
250	32272.8724244
251	32273.3576280
252	32273.2705402
253	32273.0189531
254	32272.8351010
255	32273.2751237
256	32273.3576280
257	32273.1253938
258	32273.0963645
259	32273.1157174
260	32272.9092053
261	32272.9759195
262	32273.0426338
263	32273.0402136
264	32273.0217178
265	32273.0383059
266	32273.0963645
267	32272.5738375
268	32272.6311611
269	32272.7828483
270	32272.8351010
271	32273.0673352
272	32272.7873312
273	32272.7420361
274	32272.5798146
275	32272.6899546
276	32272.6260902
277	32272.5738375
278	32272.5606090
279	32272.5500863
280	32272.1982162
281	32272.3125740
282	32272.4519145
283	32272.4751380
284	32272.4983614
285	32272.6841488
286	32272.7977776
287	32272.9211722
288	32272.8351010
289	32272.8351010
290	32272.8351010
291	32272.7344896
292	32272.6609253
293	32272.7579347
294	32272.7189839
295	32272.3648267
296	32272.1484825
297	32272.6064954
298	32272.2254862
299	32272.1166264
300	32272.1383983
301	32272.5641611
302	32272.3416033
303	32272.2696764
304	32271.9374500
305	32272.1166264
306	32272.0839684
307	32272.0925626
308	32272.0457986
309	32271.7900470
310	32271.7900470
311	32271.7900470
312	32271.8771348
313	32271.8330397
314	32271.8422997
315	32271.5084630
316	32271.4242781
317	32271.4961256
318	32271.3546078
319	32271.3654938
320	32272.3125740
321	32272.3125740
322	32272.3416033
323	32272.3125740
324	32272.3125740
325	32272.3125740
326	32272.4432058
327	32272.4432058
328	32272.6270578
329	32272.5365141
330	32272.2711036
331	32272.1632806
332	32272.0044432
333	32271.9990578
334	32272.2305573
335	32272.0513105
336	32271.9642227
337	32271.5287835
338	32271.2675200
339	32271.5287835
340	32272.4432057
341	32272.6657635
342	32272.0186526
343	32271.7281761
344	32271.6300828
345	32271.7785263
346	32271.8771348
347	32271.8964877
348	32271.9158405
349	32271.5914910
350	32271.4142160
351	32271.4634676
352	32271.4097635
353	32271.5287835
354	32271.8190763
355	32271.8771348
356	32271.6187743
357	32271.6407536
358	32271.6000372
359	32271.6492990
360	32271.5737125
361	32271.6158713
362	32271.5940994
363	32271.7573891
364	32271.7791610
365	32271.7029592
366	32271.2191379
367	32271.3313844
368	32271.2675200
369	32271.1901086
370	32271.2675200
371	32271.2675200
372	32271.2094614
373	32271.1978497
374	32271.0062565
375	32271.0062565
376	32271.0715724
377	32271.1301059
378	32270.8733640
379	32271.6158713
380	32271.1630146
381	32270.8756248
382	32270.8976724
383	32270.9082827
384	32270.9300546
385	32271.0824584
386	32272.1492843
387	32272.0513105
388	32270.8669160
389	32270.8578563
390	32271.2127152
391	32271.6093047
392	32271.6826395
393	32271.7813374
394	32271.7610177
395	32270.4837295
396	32270.1702133
397	32270.2224660
398	32270.1851426
399	32270.2551239
400	32270.2766202
401	32270.3966417
402	32270.9772272
403	32271.1447886
404	32271.2675200
405	32271.3328359
406	32271.1850157
407	32271.2094614
408	32271.1368882
409	32270.3530977
410	32270.5359822
411	32271.0809032
412	32271.1555499
413	32271.0809032
414	32270.9343745
415	32270.9540038
416	32271.0062565
417	32270.9375029
418	32270.6686002
419	32270.7449930
420	32270.8353881
421	32270.8320808
422	32270.7624106
423	32270.7449930
424	32270.8875004
425	32270.9473183
426	32271.0071362
427	32270.9735986
428	32271.1107619
429	32270.8756248
430	32270.8272426
431	32270.8529647
432	32270.7449930
433	32270.9191687
434	32270.8196397
435	32270.9150741
436	32271.0726266
437	32270.7449930
438	32270.5099694
439	32270.5359822
440	32270.5592056
441	32270.5824290
442	32271.6089245
443	32271.3625249
444	32271.2217769
445	32271.1928733
446	32270.7972457
447	32270.8787824
448	32270.9191687
449	32270.7449930
450	32269.7325969
451	32269.7463858
452	32269.6128512
453	32269.4122185
454	32269.5099292
455	32270.4494222
456	32270.4314768
457	32270.4124758
458	32270.4837295
459	32270.5607200
460	32270.6330229
461	32270.9786096
462	32271.1555499
463	32271.0933443
464	32270.8224044
465	32270.7449930
466	32270.4837295
467	32270.4837295
468	32270.4837295
469	32270.3966417
470	32270.3530977
471	32270.2971127
472	32270.1571501
473	32270.0918342
474	32270.1353782
475	32270.7353166
476	32269.9612025
