x	y
1	-0.0334049
2	-0.0333116
3	-0.0333219
4	-0.0333242
5	-0.0332736
6	-0.0332615
7	-0.0332262
8	-0.0331395
9	-0.0331221
10	-0.0331416
11	-0.0331956
12	-0.0332263
13	-0.0332639
14	-0.0332880
15	-0.0332724
16	-0.0332470
17	-0.0331782
18	-0.0331216
19	-0.0331226
20	-0.0331238
21	-0.0331138
22	-0.0331189
23	-0.0330809
24	-0.0330302
25	-0.0329898
26	-0.0329677
27	-0.0329928
28	-0.0329761
29	-0.0328580
30	-0.0327322
31	-0.0326481
32	-0.0324489
33	-0.0322163
34	-0.0320919
35	-0.0318660
36	-0.0314169
37	-0.0308422
38	-0.0303719
39	-0.0295863
40	-0.0288536
41	-0.0276678
42	-0.0268579
43	-0.0251858
44	-0.0233570
45	-0.0219984
46	-0.0205440
47	-0.0189155
48	-0.0180359
49	-0.0168747
50	-0.0160938
51	-0.0169299
52	-0.0187065
53	-0.0203263
54	-0.0230434
55	-0.0252381
56	-0.0279552
57	-0.0291570
58	-0.0318219
59	-0.0339120
60	-0.0373084
61	-0.0389805
62	-0.0407049
63	-0.0433697
64	-0.0445716
65	-0.0454598
66	-0.0455121
67	-0.0469229
68	-0.0465572
69	-0.0465572
70	-0.0457734
71	-0.0458256
72	-0.0453553
73	-0.0448328
74	-0.0441535
75	-0.0438400
76	-0.0434220
77	-0.0428342
78	-0.0423508
79	-0.0418322
80	-0.0411751
81	-0.0404436
82	-0.0397385
83	-0.0392287
84	-0.0385001
85	-0.0374129
86	-0.0356799
87	-0.0310108
88	-0.0300126
89	-0.0302021
90	-0.0300244
91	-0.0295646
92	-0.0294004
93	-0.0291870
94	-0.0290860
95	-0.0290571
96	-0.0290612
97	-0.0291196
98	-0.0294662
99	-0.0300699
100	-0.0307844
101	-0.0318797
102	-0.0330254
103	-0.0342263
104	-0.0356102
105	-0.0371517
106	-0.0391895
107	-0.0407049
108	-0.0424814
109	-0.0436310
110	-0.0446761
111	-0.0445716
112	-0.0438923
113	-0.0420634
114	-0.0404958
115	-0.0395030
116	-0.0382490
117	-0.0365769
118	-0.0344345
119	-0.0317174
120	-0.0286345
121	-0.0258651
122	-0.0241930
123	-0.0218939
124	-0.0206921
125	-0.0189677
126	-0.0181839
127	-0.0172434
128	-0.0168776
129	-0.0161983
130	-0.0163551
131	-0.0165641
132	-0.0165119
133	-0.0163969
134	-0.0163499
135	-0.0163551
136	-0.0166686
137	-0.0164596
138	-0.0167005
139	-0.0171389
140	-0.0170148
141	-0.0172076
142	-0.0175308
143	-0.0175569
144	-0.0177708
145	-0.0178720
146	-0.0179823
147	-0.0182638
148	-0.0185570
149	-0.0184916
150	-0.0185236
151	-0.0187550
152	-0.0189366
153	-0.0188978
154	-0.0190135
155	-0.0192926
156	-0.0192828
157	-0.0193008
158	-0.0194823
159	-0.0195287
160	-0.0198400
161	-0.0199000
162	-0.0199781
163	-0.0202006
164	-0.0201896
165	-0.0203089
166	-0.0203524
167	-0.0204641
168	-0.0205320
169	-0.0206659
170	-0.0207313
171	-0.0207667
172	-0.0207966
173	-0.0208488
174	-0.0209925
175	-0.0211166
176	-0.0210998
177	-0.0211978
178	-0.0213489
179	-0.0214074
180	-0.0214448
181	-0.0214682
182	-0.0216225
183	-0.0217350
184	-0.0217278
185	-0.0217630
186	-0.0218379
187	-0.0218854
188	-0.0220301
189	-0.0220548
190	-0.0220120
191	-0.0220669
192	-0.0221312
193	-0.0221537
194	-0.0222071
195	-0.0222589
196	-0.0223008
197	-0.0224244
198	-0.0225081
199	-0.0225301
200	-0.0225322
201	-0.0225417
202	-0.0226632
203	-0.0227766
204	-0.0228070
205	-0.0228061
206	-0.0228366
207	-0.0228971
208	-0.0228861
209	-0.0229128
210	-0.0229581
211	-0.0230103
212	-0.0230976
213	-0.0231032
214	-0.0232043
215	-0.0232097
216	-0.0232329
217	-0.0232675
218	-0.0232712
219	-0.0233028
220	-0.0232661
221	-0.0232716
222	-0.0234593
223	-0.0234673
224	-0.0234642
225	-0.0234397
226	-0.0234615
227	-0.0235505
228	-0.0235611
229	-0.0235805
230	-0.0237037
231	-0.0237118
232	-0.0237068
233	-0.0237248
234	-0.0237730
235	-0.0238117
236	-0.0238534
237	-0.0239124
238	-0.0238728
239	-0.0238745
240	-0.0239331
241	-0.0239393
242	-0.0239086
243	-0.0239056
244	-0.0239521
245	-0.0240004
246	-0.0240494
247	-0.0240444
248	-0.0240426
249	-0.0239881
250	-0.0239816
251	-0.0240515
252	-0.0240755
253	-0.0240450
254	-0.0240382
255	-0.0240191
256	-0.0240154
257	-0.0240275
258	-0.0241098
259	-0.0241459
260	-0.0241820
261	-0.0241878
262	-0.0241916
263	-0.0242180
264	-0.0242782
265	-0.0243109
266	-0.0242941
267	-0.0242881
268	-0.0242714
269	-0.0242791
270	-0.0243444
271	-0.0243170
272	-0.0242782
273	-0.0242743
274	-0.0243106
275	-0.0242843
276	-0.0242946
277	-0.0242975
278	-0.0244116
279	-0.0244302
280	-0.0244159
281	-0.0244092
282	-0.0243870
283	-0.0243563
284	-0.0243889
285	-0.0244236
286	-0.0244856
287	-0.0244825
288	-0.0244669
289	-0.0245065
290	-0.0245209
291	-0.0245501
292	-0.0245805
293	-0.0245919
294	-0.0245892
295	-0.0245779
296	-0.0245689
297	-0.0245633
298	-0.0245544
299	-0.0245604
300	-0.0245484
301	-0.0245198
302	-0.0245262
303	-0.0245283
304	-0.0245811
305	-0.0245849
306	-0.0245886
307	-0.0246632
308	-0.0246313
309	-0.0246199
310	-0.0246056
311	-0.0245861
312	-0.0246096
313	-0.0246401
314	-0.0246306
315	-0.0246448
316	-0.0246562
317	-0.0246569
318	-0.0247450
319	-0.0247358
320	-0.0247235
321	-0.0246976
322	-0.0247280
323	-0.0247463
324	-0.0247490
325	-0.0247759
326	-0.0247836
327	-0.0247800
328	-0.0247971
329	-0.0248954
330	-0.0249144
331	-0.0249052
332	-0.0248786
333	-0.0248200
334	-0.0248259
335	-0.0248529
336	-0.0248654
337	-0.0248688
338	-0.0248662
339	-0.0248951
340	-0.0249467
341	-0.0249609
342	-0.0249446
343	-0.0249357
344	-0.0249225
345	-0.0248918
346	-0.0248880
347	-0.0248304
348	-0.0248636
349	-0.0249059
350	-0.0249053
351	-0.0249238
352	-0.0249703
353	-0.0250002
354	-0.0250281
355	-0.0250789
356	-0.0251014
357	-0.0250827
358	-0.0250123
359	-0.0249528
360	-0.0249768
361	-0.0249923
362	-0.0249755
363	-0.0249955
364	-0.0249869
365	-0.0249346
366	-0.0249245
367	-0.0249616
368	-0.0249521
369	-0.0249548
370	-0.0249635
371	-0.0249797
372	-0.0249855
373	-0.0249376
374	-0.0249331
375	-0.0249507
376	-0.0250317
377	-0.0250671
378	-0.0251017
379	-0.0250704
380	-0.0250529
381	-0.0250932
382	-0.0251620
383	-0.0251279
384	-0.0251553
385	-0.0251863
386	-0.0251956
387	-0.0252170
388	-0.0251586
389	-0.0251496
390	-0.0251563
391	-0.0251270
392	-0.0250907
393	-0.0250994
394	-0.0250961
395	-0.0251058
396	-0.0251106
397	-0.0250981
398	-0.0251090
399	-0.0251161
400	-0.0251222
