x	y
1	-0.0004058
2	-0.0004046
3	-0.0004048
4	-0.0004048
5	-0.0004042
6	-0.0004040
7	-0.0004036
8	-0.0004026
9	-0.0004023
10	-0.0004026
11	-0.0004032
12	-0.0004036
13	-0.0004041
14	-0.0004044
15	-0.0004042
16	-0.0004039
17	-0.0004030
18	-0.0004023
19	-0.0004024
20	-0.0004024
21	-0.0004022
22	-0.0004023
23	-0.0004018
24	-0.0004012
25	-0.0004007
26	-0.0004005
27	-0.0004008
28	-0.0004006
29	-0.0003991
30	-0.0003976
31	-0.0003966
32	-0.0003942
33	-0.0003913
34	-0.0003898
35	-0.0003871
36	-0.0003816
37	-0.0003747
38	-0.0003689
39	-0.0003594
40	-0.0003505
41	-0.0003361
42	-0.0003263
43	-0.0003059
44	-0.0002837
45	-0.0002672
46	-0.0002496
47	-0.0002298
48	-0.0002191
49	-0.0002050
50	-0.0001955
51	-0.0002057
52	-0.0002272
53	-0.0002469
54	-0.0002799
55	-0.0003066
56	-0.0003396
57	-0.0003542
58	-0.0003866
59	-0.0004119
60	-0.0004532
61	-0.0004735
62	-0.0004945
63	-0.0005268
64	-0.0005414
65	-0.0005522
66	-0.0005529
67	-0.0005700
68	-0.0005655
69	-0.0005655
70	-0.0005560
71	-0.0005567
72	-0.0005509
73	-0.0005446
74	-0.0005363
75	-0.0005325
76	-0.0005275
77	-0.0005203
78	-0.0005145
79	-0.0005082
80	-0.0005002
81	-0.0004913
82	-0.0004827
83	-0.0004765
84	-0.0004677
85	-0.0004545
86	-0.0004334
87	-0.0003767
88	-0.0003646
89	-0.0003669
90	-0.0003647
91	-0.0003591
92	-0.0003571
93	-0.0003545
94	-0.0003533
95	-0.0003530
96	-0.0003530
97	-0.0003537
98	-0.0003579
99	-0.0003653
100	-0.0003739
101	-0.0003873
102	-0.0004012
103	-0.0004158
104	-0.0004326
105	-0.0004513
106	-0.0004760
107	-0.0004945
108	-0.0005160
109	-0.0005300
110	-0.0005427
111	-0.0005414
112	-0.0005332
113	-0.0005110
