x	y
1	0.0212032
2	0.0211439
3	0.0211505
4	0.0211519
5	0.0211199
6	0.0211121
7	0.0210897
8	0.0210347
9	0.0210237
10	0.0210360
11	0.0210703
12	0.0210898
13	0.0211137
14	0.0211290
15	0.0211191
16	0.0211029
17	0.0210593
18	0.0210233
19	0.0210240
20	0.0210247
21	0.0210184
22	0.0210217
23	0.0209975
24	0.0209654
25	0.0209397
26	0.0209257
27	0.0209416
28	0.0209310
29	0.0208560
30	0.0207762
31	0.0207228
32	0.0205964
33	0.0204487
34	0.0203697
35	0.0202264
36	0.0199413
37	0.0195765
38	0.0192780
39	0.0187794
40	0.0183143
41	0.0175616
42	0.0170476
43	0.0159862
44	0.0148254
45	0.0139631
46	0.0130400
47	0.0120063
48	0.0114480
49	0.0107109
50	0.0102153
51	0.0107459
52	0.0118736
53	0.0129018
54	0.0146264
55	0.0160194
56	0.0177441
57	0.0185069
58	0.0201984
59	0.0215250
60	0.0236809
61	0.0247422
62	0.0258367
63	0.0275282
64	0.0282910
65	0.0288548
66	0.0288880
67	0.0297835
68	0.0295513
69	0.0295513
70	0.0290538
71	0.0290870
72	0.0287885
73	0.0284568
74	0.0280257
75	0.0278267
76	0.0275613
77	0.0271882
78	0.0268814
79	0.0265522
80	0.0261352
81	0.0256709
82	0.0252233
83	0.0248997
84	0.0244372
85	0.0237472
86	0.0226472
87	0.0196836
88	0.0190500
89	0.0191702
90	0.0190575
91	0.0187656
92	0.0186614
93	0.0185260
94	0.0184619
95	0.0184435
96	0.0184461
97	0.0184831
98	0.0187031
99	0.0190864
100	0.0195399
101	0.0202351
102	0.0209623
103	0.0217246
104	0.0226030
105	0.0235814
106	0.0248749
107	0.0258367
108	0.0269643
109	0.0276940
110	0.0283573
111	0.0282910
112	0.0278598
113	0.0266990
114	0.0257040
115	0.0250739
116	0.0242779
117	0.0232165
118	0.0218567
119	0.0201321
120	0.0181752
121	0.0164174
122	0.0153561
123	0.0138968
124	0.0131339
125	0.0120394
126	0.0115419
127	0.0109449
128	0.0107128
129	0.0102816
130	0.0103811
131	0.0105138
132	0.0104806
133	0.0104076
134	0.0103778
135	0.0103811
136	0.0105801
137	0.0104474
138	0.0106004
139	0.0108786
140	0.0107998
141	0.0109222
142	0.0111274
143	0.0111439
144	0.0112797
145	0.0113440
146	0.0114140
147	0.0115926
148	0.0117787
149	0.0117372
150	0.0117575
151	0.0119044
152	0.0120197
153	0.0119951
154	0.0120685
155	0.0122456
156	0.0122394
157	0.0122509
158	0.0123660
159	0.0123955
160	0.0125931
161	0.0126312
162	0.0126807
163	0.0128220
164	0.0128150
165	0.0128907
166	0.0129183
167	0.0129892
168	0.0130324
169	0.0131173
170	0.0131588
171	0.0131813
172	0.0132003
173	0.0132334
174	0.0133246
175	0.0134034
176	0.0133927
177	0.0134550
178	0.0135508
179	0.0135880
180	0.0136117
181	0.0136266
182	0.0137245
183	0.0137959
184	0.0137913
185	0.0138137
186	0.0138612
187	0.0138913
188	0.0139832
189	0.0139989
190	0.0139717
191	0.0140066
192	0.0140474
193	0.0140617
194	0.0140956
195	0.0141284
196	0.0141550
197	0.0142335
198	0.0142866
199	0.0143006
200	0.0143019
201	0.0143080
202	0.0143851
203	0.0144571
204	0.0144764
205	0.0144758
206	0.0144951
207	0.0145336
208	0.0145265
209	0.0145435
210	0.0145722
211	0.0146054
212	0.0146608
213	0.0146643
214	0.0147285
215	0.0147319
216	0.0147467
217	0.0147686
218	0.0147710
219	0.0147911
220	0.0147678
221	0.0147712
222	0.0148904
223	0.0148955
224	0.0148935
225	0.0148779
226	0.0148917
227	0.0149483
228	0.0149550
229	0.0149673
230	0.0150455
231	0.0150507
232	0.0150474
233	0.0150589
234	0.0150895
235	0.0151141
236	0.0151405
237	0.0151780
238	0.0151529
239	0.0151539
240	0.0151911
241	0.0151950
242	0.0151756
243	0.0151737
244	0.0152031
245	0.0152339
246	0.0152649
247	0.0152618
248	0.0152606
249	0.0152260
250	0.0152219
251	0.0152663
252	0.0152815
253	0.0152621
254	0.0152578
255	0.0152457
256	0.0152434
257	0.0152511
258	0.0153033
259	0.0153262
260	0.0153491
261	0.0153528
262	0.0153552
263	0.0153720
264	0.0154102
265	0.0154309
266	0.0154202
267	0.0154164
268	0.0154058
269	0.0154107
270	0.0154522
271	0.0154348
272	0.0154102
273	0.0154077
274	0.0154307
275	0.0154140
