x	y
1	3.2505061
2	3.2505203
3	3.2505423
4	3.2505644
5	3.2505708
6	3.2505824
7	3.2505829
8	3.2505795
9	3.2505737
10	3.2505882
11	3.2506056
12	3.2505882
13	3.2506135
14	3.2506405
15	3.2506405
16	3.2506405
17	3.2505360
18	3.2505387
19	3.2505621
20	3.2505656
21	3.2506013
22	3.2506309
23	3.2506257
24	3.2506204
25	3.2506215
26	3.2506405
27	3.2506361
28	3.2506351
29	3.2506829
30	3.2506890
31	3.2506862
32	3.2506787
33	3.2506927
34	3.2506875
35	3.2505942
36	3.2505947
37	3.2506091
38	3.2506405
39	3.2506405
40	3.2506289
41	3.2506248
42	3.2506367
43	3.2507476
44	3.2507450
45	3.2507355
46	3.2507226
47	3.2507188
48	3.2507254
49	3.2507279
50	3.2507303
51	3.2507480
52	3.2507659
53	3.2507806
54	3.2507864
55	3.2507711
56	3.2507498
57	3.2507972
58	3.2508724
59	3.2508690
60	3.2508691
61	3.2509781
62	3.2509932
63	3.2509914
64	3.2510324
65	3.2510585
66	3.2511901
67	3.2512378
68	3.2512512
69	3.2513187
70	3.2513851
71	3.2515563
72	3.2517779
73	3.2517900
74	3.2519177
75	3.2519337
76	3.2521297
77	3.2522284
78	3.2522603
79	3.2523126
80	3.2524214
81	3.2525540
82	3.2526489
83	3.2526957
84	3.2528002
85	3.2528481
86	3.2529161
87	3.2529396
88	3.2530209
89	3.2530441
90	3.2531834
91	3.2531747
92	3.2532476
93	3.2533054
94	3.2533247
95	3.2533441
96	3.2533315
97	3.2532947
98	3.2533634
99	3.2533944
100	3.2533968
101	3.2534016
102	3.2534065
103	3.2534708
104	3.2535463
105	3.2535209
106	3.2534935
107	3.2535111
108	3.2535144
109	3.2535492
110	3.2535927
111	3.2535856
112	3.2535797
113	3.2535748
114	3.2535700
115	3.2535736
116	3.2535927
117	3.2535829
118	3.2535862
119	3.2535862
120	3.2535927
121	3.2536140
122	3.2536094
123	3.2535964
124	3.2535971
125	3.2536051
126	3.2536143
127	3.2536235
128	3.2536165
129	3.2536096
130	3.2536188
131	3.2536078
132	3.2535881
133	3.2535840
134	3.2535353
135	3.2535283
136	3.2535220
137	3.2535106
138	3.2535340
139	3.2535248
140	3.2535239
141	3.2535144
142	3.2535330
143	3.2536276
144	3.2536271
145	3.2534945
146	3.2534964
147	3.2535208
148	3.2535381
149	3.2535927
150	3.2535898
151	3.2535898
152	3.2535666
153	3.2535509
154	3.2535601
155	3.2535412
156	3.2535517
157	3.2535402
158	3.2535731
159	3.2535763
160	3.2535470
161	3.2535407
162	3.2535425
163	3.2535443
164	3.2535457
165	3.2535457
166	3.2535466
167	3.2535599
168	3.2535608
169	3.2535492
170	3.2535300
171	3.2535195
172	3.2535039
173	3.2535049
174	3.2535666
175	3.2535638
176	3.2535470
177	3.2535231
178	3.2535419
179	3.2535405
180	3.2535405
181	3.2535372
182	3.2533788
183	3.2533837
184	3.2534166
185	3.2533837
186	3.2533837
187	3.2533547
188	3.2533402
189	3.2532662
190	3.2532008
191	3.2531225
192	3.2530180
193	3.2529812
194	3.2529444
195	3.2528960
196	3.2527741
197	3.2526561
198	3.2525608
199	3.2525346
200	3.2525085
201	3.2524432
202	3.2523648
203	3.2522022
204	3.2520784
205	3.2520835
206	3.2520949
207	3.2520448
208	3.2519523
209	3.2519011
210	3.2518945
211	3.2518945
212	3.2518423
213	3.2518423
214	3.2517770
215	3.2517508
216	3.2516855
217	3.2516725
218	3.2515941
219	3.2515549
220	3.2515353
221	3.2515624
222	3.2515723
223	3.2515778
224	3.2514794
225	3.2514736
226	3.2514788
227	3.2514951
228	3.2515330
229	3.2515157
230	3.2515157
231	3.2515320
232	3.2515192
233	3.2515213
234	3.2514907
235	3.2514652
236	3.2514399
237	3.2513480
238	3.2513693
239	3.2513785
240	3.2513720
241	3.2513372
242	3.2513384
243	3.2513357
244	3.2513103
245	3.2512965
246	3.2513008
247	3.2513806
248	3.2513832
249	3.2514073
250	3.2514112
251	3.2514047
252	3.2513981
253	3.2513916
254	3.2513430
255	3.2513473
256	3.2513616
257	3.2513530
