x	y
1	0.0160573
2	0.0160667
3	0.0160898
4	0.0161554
5	0.0161581
6	0.0161650
7	0.0161493
8	0.0161496
9	0.0161452
10	0.0161554
11	0.0161957
12	0.0161797
13	0.0161971
14	0.0162293
15	0.0162320
16	0.0162308
17	0.0161616
18	0.0161591
19	0.0161769
20	0.0161818
21	0.0161983
22	0.0162179
23	0.0162256
24	0.0162412
25	0.0162428
26	0.0162543
27	0.0162554
28	0.0162427
29	0.0162701
30	0.0162699
31	0.0162687
32	0.0162717
33	0.0162922
34	0.0162870
35	0.0162255
36	0.0162114
37	0.0162269
38	0.0162474
39	0.0162293
40	0.0162265
41	0.0162195
42	0.0162326
43	0.0163030
44	0.0163320
45	0.0163330
46	0.0163234
47	0.0163029
48	0.0163011
49	0.0163099
50	0.0163228
51	0.0163385
52	0.0163519
53	0.0163640
54	0.0163703
55	0.0163654
56	0.0163365
57	0.0163814
58	0.0164643
59	0.0164574
60	0.0164317
61	0.0164947
62	0.0165025
63	0.0164605
64	0.0164456
65	0.0164638
66	0.0165374
67	0.0165478
68	0.0164859
69	0.0165222
70	0.0165450
71	0.0165095
72	0.0164678
73	0.0164340
74	0.0164745
75	0.0164441
76	0.0165169
77	0.0164635
78	0.0163312
79	0.0162449
80	0.0162543
81	0.0161862
82	0.0161844
83	0.0161963
84	0.0161250
85	0.0160924
86	0.0161311
87	0.0161213
88	0.0161221
89	0.0160968
90	0.0161742
91	0.0161106
92	0.0161569
93	0.0161254
94	0.0161105
95	0.0161048
96	0.0160894
97	0.0160587
98	0.0161109
99	0.0161209
100	0.0161065
101	0.0160888
102	0.0160765
103	0.0161020
104	0.0161452
105	0.0161244
106	0.0161022
107	0.0161099
108	0.0161115
109	0.0161443
110	0.0161524
111	0.0161440
112	0.0161363
113	0.0161407
114	0.0161314
115	0.0161022
116	0.0161094
117	0.0160961
118	0.0160982
119	0.0160908
120	0.0160360
121	0.0160446
122	0.0160367
123	0.0160279
124	0.0160314
125	0.0160367
126	0.0160346
127	0.0160451
128	0.0160308
129	0.0159671
130	0.0159696
131	0.0159377
132	0.0159335
133	0.0159801
134	0.0159424
135	0.0159430
136	0.0159372
137	0.0158482
138	0.0158697
139	0.0158657
140	0.0158817
141	0.0158743
142	0.0158867
143	0.0159345
144	0.0158972
145	0.0158078
146	0.0157877
147	0.0158074
148	0.0158226
149	0.0158619
150	0.0158372
151	0.0158321
152	0.0158176
153	0.0158088
154	0.0158133
155	0.0157999
156	0.0157801
157	0.0157705
158	0.0157791
159	0.0157689
160	0.0157085
161	0.0157020
162	0.0157056
163	0.0157030
164	0.0156931
165	0.0156776
166	0.0156750
167	0.0156874
168	0.0156260
169	0.0155882
170	0.0155912
171	0.0155882
172	0.0155927
173	0.0155933
174	0.0156325
175	0.0156279
176	0.0155912
177	0.0155689
178	0.0155747
179	0.0155717
180	0.0155385
181	0.0155571
182	0.0154598
183	0.0154715
184	0.0154765
185	0.0154052
186	0.0154319
187	0.0154182
188	0.0154137
189	0.0154050
190	0.0153671
191	0.0153248
192	0.0152671
193	0.0152747
194	0.0153404
195	0.0153906
196	0.0153340
197	0.0152756
198	0.0153257
199	0.0154079
200	0.0154556
201	0.0154307
202	0.0154823
203	0.0154321
204	0.0153622
205	0.0153832
206	0.0155432
207	0.0155509
208	0.0155359
209	0.0155111
210	0.0155071
211	0.0155072
