x	y
1	252.9777147
2	253.1263295
3	253.4894594
4	254.5229017
5	254.5654769
6	254.6738539
7	254.4276257
8	254.4310636
9	254.3628260
10	254.5229017
11	255.1578712
12	254.9060884
13	255.1804148
14	255.6872669
15	255.7305197
16	255.7116506
17	254.6199424
18	254.5810912
19	254.8625443
20	254.9397109
21	255.1984545
22	255.5069942
23	255.6289172
24	255.8752513
25	255.9004729
26	256.0817739
27	256.0991915
28	255.8979218
29	256.3293957
30	256.3274860
31	256.3088243
32	256.3554821
33	256.6783256
34	256.5955921
35	255.6279495
36	255.4047303
37	255.6500671
38	255.9716906
39	255.6867478
40	255.6435607
41	255.5331206
42	255.7396431
43	256.8482851
44	257.3058418
45	257.3207963
46	257.1699571
47	256.8474638
48	256.8184061
49	256.9578460
50	257.1604895
51	257.4079453
52	257.6188742
53	257.8101367
54	257.9081451
55	257.8309504
56	257.3768010
57	258.0836713
58	259.3892947
59	259.2810617
60	258.8758419
61	259.8693292
62	259.9912578
63	259.3301501
64	259.0956744
65	259.3824028
66	260.5416386
67	260.7050805
68	259.7301459
69	260.3025649
70	260.6604827
71	260.1023289
72	259.4443319
73	258.9121285
74	259.5500377
75	259.0717895
76	260.2184460
77	259.3765969
78	257.2922948
79	255.9337246
80	256.0817739
81	255.0076906
82	254.9792258
83	255.1673517
84	254.0448863
85	253.5304229
86	254.1405069
87	253.9850684
88	253.9991432
89	253.5997707
90	254.8190003
91	253.8174903
92	254.5462779
93	254.0497245
94	253.8150711
95	253.7255642
96	253.4836536
97	252.9998323
98	253.8223285
99	253.9799160
100	253.7521744
101	253.4739771
102	253.2804486
103	253.6820203
104	254.3625956
105	254.0344035
106	253.6846253
107	253.8054584
108	253.8320049
109	254.3479175
110	254.4753050
111	254.3428888
112	254.2223481
113	254.2916351
114	254.1452792
115	253.6851651
116	253.7988286
117	253.5888847
118	253.6215426
119	253.5054255
120	252.6418045
121	252.7772745
122	252.6532403
123	252.5145815
124	252.5696818
125	252.6535908
126	252.6197200
127	252.7856140
128	252.5603188
129	251.5563132
130	251.5965055
131	251.0936645
132	251.0274835
133	251.7612497
134	251.1671172
135	251.1762407
136	251.0850613
137	249.6837731
138	250.0219122
139	249.9594992
140	250.2116388
141	250.0944854
142	250.2904330
143	251.0425552
144	250.4552749
145	249.0467576
146	248.7294138
147	249.0411242
148	249.2801983
149	249.8985378
150	249.5102712
151	249.4301108
152	249.2018351
153	249.0627149
154	249.1327221
155	248.9225968
156	248.6108819
157	248.4584047
158	248.5946394
159	248.4330797
160	247.4818504
161	247.3802479
162	247.4366937
163	247.3963753
164	247.2401816
165	246.9956100
166	246.9549690
167	247.1502368
168	246.1827902
169	245.5876900
170	245.6342104
171	245.5863672
172	245.6573603
173	245.6668608
174	246.2843927
175	246.2121871
176	245.6342790
177	245.2828826
178	245.3737997
179	245.3264265
180	244.8038995
181	245.0967957
182	243.5641074
183	243.7491691
184	243.8265805
185	242.7041151
186	243.1243484
187	242.9087024
188	242.8382027
189	242.7001063
190	242.1041767
191	241.4365033
192	240.5286786
193	240.6478746
194	241.6832521
195	242.4743000
196	241.5816497
197	240.6623892
198	241.4510179
199	242.7464494
200	243.4975820
201	243.1056868
202	243.9185065
203	243.1284692
204	242.0267653
205	242.3567314
206	244.8784929
207	244.9998471
208	244.7631447
209	244.3726155
210	244.3093677
211	244.3114358
212	244.8332735
213	245.2393387
214	244.9345312
215	244.9345312
216	244.2571201
217	244.2219944
218	243.4860387
219	243.1888160
220	242.9097391
221	243.1803335
222	244.5561349
223	244.4526086
224	243.4743586
225	243.5364622
226	243.5915859
227	243.6833694
228	244.2078317
229	243.9378594
230	243.9547931
231	243.9608651
232	243.8768374
233	243.8522167
234	243.5961735
235	243.2969649
236	242.7625166
237	241.9729971
238	242.2508509
239	242.3872121
240	242.4089841
241	241.7122814
242	241.0715638
243	241.0446080
244	240.7899421
245	240.6527128
246	240.4688464
247	241.1481935
248	241.3626860
249	241.7851311
250	241.8283985
251	241.7352008
252	241.6712183
253	241.7170579
254	241.5034113
255	241.6389443
256	242.1989198
257	242.0880736
258	241.2546344
259	241.3494154
260	241.3871535
261	241.5235911
262	241.7945310
263	241.7908039
264	242.0464465
265	241.9227308
266	241.9191727
267	241.7013954
268	241.6010025
269	241.8719424
270	242.1278900
271	241.0446080
272	241.0059023
273	241.1761279
274	241.7040540
275	241.8973431
276	241.9713677
277	242.0628099
278	242.0915718
279	242.2565804
280	242.2202938
281	242.1636176
282	242.1912645
283	242.6927968
284	242.5980658
285	242.7177617
286	242.9968270
287	242.7050827
288	242.0195597
289	242.7699148
290	243.6711126
291	243.4298470
292	243.5943463
293	243.2817611
294	243.0940628
295	243.0998809
296	242.6149901
297	242.3659009
298	242.1483665
299	242.2590827
300	241.9454833
301	242.5796688
302	242.6194463
303	242.5178439
304	242.3364109
305	242.3364109
306	242.3100206
307	242.6029524
308	242.5831597
309	242.4745755
310	242.7062587
311	242.8908701
312	243.0895133
313	243.1840658
314	243.0804424
315	243.0123784
316	244.0263296
317	243.6776632
318	243.4553568
319	243.5158290
320	243.1692838
321	243.3717885
322	243.3915395
323	243.2552731
324	243.1850110
325	243.0450403
326	243.3322148
327	243.7604878
328	243.4436870
329	243.1187939
330	243.2996551
331	243.2646247
332	244.4592228
333	244.7232206
334	244.2112095
335	244.0548339
336	244.4232013
337	243.8814620
338	243.4540381
339	243.4201706
340	243.3500165
341	243.3447845
342	243.6605586
343	243.8086653
344	244.1673666
345	244.1652554
346	243.7152404
347	243.7552174
348	243.6717577
349	243.5943463
350	243.8265805
351	243.4258867
352	243.8333303
353	244.7059257
354	245.5795255
355	245.5223741
356	245.2103094
357	245.3481985
358	245.1957947
359	244.6471414
360	243.7232187
361	243.5613807
362	243.8491427
363	244.7329552
364	245.0097435
365	245.3742279
366	245.4892921
367	245.7955132
368	245.7571154
369	245.6621105
370	245.6946607
371	244.6993941
372	244.2465374
373	245.0170355
374	245.2498113
375	244.7458409
376	244.5752939
377	244.5976388
378	244.8387346
379	245.3272105
380	245.2340606
381	245.0091780
382	245.0027059
383	245.1409775
384	245.0472494
385	245.0303279
386	244.8589023
387	244.8751532
388	245.2767839
389	245.3699704
390	245.7618657
391	245.9469273
392	245.3148148
393	245.6856638
394	245.6856638
395	245.6842858
396	246.2081908
397	245.9628934
398	245.7466253
399	245.5006022
400	245.2424489
401	245.2932502
402	245.2530811
403	245.3086131
404	246.0541209
405	246.1174743
406	246.1139411
407	246.1211030
408	246.0823973
409	245.1850052
410	245.2349843
411	245.4309319
412	246.0231292
413	245.4193202
414	245.4947963
415	245.5296314
416	245.5658262
417	245.3854925
418	245.6747778
419	245.7394046
420	245.4447330
421	245.5356792
422	245.9904065
423	245.9360413
424	246.0947840
425	246.3424512
426	246.3032617
427	246.0812798
428	246.1102170
429	246.0122432
430	246.0277127
431	246.2859205
432	246.8247447
433	246.9405487
434	247.0521407
435	246.8940075
436	246.6327440
437	246.7633758
438	246.8106038
439	246.9714189
440	246.9810953
441	247.0318966
442	246.7875668
443	246.4779212
444	246.9094407
445	247.1552710
446	247.1552710
447	247.3642818
448	247.4184698
449	247.2343758
450	247.0572972
451	246.5187004
452	246.5809464
453	246.6675791
454	246.5804913
455	246.4702535
456	246.6849967
457	247.0246393
458	247.9129352
459	247.9042264
460	247.6517819
461	247.5827931
462	247.3468642
463	247.2790274
464	247.2739345
465	247.1600212
466	246.5979089
467	246.8069197
468	246.8843311
469	247.6777980
470	248.3070076
471	248.2059705
472	248.3492162
473	248.2894577
474	248.3924694
475	248.4776961
476	248.4488254
