x	y
1	5.1886733
2	5.1830146
3	5.1830965
4	5.1854040
5	5.1932998
6	5.1988395
7	5.1924107
8	5.1931944
9	5.1950000
10	5.2051481
11	5.2087500
12	5.2062500
13	5.1898214
14	5.2117870
15	5.2126698
16	5.2123391
17	5.2066667
18	5.2008889
19	5.2012500
20	5.2014286
21	5.2167381
22	5.2150000
23	5.2137500
24	5.2094074
25	5.2110556
26	5.2136258
27	5.2061111
28	5.2150000
29	5.2166034
30	5.2206285
31	5.2174737
32	5.2050000
33	5.2064286
34	5.2269091
35	5.2257314
36	5.2251620
37	5.2208333
38	5.2233333
39	5.2247778
40	5.2225556
41	5.2209140
42	5.2193735
43	5.2345153
44	5.2402963
45	5.2328571
46	5.2366720
47	5.2411380
48	5.2517540
49	5.2402083
50	5.2400000
51	5.2405000
52	5.2521444
53	5.2516667
54	5.2447037
55	5.2434539
56	5.2374769
57	5.2389286
58	5.2440000
59	5.2573333
60	5.2619298
61	5.2593381
62	5.2633333
63	5.2482143
64	5.2699916
65	5.2783333
66	5.3208333
67	5.3225000
68	5.2975000
69	5.3100000
70	5.3337037
71	5.3300000
72	5.2946296
73	5.2621496
74	5.2658276
75	5.2619913
76	5.2700000
77	5.2644444
78	5.2125000
79	5.2100000
80	5.1411111
81	5.1492593
82	5.1650820
83	5.1226667
84	5.1417593
85	5.1215000
86	5.1198148
87	5.0887500
88	5.0950000
89	5.1000000
90	5.1091852
91	5.1043750
92	5.0750000
93	5.0771144
94	5.0800000
95	5.0896667
96	5.0887500
97	5.1025000
98	5.0702778
99	5.0718750
100	5.0711111
101	5.0637500
102	5.0783333
103	5.0723704
104	5.0693355
105	5.0644737
106	5.0551136
107	5.0424282
108	5.0536514
109	5.0474769
110	5.0460317
111	5.0407090
112	5.0345000
113	5.0327037
114	5.0419466
115	5.0115556
116	5.0033333
117	5.0005907
118	5.0045833
119	5.0053452
120	4.9912500
121	4.9932831
122	4.9919211
123	4.9877778
124	4.9836372
125	4.9791520
126	4.9585513
127	4.9555864
128	4.9587212
129	4.9579900
130	4.9569006
131	4.9530000
132	4.9586006
133	4.9505556
134	4.9408333
135	4.9350926
136	4.9326190
137	4.9356878
138	4.9185714
139	4.9185979
140	4.9157456
141	4.9033333
142	4.8961806
143	4.8887052
144	4.8931282
145	4.8944330
146	4.8937925
147	4.8914667
148	4.8659405
149	4.8723611
150	4.8588889
151	4.8430303
152	4.8422222
153	4.8410014
154	4.8395455
155	4.8430130
156	4.8220833
157	4.8150633
158	4.8103585
159	4.7988081
160	4.8002778
161	4.7996777
162	4.7842105
163	4.7832489
164	4.7855985
165	4.7850682
166	4.7740985
167	4.7686111
168	4.7708730
169	4.7679913
170	4.7576316
171	4.7408772
172	4.7475117
173	4.7303326
174	4.7160480
175	4.7193750
176	4.7156134
177	4.7185278
178	4.7091477
179	4.7063657
180	4.7100000
181	4.7086991
182	4.7039352
183	4.6953704
184	4.6713228
185	4.6410582
186	4.6398553
187	4.6251369
188	4.6228260
189	4.6178309
190	4.5906135
191	4.5793750
192	4.5800000
193	4.5920000
194	4.5787222
195	4.5696667
196	4.6172727
197	4.6223810
198	4.5962500
199	4.6386111
200	4.6204630
201	4.6433333
202	4.6350000
203	4.6546296
204	4.6633333
205	4.6678704
206	4.6275000
207	4.6554444
208	4.6590278
209	4.6684470
210	4.6716667
211	4.6811111
212	4.6838889
213	4.6812500
214	4.6665556
215	4.6682963
216	4.6626620
217	4.6566498
218	4.6546276
219	4.6405556
220	4.6356224
221	4.6356250
222	4.6418989
223	4.6417593
224	4.6376852
225	4.6455710
226	4.6424545
227	4.6303333
228	4.6188397
229	4.6185714
230	4.6184170
231	4.6165000
232	4.6109304
233	4.6025000
234	4.5994166
235	4.6050000
236	4.6062297
237	4.6065152
238	4.6067273
239	4.6012705
240	4.6017113
241	4.6019823
242	4.5991319
243	4.5930556
244	4.5945370
245	4.5943519
246	4.5928571
247	4.5603285
248	4.5702381
249	4.5750000
250	4.5760970
251	4.5812963
252	4.5926389
253	4.5974757
254	4.5983333
255	4.5998323
256	4.5993175
257	4.6000000
258	4.6009091
259	4.5919031
260	4.5900000
261	4.5840476
262	4.5865079
263	4.6031406
264	4.5978072
265	4.6009355
266	4.6008929
267	4.5950000
268	4.6084698
269	4.6064346
270	4.6040370
271	4.6021429
272	4.6000000
273	4.6140741
274	4.6110185
275	4.5958871
276	4.5946667
277	4.5979870
278	4.6009091
279	4.6069166
280	4.6027820
281	4.6039487
282	4.6046797
283	4.6049211
284	4.6065909
285	4.6036105
286	4.6010262
287	4.5984056
288	4.5980556
289	4.5967857
290	4.5982804
291	4.5968330
292	4.5946649
293	4.5896208
294	4.5900000
295	4.5966667
296	4.6050297
297	4.6061210
298	4.6055456
299	4.6107778
300	4.6025000
301	4.6023810
302	4.6053359
303	4.6144565
304	4.6123484
305	4.6100000
306	4.6128571
307	4.6125000
308	4.6050000
309	4.6052778
310	4.6083929
311	4.6103571
312	4.6097778
313	4.6136296
314	4.6125000
315	4.5878704
316	4.5935354
317	4.6019986
318	4.6054882
319	4.6117981
320	4.6044444
321	4.6031917
322	4.6070000
323	4.6087500
324	4.6112500
325	4.6125000
326	4.6058333
327	4.6130696
328	4.6121528
329	4.6200000
330	4.6230093
331	4.6240909
332	4.6207143
333	4.6142390
334	4.6158255
335	4.6284659
336	4.6357462
337	4.6350549
338	4.6350000
339	4.6341667
340	4.6332143
341	4.6312963
342	4.6296970
343	4.6311296
344	4.6248750
345	4.6312596
346	4.6341667
347	4.6271308
348	4.6271777
349	4.6300000
350	4.6310707
351	4.6347917
352	4.6376398
353	4.6300000
354	4.6237552
355	4.6312222
356	4.6403823
357	4.6429323
358	4.6450106
359	4.6409091
360	4.6333333
361	4.6311111
362	4.6300000
363	4.6397619
364	4.6412500
365	4.6357143
366	4.6344444
367	4.6256681
368	4.6262500
369	4.6287500
370	4.6306780
371	4.6341314
372	4.6304167
373	4.6201389
374	4.6200000
375	4.6388889
376	4.6412500
377	4.6433372
378	4.6441841
379	4.6381250
380	4.6356713
381	4.6427222
382	4.6537500
383	4.6604040
384	4.6533838
385	4.6515000
386	4.6608333
387	4.6618434
388	4.6483691
389	4.6443983
390	4.6441667
391	4.6394949
392	4.6374200
393	4.6389178
394	4.6388889
395	4.6435017
396	4.6452086
397	4.6462778
398	4.6431250
399	4.6466667
400	4.6530380
401	4.6546111
402	4.6560364
403	4.6542222
404	4.6543901
405	4.6574025
406	4.6624303
407	4.6516667
408	4.6483333
409	4.6425253
410	4.6467724
411	4.6433333
412	4.6602963
413	4.6633611
414	4.6488368
415	4.6445714
416	4.6475397
417	4.6690858
418	4.6688889
419	4.6685417
420	4.6690000
421	4.6748519
422	4.6750556
423	4.6705802
424	4.6675375
425	4.6664548
426	4.6693592
427	4.6700000
428	4.6677778
429	4.6770934
430	4.6813333
431	4.6862954
432	4.6824821
433	4.6692267
434	4.6688776
435	4.6676638
436	4.6582143
437	4.6581169
