x	y
1	-252.4531142
2	-252.3950556
3	-251.3681449
4	-250.4466952
5	-250.4123798
6	-250.1880809
7	-250.2478488
8	-250.0289648
9	-249.8552455
10	-249.7824206
11	-249.6009877
12	-249.3005398
13	-249.0315317
14	-248.7809106
15	-249.0102418
16	-249.1379707
17	-249.0076881
18	-248.5733298
19	-248.3061224
20	-248.5922202
21	-249.1800631
22	-248.9342650
23	-248.9929981
24	-248.7905870
25	-248.6829367
26	-248.6127827
27	-248.6006871
28	-248.0479213
29	-246.6327440
30	-245.0322632
31	-243.4751880
32	-243.1331452
33	-242.7483502
34	-240.5365957
35	-237.1401702
36	-236.1144690
37	-228.8184439
38	-223.1190290
39	-216.1520023
40	-207.8264055
41	-198.2989965
42	-187.9790882
43	-177.1366530
44	-155.1905190
45	-144.2174520
46	-127.4965880
47	-114.2244022
48	-98.7576030
49	-90.9196980
50	-83.6043200
51	-91.4422250
52	-103.4603460
53	-125.9290070
54	-154.6679920
55	-186.0196120
56	-201.6954220
57	-221.5514480
58	-247.1552710
59	-278.5068910
60	-301.4980790
61	-316.1288350
62	-337.5524420
63	-363.6787920
64	-380.3996560
65	-387.7150340
66	-392.9403040
67	-398.6881010
68	-398.1655740
69	-399.2106280
70	-400.7782090
71	-401.8232630
72	-395.2916755
73	-389.9357737
74	-384.5798720
75	-380.1383925
76	-375.2227681
77	-368.6669896
78	-364.0706872
79	-359.2373125
80	-358.3228902
81	-353.3588837
82	-348.0029820
83	-346.1741375
84	-346.3870189
85	-341.4568799
86	-338.4717025
87	-336.9621800
88	-334.7172492
89	-331.4659701
90	-333.0655714
91	-332.2443067
92	-330.4809099
93	-331.2743769
94	-331.1514862
95	-332.4665125
96	-333.3799671
97	-335.3384757
98	-338.5974960
99	-346.0870497
100	-353.6201473
101	-364.7238460
102	-375.6969130
103	-388.7600880
104	-403.9133710
105	-419.5891810
106	-441.0127880
107	-458.7787060
108	-471.5806175
109	-486.4726370
110	-503.1935010
111	-495.8781230
112	-492.2204340
113	-484.9050560
114	-472.8869350
115	-447.8056390
116	-428.9946670
117	-415.9314920
118	-392.9403040
119	-374.1293320
120	-335.9848610
121	-308.8134570
122	-292.6151200
123	-267.5338240
124	-244.5426360
125	-234.0920960
126	-224.6866100
127	-221.0289210
128	-214.2360700
129	-207.4432190
130	-210.0558540
131	-204.5693205
132	-208.8017892
133	-205.5098691
134	-204.3080570
135	-206.4354884
136	-206.1555632
137	-206.7993911
138	-208.4663282
139	-209.6887010
140	-208.5209309
141	-211.4117632
142	-213.5188049
143	-216.9793368
144	-218.1695371
145	-218.2159840
146	-219.4526312
147	-220.3757622
148	-222.7793865
149	-224.4427641
150	-225.3020307
151	-225.7316640
152	-226.3586964
153	-227.6911403
154	-229.9070418
155	-232.1761637
156	-232.6290204
157	-234.1559604
158	-235.0065182
159	-234.4665737
160	-236.2683242
161	-237.5023910
162	-238.4682596
163	-237.1443041
164	-237.4885215
165	-238.1989749
166	-239.1748586
167	-241.4694031
168	-240.6062659
169	-241.5990672
170	-242.3218962
171	-243.3041148
172	-242.9692491
173	-244.2813725
174	-245.5702724
175	-246.1450521
176	-246.3927686
177	-246.7682140
178	-248.9803506
179	-249.9262081
180	-250.0142261
181	-250.3233328
182	-249.5541450
183	-251.3734797
184	-251.7057787
185	-252.4598877
186	-252.6484191
187	-253.6433146
188	-253.4390540
189	-253.0903068
190	-253.4717003
191	-254.7841652
192	-256.0336557
193	-256.2262752
194	-256.2808318
195	-257.8622363
196	-257.6477422
197	-257.6364530
198	-257.7126915
199	-258.6400816
200	-259.5489875
201	-260.0354503
202	-260.2724496
203	-260.6720285
204	-260.5571209
205	-261.2659191
206	-262.0260024
207	-262.6651994
208	-262.9913666
209	-263.6762131
210	-264.2885927
211	-264.4549782
212	-264.6889548
213	-264.8341012
214	-264.7549304
215	-264.2426076
216	-264.2919030
217	-264.6995025
218	-265.6767014
219	-265.9662430
220	-266.4960273
221	-267.0287146
222	-266.9655759
223	-266.8347788
224	-267.6215824
225	-267.9949155
226	-267.9234614
227	-267.7063992
228	-267.6361791
229	-267.8408086
230	-268.7828087
231	-268.5353341
232	-268.4553402
233	-268.6224219
234	-269.4449181
235	-269.4933003
236	-270.1174297
237	-270.2180646
238	-270.2066099
239	-270.1607097
240	-271.7088719
241	-272.0851828
242	-271.5915337
243	-270.8431617
244	-271.2008741
245	-271.1739195
246	-271.6749628
247	-272.3024196
248	-272.8868228
249	-273.3241973
250	-272.6234481
251	-272.6489434
252	-272.8659745
253	-272.9830341
254	-273.2700529
255	-273.2820985
256	-273.4718319
257	-273.4604897
258	-273.3782588
259	-273.4122528
260	-274.6901287
261	-273.8488378
262	-273.8592987
263	-274.5621111
264	-274.6943792
265	-274.2831311
266	-273.9181916
267	-273.7961995
268	-273.7462181
269	-273.4047770
270	-274.0855087
271	-274.0612548
272	-274.2797174
273	-275.6923915
274	-276.2932663
275	-275.4698973
276	-275.4239817
277	-275.0795009
278	-275.1133684
279	-275.3004753
280	-275.6238254
281	-275.6511877
282	-275.2340473
283	-274.6314824
284	-274.5765677
285	-274.4786378
286	-276.1897115
287	-276.1827570
288	-275.5116916
289	-274.9399120
290	-274.9246781
291	-274.7206835
292	-274.9990593
293	-274.6039635
294	-274.6392581
295	-274.9033930
296	-275.5086106
297	-275.3310281
298	-275.2972660
299	-275.9951673
300	-276.0016612
301	-275.9100568
302	-276.1177814
303	-276.1555195
304	-276.1974896
305	-276.0684317
306	-276.2191074
307	-276.3296952
308	-276.3296952
309	-276.9741451
310	-276.9627371
311	-276.9212433
312	-277.1917290
313	-276.8568057
314	-276.8870573
315	-276.7670696
316	-276.6393408
317	-276.6006351
318	-276.1642283
319	-275.9232853
320	-275.9315794
321	-276.0070743
322	-276.8836706
323	-276.8205410
324	-276.8667368
325	-276.9151189
326	-276.6699828
327	-276.0335965
328	-276.4066991
329	-275.7781389
330	-275.3820966
331	-275.6147246
332	-275.6025809
333	-275.6591189
334	-276.2861513
335	-276.6199879
336	-276.8126835
337	-276.7535226
338	-276.7983107
339	-277.2412145
340	-277.0519098
341	-277.1822622
342	-277.5537630
343	-277.4697541
344	-277.5307671
345	-277.3882784
346	-277.7169307
347	-278.0461172
348	-277.9275370
349	-277.8546776
350	-277.2658894
351	-277.2005735
352	-277.3277494
353	-277.4618370
354	-277.8174457
355	-278.0797459
356	-278.1615730
357	-277.9437230
358	-277.7191154
359	-277.4576900
360	-276.9489864
361	-277.0807618
362	-276.9760685
363	-277.5634395
364	-277.7472916
365	-278.0644019
366	-277.9190481
367	-277.5755350
368	-278.0952031
369	-278.0714518
370	-278.0569372
371	-277.8913684
372	-277.5276027
373	-277.7299080
374	-277.8727777
375	-277.8716924
376	-277.9011467
377	-277.9190481
378	-277.9912255
379	-277.9150394
380	-277.7400342
381	-277.8145427
382	-277.7646651
383	-277.8723939
384	-277.7496416
385	-277.8537322
386	-278.2456275
387	-277.9843640
388	-277.9921051
389	-277.5198956
390	-277.5162669
391	-277.7702731
392	-278.1210435
393	-278.3152411
394	-278.2603652
395	-278.1585397
396	-278.0627431
397	-278.3617446
398	-278.2253070
399	-278.1834219
400	-278.3094919
