x	y
1	0.0175646
2	0.0175784
3	0.0175965
4	0.0175819
5	0.0175864
6	0.0175966
7	0.0175658
8	0.0175616
9	0.0175861
10	0.0175751
11	0.0175650
12	0.0175770
13	0.0175780
14	0.0175679
15	0.0175480
16	0.0175454
17	0.0175693
18	0.0175903
19	0.0176114
20	0.0176110
21	0.0176118
22	0.0175954
23	0.0176009
24	0.0176011
25	0.0176365
26	0.0176509
27	0.0176623
28	0.0176734
29	0.0176691
30	0.0176782
31	0.0176748
32	0.0176219
33	0.0176290
34	0.0176282
35	0.0176527
36	0.0176538
37	0.0176446
38	0.0176259
39	0.0176313
40	0.0176598
41	0.0176422
42	0.0176607
43	0.0176621
44	0.0176652
45	0.0176842
46	0.0176812
47	0.0176515
48	0.0176389
49	0.0176366
50	0.0176446
51	0.0177011
52	0.0177048
53	0.0176967
54	0.0176988
55	0.0177693
56	0.0177643
57	0.0177524
58	0.0177425
59	0.0177858
60	0.0177830
61	0.0177784
62	0.0177761
63	0.0177740
64	0.0177991
65	0.0178767
66	0.0179406
67	0.0179676
68	0.0179426
69	0.0177938
70	0.0179249
71	0.0177905
72	0.0177449
73	0.0177897
74	0.0177765
75	0.0178601
76	0.0176092
77	0.0176390
78	0.0174953
79	0.0173792
80	0.0174743
81	0.0173168
82	0.0171968
83	0.0172123
84	0.0172278
85	0.0171537
86	0.0171139
87	0.0171250
88	0.0170070
89	0.0170150
90	0.0169106
91	0.0169558
92	0.0168845
93	0.0168701
94	0.0168776
95	0.0168417
96	0.0168534
97	0.0167998
98	0.0167719
99	0.0167380
100	0.0167161
101	0.0167071
102	0.0167067
103	0.0166579
104	0.0167013
105	0.0166717
106	0.0166635
107	0.0166874
108	0.0166388
109	0.0166364
110	0.0165888
111	0.0164831
112	0.0164743
113	0.0164759
114	0.0165086
115	0.0164941
116	0.0164547
117	0.0163701
118	0.0163971
119	0.0163261
120	0.0163245
121	0.0162881
122	0.0162770
123	0.0161923
124	0.0161923
125	0.0161607
126	0.0160953
127	0.0160491
128	0.0160488
129	0.0160655
130	0.0160372
131	0.0160044
132	0.0159678
133	0.0159300
134	0.0158644
135	0.0158781
136	0.0158764
137	0.0158550
138	0.0158593
139	0.0158512
140	0.0157412
141	0.0157550
142	0.0157716
143	0.0157011
144	0.0156675
145	0.0156202
146	0.0156332
147	0.0155846
148	0.0155819
149	0.0155055
150	0.0154829
151	0.0155033
152	0.0155109
153	0.0154281
154	0.0154202
155	0.0153865
156	0.0153708
157	0.0153139
158	0.0153199
159	0.0152853
160	0.0152264
161	0.0151973
162	0.0151745
163	0.0150907
164	0.0151326
165	0.0151260
166	0.0151123
167	0.0151109
168	0.0150559
169	0.0150493
170	0.0149924
171	0.0149743
172	0.0149762
173	0.0149375
174	0.0148900
175	0.0148506
176	0.0148360
177	0.0148059
178	0.0148108
179	0.0148039
180	0.0147513
181	0.0147342
182	0.0146753
183	0.0145642
184	0.0145312
185	0.0145627
186	0.0145283
187	0.0144896
188	0.0143892
189	0.0143972
190	0.0143826
191	0.0143762
192	0.0144050
193	0.0144714
194	0.0143919
195	0.0142524
196	0.0143240
197	0.0143462
198	0.0143248
199	0.0144474
200	0.0143611
201	0.0145269
202	0.0145587
203	0.0144723
204	0.0146455
205	0.0145913
206	0.0146319
207	0.0145601
208	0.0146264
209	0.0146240
210	0.0146698
211	0.0146636
212	0.0145484
213	0.0145286
214	0.0144850
215	0.0144855
216	0.0146025
217	0.0146229
218	0.0146066
219	0.0145357
220	0.0144985
221	0.0144903
222	0.0144790
223	0.0144839
224	0.0144888
225	0.0144860
226	0.0144399
227	0.0144486
228	0.0144569
229	0.0144572
230	0.0144625
231	0.0144081
232	0.0143943
233	0.0143860
234	0.0143855
235	0.0144063
236	0.0143545
237	0.0143501
238	0.0143493
239	0.0143460
240	0.0143586
241	0.0143545
242	0.0143279
243	0.0142995
244	0.0142920
245	0.0143080
246	0.0143639
247	0.0143816
248	0.0143915
249	0.0143759
250	0.0143104
251	0.0143148
252	0.0142892
253	0.0142585
254	0.0142784
255	0.0143132
256	0.0143256
257	0.0143119
258	0.0142869
259	0.0142744
260	0.0142708
261	0.0142587
262	0.0142503
263	0.0142791
264	0.0143033
265	0.0142407
266	0.0142597
267	0.0143163
268	0.0143157
269	0.0143116
270	0.0143137
271	0.0143357
272	0.0143393
273	0.0143497
274	0.0143445
275	0.0143152
276	0.0143376
277	0.0144138
278	0.0144118
279	0.0144025
280	0.0143616
281	0.0143272
282	0.0143213
283	0.0143349
284	0.0143509
285	0.0143724
286	0.0143728
287	0.0143694
288	0.0143445
289	0.0143205
290	0.0143724
291	0.0143748
292	0.0143914
293	0.0143919
294	0.0143578
295	0.0143588
296	0.0143528
297	0.0143424
298	0.0143463
299	0.0143535
300	0.0143599
301	0.0143963
302	0.0143788
303	0.0143650
304	0.0143310
305	0.0143631
306	0.0143674
307	0.0143762
308	0.0143848
309	0.0144056
310	0.0144300
311	0.0143979
312	0.0143970
313	0.0144096
314	0.0144453
315	0.0144372
316	0.0144304
317	0.0144258
318	0.0144200
319	0.0144206
320	0.0144001
321	0.0143985
322	0.0144075
323	0.0144221
324	0.0144362
325	0.0144441
326	0.0144238
327	0.0144293
328	0.0144360
329	0.0144426
330	0.0144473
331	0.0144520
332	0.0144448
333	0.0144536
334	0.0144896
335	0.0144957
336	0.0145057
337	0.0145063
338	0.0145118
339	0.0144992
340	0.0144972
341	0.0144421
342	0.0144761
343	0.0145117
344	0.0144312
345	0.0144551
346	0.0145066
