x	y
1	276.7247007
2	276.9417982
3	277.2266998
4	276.9973686
5	277.0682452
6	277.2279314
7	276.7428786
8	276.6780465
9	277.0640165
10	276.8906860
11	276.7302992
12	276.9206483
13	276.9361866
14	276.7761931
15	276.4624004
16	276.4214484
17	276.7983632
18	277.1293198
19	277.4618370
20	277.4552226
21	277.4682385
22	277.2098569
23	277.2963701
24	277.2999936
25	277.8574646
26	278.0844200
27	278.2630451
28	278.4391560
29	278.3706972
30	278.5138560
31	278.4613144
32	277.6268455
33	277.7396361
34	277.7258227
35	278.1118229
36	278.1298621
37	277.9843640
38	277.6908841
39	277.7753532
40	278.2243394
41	277.9475936
42	278.2377961
43	278.2611098
44	278.3094919
45	278.6081144
46	278.5621148
47	278.0932238
48	277.8950715
49	277.8592651
50	277.9843640
51	278.8745952
52	278.9337562
53	278.8054779
54	278.8394082
55	279.9499431
56	279.8712671
57	279.6825767
58	279.5277539
59	280.2099420
60	280.1659142
61	280.0928572
62	280.0560868
63	280.0231097
64	280.4182398
65	281.6420530
66	282.6484013
67	283.0741640
68	282.6794182
69	280.3357355
70	282.4016524
71	280.2834828
72	279.5648969
73	280.2704196
74	280.0623765
75	281.3807895
76	277.4270019
77	277.8972762
78	275.6329925
79	273.8041480
80	275.3020587
81	272.8209477
82	270.9302495
83	271.1740954
84	271.4179414
85	270.2509644
86	269.6239320
87	269.7981077
88	267.9402339
89	268.0660274
90	266.4210350
91	267.1332200
92	266.0097869
93	265.7823909
94	265.9009271
95	265.3354074
96	265.5191921
97	264.6754078
98	264.2360980
99	263.7019593
100	263.3573793
101	263.2149852
102	263.2084616
103	262.4391858
104	263.1228252
105	262.6573892
106	262.5286927
107	262.9051057
108	262.1388003
109	262.1012020
110	261.3505878
111	259.6862426
112	259.5474627
113	259.5721626
114	260.0878142
115	259.8585198
116	259.2387079
117	257.9057802
118	258.3315429
119	257.2125071
120	257.1871210
121	256.6139773
122	256.4386078
123	255.1051461
124	255.1051461
125	254.6072341
126	253.5755796
127	252.8484653
128	252.8442837
129	253.1062729
130	252.6613993
131	252.1441597
132	251.5677212
133	250.9726210
134	249.9376722
135	250.1549630
136	250.1270692
137	249.7897612
138	249.8574926
139	249.7305826
140	247.9971201
141	248.2148396
142	248.4761031
143	247.3657333
144	246.8359489
145	246.0914370
146	246.2952786
147	245.5304954
148	245.4872971
149	244.2833078
150	243.9277543
151	244.2487146
152	244.3684603
