x	y
1	3.2537815
2	3.2538192
3	3.2538122
4	3.2537878
5	3.2537758
6	3.2537755
7	3.2537682
8	3.2537644
9	3.2537408
10	3.2537430
11	3.2537539
12	3.2537660
13	3.2537753
14	3.2537756
15	3.2537826
16	3.2537843
17	3.2537979
18	3.2538114
19	3.2538221
20	3.2538171
21	3.2538162
22	3.2538184
23	3.2538441
24	3.2538321
25	3.2538241
26	3.2537619
27	3.2536975
28	3.2536711
29	3.2536324
30	3.2535937
31	3.2534012
32	3.2532606
33	3.2532008
34	3.2529299
35	3.2527828
36	3.2523387
37	3.2518333
38	3.2513916
39	3.2505280
40	3.2496477
41	3.2484850
42	3.2469501
43	3.2454152
44	3.2435864
45	3.2405034
46	3.2380998
47	3.2346202
48	3.2311405
49	3.2273358
50	3.2228943
51	3.2179825
52	3.2134888
53	3.2082635
54	3.2043446
55	3.2000599
56	3.1956184
57	3.1905499
58	3.1862129
59	3.1810399
60	3.1769119
61	3.1714254
62	3.1673497
63	3.1625947
64	3.1584667
65	3.1540252
66	3.1507333
67	3.1471801
68	3.1442540
69	3.1410666
70	3.1386107
71	3.1358413
72	3.1338034
73	3.1319223
74	3.1298845
75	3.1282908
76	3.1266971
77	3.1249205
78	3.1241193
79	3.1231613
80	3.1222120
81	3.1212628
82	3.1202700
83	3.1195820
84	3.1190159
85	3.1183431
86	3.1178664
87	3.1172393
88	3.1171348
89	3.1166645
90	3.1162039
91	3.1158608
92	3.1157109
93	3.1155280
94	3.1153974
95	3.1153582
96	3.1154250
97	3.1156050
98	3.1159330
99	3.1163975
100	3.1172296
101	3.1179578
102	3.1194339
103	3.1210538
104	3.1231178
105	3.1254430
106	3.1283169
107	3.1313476
108	3.1352143
109	3.1393945
110	3.1446197
111	3.1495315
112	3.1540252
113	3.1593550
114	3.1642668
115	3.1697010
116	3.1746128
117	3.1797858
118	3.1854291
119	3.1906021
120	3.1960886
121	3.2012094
122	3.2062779
123	3.2102491
124	3.2142726
125	3.2179303
126	3.2216402
127	3.2242006
128	3.2269177
129	3.2291907
130	3.2314637
131	3.2333971
132	3.2349908
133	3.2365845
134	3.2378647
135	3.2389489
136	3.2399352
137	3.2409215
138	3.2417967
139	3.2425086
140	3.2432206
141	3.2437954
142	3.2444224
143	3.2449710
144	3.2454301
145	3.2458631
146	3.2462774
147	3.2465648
148	3.2469479
149	3.2472963
150	3.2476307
151	3.2478319
152	3.2480278
153	3.2482891
154	3.2483022
155	3.2487076
156	3.2488639
157	3.2491251
158	3.2493211
159	3.2494648
160	3.2494909
161	3.2495954
162	3.2499577
163	3.2501419
164	3.2501441
