x	y
1	622.7011249
2	622.7083333
3	622.7070000
4	622.7023333
5	622.7000370
6	622.6999667
7	622.6985714
8	622.6978571
9	622.6933333
10	622.6937500
11	622.6958510
12	622.6981490
13	622.6999346
14	622.7000000
15	622.7013333
16	622.7016667
17	622.7042593
18	622.7068519
19	622.7088889
20	622.7079360
21	622.7077736
22	622.7081818
23	622.7130976
24	622.7108052
25	622.7092857
26	622.6973810
27	622.6850529
28	622.6800000
29	622.6725926
30	622.6651852
31	622.6283333
32	622.6014444
33	622.5900000
34	622.5381481
35	622.5100000
36	622.4250000
37	622.3282741
38	622.2437500
39	622.0784722
40	621.9100000
41	621.6875000
42	621.3937500
43	621.1000000
44	620.7500000
45	620.1600000
46	619.7000000
47	619.0340741
48	618.3681481
49	617.6400000
50	616.7900000
51	615.8500000
52	614.9900000
53	613.9900000
54	613.2400000
55	612.4200000
56	611.5700000
57	610.6000000
58	609.7700000
59	608.7800000
60	607.9900000
61	606.9400000
62	606.1600000
63	605.2500000
64	604.4600000
65	603.6100000
66	602.9800000
67	602.3000000
68	601.7400000
69	601.1300000
70	600.6600000
71	600.1300000
72	599.7400000
73	599.3800000
74	598.9900000
75	598.6850000
76	598.3800000
77	598.0400000
78	597.8866667
79	597.7033333
80	597.5216667
81	597.3400000
82	597.1500000
83	597.0183333
84	596.9100000
85	596.7812450
86	596.6900000
87	596.5700000
88	596.5500000
89	596.4600000
90	596.3718519
91	596.3061728
92	596.2775000
93	596.2425000
94	596.2175000
95	596.2100000
96	596.2227778
97	596.2572222
98	596.3200000
99	596.4088889
100	596.5681481
101	596.7075000
102	596.9900000
103	597.3000000
104	597.6950000
105	598.1400000
106	598.6900000
107	599.2700000
108	600.0100000
109	600.8100000
110	601.8100000
111	602.7500000
112	603.6100000
113	604.6300000
114	605.5700000
115	606.6100000
116	607.5500000
117	608.5400000
118	609.6200000
119	610.6100000
120	611.6600000
121	612.6400000
122	613.6100000
123	614.3700000
124	615.1400000
125	615.8400000
126	616.5500000
127	617.0400000
128	617.5600000
129	617.9950000
130	618.4300000
131	618.8000000
132	619.1050000
133	619.4100000
134	619.6550000
135	619.8625000
136	620.0512500
137	620.2400000
138	620.4075000
139	620.5437500
140	620.6800000
141	620.7900000
142	620.9100000
143	621.0150000
144	621.1028571
145	621.1857143
146	621.2650000
147	621.3200000
148	621.3933333
149	621.4600000
150	621.5240000
151	621.5625000
152	621.6000000
153	621.6500000
154	621.6525000
155	621.7300926
156	621.7600000
157	621.8100000
158	621.8475000
159	621.8750000
160	621.8800000
161	621.9000000
162	621.9693333
163	622.0045926
164	622.0050000
165	622.0416667
166	622.0750000
167	622.0850000
168	622.1230613
169	622.1325000
170	622.1500000
171	622.1566667
172	622.1975000
173	622.2110185
174	622.2225000
175	622.2416667
176	622.2450000
177	622.2638889
178	622.2757514
179	622.3050000
180	622.3327778
181	622.3314286
182	622.3377778
183	622.3416667
184	622.3525000
185	622.3700000
186	622.3871429
187	622.4068571
188	622.4272188
189	622.4300000
190	622.4325000
191	622.4408333
192	622.4475000
193	622.4550000
194	622.4672222
195	622.4760000
196	622.4900000
197	622.4988889
198	622.5000000
199	622.5025000
200	622.5275000
201	622.5358333
202	622.5441667
203	622.5600000
204	622.5848912
205	622.5925266
206	622.5937500
207	622.5959167
208	622.5975000
209	622.6047222
210	622.6349074
211	622.6356358
212	622.6363642
213	622.6414136
214	622.6493601
215	622.6490909
216	622.6491667
217	622.6534259
218	622.6576852
219	622.6733333
220	622.6851852
221	622.6950000
222	622.6975000
223	622.7003680
224	622.7058333
225	622.7137963
226	622.7150000
227	622.7320299
228	622.7340000
229	622.7322222
230	622.7340788
231	622.7430000
232	622.7500000
233	622.7512500
234	622.7505556
235	622.7600000
236	622.7612500
237	622.7647500
238	622.7830000
239	622.7832954
240	622.7825000
241	622.7833333
242	622.7833333
243	622.7833333
244	622.7900000
245	622.7922222
246	622.7925000
247	622.7940811
248	622.7950000
249	622.7950000
250	622.8279630
251	622.8275000
252	622.8283425
253	622.8280000
254	622.8235714
255	622.8235714
256	622.8275698
257	622.8288889
258	622.8300000
259	622.8525000
260	622.8541667
261	622.8500000
262	622.8490909
263	622.8427349
264	622.8400000
265	622.8350000
266	622.8360000
267	622.8416296
268	622.8471429
269	622.8490476
270	622.8500000
271	622.8610000
272	622.8614286
273	622.8614286
274	622.8500000
275	622.8512500
276	622.8600000
277	622.8700000
278	622.8722222
279	622.8711111
280	622.8722484
281	622.8721429
282	622.8750000
283	622.8894444
284	622.8950000
285	622.8921429
286	622.8982791
287	622.8981250
288	622.8966667
289	622.8951852
290	622.8966667
291	622.8964286
