x	y
1	32537.8150691
2	32538.1917292
3	32538.1220589
4	32537.8782130
5	32537.7582253
6	32537.7545507
7	32537.6816433
8	32537.6443199
9	32537.4079387
10	32537.4297106
11	32537.5394942
12	32537.6595696
13	32537.7528709
14	32537.7562900
15	32537.8259603
16	32537.8433778
17	32537.9788478
18	32538.1143178
19	32538.2207584
20	32538.1709688
21	32538.1624841
22	32538.1838121
23	32538.4406772
24	32538.3208903
25	32538.2414936
26	32537.6194377
27	32536.9752642
28	32536.7112360
29	32536.3241790
30	32535.9371219
31	32534.0115132
32	32532.6064961
33	32532.0084930
34	32529.2990937
35	32527.8282770
36	32523.3867975
37	32518.3326064
38	32513.9159956
39	32505.2797855
40	32496.4766570
41	32484.8504312
42	32469.5012006
43	32454.1519700
44	32435.8635250
45	32405.0344320
46	32380.9981900
47	32346.2017624
48	32311.4053347
49	32273.3576280
50	32228.9428330
51	32179.8252950
52	32134.8879730
53	32082.6352730
54	32043.4457480
55	32000.5985340
56	31956.1837390
57	31905.4986200
58	31862.1288790
59	31810.3987060
60	31769.1190730
61	31714.2537380
62	31673.4966320
63	31625.9466750
64	31584.6670420
65	31540.2522470
66	31507.3330460
67	31471.8012100
68	31442.5396980
69	31410.6655510
70	31386.1067820
71	31358.4128510
72	31338.0342980
73	31319.2233260
74	31298.8447730
75	31282.9076995
76	31266.9706260
77	31249.2047080
78	31241.1926273
79	31231.6129657
80	31222.1203918
81	31212.6278180
82	31202.6998050
83	31195.8198662
84	31190.1591570
85	31183.4313595
86	31178.6635630
87	31172.3932390
88	31171.3481850
89	31166.6454420
90	31162.0394633
91	31158.6075575
92	31157.1093242
93	31155.2804798
94	31153.9741622
95	31153.5822670
96	31154.2499404
97	31156.0497556
98	31159.3300640
99	31163.9747484
100	31172.2964747
101	31179.5779852
102	31194.3393730
103	31210.5377100
104	31231.1775265
105	31254.4299780
106	31283.1689630
107	31313.4755290
108	31352.1425270
109	31393.9446870
110	31446.1973870
111	31495.3149250
112	31540.2522470
113	31593.5500010
114	31642.6675390
115	31697.0103470
116	31746.1278850
117	31797.8580580
118	31854.2909740
119	31906.0211470
120	31960.8864820
121	32012.0941280
122	32062.7792470
123	32102.4912990
124	32142.7258780
125	32179.3027680
126	32216.4021850
127	32242.0060080
128	32269.1774120
129	32291.9073365
130	32314.6372610
131	32333.9707600
132	32349.9078335
133	32365.8449070
134	32378.6468185
135	32389.4892537
136	32399.3519509
137	32409.2146480
138	32417.9669753
139	32425.0864056
140	32432.2058360
141	32437.9536330
142	32444.2239570
143	32449.7104905
144	32454.3012634
145	32458.6307729
146	32462.7736655
147	32465.6475640
148	32469.4794287
149	32472.9629420
150	32476.3071148
151	32478.3188438
152	32480.2783200
153	32482.8909550
154	32483.0215868
155	32487.0760092
156	32488.6387520
157	32491.2513870
158	32493.2108632
159	32494.6478125
160	32494.9090760
161	32495.9541300
162	32499.5769839
163	32501.4193754
164	32501.4406635
165	32503.3565958
166	32505.0983525
167	32505.6208795
168	32507.6096843
169	32508.1028828
170	32509.0173050
171	32509.3656563
172	32511.4993082
173	32512.2056873
174	32512.8056257
175	32513.8071358
176	32513.9813115
177	32514.9683069
178	32515.5881555
179	32517.1164735
180	32518.5679374
181	32518.4974377
182	32518.8292009
183	32519.0324058
184	32519.5984767
185	32520.5128990
186	32521.4086596
187	32522.4387842
188	32523.5027361
189	32523.6480610
190	32523.7786927
191	32524.2141319
192	32524.5624832
193	32524.9543785
194	32525.5930226
195	32526.0516852
196	32526.7832230
197	32527.2476914
198	32527.3057500
199	32527.4363818
200	32528.7426993
201	32529.1781384
202	32529.6135776
203	32530.4409120
204	32531.7415468
205	32532.1405139
206	32532.2044406
207	32532.3176548
208	32532.4003882
209	32532.7777689
210	32534.3550263
211	32534.3930869
212	32534.4311475
213	32534.6949914
214	32535.1102176
215	32535.0961525
216	32535.1001111
217	32535.3226689
218	32535.5452267
219	32536.3628847
220	32536.9821759
221	32537.4950265
222	32537.6256582
223	32537.7755187
224	32538.0610974
225	32538.4771837
226	32538.5400805
227	32539.4299366
228	32539.5328818
229	32539.4399881
230	32539.5369974
231	32540.0031561
232	32540.3689250
233	32540.4342409
234	32540.3979543
235	32540.8914520
236	32540.9567679
237	32541.1396523
238	32542.0932641
239	32542.1086973
240	32542.0671378
241	32542.1106817
242	32542.1106817
243	32542.1106817
244	32542.4590330
245	32542.5751501
246	32542.5896647
247	32542.6722818
248	32542.7202965
249	32542.7202965
250	32544.4427003
251	32544.4185092
252	32544.4625321
253	32544.4446356
254	32544.2132308
255	32544.2132308
256	32544.4221555
257	32544.4910824
258	32544.5491410
259	32545.7248268
260	32545.8119146
261	32545.5941950
262	32545.5466925
263	32545.2145762
264	32545.0716680
265	32544.8104045
266	32544.8626572
267	32545.1568205
268	32545.4449016
269	32545.5444305
270	32545.5941950
271	32546.1689747
272	32546.1913687
273	32546.1913687
274	32545.5941950
275	32545.6595109
276	32546.1167220
277	32546.6392490
278	32546.7553661
279	32546.6973076
280	32546.7567347
281	32546.7512191
282	32546.9005125
283	32547.6552737
284	32547.9455665
285	32547.7962731
286	32548.1169076
287	32548.1088562
288	32548.0326543
289	32547.9552429
290	32548.0326543
291	32548.0202132
292	32548.2068300
293	32548.2068300
294	32548.2068300
295	32548.2068300
296	32548.3325013
297	32548.0761983
298	32548.0907129
299	32548.3616528
300	32548.6325927
301	32548.2722388
302	32547.9189873
303	32548.2394879
304	32548.6422692
305	32548.7293570
306	32548.8338624
307	32548.8599887
308	32548.9253046
309	32548.8829012
310	32548.4708928
311	32548.9325619
312	32549.3825158
313	32549.6251176
314	32549.8794693
315	32549.8789164
316	32549.8219135
317	32549.9169184
318	32549.5131475
319	32549.5131475
320	32549.6437793
321	32550.3501583
322	32550.3259673
323	32550.3840258
324	32550.3949118
325	32550.2316221
326	32550.2642801
327	32550.2969380
328	32550.2969380
329	32550.3226675
330	32550.3172585
