x	y
1	3.2553664
2	3.2553519
3	3.2553531
4	3.2553471
5	3.2553214
6	3.2553192
7	3.2553283
8	3.2553563
9	3.2553979
10	3.2554071
11	3.2553839
12	3.2553857
13	3.2553843
14	3.2553681
15	3.2553931
16	3.2553955
17	3.2554187
18	3.2554347
19	3.2554956
20	3.2554888
21	3.2554847
22	3.2554738
23	3.2554529
24	3.2554444
25	3.2554506
26	3.2555029
27	3.2554940
28	3.2554941
29	3.2554925
30	3.2554607
31	3.2554736
32	3.2555087
33	3.2554971
34	3.2555149
35	3.2555514
36	3.2555493
37	3.2555203
38	3.2555435
39	3.2555148
40	3.2555261
41	3.2555522
42	3.2555174
43	3.2555261
44	3.2555390
45	3.2555340
46	3.2555522
47	3.2555522
48	3.2555630
49	3.2555522
50	3.2555734
51	3.2555783
52	3.2556151
53	3.2556519
54	3.2556829
55	3.2557090
56	3.2557090
57	3.2557155
58	3.2558135
59	3.2558135
60	3.2558657
61	3.2560051
62	3.2560652
63	3.2561270
64	3.2562238
65	3.2562576
66	3.2564686
67	3.2565254
68	3.2566495
69	3.2568740
70	3.2570985
71	3.2573288
72	3.2573288
73	3.2577207
74	3.2579167
75	3.2582288
76	3.2583347
77	3.2585568
78	3.2588722
79	3.2590727
80	3.2591054
81	3.2593667
82	3.2596570
83	3.2597847
84	3.2599658
85	3.2601243
86	3.2603275
87	3.2604378
88	3.2604640
89	3.2606357
90	3.2607496
91	3.2608363
92	3.2608951
93	3.2610721
94	3.2610736
95	3.2611742
96	3.2611824
97	3.2613580
98	3.2614457
99	3.2614698
100	3.2614742
101	3.2615427
102	3.2616112
103	3.2617666
104	3.2617655
105	3.2617572
106	3.2617755
107	3.2617914
108	3.2618073
109	3.2618281
110	3.2618278
111	3.2618638
112	3.2619164
113	3.2619271
114	3.2619345
115	3.2619544
116	3.2619633
117	3.2619635
118	3.2619532
119	3.2619435
120	3.2619474
121	3.2619445
122	3.2619445
123	3.2619466
124	3.2619529
125	3.2619592
126	3.2619942
127	3.2619760
128	3.2619842
129	3.2620629
130	3.2620261
131	3.2620241
132	3.2620167
133	3.2620211
134	3.2620977
135	3.2620969
136	3.2620969
137	3.2621056
138	3.2620403
139	3.2619725
140	3.2619764
141	3.2620519
142	3.2620629
143	3.2620614
144	3.2620642
145	3.2620472
146	3.2619942
147	3.2620141
148	3.2620069
149	3.2620159
150	3.2620316
151	3.2620316
152	3.2620054
153	3.2620054
154	3.2620446
155	3.2620517
156	3.2620114
157	3.2619784
158	3.2619924
159	3.2619905
160	3.2619902
161	3.2619917
162	3.2620054
163	3.2620074
164	3.2620093
165	3.2620263
166	3.2620490
167	3.2620543
168	3.2620204
169	3.2620201
170	3.2620198
171	3.2620110
172	3.2620432
173	3.2620446
174	3.2620185
175	3.2620185
176	3.2619962
177	3.2619793
178	3.2618434
179	3.2618487
180	3.2618641
181	3.2618225
182	3.2618225
183	3.2617389
184	3.2617006
185	3.2615574
186	3.2615352
187	3.2613540
188	3.2612216
189	3.2611423
190	3.2610257
191	3.2608834
192	3.2607775
193	3.2605424
194	3.2604640
195	3.2602419
196	3.2600547
197	3.2599545
198	3.2596767
199	3.2595287
200	3.2593667
201	3.2591925
202	3.2589650
203	3.2587919
204	3.2586450
205	3.2586090
206	3.2583710
207	3.2582171
208	3.2581590
209	3.2581518
210	3.2580270
211	3.2579558
212	3.2577159
213	3.2576591
214	3.2576554
215	3.2575117
216	3.2574507
217	3.2574507
218	3.2573811
219	3.2572626
220	3.2572591
221	3.2571851
222	3.2570990
223	3.2570954
224	3.2570937
225	3.2570831
226	3.2570675
227	3.2569805
228	3.2569805
229	3.2569817
230	3.2569817
231	3.2569787
232	3.2569578
233	3.2569453
234	3.2569304
235	3.2568024
236	3.2567895
237	3.2567802
238	3.2567825
239	3.2568262
240	3.2568035
241	3.2568026
242	3.2567520
243	3.2567540
244	3.2567503
245	3.2567453
246	3.2567540
247	3.2567488
248	3.2567579
249	3.2567998
250	3.2567950
251	3.2567932
252	3.2567854
253	3.2567503
254	3.2567483
255	3.2567714
256	3.2567714
257	3.2567715
258	3.2567466
259	3.2567399
260	3.2567354
261	3.2567685
262	3.2567638
263	3.2567645
264	3.2568098
265	3.2567988
266	3.2567968
267	3.2567693
268	3.2567491
269	3.2567650
270	3.2567749
271	3.2567736
272	3.2567675
273	3.2567614
274	3.2567802
275	3.2567697
276	3.2567730
277	3.2567690
278	3.2567645
279	3.2567598
280	3.2567629
281	3.2567540
282	3.2567652
283	3.2568390
284	3.2568324
285	3.2567879
286	3.2567924
287	3.2567906
288	3.2567802
289	3.2567802
290	3.2567704
291	3.2567802
292	3.2568011
293	3.2568063
294	3.2568063
295	3.2567986
296	3.2567792
297	3.2567802
298	3.2567802
299	3.2567279
300	3.2567540
301	3.2567540
302	3.2568044
303	3.2568063
304	3.2568063
305	3.2568102
306	3.2568063
307	3.2568063
308	3.2567966
309	3.2568191
310	3.2568324
311	3.2568300
312	3.2568219
313	3.2568237
314	3.2568128
315	3.2567778
316	3.2567964
317	3.2568107
318	3.2568121
319	3.2568683
320	3.2568565
321	3.2568515
322	3.2568511
323	3.2568483
324	3.2568498
325	3.2568556
326	3.2568498
327	3.2568533
328	3.2568756
329	3.2568789
330	3.2568585
331	3.2568547
332	3.2568585
333	3.2568667
334	3.2568716
335	3.2568822
336	3.2568929
337	3.2568594
338	3.2568618
339	3.2568582
340	3.2568705
341	3.2569287
342	3.2569021
343	3.2569089
344	3.2569243
345	3.2569500
346	3.2569393
347	3.2569369
348	3.2569137
349	3.2569273
350	3.2569317
351	3.2569828
352	3.2569928
353	3.2569892
354	3.2569892
355	3.2569878
356	3.2569871
357	3.2569859
358	3.2569787
359	3.2569848
360	3.2570335
361	3.2570284
362	3.2570235
363	3.2570349
364	3.2570284
365	3.2570153
366	3.2570278
367	3.2570760
368	3.2570806
369	3.2570526
370	3.2570103
371	3.2570588
372	3.2570648
373	3.2570501
374	3.2570501
375	3.2570458
376	3.2570310
377	3.2570773
378	3.2570434
379	3.2570414
380	3.2570414
381	3.2570480
382	3.2570628
383	3.2571318
384	3.2571123
385	3.2570631
386	3.2570675
387	3.2570675
388	3.2570675
389	3.2570737
390	3.2570675
391	3.2570675
392	3.2570946
393	3.2570937
394	3.2570917
395	3.2570914
396	3.2571281
397	3.2571094
398	3.2571100
399	3.2571198
400	3.2571329
401	3.2571551
402	3.2571198
403	3.2570989
404	3.2570995
405	3.2570966
406	3.2571241
407	3.2571382
408	3.2571459
409	3.2571256
410	3.2571355
411	3.2571633
412	3.2572023
413	3.2571974
414	3.2571877
415	3.2571459
416	3.2571014
417	3.2571198
418	3.2571198
419	3.2571363
420	3.2571408
421	3.2571453
422	3.2571436
423	3.2571571
424	3.2572406
425	3.2572384
426	3.2572350
427	3.2572178
428	3.2571474
429	3.2571721
430	3.2571759
431	3.2571773
432	3.2571723
433	3.2571673
434	3.2571721
435	3.2572156
436	3.2572272
437	3.2572250
438	3.2572853
439	3.2572831
440	3.2572783
441	3.2572504
442	3.2572504
443	3.2572491
444	3.2572658
445	3.2573194
446	3.2573179
447	3.2573165
448	3.2572744
449	3.2572616
450	3.2572484
451	3.2572952
452	3.2573129
453	3.2572969
454	3.2572818
455	3.2572417
456	3.2572504
457	3.2572679
458	3.2572853
459	3.2572790
460	3.2573054
461	3.2573288
462	3.2573266
463	3.2573078
464	3.2573255
465	3.2573549
466	3.2573607
467	3.2573666
468	3.2573941
469	3.2573898
470	3.2573724
471	3.2573549
472	3.2573159
473	3.2573316
474	3.2573393
475	3.2573671
476	3.2573445
