x	y
1	0.0281244
2	0.0281468
3	0.0281741
4	0.0282139
5	0.0282469
6	0.0282447
7	0.0282250
8	0.0282513
9	0.0282397
10	0.0282455
11	0.0282223
12	0.0282415
13	0.0282558
14	0.0282413
15	0.0282649
16	0.0282785
17	0.0283572
18	0.0283697
19	0.0284138
20	0.0283969
21	0.0283710
22	0.0283236
23	0.0283088
24	0.0283046
25	0.0283118
26	0.0283650
27	0.0283542
28	0.0283591
29	0.0283624
30	0.0283307
31	0.0283437
32	0.0283940
33	0.0284092
34	0.0284241
35	0.0284597
36	0.0284711
37	0.0284383
38	0.0283981
39	0.0283706
40	0.0283831
41	0.0284104
42	0.0283541
43	0.0283602
44	0.0283927
45	0.0283605
46	0.0283928
47	0.0284111
48	0.0284101
49	0.0284098
50	0.0284466
51	0.0284516
52	0.0285049
53	0.0285415
54	0.0285561
55	0.0285590
56	0.0285529
57	0.0285539
58	0.0286247
59	0.0286216
60	0.0286345
61	0.0286563
62	0.0286772
63	0.0287129
64	0.0287704
65	0.0286543
66	0.0287297
67	0.0287194
68	0.0288435
69	0.0286761
70	0.0286916
71	0.0287126
72	0.0284983
73	0.0284623
74	0.0285953
75	0.0285591
76	0.0282295
77	0.0279465
78	0.0278942
79	0.0278702
80	0.0274849
81	0.0272895
82	0.0271527
83	0.0270181
84	0.0269369
85	0.0268710
86	0.0267476
87	0.0266082
88	0.0264921
89	0.0262980
90	0.0262765
91	0.0263419
92	0.0261263
93	0.0261728
94	0.0260501
95	0.0259810
96	0.0259200
97	0.0258969
98	0.0259324
99	0.0259159
100	0.0258796
101	0.0257551
102	0.0257931
103	0.0258614
104	0.0258342
105	0.0258128
106	0.0256090
107	0.0255857
108	0.0254032
109	0.0254199
110	0.0253217
111	0.0251815
112	0.0251882
113	0.0251335
114	0.0250104
115	0.0250167
116	0.0250120
117	0.0250002
118	0.0248631
119	0.0248234
120	0.0248012
121	0.0247460
122	0.0246018
123	0.0245336
124	0.0244659
125	0.0243497
126	0.0243443
127	0.0243180
128	0.0242437
129	0.0242766
130	0.0241352
131	0.0240829
132	0.0240476
133	0.0240258
134	0.0240632
135	0.0237982
136	0.0237527
137	0.0237314
138	0.0236531
139	0.0235592
140	0.0235500
141	0.0235680
142	0.0235712
143	0.0234770
144	0.0233448
145	0.0232636
146	0.0232076
147	0.0231844
148	0.0230758
149	0.0229788
150	0.0228606
151	0.0228568
152	0.0228312
153	0.0228319
154	0.0228662
155	0.0227408
156	0.0226932
157	0.0226533
158	0.0226202
159	0.0224799
160	0.0224708
161	0.0223896
162	0.0223511
163	0.0223191
164	0.0222896
165	0.0222022
166	0.0222004
167	0.0222040
168	0.0221411
169	0.0220914
170	0.0220519
171	0.0220040
172	0.0219916
173	0.0219511
174	0.0219244
175	0.0219104
176	0.0217998
177	0.0216827
178	0.0214992
179	0.0215020
180	0.0214865
181	0.0214367
182	0.0214236
183	0.0213323
184	0.0212494
185	0.0210636
186	0.0210415
187	0.0208617
188	0.0208303
189	0.0207846
190	0.0206921
191	0.0207353
192	0.0207704
193	0.0207443
194	0.0207313
195	0.0207114
196	0.0207264
197	0.0208619
198	0.0209332
199	0.0211101
200	0.0211490
201	0.0211188
202	0.0210916
203	0.0211856
204	0.0212021
205	0.0213452
206	0.0214091
207	0.0212930
208	0.0212872
209	0.0215102
210	0.0214320
211	0.0214628
212	0.0214101
213	0.0214770
214	0.0214802
215	0.0213568
216	0.0212947
217	0.0213046
218	0.0212701
219	0.0211484
220	0.0211914
221	0.0211715
222	0.0210736
223	0.0210671
224	0.0211235
225	0.0211256
226	0.0211066
227	0.0209708
228	0.0210034
229	0.0210317
230	0.0210280
231	0.0210213
232	0.0210069
233	0.0210016
234	0.0209356
235	0.0208092
236	0.0207904
237	0.0207913
238	0.0208108
239	0.0208578
240	0.0208488
241	0.0208582
242	0.0208201
243	0.0208193
244	0.0208203
245	0.0208765
246	0.0209076
247	0.0208352
248	0.0208161
249	0.0208510
250	0.0208219
251	0.0208247
252	0.0208149
253	0.0207575
254	0.0208039
255	0.0208357
256	0.0208355
257	0.0208551
258	0.0208152
259	0.0207982
260	0.0207832
261	0.0208295
262	0.0208238
263	0.0208231
264	0.0208885
265	0.0208889
266	0.0208945
267	0.0208322
268	0.0208203
269	0.0207852
270	0.0208001
271	0.0207963
272	0.0208284
273	0.0208222
274	0.0208488
275	0.0208593
276	0.0208809
277	0.0208712
278	0.0208593
279	0.0208546
280	0.0208577
281	0.0208750
282	0.0208723
283	0.0209481
284	0.0209424
285	0.0208988
286	0.0209352
287	0.0209474
288	0.0209409
289	0.0209429
290	0.0209318
291	0.0209477
292	0.0210108
293	0.0209608
294	0.0209597
295	0.0209848
296	0.0209598
297	0.0209620
298	0.0209737
299	0.0208260
300	0.0208567
301	0.0209250
302	0.0209887
303	0.0209958
304	0.0210004
305	0.0211033
306	0.0210872
307	0.0210749
308	0.0210638
309	0.0210707
310	0.0210927
311	0.0210671
312	0.0210474
313	0.0210288
314	0.0210367
315	0.0209771
316	0.0209957
317	0.0210487
318	0.0210440
319	0.0210938
320	0.0210857
321	0.0211149
322	0.0211200
323	0.0211111
324	0.0211144
325	0.0211290
326	0.0211206
327	0.0211088
328	0.0210961
329	0.0210560
330	0.0210881
331	0.0210855
332	0.0210722
333	0.0210823
334	0.0210854
335	0.0211245
336	0.0211444
337	0.0211057
338	0.0211081
339	0.0211545
340	0.0211579
341	0.0211832
342	0.0211536
343	0.0211605
344	0.0211797
345	0.0212093
346	0.0211908
347	0.0211950
348	0.0213057
349	0.0213153
350	0.0213139
351	0.0213388
352	0.0213489
353	0.0213452
354	0.0213452
355	0.0213012
356	0.0212996
357	0.0212810
358	0.0212790
359	0.0212941
360	0.0213373
361	0.0213128
362	0.0213128
363	0.0213532
364	0.0213387
365	0.0212981
366	0.0212957
367	0.0213449
368	0.0213496
369	0.0213198
370	0.0212775
371	0.0213365
372	0.0213425
373	0.0213254
374	0.0213360
375	0.0214055
376	0.0213707
377	0.0214268
378	0.0213929
379	0.0214365
380	0.0213801
381	0.0213648
382	0.0213474
383	0.0214290
384	0.0214074
385	0.0213626
386	0.0213714
387	0.0213714
388	0.0213537
389	0.0213716
390	0.0213714
391	0.0213840
392	0.0214138
393	0.0214040
394	0.0213955
395	0.0213952
396	0.0214319
397	0.0214132
398	0.0214138
399	0.0214157
400	0.0214319
401	0.0214328
402	0.0213999
403	0.0213870
404	0.0213864
405	0.0213824
406	0.0214149
407	0.0214775
408	0.0214642
409	0.0214304
410	0.0214393
411	0.0214672
412	0.0215022
413	0.0215077
414	0.0215042
415	0.0214649
416	0.0214183
417	0.0214265
418	0.0214122
419	0.0214372
420	0.0214475
421	0.0214360
422	0.0214408
423	0.0214464
424	0.0215328
425	0.0215291
426	0.0215170
427	0.0214988
428	0.0214309
429	0.0214367
430	0.0214560
431	0.0214550
432	0.0214440
433	0.0214379
434	0.0214496
435	0.0215259
436	0.0215283
437	0.0215255
438	0.0215667
439	0.0215800
440	0.0215630
441	0.0215510
442	0.0215490
443	0.0215185
444	0.0215347
445	0.0215879
446	0.0215956
447	0.0216184
448	0.0215840
449	0.0215916
450	0.0215783
451	0.0216180
452	0.0216298
453	0.0216123
454	0.0215361
455	0.0215047
456	0.0215216
457	0.0215334
458	0.0215368
459	0.0215437
460	0.0215892
461	0.0216162
462	0.0216043
463	0.0215410
464	0.0215597
465	0.0216587
466	0.0216616
467	0.0216094
468	0.0216254
469	0.0216178
470	0.0215717
471	0.0215542
472	0.0215413
473	0.0216005
474	0.0216104
475	0.0216635
476	0.0216625
