x	y
1	32553.6643342
2	32553.5191878
3	32553.5313226
4	32553.4713460
5	32553.2144491
6	32553.1923495
7	32553.2828066
8	32553.5627318
9	32553.9788181
10	32554.0707441
11	32553.8385099
12	32553.8566532
13	32553.8428735
14	32553.6808170
15	32553.9314036
16	32553.9546270
17	32554.1868612
18	32554.3465222
19	32554.9561371
20	32554.8877109
21	32554.8470804
22	32554.7384175
23	32554.5294067
24	32554.4444961
25	32554.5061833
26	32555.0287103
27	32554.9396872
28	32554.9409773
29	32554.9250343
30	32554.6069196
31	32554.7355146
32	32555.0867688
33	32554.9706517
34	32555.1489744
35	32555.5139139
36	32555.4931787
37	32555.2028859
38	32555.4351202
39	32555.1477303
40	32555.2609445
41	32555.5222080
42	32555.1738567
43	32555.2609445
44	32555.3904129
45	32555.3396686
46	32555.5222080
47	32555.5222080
48	32555.6295401
49	32555.5222080
50	32555.7338647
51	32555.7834715
52	32556.1511757
53	32556.5188799
54	32556.8285255
55	32557.0897890
56	32557.0897890
57	32557.1551049
58	32558.1348430
59	32558.1348430
60	32558.6573700
61	32560.0507753
62	32560.6524731
63	32561.2700050
64	32562.2376476
65	32562.5763225
66	32564.6857834
67	32565.2542734
68	32566.4952750
69	32568.7402058
70	32570.9851366
71	32573.2881260
72	32573.2881260
73	32577.2070785
74	32579.1665548
75	32582.2884882
76	32583.3467707
77	32585.5675105
78	32588.7220254
79	32590.7268828
80	32591.0540440
81	32593.6666790
82	32596.5696068
83	32597.8468950
84	32599.6583219
85	32601.2433205
86	32603.2753699
87	32604.3784825
88	32604.6397460
89	32606.3566204
90	32607.4956740
91	32608.3627509
92	32608.9505937
93	32610.7213797
94	32610.7358943
95	32611.7422426
96	32611.8244923
97	32613.5799804
98	32614.4574026
99	32614.6983907
100	32614.7419347
101	32615.4270256
102	32616.1121166
103	32617.6655976
104	32617.6554185
105	32617.5722892
106	32617.7551737
107	32617.9138671
108	32618.0725605
109	32618.2806975
110	32618.2777007
111	32618.6376637
112	32619.1640613
113	32619.2705020
114	32619.3451487
115	32619.5442066
116	32619.6326768
117	32619.6349130
118	32619.5317655
119	32619.4350012
120	32619.4737069
121	32619.4446777
122	32619.4446777
123	32619.4664496
124	32619.5293464
125	32619.5922432
126	32619.9423224
127	32619.7603711
128	32619.8424981
129	32620.6287843
130	32620.2605532
131	32620.2405942
132	32620.1674467
133	32620.2110506
134	32620.9774235
135	32620.9687148
136	32620.9687148
137	32621.0558026
138	32620.4026438
139	32619.7252940
140	32619.7639997
141	32620.5187609
142	32620.6290722
143	32620.6135899
144	32620.6421354
145	32620.4723141
146	32619.9420460
147	32620.1413803
148	32620.0686234
149	32620.1587979
150	32620.3155560
151	32620.3155560
152	32620.0542925
153	32620.0542925
154	32620.4461877
155	32620.5167398
156	32620.1143722
157	32619.7840263
158	32619.9236607
159	32619.9049991
160	32619.9015345
161	32619.9167577
162	32620.0542925
163	32620.0736454
164	32620.0929982
165	32620.2633033
166	32620.4897317
167	32620.5432329
168	32620.2039962
169	32620.2009580
170	32620.1979198
171	32620.1101839
172	32620.4316731
173	32620.4461877
174	32620.1849242
175	32620.1849242
176	32619.9623665
177	32619.7930290
178	32618.4344588
179	32618.4867115
180	32618.6410444
181	32618.2254480
182	32618.2254480
183	32617.3894048
184	32617.0062183
185	32615.5741073
186	32615.3515495
187	32613.5401226
188	32612.2163875
189	32611.4229206
190	32610.2569113
191	32608.8344766
192	32607.7749080
193	32605.4235365
194	32604.6397460
195	32602.4190062
196	32600.5466178
197	32599.5451078
198	32596.7666452
199	32595.2865127
200	32593.6666790
201	32591.9249223
202	32589.6497527
203	32587.9188820
204	32586.4502321
205	32586.0900375
206	32583.7096367
207	32582.1710850
208	32581.5904994
209	32581.5179262
210	32580.2696673
211	32579.5584500
212	32577.1586964
213	32576.5910127
214	32576.5539198
215	32575.1169705
216	32574.5073557
217	32574.5073557
218	32573.8106530
219	32572.6262585
220	32572.5914233
221	32571.8511767
222	32570.9899748
223	32570.9544946
224	32570.9367545
225	32570.8309264
226	32570.6754910
227	32569.8046127
228	32569.8046127
229	32569.8170538
230	32569.8170538
231	32569.7871951
232	32569.5781843
233	32569.4525133
234	32569.3038576
235	32568.0236665
236	32567.8949700
237	32567.8015925
238	32567.8253437
239	32568.2623663
240	32568.0353546
241	32568.0255326
242	32567.5195938
243	32567.5403290
244	32567.5030056
245	32567.4532412
246	32567.5403290
247	32567.4880763
248	32567.5786768
249	32567.9975401
250	32567.9501378
251	32567.9322242
252	32567.8538452
253	32567.5030056
254	32567.4828480
255	32567.7139271
256	32567.7143122
257	32567.7146972
258	32567.4656823
259	32567.3993297
260	32567.3539887
261	32567.6854754
262	32567.6383028
263	32567.6448344
264	32568.0976911
265	32567.9882093
266	32567.9678511
267	32567.6933925
268	32567.4905981
269	32567.6503347
270	32567.7493398
