x	y
1	-0.0339844
2	-0.0340009
3	-0.0340259
4	-0.0340346
5	-0.0341380
6	-0.0340610
7	-0.0340775
8	-0.0340513
9	-0.0340607
10	-0.0340533
11	-0.0340636
12	-0.0340228
13	-0.0340190
14	-0.0339842
15	-0.0339904
16	-0.0339755
17	-0.0340115
18	-0.0340729
19	-0.0340513
20	-0.0340633
21	-0.0340482
22	-0.0340583
23	-0.0340477
24	-0.0340362
25	-0.0340884
26	-0.0340966
27	-0.0341013
28	-0.0340962
29	-0.0340203
30	-0.0340230
31	-0.0340383
32	-0.0340413
33	-0.0340385
34	-0.0340672
35	-0.0340443
36	-0.0339887
37	-0.0339944
38	-0.0340107
39	-0.0340417
40	-0.0340659
41	-0.0341585
42	-0.0341448
43	-0.0340593
44	-0.0339809
45	-0.0339360
46	-0.0339590
47	-0.0339697
48	-0.0340510
49	-0.0340557
50	-0.0340325
51	-0.0340365
52	-0.0340348
53	-0.0340121
54	-0.0340051
55	-0.0340226
56	-0.0340194
57	-0.0340390
58	-0.0340453
59	-0.0340943
60	-0.0341245
61	-0.0339840
62	-0.0339758
63	-0.0339549
64	-0.0339495
65	-0.0339884
66	-0.0339643
67	-0.0339666
68	-0.0340165
69	-0.0340426
70	-0.0340627
71	-0.0340520
72	-0.0340406
73	-0.0340511
74	-0.0340411
75	-0.0339947
76	-0.0340143
77	-0.0340438
78	-0.0340696
79	-0.0340746
80	-0.0340740
81	-0.0340274
82	-0.0340122
83	-0.0340412
84	-0.0340505
85	-0.0340869
86	-0.0340882
87	-0.0340516
88	-0.0340545
89	-0.0340509
90	-0.0340486
91	-0.0340792
92	-0.0341161
93	-0.0341079
94	-0.0340426
95	-0.0340426
96	-0.0340367
97	-0.0340185
98	-0.0339333
99	-0.0339515
100	-0.0339590
101	-0.0340203
102	-0.0340324
103	-0.0340427
104	-0.0340120
105	-0.0340303
106	-0.0340655
107	-0.0340132
108	-0.0340194
109	-0.0340400
110	-0.0340380
111	-0.0340242
112	-0.0339848
113	-0.0339991
114	-0.0340252
115	-0.0340842
116	-0.0341098
117	-0.0340996
118	-0.0341174
119	-0.0341347
120	-0.0341807
121	-0.0341259
122	-0.0341368
123	-0.0342424
124	-0.0342224
125	-0.0343387
126	-0.0342725
127	-0.0342778
128	-0.0341844
129	-0.0342744
130	-0.0342178
131	-0.0341863
132	-0.0341689
133	-0.0341341
134	-0.0340825
135	-0.0340695
136	-0.0339207
137	-0.0339577
138	-0.0339381
139	-0.0337213
140	-0.0336297
141	-0.0336507
142	-0.0336311
143	-0.0336159
144	-0.0336343
145	-0.0336406
146	-0.0335402
147	-0.0334933
148	-0.0335092
149	-0.0335346
150	-0.0335488
151	-0.0335524
152	-0.0334735
153	-0.0334985
154	-0.0335375
155	-0.0335637
156	-0.0335658
157	-0.0335985
158	-0.0336254
159	-0.0336306
160	-0.0336711
161	-0.0336507
162	-0.0335795
163	-0.0335966
164	-0.0336013
165	-0.0336220
166	-0.0336277
167	-0.0336195
168	-0.0336176
169	-0.0335503
170	-0.0336462
171	-0.0336914
172	-0.0337152
173	-0.0337110
174	-0.0337123
175	-0.0336472
176	-0.0336594
177	-0.0336594
178	-0.0336076
179	-0.0336242
180	-0.0336116
181	-0.0336066
182	-0.0336135
183	-0.0336050
184	-0.0336053
185	-0.0335858
186	-0.0335328
187	-0.0335380
188	-0.0335432
189	-0.0335429
190	-0.0335108
191	-0.0335849
192	-0.0335848
193	-0.0335283
194	-0.0335237
195	-0.0334848
196	-0.0334548
197	-0.0334346
198	-0.0334543
199	-0.0334664
200	-0.0334981
201	-0.0334728
202	-0.0334417
203	-0.0334456
204	-0.0334495
205	-0.0334774
206	-0.0334339
207	-0.0334482
208	-0.0334268
209	-0.0334524
210	-0.0334520
211	-0.0334169
212	-0.0333986
213	-0.0334029
214	-0.0333883
215	-0.0333942
216	-0.0333578
217	-0.0333545
218	-0.0333513
219	-0.0333459
220	-0.0333274
221	-0.0333789
222	-0.0333070
223	-0.0332327
224	-0.0332330
225	-0.0332339
226	-0.0331979
227	-0.0331293
228	-0.0331340
229	-0.0331272
230	-0.0331401
231	-0.0331549
232	-0.0331849
233	-0.0331899
234	-0.0331873
235	-0.0331795
236	-0.0331615
237	-0.0331406
238	-0.0330890
239	-0.0330668
240	-0.0330315
241	-0.0329730
242	-0.0329197
243	-0.0329619
244	-0.0329453
245	-0.0328739
246	-0.0328681
247	-0.0328321
248	-0.0328070
249	-0.0327992
250	-0.0327648
251	-0.0328456
252	-0.0327712
253	-0.0328028
254	-0.0328669
255	-0.0328553
256	-0.0328461
257	-0.0329244
258	-0.0328669
259	-0.0330046
260	-0.0329910
261	-0.0329644
262	-0.0329378
263	-0.0329327
264	-0.0328800
265	-0.0328147
266	-0.0329453
267	-0.0330072
268	-0.0331478
269	-0.0331347
270	-0.0331174
271	-0.0330510
272	-0.0330676
273	-0.0330596
274	-0.0330498
275	-0.0328914
276	-0.0328045
277	-0.0328582
278	-0.0329018
279	-0.0329540
280	-0.0329462
281	-0.0329166
282	-0.0329223
283	-0.0329166
284	-0.0329295
285	-0.0329944
286	-0.0329621
287	-0.0329400
288	-0.0329627
289	-0.0328259
290	-0.0328399
291	-0.0328365
292	-0.0328147
293	-0.0328160
294	-0.0328060
295	-0.0328332
296	-0.0328235
297	-0.0327884
298	-0.0328110
299	-0.0328208
300	-0.0327549
301	-0.0327591
302	-0.0327327
303	-0.0327293
304	-0.0327326
305	-0.0327407
306	-0.0327167
307	-0.0327152
308	-0.0327233
309	-0.0327398
310	-0.0327610
311	-0.0327595
312	-0.0326662
313	-0.0326899
314	-0.0327460
315	-0.0327494
316	-0.0327510
317	-0.0327648
318	-0.0327484
319	-0.0327156
320	-0.0327289
321	-0.0327530
322	-0.0327891
323	-0.0327811
324	-0.0328199
325	-0.0327933
326	-0.0327805
327	-0.0327844
328	-0.0327582
329	-0.0327956
330	-0.0327950
331	-0.0327912
332	-0.0327770
333	-0.0327734
334	-0.0327886
335	-0.0327899
336	-0.0327773
337	-0.0328132
338	-0.0327886
339	-0.0327775
340	-0.0327910
341	-0.0327941
342	-0.0327807
343	-0.0327546
344	-0.0327430
345	-0.0327456
346	-0.0327102
347	-0.0327124
348	-0.0327529
349	-0.0327570
350	-0.0327048
351	-0.0326671
352	-0.0326966
353	-0.0327179
354	-0.0326677
355	-0.0326959
356	-0.0327298
357	-0.0327211
358	-0.0326701
359	-0.0327041
360	-0.0327289
361	-0.0327686
362	-0.0327604
363	-0.0327671
364	-0.0327165
365	-0.0327200
366	-0.0327450
367	-0.0327428
368	-0.0327432
369	-0.0328015
370	-0.0328017
371	-0.0327950
372	-0.0328333
373	-0.0328339
374	-0.0328375
375	-0.0328495
376	-0.0327846
377	-0.0326841
378	-0.0326841
379	-0.0326986
380	-0.0327819
381	-0.0327762
382	-0.0328245
383	-0.0328016
384	-0.0328016
385	-0.0327763
386	-0.0327784
387	-0.0328046
388	-0.0327552
389	-0.0327795
390	-0.0327938
391	-0.0327602
392	-0.0327743
393	-0.0327835
394	-0.0328243
395	-0.0328524
396	-0.0328786
397	-0.0327779
398	-0.0326940
399	-0.0327545
400	-0.0327457
401	-0.0327915
402	-0.0327954
403	-0.0327770
404	-0.0327779
405	-0.0327784
406	-0.0327988
407	-0.0328017
408	-0.0327951
409	-0.0328214
410	-0.0328408
411	-0.0327987
412	-0.0327724
413	-0.0327534
414	-0.0327251
415	-0.0328337
416	-0.0328386
417	-0.0328363
418	-0.0328484
419	-0.0329103
420	-0.0328859
421	-0.0328210
422	-0.0328267
423	-0.0328729
424	-0.0328606
425	-0.0328684
426	-0.0328642
427	-0.0328325
428	-0.0328351
429	-0.0328385
430	-0.0328277
431	-0.0328348
432	-0.0328065
433	-0.0328105
434	-0.0328284
435	-0.0328325
436	-0.0327417
437	-0.0328019
438	-0.0328249
439	-0.0328206
440	-0.0328221
441	-0.0328275
442	-0.0328201
443	-0.0327265
444	-0.0327363
445	-0.0328459
446	-0.0328623
447	-0.0328324
448	-0.0327853
449	-0.0327593
450	-0.0327622
451	-0.0327915
452	-0.0329094
453	-0.0329376
454	-0.0329323
455	-0.0329282
456	-0.0329159
457	-0.0329399
458	-0.0329337
459	-0.0328815
460	-0.0328879
461	-0.0328321
462	-0.0328101
463	-0.0328094
464	-0.0328121
465	-0.0328245
466	-0.0329009
467	-0.0328219
468	-0.0327649
469	-0.0327706
470	-0.0327811
471	-0.0327765
472	-0.0327415
473	-0.0327506
474	-0.0327954
475	-0.0328727
476	-0.0328637
477	-0.0328532
478	-0.0328582
479	-0.0328350
480	-0.0328475
481	-0.0328004
482	-0.0327945
483	-0.0327912
484	-0.0327918
485	-0.0327781
486	-0.0328016
487	-0.0328065
488	-0.0327829
489	-0.0327729
490	-0.0327562
491	-0.0327811
492	-0.0328083
493	-0.0327976
494	-0.0328470
495	-0.0328185
496	-0.0328160
497	-0.0328071
498	-0.0328272
499	-0.0327037
500	-0.0327355
501	-0.0327496
502	-0.0327525
503	-0.0327899
504	-0.0327752
505	-0.0327610
506	-0.0327973
507	-0.0329254
508	-0.0329347
509	-0.0329540
510	-0.0329741
511	-0.0329643
512	-0.0328383
513	-0.0328610
514	-0.0328839
515	-0.0328611
516	-0.0328331
517	-0.0328259
518	-0.0327913
519	-0.0327853
520	-0.0328204
521	-0.0328461
522	-0.0327697
523	-0.0328147
524	-0.0328334
525	-0.0328348
526	-0.0328463
527	-0.0328506
528	-0.0328571
529	-0.0328697
530	-0.0328655
531	-0.0328626
532	-0.0328549
533	-0.0329388
534	-0.0329479
535	-0.0329317
536	-0.0329105
537	-0.0328931
538	-0.0327634
539	-0.0327820
540	-0.0328016
541	-0.0327886
542	-0.0328024
543	-0.0328158
544	-0.0327984
545	-0.0327499
546	-0.0327820
547	-0.0327878
548	-0.0328023
549	-0.0328276
550	-0.0328511
551	-0.0328438
552	-0.0328223
553	-0.0328498
554	-0.0329335
555	-0.0328350
556	-0.0328361
557	-0.0328245
558	-0.0328234
559	-0.0328224
560	-0.0328128
561	-0.0327890
562	-0.0327973
563	-0.0328147
564	-0.0327836
565	-0.0328058
566	-0.0328008
567	-0.0327903
568	-0.0327851
569	-0.0327783
570	-0.0327439
571	-0.0327697
572	-0.0327483
573	-0.0327510
574	-0.0327857
575	-0.0327828
576	-0.0327908
577	-0.0328472
578	-0.0328336
579	-0.0327788
580	-0.0327876
581	-0.0328002
582	-0.0327923
583	-0.0327876
584	-0.0327903
585	-0.0327954
586	-0.0328057
587	-0.0328023
588	-0.0327470
589	-0.0327618
590	-0.0327505
591	-0.0327565
592	-0.0327829
593	-0.0328326
594	-0.0328269
595	-0.0328156
596	-0.0328209
597	-0.0329518
598	-0.0329467
599	-0.0328895
600	-0.0328949
601	-0.0328943
602	-0.0329001
603	-0.0328624
604	-0.0328716
605	-0.0328486
606	-0.0328429
607	-0.0328432
608	-0.0328304
609	-0.0328410
610	-0.0328688
611	-0.0329050
612	-0.0329532
613	-0.0329558
614	-0.0330915
615	-0.0330976
616	-0.0331054
617	-0.0331217
618	-0.0330498
619	-0.0330742
620	-0.0331954
621	-0.0331990
622	-0.0333036
623	-0.0333169
624	-0.0333215
625	-0.0332371
626	-0.0331306
627	-0.0331656
628	-0.0332357
629	-0.0332427
630	-0.0332722
631	-0.0333620
632	-0.0333646
633	-0.0333575
634	-0.0333497
635	-0.0333557
636	-0.0333636
637	-0.0333424
638	-0.0333013
639	-0.0333633
