x	y
1	624.0163636
2	624.0163636
3	624.0165657
4	624.0167677
5	624.0150000
6	624.0150000
7	624.0138889
8	624.0105556
9	624.0006399
10	624.0012500
11	624.0042857
12	624.0045455
13	624.0032873
14	624.0025000
15	624.0033333
16	624.0166667
17	624.0174074
18	624.0150000
19	624.0150000
20	624.0150000
21	624.0183333
22	624.0200000
23	624.0287500
24	624.0316825
25	624.0315861
26	624.0325000
27	624.0600000
28	624.0612500
29	624.0637500
30	624.0695833
31	624.0833333
32	624.0840741
33	624.0848148
34	624.0890909
35	624.0900000
36	624.0900000
37	624.0916667
38	624.0916667
39	624.0916667
40	624.0900000
41	624.0900000
42	624.0900000
43	624.0902778
44	624.0894133
45	624.0893750
46	624.0872222
47	624.0850000
48	624.0785256
49	624.0768750
50	624.0700000
51	624.0625000
52	624.0536392
53	624.0500000
54	624.0448148
55	624.0409252
56	624.0400000
57	624.0237037
58	624.0241233
59	624.0238889
60	624.0264286
61	624.0255556
62	624.0257143
63	624.0226455
64	624.0195767
65	624.0170000
66	624.0175000
67	624.0206481
68	624.0237500
69	624.0237289
70	624.0233333
71	624.0085185
72	624.0050000
73	624.0000000
74	624.0007264
75	624.0014286
76	624.0026984
77	623.9950000
78	623.9933333
79	623.9866667
80	623.9850000
81	623.9850000
82	623.9857143
83	623.9915344
84	623.9916667
85	623.9936920
86	623.9922222
87	623.9930000
88	623.9905949
89	623.9901983
90	623.9987500
91	623.9970000
92	623.9945556
93	623.9962500
94	623.9800000
95	623.9750000
96	623.9775000
97	623.9786392
98	623.9787500
99	623.9802500
100	623.9817500
101	623.9757143
102	623.9730000
103	623.9738889
104	623.9800000
105	623.9800000
106	623.9800000
107	623.9800000
108	623.9800000
109	623.9644444
110	623.9550000
111	623.9585714
112	623.9600000
113	623.9755556
114	623.9775000
115	623.9731579
116	623.9688304
117	623.9675000
118	623.9654325
119	623.9660000
120	623.9686667
121	623.9683333
122	623.9687500
123	623.9681114
124	623.9688889
125	623.9666667
126	623.9444444
127	623.9374815
128	623.9375000
129	623.9487963
130	623.9490000
131	623.9450000
132	623.9441848
133	623.9450000
134	623.9500000
135	623.9513333
136	623.9492857
137	623.9487734
138	623.9503319
139	623.9490909
140	623.9408081
141	623.9412500
142	623.9402162
143	623.9418182
144	623.9411111
145	623.9410000
146	623.9395926
147	623.9410000
148	623.9484815
149	623.9492857
150	623.9534656
151	623.9555876
152	623.9510526
153	623.9500000
154	623.9494444
155	623.9494444
156	623.9533333
157	623.9600000
158	623.9600000
159	623.9600000
160	623.9600000
161	623.9588689
162	623.9566866
163	623.9396363
164	623.9425556
165	623.9440000
166	623.9465185
167	623.9490370
168	623.9523457
169	623.9478947
170	623.9488889
171	623.9600000
172	623.9562500
173	623.9543056
174	623.9550000
175	623.9553704
176	623.9537500
177	623.9453241
178	623.9466667
179	623.9516667
180	623.9675000
181	623.9664286
182	623.9645841
183	623.9705556
184	623.9800000
185	623.9914286
186	623.9950000
187	623.9966667
188	624.0182222
189	624.0194074
190	624.0416667
191	624.0487037
192	624.0500000
193	624.0625000
194	624.0993519
195	624.1100000
196	624.1100000
197	624.1488965
198	624.1525000
199	624.1737500
200	624.2023611
201	624.2166667
202	624.2287500
203	624.2450000
204	624.2475000
205	624.2525000
206	624.2700000
207	624.2700000
208	624.2833333
209	624.3018519
210	624.3175000
211	624.3250926
212	624.3292839
213	624.3316667
214	624.3383333
215	624.3400000
216	624.3451852
217	624.3475000
218	624.3516667
219	624.3583333
220	624.3650000
221	624.3650000
222	624.3700000
223	624.3718182
224	624.3725000
225	624.3800000
226	624.3750000
227	624.3600000
228	624.3640084
229	624.3693249
230	624.3719972
231	624.3718182
232	624.3727778
233	624.3720000
234	624.3599213
235	624.3605556
236	624.3690000
237	624.3743333
238	624.3736842
239	624.3725000
240	624.3475000
241	624.3450000
242	624.3466667
243	624.3361111
244	624.3405556
245	624.3408519
246	624.3411481
247	624.3400000
248	624.3362500
249	624.3344444
250	624.3300000
251	624.3250000
252	624.3239873
253	624.3258535
254	624.3257895
255	624.3182105
256	624.3194444
257	624.3193750
258	624.3100335
259	624.3133333
260	624.3119831
261	624.3075000
262	624.3036364
263	624.3011111
264	624.3027273
265	624.3022222
266	624.2966667
267	624.2900000
268	624.2907407
269	624.2914815
270	624.2918272
271	624.2875000
272	624.2909091
273	624.2871429
274	624.2870476
275	624.2869712
276	624.2819176
277	624.2828571
278	624.2881250
279	624.2861111
280	624.2850000
281	624.2775000
282	624.2758333
283	624.2741667
284	624.2733333
285	624.2692405
286	624.2800000
287	624.2750000
288	624.2600000
289	624.2562963
290	624.2575000
291	624.2568750
292	624.2500000
293	624.2500000
294	624.2500000
295	624.2494893
296	624.2505556
297	624.2542857
298	624.2555556
299	624.2555556
300	624.2531579
301	624.2527273
302	624.2500000
303	624.2425000
304	624.2412500
305	624.2418182
306	624.2343750
307	624.2210880
308	624.2210212
309	624.2170000
310	624.2034444
311	624.1927273
312	624.1850000
313	624.1801852
314	624.1753704
315	624.1604568
316	624.1455432
317	624.1300000
318	624.1227273
319	624.1175000
320	624.1013889
321	624.0978868
322	624.0960000
323	624.0800000
324	624.0664286
325	624.0500000
326	624.0400000
327	624.0300000
328	624.0225926
329	624.0125000
330	624.0000000
331	623.9950000
332	623.9968421
333	623.9962500
334	623.9898611
335	623.9890909
336	623.9733333
337	623.9733333
338	623.9731224
339	623.9687500
340	623.9385714
341	623.9180423
342	623.9283333
343	623.9366667
344	623.9355556
345	623.9344444
346	623.9292593
347	623.9308333
348	623.9294444
349	623.9307143
350	623.9413492
351	623.9412500
352	623.9370833
353	623.9358333
354	623.9121429
355	623.9148192
356	623.9245455
357	623.9200000
358	623.9202532
359	623.9183333
360	623.9042857
361	623.9038312
362	623.9023560
363	623.9050000
364	623.9068750
365	623.9075000
366	623.9075422
367	623.9005556
368	623.8941852
369	623.8942857
370	623.8958409
371	623.8912500
372	623.8916667
373	623.9025000
374	623.9040000
375	623.9032405
376	623.8994444
377	623.8900000
378	623.8961111
379	623.9024074
380	623.9025000
381	623.9031743
382	623.9018750
383	623.9000000
384	623.8950000
385	623.8975000
386	623.9017616
387	623.9089891
388	623.9085714
389	623.9060000
390	623.9020000
391	623.9024641
392	623.9042025
393	623.9036231
394	623.9054283
395	623.9044444
396	623.9006250
397	623.9000000
398	623.8981013
399	623.9000000
400	623.9000000
401	623.8973843
402	623.8975216
403	623.8950000
404	623.8955485
405	623.8985714
406	623.8996144
407	623.9006122
408	623.8977844
409	623.8979281
410	623.8967843
411	623.8900000
412	623.8904219
413	623.8962447
414	623.8956250
415	623.8875000
416	623.8795370
417	623.8784066
418	623.8783333
419	623.8774895
420	623.8755987
421	623.8800000
422	623.8787630
423	623.8771429
424	623.8793889
425	623.8827593
426	623.8840000
427	623.8858565
428	623.8865140
429	623.8770000
430	623.8767778
431	623.8766667
432	623.8762500
433	623.8763158
434	623.8891423
435	623.8883333
436	623.8872222
437	623.8881645
438	623.8866667
439	623.8887342
440	623.8883333
441	623.8761111
