Seconds	Ch1	Ch2
1	617.510000	624.020000
1	617.540000	624.010000
1	617.490000	624.060000
1	617.500000	624.040000
1	617.540000	624.020000
1	617.570000	624.030000
1	617.460000	624.020000
1	617.490000	623.970000
1	617.510000	624.040000
1	617.540000	624.000000
1	617.500000	623.970000
2	617.490000	624.040000
2	617.550000	624.020000
2	617.490000	623.980000
2	617.470000	623.990000
2	617.470000	624.100000
2	617.550000	623.990000
2	617.490000	624.050000
2	617.460000	623.960000
2	617.470000	624.060000
3	617.500000	623.960000
3	617.510000	624.060000
3	617.530000	624.040000
3	617.480000	624.030000
3	617.500000	624.010000
3	617.450000	624.010000
3	617.570000	624.020000
3	617.530000	624.010000
3	617.530000	624.010000
4	617.410000	623.940000
4	617.380000	624.000000
4	617.480000	624.040000
4	617.480000	624.030000
4	617.480000	624.030000
4	617.490000	624.070000
4	617.500000	624.030000
4	617.500000	623.980000
4	617.510000	624.050000
5	617.430000	623.980000
5	617.470000	623.970000
5	617.500000	623.980000
5	617.490000	623.980000
5	617.510000	624.050000
5	617.500000	623.970000
5	617.440000	624.050000
5	617.510000	624.010000
5	617.470000	624.040000
6	617.520000	624.080000
6	617.510000	623.980000
6	617.490000	624.020000
6	617.510000	624.030000
6	617.470000	624.070000
6	617.470000	624.010000
6	617.490000	624.010000
6	617.480000	623.980000
6	617.470000	624.060000
6	617.450000	623.980000
7	617.460000	623.960000
7	617.470000	624.050000
7	617.510000	624.020000
7	617.480000	624.020000
7	617.510000	624.070000
7	617.460000	623.980000
7	617.500000	623.980000
7	617.450000	623.980000
7	617.480000	624.050000
8	617.480000	624.010000
8	617.500000	623.980000
8	617.490000	624.050000
8	617.410000	623.940000
8	617.490000	624.050000
8	617.430000	623.990000
8	617.430000	624.020000
8	617.530000	623.940000
8	617.480000	624.000000
9	617.380000	624.000000
9	617.470000	623.920000
9	617.560000	624.060000
9	617.490000	623.940000
9	617.500000	623.950000
9	617.440000	624.030000
9	617.560000	624.020000
9	617.510000	623.990000
9	617.440000	624.050000
10	617.490000	623.980000
10	617.480000	623.990000
10	617.510000	624.040000
10	617.510000	623.910000
10	617.450000	624.020000
10	617.460000	624.010000
10	617.400000	623.970000
10	617.520000	624.030000
10	617.590000	624.010000
10	617.470000	624.030000
11	617.520000	624.020000
11	617.450000	623.940000
11	617.520000	624.010000
11	617.530000	624.090000
11	617.450000	624.010000
11	617.420000	624.000000
11	617.500000	624.010000
11	617.480000	623.970000
11	617.440000	624.060000
12	617.510000	624.020000
12	617.490000	623.990000
12	617.500000	623.980000
12	617.500000	623.980000
12	617.490000	624.010000
12	617.470000	624.020000
12	617.490000	624.020000
12	617.510000	624.040000
12	617.450000	624.020000
13	617.520000	623.940000
13	617.450000	624.010000
13	617.520000	623.940000
13	617.500000	624.060000
13	617.420000	623.990000
13	617.460000	624.030000
13	617.480000	624.000000
13	617.440000	624.000000
13	617.540000	624.000000
14	617.440000	623.960000
14	617.500000	624.050000
14	617.520000	623.950000
14	617.500000	624.020000
14	617.440000	624.010000
14	617.530000	623.950000
14	617.470000	624.010000
14	617.520000	623.940000
14	617.460000	624.030000
14	617.520000	624.010000
15	617.450000	624.040000
15	617.380000	624.020000
15	617.520000	623.980000
15	617.490000	624.040000
15	617.460000	624.030000
15	617.450000	624.060000
15	617.490000	624.030000
15	617.440000	623.940000
15	617.470000	624.020000
16	617.450000	624.040000
16	617.520000	624.080000
16	617.540000	623.990000
16	617.520000	624.070000
16	617.400000	624.040000
16	617.510000	624.040000
16	617.500000	624.000000
16	617.450000	624.070000
16	617.540000	624.000000
17	617.500000	624.030000
17	617.460000	624.050000
17	617.410000	624.060000
17	617.510000	624.030000
17	617.460000	623.980000
17	617.440000	623.970000
17	617.360000	624.020000
17	617.460000	624.020000
17	617.440000	624.000000
18	617.440000	624.010000
18	617.420000	624.010000
18	617.430000	624.030000
18	617.520000	623.990000
18	617.450000	624.020000
18	617.550000	623.930000
18	617.470000	623.980000
18	617.480000	624.030000
18	617.450000	624.010000
19	617.530000	624.090000
19	617.440000	624.030000
19	617.520000	624.010000
19	617.470000	623.990000
19	617.540000	624.000000
19	617.470000	624.030000
19	617.440000	623.980000
19	617.470000	624.010000
19	617.480000	624.020000
19	617.490000	623.990000
20	617.520000	624.040000
20	617.470000	624.070000
20	617.470000	623.980000
20	617.450000	624.030000
20	617.420000	624.000000
20	617.420000	623.960000
20	617.480000	624.060000
20	617.510000	624.030000
20	617.430000	623.980000
21	617.530000	624.060000
21	617.460000	624.040000
21	617.490000	624.010000
21	617.470000	624.100000
21	617.440000	624.010000
21	617.490000	624.060000
21	617.490000	624.000000
21	617.500000	624.090000
21	617.480000	624.030000
22	617.410000	623.960000
22	617.500000	624.000000
22	617.470000	624.070000
22	617.450000	624.090000
22	617.480000	623.980000
22	617.450000	624.080000
22	617.400000	623.970000
22	617.450000	624.030000
22	617.500000	624.020000
22	617.480000	624.090000
23	617.520000	624.000000
23	617.500000	624.020000
23	617.470000	624.030000
23	617.400000	624.070000
23	617.520000	624.040000
23	617.460000	624.110000
23	617.490000	624.070000
23	617.450000	624.030000
23	617.460000	624.000000
24	617.490000	623.950000
24	617.480000	624.010000
24	617.540000	624.060000
24	617.500000	624.080000
24	617.470000	624.010000
24	617.480000	624.050000
24	617.460000	624.010000
24	617.470000	624.050000
24	617.480000	624.020000
25	617.530000	624.080000
25	617.430000	624.000000
25	617.470000	624.020000
25	617.420000	624.100000
25	617.490000	624.040000
25	617.440000	624.050000
25	617.470000	624.060000
25	617.510000	623.990000
25	617.480000	623.970000
26	617.380000	624.030000
26	617.500000	624.020000
26	617.490000	624.010000
26	617.440000	624.130000
26	617.440000	624.080000
26	617.410000	624.060000
26	617.450000	624.030000
26	617.500000	624.050000
26	617.500000	624.040000
27	617.390000	624.060000
27	617.430000	624.110000
27	617.540000	624.110000
27	617.420000	624.110000
27	617.470000	624.000000
27	617.440000	624.110000
27	617.450000	624.040000
27	617.390000	624.040000
27	617.490000	624.100000
27	617.490000	624.080000
28	617.480000	624.080000
28	617.490000	624.060000
28	617.530000	624.050000
28	617.510000	624.040000
28	617.440000	624.070000
28	617.540000	624.120000
28	617.540000	624.070000
28	617.460000	624.060000
28	617.470000	624.040000
29	617.500000	624.070000
29	617.490000	624.060000
29	617.410000	624.010000
29	617.490000	624.080000
29	617.460000	624.160000
29	617.440000	624.070000
29	617.430000	624.090000
29	617.530000	624.030000
29	617.410000	624.030000
30	617.390000	624.060000
30	617.470000	624.060000
30	617.450000	624.050000
30	617.490000	624.070000
30	617.510000	624.090000
30	617.460000	624.090000
30	617.480000	624.110000
30	617.450000	624.130000
30	617.450000	624.030000
30	617.460000	624.100000
31	617.470000	624.090000
31	617.510000	624.030000
31	617.390000	624.120000
31	617.490000	624.110000
31	617.460000	624.160000
31	617.460000	624.110000
31	617.480000	624.110000
31	617.470000	624.090000
31	617.390000	624.070000
32	617.460000	624.080000
32	617.410000	624.060000
32	617.470000	624.100000
32	617.480000	624.110000
32	617.430000	624.110000
32	617.500000	624.080000
32	617.540000	624.080000
32	617.460000	624.050000
32	617.480000	624.090000
33	617.440000	624.060000
33	617.430000	624.110000
33	617.420000	624.090000
33	617.410000	624.090000
33	617.470000	624.150000
33	617.530000	624.090000
33	617.450000	624.040000
33	617.530000	624.060000
33	617.560000	624.120000
34	617.450000	624.050000
34	617.500000	624.100000
34	617.510000	624.110000
34	617.520000	624.090000
34	617.430000	624.100000
34	617.480000	624.070000
34	617.400000	624.100000
34	617.420000	624.140000
34	617.340000	624.090000
35	617.510000	624.080000
35	617.450000	624.060000
35	617.510000	624.090000
35	617.470000	624.120000
35	617.480000	624.050000
35	617.500000	624.130000
35	617.510000	624.110000
35	617.500000	624.070000
35	617.490000	624.090000
35	617.410000	624.110000
36	617.510000	624.020000
36	617.510000	624.130000
36	617.490000	624.110000
36	617.430000	624.080000
36	617.450000	624.080000
36	617.460000	624.060000
36	617.490000	624.100000
36	617.460000	624.090000
36	617.460000	624.100000
37	617.440000	624.110000
37	617.440000	624.110000
37	617.490000	624.020000
37	617.450000	624.100000
37	617.500000	624.190000
37	617.430000	624.100000
37	617.480000	624.110000
37	617.490000	623.990000
37	617.430000	624.150000
38	617.480000	624.110000
38	617.450000	624.080000
38	617.440000	624.110000
38	617.500000	624.060000
38	617.450000	624.070000
38	617.370000	624.100000
38	617.430000	624.090000
38	617.490000	624.020000
38	617.500000	624.100000
38	617.450000	624.170000
39	617.510000	624.090000
39	617.490000	624.090000
39	617.450000	624.080000
39	617.440000	624.100000
39	617.490000	624.160000
39	617.450000	624.110000
39	617.470000	624.110000
39	617.460000	624.090000
39	617.470000	624.040000
40	617.390000	624.050000
40	617.440000	624.110000
40	617.440000	624.090000
40	617.460000	624.080000
40	617.450000	624.100000
40	617.460000	624.050000
40	617.470000	624.050000
40	617.480000	624.090000
40	617.470000	624.130000
41	617.420000	624.170000
41	617.350000	624.110000
41	617.420000	624.080000
41	617.390000	624.090000
41	617.440000	624.090000
41	617.450000	624.070000
41	617.400000	624.100000
41	617.490000	624.080000
41	617.460000	624.080000
42	617.410000	624.130000
42	617.380000	624.070000
42	617.510000	624.090000
42	617.540000	624.010000
42	617.390000	624.090000
42	617.430000	624.040000
42	617.480000	624.040000
42	617.520000	624.100000
42	617.460000	624.110000
43	617.480000	624.120000
43	617.520000	624.050000
43	617.490000	624.090000
43	617.440000	624.100000
43	617.430000	624.110000
43	617.490000	624.160000
43	617.500000	624.110000
43	617.450000	624.080000
43	617.430000	624.100000
43	617.470000	624.130000
44	617.450000	624.040000
44	617.480000	624.150000
44	617.470000	624.080000
44	617.540000	624.120000
44	617.490000	624.070000
44	617.420000	624.040000
44	617.430000	624.050000
44	617.400000	624.080000
44	617.380000	624.110000
45	617.450000	624.110000
45	617.450000	624.130000
45	617.510000	624.060000
45	617.380000	624.130000
45	617.430000	624.010000
45	617.480000	624.100000
45	617.460000	624.120000
45	617.490000	624.070000
45	617.490000	624.100000
46	617.390000	624.080000
46	617.420000	624.080000
46	617.380000	624.060000
46	617.470000	624.070000
46	617.360000	624.030000
46	617.510000	624.130000
46	617.470000	624.070000
46	617.420000	624.120000
46	617.460000	624.100000
47	617.510000	624.050000
47	617.510000	624.100000
47	617.530000	624.090000
47	617.450000	624.070000
47	617.450000	624.090000
47	617.430000	624.110000
47	617.440000	624.060000
47	617.450000	624.040000
47	617.500000	624.070000
47	617.410000	624.080000
48	617.450000	624.040000
48	617.480000	624.080000
48	617.420000	624.020000
48	617.450000	624.040000
48	617.430000	624.120000
48	617.440000	624.080000
48	617.460000	624.110000
48	617.470000	624.130000
48	617.440000	624.050000
49	617.460000	624.090000
49	617.430000	624.030000
49	617.450000	624.130000
49	617.510000	624.050000
49	617.430000	624.090000
49	617.460000	624.090000
49	617.520000	624.100000
49	617.450000	624.020000
49	617.470000	624.010000
50	617.440000	624.070000
50	617.490000	624.000000
50	617.440000	624.080000
50	617.480000	623.960000
50	617.400000	624.060000
50	617.440000	624.090000
50	617.520000	623.990000
50	617.440000	624.050000
50	617.430000	624.010000
50	617.490000	624.040000
