x	y
1	32266.7547868
2	32266.7547868
3	32266.6668193
4	32266.5788518
5	32265.5244146
6	32265.5197230
7	32265.1713717
8	32265.1713717
9	32265.1162528
10	32265.2264905
11	32265.1897059
12	32265.1956241
13	32265.1464894
14	32265.1464894
15	32264.9971960
16	32265.1464894
17	32264.8230203
18	32264.5133747
19	32264.7359325
20	32264.7221818
21	32264.7965631
22	32264.7359325
23	32264.7165796
24	32264.8105792
25	32264.7359325
26	32264.5617568
27	32264.3875812
28	32264.5269217
29	32264.4365268
30	32264.1484387
31	32264.1263177
32	32264.1553469
33	32264.1896543
34	32263.9811713
35	32264.2880522
36	32264.5285805
37	32264.3295226
38	32264.2134055
39	32264.2227946
40	32263.9811713
41	32263.0551741
42	32263.1921027
43	32264.0471469
44	32264.0174579
45	32263.9739140
46	32263.9303700
47	32263.8974099
48	32263.8971392
49	32263.9521420
50	32263.9574339
51	32263.6908785
52	32263.6386258
53	32263.7576827
54	32263.8571371
55	32263.8215102
56	32263.8360249
57	32263.6618492
58	32263.5650850
59	32263.1160988
60	32262.6980772
61	32262.9419231
62	32262.6595752
63	32262.8697646
64	32263.5139381
65	32263.1356936
66	32263.1683515
67	32263.1026278
68	32262.6458245
69	32262.6458245
70	32262.5151927
71	32262.5151927
72	32262.6022806
73	32262.5780282
74	32262.6131666
75	32262.6453241
76	32262.4715284
77	32262.1232975
78	32261.9491218
79	32261.8620340
80	32261.8620340
81	32262.2539293
82	32262.4803576
83	32262.5805086
84	32262.5297074
85	32262.3845610
86	32262.4825348
87	32262.6107475
88	32262.5270684
89	32262.5338544
90	32262.5571620
91	32262.4543289
92	32262.4336306
93	32262.5151928
94	32263.1683515
95	32263.1683515
96	32263.1683515
97	32263.2366988
98	32263.1973808
99	32263.1683515
100	32263.1683515
101	32262.6877149
102	32262.6977898
103	32262.7680349
104	32262.8417721
105	32262.7111404
106	32262.9397459
107	32263.2663253
108	32263.1030356
109	32262.9336982
110	32262.9724039
111	32263.0258473
112	32262.9800855
113	32262.9070880
114	32262.9070880
115	32263.1442858
116	32262.8324413
117	32262.8384255
118	32262.9724039
119	32263.2928133
120	32263.4296150
121	32264.1650234
122	32264.1422409
123	32264.2134055
124	32264.4746690
125	32264.4746690
126	32265.5042898
127	32265.5197230
128	32267.1066569
129	32268.1323580
130	32269.2548234
131	32269.5693073
132	32271.7757904
133	32272.3125740
134	32273.9382136
135	32275.5638531
136	32277.7991075
137	32278.0603710
138	32279.1054250
139	32281.4045438
140	32282.5811972
141	32283.2856410
142	32283.4815886
143	32284.3306950
144	32285.1144855
145	32285.8692467
146	32287.2699094
147	32287.9579033
148	32287.9230681
149	32288.0174133
150	32287.9622944
151	32288.1973948
152	32289.1080847
153	32289.0756433
154	32289.0334380
155	32289.1205258
156	32289.0987539
157	32289.0334380
158	32288.8592623
159	32288.8434282
160	32288.8302331
161	32288.7721745
162	32288.7009208
163	32288.7395166
164	32288.9702993
165	32288.9028062
166	32288.8366636
167	32288.9681221
168	32288.9463502
169	32288.9884856
170	32288.0630307
171	32288.0519719
172	32288.0928894
173	32288.1006305
174	32288.0257074
175	32287.3704751
176	32287.1175057
177	32287.2045935
178	32287.1719356
179	32287.2372514
180	32287.3787692
181	32287.4446244
182	32287.3152366
183	32287.2045935
184	32287.1078292
185	32287.0699269
186	32287.3392601
187	32287.2336228
188	32287.2792402
189	32287.2792402
190	32287.2045935
191	32286.5272437
192	32286.5253084
193	32286.6014095
194	32286.8207821
195	32287.1387415
196	32287.2045935
197	32287.2045935
198	32286.8755950
199	32286.8388246
200	32286.4954497
201	32286.4581264
202	32286.4208030
203	32286.4208030
204	32286.4208030
205	32286.1595395
206	32286.3685503
207	32286.4033854
208	32286.4208030
209	32286.1595395
210	32286.1595395
211	32286.2466273
212	32286.4788616
213	32286.7110958
214	32286.7522979
215	32286.6350196
216	32286.6074198
217	32286.5526789
218	32286.4979379
219	32286.5078908
220	32286.4788616
221	32286.5262791
222	32286.9841310
223	32286.9433300
224	32286.7473824
225	32286.8008226
226	32287.1280618
227	32287.4553009
228	32287.4081992
229	32287.4762066
230	32287.3207106
231	32287.2283447
232	32287.1227837
233	32287.1396325
234	32287.1650491
235	32287.1175057
236	32287.2758472
237	32287.3419044
238	32287.4658570
239	32287.6226151
240	32288.0058016
241	32288.2015097
242	32288.0406367
243	32287.6151504
244	32287.5703624
245	32287.5758627
246	32287.0739618
247	32287.0304178
248	32287.0304178
249	32286.8562422
250	32286.4208030
251	32284.8338691
252	32284.7661342
253	32284.0694315
254	32283.1550092
255	32282.4292773
256	32282.3385608
257	32281.4567965
258	32281.1955330
259	32279.1099713
260	32278.3869504
261	32278.1305251
262	32277.8740998
263	32277.5378440
264	32277.5378440
265	32277.5378440
266	32275.9702630
267	32275.4477360
268	32274.0107868
269	32273.8075818
270	32273.9405934
271	32273.7813982
272	32273.6150019
273	32273.6842074
274	32273.5535756
275	32273.5608329
276	32273.3576280
277	32273.3576280
278	32273.3576280
279	32272.7770424
280	32272.7968853
281	32272.8223624
282	32272.8478396
283	32272.8324986
284	32272.7697851
285	32272.6760832
286	32272.9941188
287	32272.9972220
288	32272.7044693
289	32272.8351010
290	32272.8351010
291	32273.3769809
292	32273.3576280
293	32273.3576280
294	32273.3576280
295	32272.3512797
