x	y
1	0.0062256
2	0.0062596
3	0.0062814
4	0.0063010
5	0.0063483
6	0.0063291
7	0.0063219
8	0.0063186
9	0.0063234
10	0.0063518
11	0.0063910
12	0.0062857
13	0.0062355
14	0.0063017
15	0.0063295
16	0.0063520
17	0.0063905
18	0.0063885
19	0.0063736
20	0.0063765
21	0.0064953
22	0.0064960
23	0.0064251
24	0.0064715
25	0.0065642
26	0.0065879
27	0.0065381
28	0.0065211
29	0.0064868
30	0.0064528
31	0.0064939
32	0.0065057
33	0.0064993
34	0.0065358
35	0.0065337
36	0.0065664
37	0.0066110
38	0.0065734
39	0.0065887
40	0.0065924
41	0.0066164
42	0.0066423
43	0.0066533
44	0.0066948
45	0.0067070
46	0.0067211
47	0.0066896
48	0.0065791
49	0.0066082
50	0.0066138
51	0.0065914
52	0.0066191
53	0.0066638
54	0.0066818
55	0.0067014
56	0.0066821
57	0.0066187
58	0.0065930
59	0.0065913
60	0.0067137
61	0.0067266
62	0.0067428
63	0.0067354
64	0.0067232
65	0.0067017
66	0.0066842
67	0.0066891
68	0.0067146
69	0.0067582
70	0.0068277
71	0.0068213
72	0.0068344
73	0.0068270
74	0.0068376
75	0.0068320
76	0.0068268
77	0.0068546
78	0.0069169
79	0.0068794
80	0.0070215
81	0.0070873
82	0.0072936
83	0.0074440
84	0.0076088
85	0.0076881
86	0.0081915
87	0.0085469
88	0.0088144
89	0.0091210
90	0.0096368
91	0.0103624
92	0.0111106
93	0.0118458
94	0.0130329
95	0.0139972
96	0.0152354
97	0.0166960
98	0.0181566
99	0.0196069
100	0.0218155
101	0.0235007
102	0.0258128
103	0.0279339
104	0.0302117
105	0.0325534
106	0.0349832
107	0.0369053
108	0.0398655
109	0.0426382
110	0.0444932
111	0.0476022
112	0.0489085
113	0.0504239
114	0.0517824
115	0.0524095
116	0.0527230
117	0.0536113
118	0.0537158
119	0.0530887
120	0.0528275
121	0.0519392
122	0.0503194
123	0.0475500
124	0.0462959
125	0.0430562
126	0.0403391
127	0.0357408
128	0.0328669
129	0.0296795
130	0.0251335
131	0.0199083
132	0.0164073
133	0.0103460
134	0.0058000
135	0.0007315
136	-0.0040235
137	-0.0082559
138	-0.0114956
139	-0.0180272
140	-0.0202740
141	-0.0236705
142	-0.0261786
143	-0.0291570
144	-0.0315084
145	-0.0318741
146	-0.0339120
147	-0.0362111
148	-0.0357931
149	-0.0356363
150	-0.0357931
151	-0.0352706
152	-0.0350616
153	-0.0345390
154	-0.0339643
155	-0.0331282
156	-0.0323444
157	-0.0313516
158	-0.0299930
159	-0.0290786
160	-0.0279683
161	-0.0268644
162	-0.0260218
163	-0.0245588
164	-0.0234615
165	-0.0224164
166	-0.0218416
167	-0.0203786
168	-0.0195686
169	-0.0187578
170	-0.0178018
171	-0.0168886
172	-0.0161983
173	-0.0154058
174	-0.0145811
175	-0.0133767
176	-0.0128542
177	-0.0121579
178	-0.0115021
179	-0.0108686
180	-0.0103066
181	-0.0096877
182	-0.0090920
183	-0.0084715
184	-0.0079475
185	-0.0073007
186	-0.0067249
187	-0.0063020
188	-0.0057478
189	-0.0053185
190	-0.0049065
191	-0.0046662
192	-0.0042151
193	-0.0037788
194	-0.0034293
195	-0.0031265
196	-0.0026731
197	-0.0025343
198	-0.0021917
199	-0.0019399
200	-0.0016348
201	-0.0012463
202	-0.0009315
203	-0.0006497
204	-0.0005160
205	-0.0001865
206	0.0000980
207	0.0002796
208	0.0005274
209	0.0007569
210	0.0008883
211	0.0013600
212	0.0014829
213	0.0016135
214	0.0018182
215	0.0021249
216	0.0023557
217	0.0024777
218	0.0025386
219	0.0028110
220	0.0029342
221	0.0030035
222	0.0033582
223	0.0034574
224	0.0036263
225	0.0037491
226	0.0038241
227	0.0038493
228	0.0040196
229	0.0040958
230	0.0041426
231	0.0043420
232	0.0043611
233	0.0044730
234	0.0044659
235	0.0045580
236	0.0046063
237	0.0048292
238	0.0048537
239	0.0050750
240	0.0052185
241	0.0052083
242	0.0053624
243	0.0055299
244	0.0054855
245	0.0053792
246	0.0055416
247	0.0056251
248	0.0056464
249	0.0056494
250	0.0058075
251	0.0058760
252	0.0059464
253	0.0059307
254	0.0061829
255	0.0062279
256	0.0062480
257	0.0061801
258	0.0063153
259	0.0063312
260	0.0063141
261	0.0062902
262	0.0062747
263	0.0061658
264	0.0063139
265	0.0063812
266	0.0064366
267	0.0063926
268	0.0064466
269	0.0062906
270	0.0064948
271	0.0063889
272	0.0065403
273	0.0065342
274	0.0065316
275	0.0065291
276	0.0066100
277	0.0067171
278	0.0066324
279	0.0067079
280	0.0066753
281	0.0065669
282	0.0065578
283	0.0065856
284	0.0065999
285	0.0065876
286	0.0067014
287	0.0068432
288	0.0068412
289	0.0066716
290	0.0068712
291	0.0067648
292	0.0069012
293	0.0069235
294	0.0070114
295	0.0068796
296	0.0067555
297	0.0067481
298	0.0068418
299	0.0068721
300	0.0069157
301	0.0069444
302	0.0067615
303	0.0069303
304	0.0070128
305	0.0070431
306	0.0071515
307	0.0071253
308	0.0070280
309	0.0070019
310	0.0071325
311	0.0071495
312	0.0071717
313	0.0070364
314	0.0070204
315	0.0070408
316	0.0072133
317	0.0072213
318	0.0073023
319	0.0072762
320	0.0072969
321	0.0073606
322	0.0074112
323	0.0074704
324	0.0074804
325	0.0074852
326	0.0075984
327	0.0074968
328	0.0074286
329	0.0073004
330	0.0073996
331	0.0072414
332	0.0073096
333	0.0069806
334	0.0066840
335	0.0063748
336	0.0060458
337	0.0056506
338	0.0048987
339	0.0042568
340	0.0033054
341	0.0019752
342	0.0005748
343	-0.0010044
344	-0.0034095
345	-0.0059046
346	-0.0085890
347	-0.0117046
348	-0.0150227
349	-0.0194641
350	-0.0238534
351	-0.0286567
352	-0.0343398
353	-0.0399559
354	-0.0458308
355	-0.0523180
