x	y
1	0.0039516
2	0.0039731
3	0.0039870
4	0.0039995
5	0.0040295
6	0.0040173
7	0.0040127
8	0.0040106
9	0.0040137
10	0.0040317
11	0.0040566
12	0.0039897
13	0.0039579
14	0.0039999
15	0.0040176
16	0.0040318
17	0.0040563
18	0.0040550
19	0.0040455
20	0.0040474
21	0.0041228
22	0.0041232
23	0.0040782
24	0.0041077
25	0.0041665
26	0.0041816
27	0.0041500
28	0.0041392
29	0.0041174
30	0.0040958
31	0.0041219
32	0.0041294
33	0.0041253
34	0.0041485
35	0.0041472
36	0.0041679
37	0.0041962
38	0.0041723
39	0.0041820
40	0.0041844
41	0.0041997
42	0.0042161
43	0.0042231
44	0.0042494
45	0.0042571
46	0.0042661
47	0.0042461
48	0.0041760
49	0.0041944
50	0.0041980
51	0.0041838
52	0.0042014
53	0.0042297
54	0.0042412
55	0.0042536
56	0.0042413
57	0.0042011
58	0.0041848
59	0.0041837
60	0.0042614
61	0.0042696
62	0.0042799
63	0.0042752
64	0.0042674
65	0.0042538
66	0.0042427
67	0.0042458
68	0.0042620
69	0.0042896
70	0.0043338
71	0.0043297
72	0.0043380
73	0.0043333
74	0.0043400
75	0.0043365
76	0.0043332
77	0.0043508
78	0.0043904
79	0.0043666
80	0.0044567
81	0.0044986
82	0.0046295
83	0.0047250
84	0.0048296
85	0.0048799
86	0.0051994
87	0.0054250
88	0.0055948
89	0.0057894
90	0.0061168
91	0.0065773
92	0.0070523
93	0.0075189
94	0.0082724
95	0.0088845
96	0.0096704
97	0.0105975
98	0.0115246
99	0.0124452
100	0.0138470
101	0.0149166
102	0.0163842
103	0.0177306
104	0.0191764
105	0.0206627
106	0.0222050
107	0.0234250
108	0.0253039
109	0.0270638
110	0.0282413
111	0.0302147
112	0.0310438
113	0.0320057
114	0.0328680
115	0.0332660
116	0.0334650
117	0.0340288
118	0.0340951
119	0.0336971
120	0.0335313
121	0.0329675
122	0.0319393
123	0.0301815
124	0.0293855
125	0.0273292
126	0.0256045
127	0.0226859
128	0.0208617
129	0.0188386
130	0.0159531
131	0.0126364
132	0.0104143
133	0.0065670
134	0.0036815
135	0.0004643
136	-0.0025538
137	-0.0052403
138	-0.0072966
139	-0.0114424
140	-0.0128686
141	-0.0150244
142	-0.0166164
143	-0.0185069
144	-0.0199994
145	-0.0202316
146	-0.0215250
147	-0.0229844
148	-0.0227190
149	-0.0226195
150	-0.0227190
151	-0.0223874
152	-0.0222547
153	-0.0219230
154	-0.0215582
155	-0.0210275
156	-0.0205300
157	-0.0198999
158	-0.0190376
159	-0.0184571
160	-0.0177524
161	-0.0170517
162	-0.0165169
163	-0.0155882
164	-0.0148917
165	-0.0142284
166	-0.0138636
167	-0.0129349
168	-0.0124208
169	-0.0119062
170	-0.0112994
171	-0.0107198
172	-0.0102816
173	-0.0097786
174	-0.0092551
175	-0.0084906
176	-0.0081590
177	-0.0077170
178	-0.0073008
179	-0.0068986
180	-0.0065419
181	-0.0061491
182	-0.0057710
183	-0.0053771
184	-0.0050445
185	-0.0046340
186	-0.0042685
187	-0.0040001
188	-0.0036483
189	-0.0033758
190	-0.0031143
191	-0.0029618
192	-0.0026754
193	-0.0023985
194	-0.0021767
195	-0.0019845
196	-0.0016967
197	-0.0016086
198	-0.0013911
199	-0.0012313
200	-0.0010377
201	-0.0007911
202	-0.0005912
203	-0.0004124
204	-0.0003275
205	-0.0001184
206	0.0000622
207	0.0001775
208	0.0003347
209	0.0004804
210	0.0005638
211	0.0008632
212	0.0009413
213	0.0010242
214	0.0011541
215	0.0013488
216	0.0014953
217	0.0015727
218	0.0016113
219	0.0017842
220	0.0018624
221	0.0019064
222	0.0021316
223	0.0021945
224	0.0023018
225	0.0023797
226	0.0024273
227	0.0024433
228	0.0025514
229	0.0025997
230	0.0026294
231	0.0027560
232	0.0027681
233	0.0028392
234	0.0028346
235	0.0028931
236	0.0029238
237	0.0030653
238	0.0030808
239	0.0032213
240	0.0033123
241	0.0033059
242	0.0034037
243	0.0035100
244	0.0034818
245	0.0034143
246	0.0035174
247	0.0035704
248	0.0035839
249	0.0035858
250	0.0036862
251	0.0037297
252	0.0037743
253	0.0037644
254	0.0039245
255	0.0039530
256	0.0039658
257	0.0039227
258	0.0040085
259	0.0040186
260	0.0040078
261	0.0039926
262	0.0039827
263	0.0039136
264	0.0040076
265	0.0040504
266	0.0040855
267	0.0040576
268	0.0040918
269	0.0039929
270	0.0041225
271	0.0040552
272	0.0041513
273	0.0041475
274	0.0041458
275	0.0041443
276	0.0041956
277	0.0042636
278	0.0042098
279	0.0042577
280	0.0042370
281	0.0041682
282	0.0041625
283	0.0041801
284	0.0041892
285	0.0041813
286	0.0042536
287	0.0043436
288	0.0043424
289	0.0042347
290	0.0043614
291	0.0042938
292	0.0043804
293	0.0043946
294	0.0044504
295	0.0043667
296	0.0042880
297	0.0042832
298	0.0043427
299	0.0043619
300	0.0043896
301	0.0044078
302	0.0042917
303	0.0043989
304	0.0044513
305	0.0044705
306	0.0045393
307	0.0045226
308	0.0044609
309	0.0044443
310	0.0045272
311	0.0045380
312	0.0045521
313	0.0044663
314	0.0044560
315	0.0044690
316	0.0045785
317	0.0045836
318	0.0046350
319	0.0046184
320	0.0046316
321	0.0046720
322	0.0047041
323	0.0047417
324	0.0047480
325	0.0047511
326	0.0048230
327	0.0047585
328	0.0047152
329	0.0046338
330	0.0046968
331	0.0045963
332	0.0046396
333	0.0044308
334	0.0042425
335	0.0040463
336	0.0038375
337	0.0035866
