x	y
1	39840.3621143
2	39840.3725729
3	39840.3963862
4	39841.2468007
5	39841.0000519
6	39840.8452291
7	39840.8014748
8	39840.7047351
9	39840.7242737
10	39840.6886469
11	39840.2950551
12	39840.1070560
13	39840.3614078
14	39840.4443486
15	39840.4303523
16	39839.8709486
17	39840.5065542
18	39841.1064926
19	39840.9855372
20	39840.9855372
21	39840.8922289
22	39841.2475094
23	39841.4431943
24	39841.2468007
25	39840.6952445
26	39840.5936420
27	39840.8026528
28	39840.9855372
29	39841.3822707
30	39841.7790042
31	39842.2483108
32	39844.2513310
33	39847.6961386
34	39849.6507767
35	39853.1342900
36	39856.7919790
37	39863.5848300
38	39869.3326270
39	39875.0997769
40	39880.4363258
41	39885.0084370
42	39890.2337070
43	39893.8913960
44	39900.0920497
45	39903.6887772
46	39907.2593784
47	39909.8807222
48	39911.2392924
49	39912.9887902
50	39914.0086855
51	39916.5560046
52	39917.1438475
53	39917.7708799
54	39918.1850309
55	39918.5807968
56	39919.1033238
57	39919.1294501
58	39919.6829417
59	39920.0830619
60	39920.6709047
61	39920.7773454
62	39920.8837861
63	39921.4546953
64	39921.4546953
65	39921.8465905
66	39922.6303810
67	39923.2496723
68	39922.8543211
69	39922.7871391
70	39922.7600451
71	39922.9289679
72	39923.0782613
73	39923.2275547
74	39923.2939073
75	39923.3602600
76	39923.6754350
77	39923.4141715
78	39923.1238787
79	39923.1529080
80	39923.7080929
81	39924.4788203
82	39924.4011669
83	39924.0721685
84	39923.7431700
85	39923.8361128
86	39923.8496107
87	39923.6754350
88	39923.6754350
89	39923.6754350
90	39923.9076692
91	39923.7500817
92	39922.6303810
93	39921.9772223
94	39920.7144487
95	39918.3630772
96	39915.4407965
97	39913.3555268
98	39910.0897330
99	39902.1614336
100	39897.5038878
101	39892.8463420
102	39889.9724435
103	39885.2697005
104	39878.7477894
105	39873.6434747
106	39869.1439367
107	39867.5690984
108	39865.6749380
109	39865.6749380
110	39863.5848300
111	39863.1493908
112	39859.9271410
113	39859.4394491
114	39858.9517573
115	39857.6280222
116	39857.4886817
117	39855.8049836
118	39854.7541237
119	39854.2161144
120	39854.2446599
121	39854.1420206
122	39854.1793440
123	39854.1140281
124	39853.1342900
125	39853.1342900
126	39853.1342900
127	39852.6117630
128	39851.6973407
129	39850.5216550
130	39849.8249523
131	39849.8946226
132	39849.9642929
133	39849.8539816
134	39849.4330571
135	39849.2899842
136	39848.8234422
137	39848.1789923
138	39848.1702835
139	39848.1122249
140	39848.0541664
141	39847.6787211
142	39847.4387457
143	39846.9858890
144	39846.7333342
145	39845.9688966
146	39845.5813997
147	39845.4688013
148	39846.5653791
149	39846.5653791
150	39846.4720707
151	39845.7318242
152	39845.4028257
153	39845.2963850
154	39844.7031479
155	39844.5125945
156	39844.3166469
157	39844.4006244
158	39844.1816607
159	39843.9900675
160	39843.9029797
161	39843.2062770
162	39842.8703668
163	39842.6298385
164	39842.3893102
165	39842.1089703
166	39842.2265389
167	39842.4878024
168	39842.4598099
169	39842.2991776
170	39842.3702338
171	39842.3702338
172	39842.1238996
173	39841.6386960
174	39840.6589579
175	39840.7910411
176	39841.0029817
177	39840.4630102
178	39840.4630102
179	39840.4630102
180	39840.3736306
181	39840.2717480
182	39840.2076629
183	39841.5806374
184	39841.5733801
185	39840.3396358
186	39840.3098716
187	39840.4129439
188	39840.2997206
189	39838.8782047
190	39838.8722702
191	39838.8663356
192	39838.8046514
193	39839.2002367
194	39839.2873245
195	39840.1233677
196	39839.8098515
197	39839.6792198
198	39838.6584181
199	39838.7974554
200	39838.4760326
201	39838.8228561
202	39838.6602921
203	39838.2422705
204	39838.3263769
205	39837.9287543
206	39837.6152381
207	39838.1303004
208	39838.3905404
209	39838.2723410
210	39838.1541415
211	39837.8242489
212	39837.3278483
213	39837.8195892
214	39837.8068313
215	39837.4205246
