x	y
1	-0.0056640
2	-0.0056632
3	-0.0056630
4	-0.0056628
5	-0.0056628
6	-0.0056628
7	-0.0056630
8	-0.0056632
9	-0.0056638
10	-0.0056637
11	-0.0056640
12	-0.0056632
13	-0.0056636
14	-0.0056634
15	-0.0056617
16	-0.0056624
17	-0.0056630
18	-0.0056637
19	-0.0056634
20	-0.0056633
21	-0.0056633
22	-0.0056632
23	-0.0056630
24	-0.0056624
25	-0.0056625
26	-0.0056616
27	-0.0056615
28	-0.0056613
29	-0.0056590
30	-0.0056574
31	-0.0056569
32	-0.0056553
33	-0.0056561
34	-0.0056555
35	-0.0056571
36	-0.0056594
37	-0.0056588
38	-0.0056618
39	-0.0056675
40	-0.0056725
41	-0.0056753
42	-0.0056795
43	-0.0056854
44	-0.0056902
45	-0.0056923
46	-0.0056933
47	-0.0056966
48	-0.0056978
49	-0.0056980
50	-0.0056971
51	-0.0056986
52	-0.0057011
53	-0.0057034
54	-0.0057024
55	-0.0057032
56	-0.0057041
57	-0.0057037
58	-0.0057037
59	-0.0057049
60	-0.0057033
61	-0.0057039
62	-0.0057064
63	-0.0057071
64	-0.0057066
65	-0.0057059
66	-0.0057070
67	-0.0057072
68	-0.0057074
69	-0.0057073
70	-0.0057075
71	-0.0057068
72	-0.0057069
73	-0.0057072
74	-0.0057071
75	-0.0057072
76	-0.0057067
77	-0.0057064
78	-0.0057068
79	-0.0057068
80	-0.0057072
81	-0.0057065
82	-0.0057083
83	-0.0057076
84	-0.0057070
85	-0.0057075
86	-0.0057074
87	-0.0057074
88	-0.0057080
89	-0.0057086
90	-0.0057094
91	-0.0057117
92	-0.0057132
93	-0.0057109
94	-0.0057130
95	-0.0057144
96	-0.0057146
97	-0.0057132
98	-0.0057101
99	-0.0057055
100	-0.0057047
101	-0.0057021
102	-0.0056995
103	-0.0056972
104	-0.0056931
105	-0.0056923
106	-0.0056888
107	-0.0056857
108	-0.0056868
109	-0.0056867
110	-0.0056886
111	-0.0056861
112	-0.0056842
113	-0.0056861
114	-0.0056863
115	-0.0056840
116	-0.0056828
117	-0.0056842
118	-0.0056841
119	-0.0056841
120	-0.0056850
121	-0.0056832
122	-0.0056834
123	-0.0056824
124	-0.0056806
125	-0.0056814
126	-0.0056821
127	-0.0056821
128	-0.0056824
129	-0.0056819
130	-0.0056801
131	-0.0056802
132	-0.0056802
133	-0.0056799
134	-0.0056797
135	-0.0056793
136	-0.0056786
137	-0.0056767
138	-0.0056753
139	-0.0056753
140	-0.0056763
141	-0.0056759
142	-0.0056760
143	-0.0056763
144	-0.0056764
145	-0.0056764
146	-0.0056755
147	-0.0056756
148	-0.0056750
149	-0.0056748
150	-0.0056759
151	-0.0056750
152	-0.0056746
153	-0.0056745
154	-0.0056742
155	-0.0056729
156	-0.0056711
157	-0.0056711
158	-0.0056712
159	-0.0056716
160	-0.0056715
161	-0.0056713
162	-0.0056710
163	-0.0056706
164	-0.0056705
165	-0.0056686
166	-0.0056684
167	-0.0056690
168	-0.0056691
169	-0.0056688
170	-0.0056689
171	-0.0056690
172	-0.0056690
173	-0.0056686
174	-0.0056684
175	-0.0056687
176	-0.0056688
177	-0.0056689
178	-0.0056684
179	-0.0056683
180	-0.0056687
181	-0.0056689
182	-0.0056686
183	-0.0056680
184	-0.0056676
185	-0.0056677
186	-0.0056672
187	-0.0056660
188	-0.0056655
189	-0.0056656
190	-0.0056660
191	-0.0056655
192	-0.0056654
193	-0.0056665
194	-0.0056669
195	-0.0056668
196	-0.0056670
197	-0.0056672
198	-0.0056666
199	-0.0056663
200	-0.0056661
201	-0.0056648
202	-0.0056652
203	-0.0056643
204	-0.0056641
205	-0.0056641
206	-0.0056644
207	-0.0056636
208	-0.0056636
209	-0.0056638
210	-0.0056637
211	-0.0056632
212	-0.0056631
213	-0.0056635
214	-0.0056640
215	-0.0056642
216	-0.0056643
217	-0.0056647
218	-0.0056650
219	-0.0056648
220	-0.0056642
221	-0.0056639
222	-0.0056632
223	-0.0056631
224	-0.0056639
225	-0.0056638
226	-0.0056632
227	-0.0056629
228	-0.0056622
229	-0.0056624
230	-0.0056626
231	-0.0056622
232	-0.0056622
233	-0.0056620
234	-0.0056616
235	-0.0056613
236	-0.0056612
237	-0.0056611
238	-0.0056610
239	-0.0056616
240	-0.0056616
241	-0.0056615
242	-0.0056620
243	-0.0056619
244	-0.0056620
245	-0.0056615
246	-0.0056613
247	-0.0056608
248	-0.0056603
249	-0.0056605
250	-0.0056612
251	-0.0056614
252	-0.0056614
253	-0.0056610
254	-0.0056603
255	-0.0056613
256	-0.0056614
257	-0.0056608
258	-0.0056608
259	-0.0056608
260	-0.0056610
261	-0.0056613
262	-0.0056616
263	-0.0056612
264	-0.0056612
265	-0.0056616
266	-0.0056613
267	-0.0056614
268	-0.0056613
269	-0.0056601
270	-0.0056597
271	-0.0056596
272	-0.0056599
273	-0.0056600
274	-0.0056588
275	-0.0056590
276	-0.0056599
277	-0.0056600
278	-0.0056602
279	-0.0056596
280	-0.0056597
281	-0.0056597
282	-0.0056593
283	-0.0056589
284	-0.0056592
285	-0.0056595
286	-0.0056599
287	-0.0056611
288	-0.0056602
289	-0.0056598
290	-0.0056596
291	-0.0056599
292	-0.0056600
293	-0.0056600
294	-0.0056602
295	-0.0056602
296	-0.0056601
297	-0.0056598
298	-0.0056590
299	-0.0056584
300	-0.0056591
301	-0.0056596
302	-0.0056601
303	-0.0056601
304	-0.0056600
305	-0.0056593
306	-0.0056588
307	-0.0056582
308	-0.0056582
309	-0.0056590
310	-0.0056594
311	-0.0056586
312	-0.0056585
313	-0.0056585
314	-0.0056585
315	-0.0056587
316	-0.0056585
317	-0.0056582
318	-0.0056587
319	-0.0056584
320	-0.0056584
321	-0.0056590
322	-0.0056591
323	-0.0056589
324	-0.0056591
325	-0.0056606
326	-0.0056602
327	-0.0056596
328	-0.0056596
329	-0.0056599
330	-0.0056593
331	-0.0056583
332	-0.0056588
333	-0.0056586
334	-0.0056583
335	-0.0056585
336	-0.0056582
337	-0.0056578
338	-0.0056574
339	-0.0056586
340	-0.0056582
341	-0.0056582
342	-0.0056589
343	-0.0056589
344	-0.0056585
345	-0.0056580
346	-0.0056583
347	-0.0056583
348	-0.0056579
349	-0.0056579
350	-0.0056583
351	-0.0056586
352	-0.0056580
353	-0.0056572
354	-0.0056577
355	-0.0056583
356	-0.0056577
357	-0.0056574
358	-0.0056570
359	-0.0056567
360	-0.0056567
361	-0.0056571
362	-0.0056576
363	-0.0056576
364	-0.0056581
365	-0.0056579
366	-0.0056580
367	-0.0056578
368	-0.0056587
369	-0.0056586
370	-0.0056583
371	-0.0056583
372	-0.0056582
373	-0.0056585
374	-0.0056579
375	-0.0056579
376	-0.0056562
377	-0.0056558
378	-0.0056558
379	-0.0056563
380	-0.0056560
381	-0.0056558
382	-0.0056551
383	-0.0056554
384	-0.0056554
385	-0.0056555
386	-0.0056561
387	-0.0056564
388	-0.0056562
