x	y
1	672.8508333
2	672.8491667
3	672.8402637
4	672.8412500
5	672.8407143
6	672.8409735
7	672.8434710
8	672.8450000
9	672.8444444
10	672.8466667
11	672.8533333
12	672.8562500
13	672.8687500
14	672.8700000
15	672.8710000
16	672.8778889
17	672.8852222
18	672.8738889
19	672.8743750
20	672.8810000
21	672.8900000
22	672.9100000
23	672.9351852
24	672.9316667
25	672.9373782
26	672.9600000
27	672.9700000
28	672.9800000
29	673.0036364
30	673.0425000
31	673.0925000
32	673.1621667
33	673.1850000
34	673.2962500
35	673.3300000
36	673.4300000
37	673.4900000
38	673.6000000
39	673.7031250
40	673.8040000
41	673.9060000
42	673.9650000
43	674.0200000
44	674.0900000
45	674.1450000
46	674.1900000
47	674.2300000
48	674.3100000
49	674.3425926
50	674.3751852
51	674.4080247
52	674.4100000
53	674.4300000
54	674.4640000
55	674.4983333
56	674.5200000
57	674.5325000
58	674.5508333
59	674.5600000
60	674.5600000
61	674.5622222
62	674.5700000
63	674.5751852
64	674.5803704
65	674.5900000
66	674.5900000
67	674.5900000
68	674.5937037
69	674.5974074
70	674.5983025
71	674.5921528
72	674.5918182
73	674.5917448
74	674.5983333
75	674.5990909
76	674.5950134
77	674.5950045
78	674.5968750
79	674.5937500
80	674.5900000
81	674.5866667
82	674.5800000
83	674.5800000
84	674.5755556
85	674.5712500
86	674.5557143
87	674.5382857
88	674.5097989
89	674.4935714
90	674.4900000
91	674.4277778
92	674.4100000
93	674.3380000
94	674.2983333
95	674.2416667
96	674.2200000
97	674.1029630
98	674.0232823
99	673.9750000
100	673.8864815
101	673.8300000
102	673.7480000
103	673.6660000
104	673.6100000
105	673.5350000
106	673.4710000
107	673.4077778
108	673.3700000
109	673.3329630
110	673.2959259
111	673.2480000
112	673.2150000
113	673.2025000
114	673.1712037
115	673.1399074
116	673.1175000
117	673.1083333
118	673.0950000
119	673.0837500
120	673.0625000
121	673.0475000
122	673.0390000
123	673.0290000
124	673.0238945
125	673.0230000
126	673.0081111
127	672.9960370
128	672.9952916
129	672.9950000
130	672.9900000
131	672.9825000
132	672.9825000
133	672.9825000
134	672.9812500
135	672.9727500
136	672.9625000
137	672.9608333
138	672.9591667
139	672.9500000
140	672.9270370
141	672.9300000
142	672.9309010
143	672.9300183
144	672.9272727
145	672.9216667
146	672.9201899
147	672.9247300
148	672.9233333
149	672.9114815
150	672.9112346
151	672.9112317
152	672.9100000
153	672.9025926
154	672.9027273
155	672.9035714
156	672.9055015
157	672.8907227
158	672.8933333
159	672.8950000
160	672.9035185
161	672.8881250
162	672.8844858
163	672.8834953
164	672.8825047
165	672.8787500
166	672.8787500
167	672.8866667
168	672.8871521
169	672.8900000
170	672.8950211
171	672.8972727
172	672.8950000
173	672.8724074
174	672.8766667
175	672.8782222
176	672.8684211
177	672.8700000
178	672.8700000
179	672.8700000
180	672.8694737
181	672.8556250
182	672.8485714
183	672.8505556
184	672.8581852
185	672.8562500
186	672.8568750
187	672.8572727
188	672.8625000
189	672.8675000
190	672.8664030
191	672.8662500
192	672.8551286
193	672.8525000
194	672.8478704
195	672.8550000
196	672.8520822
197	672.8439178
198	672.8550000
199	672.8537500
200	672.8540824
201	672.8538889
202	672.8525000
203	672.8531250
204	672.8543750
205	672.8652760
206	672.8650000
207	672.8550000
208	672.8523333
209	672.8526316
210	672.8527778
211	672.8535714
212	672.8525000
213	672.8493519
214	672.8462037
215	672.8457716
216	672.8453395
217	672.8358539
218	672.8371429
219	672.8425618
220	672.8428289
221	672.8392857
222	672.8405877
223	672.8416774
224	672.8400000
225	672.8350000
226	672.8350000
227	672.8360000
228	672.8355355
229	672.8350000
230	672.8368750
231	672.8361111
232	672.8362500
233	672.8450000
234	672.8487553
235	672.8466221
236	672.8466667
237	672.8466667
238	672.8416667
239	672.8428571
240	672.8428571
241	672.8302857
242	672.8363158
243	672.8350000
244	672.8300000
245	672.8285787
246	672.8282996
247	672.8300000
248	672.8288889
249	672.8300000
250	672.8300000
251	672.8305556
252	672.8237623
253	672.8225000
254	672.8155000
