x	y
1	3.5198072
2	3.5198856
3	3.5198812
4	3.5198921
5	3.5198912
6	3.5198652
7	3.5198701
8	3.5198650
9	3.5198749
10	3.5198644
11	3.5198203
12	3.5197061
13	3.5197157
14	3.5197719
15	3.5197474
16	3.5197680
17	3.5197680
18	3.5197680
19	3.5197677
20	3.5197804
21	3.5197390
22	3.5197456
23	3.5197620
24	3.5197451
25	3.5197941
26	3.5198072
27	3.5198072
28	3.5198290
29	3.5198725
30	3.5200554
31	3.5203167
32	3.5204483
33	3.5204786
34	3.5207608
35	3.5209829
36	3.5212064
37	3.5214995
38	3.5218189
39	3.5220610
40	3.5223031
41	3.5224198
42	3.5227072
43	3.5229293
44	3.5231122
45	3.5232559
46	3.5234954
47	3.5237183
48	3.5237392
49	3.5239534
50	3.5239753
51	3.5239874
52	3.5240043
53	3.5240201
54	3.5240266
55	3.5241168
56	3.5241746
57	3.5241768
58	3.5243662
59	3.5243667
60	3.5243597
61	3.5243297
62	3.5242991
63	3.5242989
64	3.5243140
65	3.5243488
66	3.5243640
67	3.5243635
68	3.5243591
69	3.5243009
70	3.5242879
71	3.5242980
72	3.5242704
73	3.5242317
74	3.5241964
75	3.5241810
76	3.5241768
77	3.5241759
78	3.5241938
79	3.5241920
80	3.5242153
81	3.5242211
82	3.5242095
83	3.5241154
84	3.5240984
85	3.5240984
86	3.5240941
87	3.5240752
88	3.5239073
89	3.5239424
90	3.5239221
91	3.5238306
92	3.5237094
93	3.5236935
94	3.5234714
95	3.5233038
96	3.5230860
97	3.5229946
98	3.5225214
99	3.5222669
100	3.5220736
101	3.5218973
102	3.5215712
103	3.5213902
104	3.5212833
105	3.5210430
106	3.5208065
107	3.5207608
108	3.5205953
109	3.5205257
110	3.5203708
111	3.5203036
112	3.5201599
113	3.5200031
114	3.5199857
115	3.5199845
116	3.5198758
117	3.5198678
118	3.5198464
119	3.5197844
120	3.5197839
121	3.5197834
122	3.5197325
123	3.5197223
124	3.5197160
125	3.5196635
126	3.5195416
127	3.5195459
128	3.5195393
129	3.5195523
130	3.5195548
131	3.5195573
132	3.5195538
133	3.5195398
134	3.5195445
135	3.5195387
136	3.5195172
137	3.5195242
138	3.5195242
139	3.5194565
140	3.5194443
141	3.5194433
142	3.5194333
143	3.5194382
144	3.5194388
145	3.5194911
146	3.5195015
147	3.5195011
148	3.5195030
149	3.5195090
150	3.5195146
151	3.5194698
152	3.5194458
153	3.5193366
154	3.5193413
155	3.5193666
156	3.5194321
157	3.5193877
158	3.5193935
159	3.5194051
160	3.5194060
161	3.5193873
162	3.5193239
163	3.5193245
164	3.5193571
165	3.5193826
166	3.5193686
167	3.5193354
168	3.5193552
169	3.5193892
170	3.5194153
171	3.5194251
172	3.5193728
173	3.5193731
174	3.5193500
175	3.5193564
176	3.5193564
177	3.5193726
178	3.5193709
179	3.5193398
180	3.5193517
181	3.5193630
182	3.5193630
183	3.5193563
184	3.5193686
185	3.5193674
186	3.5193684
187	3.5193624
188	3.5193616
189	3.5193537
190	3.5193404
191	3.5192498
192	3.5192716
193	3.5192716
194	3.5192977
195	3.5193434
196	3.5193613
197	3.5193471
198	3.5193239
199	3.5193239
200	3.5193286
201	3.5193239
202	3.5192769
203	3.5192771
204	3.5192811
205	3.5192716
206	3.5192847
207	3.5192925
208	3.5192716
209	3.5192526
210	3.5192559
211	3.5192606
212	3.5192600
213	3.5192522
214	3.5192526
215	3.5192441
216	3.5192389
217	3.5192383
218	3.5192380
219	3.5192738
220	3.5192781
221	3.5192781
222	3.5192716
223	3.5192803
224	3.5192774
225	3.5192629
226	3.5192285
227	3.5192307
228	3.5192193
229	3.5192193
230	3.5192146
231	3.5192097
232	3.5191746
233	3.5191758
234	3.5191816
235	3.5191786
236	3.5191870
237	3.5192008
238	3.5191956
239	3.5191956
240	3.5191976
241	3.5192386
242	3.5192291
243	3.5192472
244	3.5192716
245	3.5192431
246	3.5192466
247	3.5192455
248	3.5191932
249	3.5191932
250	3.5192095
251	3.5192019
252	3.5191932
253	3.5191998
254	3.5192567
255	3.5192526
256	3.5192716
257	3.5192310
258	3.5191622
259	3.5191671
260	3.5191714
261	3.5191802
262	3.5192218
263	3.5192193
264	3.5192039
265	3.5192026
266	3.5192129
267	3.5192158
268	3.5192147
269	3.5192136
270	3.5192193
271	3.5192193
272	3.5192028
273	3.5191751
274	3.5191474
275	3.5191475
276	3.5191462
277	3.5191018
278	3.5191083
279	3.5191584
280	3.5191746
281	3.5191735
282	3.5191723
283	3.5191475
284	3.5190944
285	3.5191148
286	3.5191148
287	3.5191223
288	3.5191201
289	3.5191344
290	3.5191265
291	3.5191279
292	3.5191258
293	3.5191201
294	3.5191018
295	3.5191101
296	3.5191462
297	3.5191671
298	3.5191373
299	3.5190924
300	3.5191036
301	3.5191111
302	3.5191061
303	3.5190340
304	3.5190417
305	3.5190595
306	3.5190365
307	3.5190417
308	3.5190939
309	3.5190992
310	3.5190939
311	3.5191265
312	3.5191342
313	3.5191419
314	3.5191176
315	3.5191148
316	3.5191148
317	3.5191148
318	3.5190374
319	3.5190452
320	3.5190405
321	3.5190452
322	3.5190423
323	3.5190388
324	3.5190626
325	3.5190775
326	3.5190830
327	3.5190886
328	3.5191505
329	3.5191121
330	3.5190626
331	3.5190663
332	3.5190626
333	3.5190069
