x	y
1	-0.2991813
2	-0.2991269
3	-0.2991229
4	-0.2991186
5	-0.2991457
6	-0.2991534
7	-0.2991707
8	-0.2991718
9	-0.2991977
10	-0.2991963
11	-0.2992201
12	-0.2993004
13	-0.2992924
14	-0.2992554
15	-0.2992705
16	-0.2992482
17	-0.2992412
18	-0.2992542
19	-0.2992587
20	-0.2992222
21	-0.2992422
22	-0.2992380
23	-0.2992838
24	-0.2992893
25	-0.2992570
26	-0.2992422
27	-0.2992114
28	-0.2991367
29	-0.2990968
30	-0.2989921
31	-0.2988410
32	-0.2988091
33	-0.2989261
34	-0.2988189
35	-0.2989440
36	-0.2988290
37	-0.2990410
38	-0.2991566
39	-0.2993800
40	-0.2994927
41	-0.2996742
42	-0.2997304
43	-0.2998128
44	-0.2998415
45	-0.3000157
46	-0.3000700
47	-0.2999377
48	-0.2999410
49	-0.3000041
50	-0.3000963
51	-0.3001211
52	-0.3001329
53	-0.3002006
54	-0.3002731
55	-0.3002438
56	-0.3002166
57	-0.3002013
58	-0.3000794
59	-0.3001024
60	-0.3001023
61	-0.3001514
62	-0.3001827
63	-0.3001798
64	-0.3001625
65	-0.3001732
66	-0.3001746
67	-0.3002059
68	-0.3002109
69	-0.3002561
70	-0.3002592
71	-0.3002591
72	-0.3003245
73	-0.3003526
74	-0.3003786
75	-0.3003832
76	-0.3003929
77	-0.3003984
78	-0.3003887
79	-0.3003904
80	-0.3003709
81	-0.3003676
82	-0.3004224
83	-0.3004837
84	-0.3005088
85	-0.3005278
86	-0.3005320
87	-0.3005477
88	-0.3006181
89	-0.3006028
90	-0.3006265
91	-0.3007647
92	-0.3008002
93	-0.3007661
94	-0.3008904
95	-0.3009305
96	-0.3009194
97	-0.3007370
98	-0.3008144
99	-0.3007911
100	-0.3006956
101	-0.3004178
102	-0.3003051
103	-0.3002049
104	-0.3000273
105	-0.3000167
106	-0.3001149
107	-0.3000240
108	-0.2999830
109	-0.3000115
110	-0.3000493
111	-0.3000315
112	-0.3000431
113	-0.3000074
114	-0.3000288
115	-0.3000287
116	-0.3000598
117	-0.2999745
118	-0.2999369
119	-0.3000080
120	-0.3000074
121	-0.2999557
122	-0.2999967
123	-0.2999825
