x	y
1	-0.0057257
2	-0.0057246
3	-0.0057245
4	-0.0057245
5	-0.0057250
6	-0.0057251
7	-0.0057255
8	-0.0057255
9	-0.0057260
10	-0.0057259
11	-0.0057264
12	-0.0057279
13	-0.0057278
14	-0.0057271
15	-0.0057274
16	-0.0057269
17	-0.0057268
18	-0.0057271
19	-0.0057271
20	-0.0057264
21	-0.0057268
22	-0.0057267
23	-0.0057276
24	-0.0057277
25	-0.0057271
26	-0.0057268
27	-0.0057262
28	-0.0057248
29	-0.0057240
30	-0.0057220
31	-0.0057191
32	-0.0057185
33	-0.0057208
34	-0.0057187
35	-0.0057211
36	-0.0057189
37	-0.0057230
38	-0.0057252
39	-0.0057295
40	-0.0057316
41	-0.0057351
42	-0.0057362
43	-0.0057377
44	-0.0057383
45	-0.0057416
46	-0.0057427
47	-0.0057401
48	-0.0057402
49	-0.0057414
50	-0.0057432
51	-0.0057436
52	-0.0057439
53	-0.0057452
54	-0.0057466
55	-0.0057460
56	-0.0057455
57	-0.0057452
58	-0.0057428
59	-0.0057433
60	-0.0057433
61	-0.0057442
62	-0.0057448
63	-0.0057448
64	-0.0057444
65	-0.0057446
66	-0.0057447
67	-0.0057453
68	-0.0057454
69	-0.0057462
70	-0.0057463
71	-0.0057463
72	-0.0057475
73	-0.0057481
74	-0.0057486
75	-0.0057487
76	-0.0057488
77	-0.0057490
78	-0.0057488
79	-0.0057488
80	-0.0057484
81	-0.0057484
82	-0.0057494
83	-0.0057506
84	-0.0057511
85	-0.0057514
86	-0.0057515
87	-0.0057518
88	-0.0057532
89	-0.0057529
90	-0.0057533
91	-0.0057560
92	-0.0057566
93	-0.0057560
94	-0.0057584
95	-0.0057591
96	-0.0057589
97	-0.0057554
98	-0.0057569
99	-0.0057565
100	-0.0057546
101	-0.0057493
102	-0.0057472
103	-0.0057453
104	-0.0057419
105	-0.0057416
106	-0.0057435
107	-0.0057418
108	-0.0057410
109	-0.0057416
110	-0.0057423
111	-0.0057419
112	-0.0057422
113	-0.0057415
114	-0.0057419
115	-0.0057419
116	-0.0057425
117	-0.0057408
118	-0.0057401
119	-0.0057415
120	-0.0057415
121	-0.0057405
122	-0.0057413
123	-0.0057410
124	-0.0057413
125	-0.0057424
126	-0.0057437
127	-0.0057437
128	-0.0057437
129	-0.0057426
130	-0.0057427
131	-0.0057427
132	-0.0057427
133	-0.0057427
134	-0.0057426
135	-0.0057421
136	-0.0057420
137	-0.0057419
138	-0.0057414
139	-0.0057422
140	-0.0057429
141	-0.0057423
142	-0.0057416
143	-0.0057415
144	-0.0057417
145	-0.0057410
146	-0.0057408
147	-0.0057407
148	-0.0057406
149	-0.0057405
150	-0.0057395
151	-0.0057401
152	-0.0057404
153	-0.0057418
154	-0.0057424
155	-0.0057420
156	-0.0057411
157	-0.0057415
158	-0.0057410
159	-0.0057406
160	-0.0057406
161	-0.0057390
162	-0.0057398
163	-0.0057399
164	-0.0057392
165	-0.0057388
166	-0.0057398
167	-0.0057401
168	-0.0057398
169	-0.0057389
170	-0.0057380
171	-0.0057383
172	-0.0057390
173	-0.0057389
174	-0.0057387
175	-0.0057383
176	-0.0057383
177	-0.0057381
178	-0.0057380
179	-0.0057383
180	-0.0057381
181	-0.0057380
182	-0.0057380
183	-0.0057369
184	-0.0057357
185	-0.0057356
186	-0.0057353
187	-0.0057360
188	-0.0057360
189	-0.0057362
190	-0.0057364
191	-0.0057386
192	-0.0057380
193	-0.0057367
194	-0.0057366
195	-0.0057360
196	-0.0057358
197	-0.0057358
198	-0.0057355
199	-0.0057356
200	-0.0057354
201	-0.0057354
202	-0.0057365
203	-0.0057367
204	-0.0057367
205	-0.0057366
206	-0.0057362
207	-0.0057359
208	-0.0057364
209	-0.0057366
210	-0.0057359
211	-0.0057358
212	-0.0057357
213	-0.0057362
214	-0.0057356
215	-0.0057357
216	-0.0057350
217	-0.0057349
218	-0.0057351
219	-0.0057346
220	-0.0057345
221	-0.0057350
222	-0.0057353
223	-0.0057349
224	-0.0057343
225	-0.0057340
226	-0.0057345
227	-0.0057343
228	-0.0057342
229	-0.0057343
230	-0.0057340
231	-0.0057339
232	-0.0057346
233	-0.0057345
234	-0.0057330
235	-0.0057338
236	-0.0057340
237	-0.0057338
238	-0.0057341
239	-0.0057341
240	-0.0057341
241	-0.0057335
242	-0.0057332
243	-0.0057329
244	-0.0057311
245	-0.0057316
246	-0.0057317
247	-0.0057319
248	-0.0057323
249	-0.0057322
250	-0.0057323
251	-0.0057322
252	-0.0057320
253	-0.0057314
254	-0.0057308
255	-0.0057308
256	-0.0057306
257	-0.0057310
258	-0.0057319
259	-0.0057320
260	-0.0057315
261	-0.0057314
262	-0.0057309
263	-0.0057310
264	-0.0057306
265	-0.0057295
266	-0.0057294
267	-0.0057292
268	-0.0057292
269	-0.0057302
270	-0.0057309
271	-0.0057308
272	-0.0057300
273	-0.0057299
274	-0.0057303
275	-0.0057304
276	-0.0057297
277	-0.0057297
278	-0.0057298
279	-0.0057301
280	-0.0057298
281	-0.0057297
282	-0.0057297
283	-0.0057299
284	-0.0057306
285	-0.0057301
286	-0.0057302
287	-0.0057296
288	-0.0057297
289	-0.0057295
290	-0.0057295
291	-0.0057293
292	-0.0057290
293	-0.0057291
294	-0.0057292
295	-0.0057291
296	-0.0057282
297	-0.0057278
298	-0.0057276
299	-0.0057282
300	-0.0057286
301	-0.0057285
302	-0.0057287
303	-0.0057294
304	-0.0057287
305	-0.0057285
306	-0.0057291
307	-0.0057286
308	-0.0057279
309	-0.0057277
310	-0.0057268
311	-0.0057264
312	-0.0057263
313	-0.0057261
314	-0.0057264
315	-0.0057265
316	-0.0057272
317	-0.0057272
318	-0.0057280
319	-0.0057278
320	-0.0057264
321	-0.0057263
322	-0.0057274
323	-0.0057274
324	-0.0057273
325	-0.0057272
326	-0.0057269
327	-0.0057268
328	-0.0057264
329	-0.0057264
330	-0.0057253
331	-0.0057255
332	-0.0057259
333	-0.0057265
334	-0.0057265
335	-0.0057265
336	-0.0057268
337	-0.0057266
338	-0.0057263
339	-0.0057261
340	-0.0057266
341	-0.0057259
342	-0.0057258
343	-0.0057258
344	-0.0057252
345	-0.0057257
346	-0.0057257
347	-0.0057252
348	-0.0057252
349	-0.0057254
350	-0.0057255
351	-0.0057254
352	-0.0057252
353	-0.0057244
354	-0.0057241
355	-0.0057241
356	-0.0057245
357	-0.0057243
358	-0.0057243
359	-0.0057242
360	-0.0057244
361	-0.0057246
362	-0.0057241
363	-0.0057241
364	-0.0057241
365	-0.0057241
366	-0.0057241
367	-0.0057242
368	-0.0057240
369	-0.0057242
370	-0.0057235
371	-0.0057219
372	-0.0057215
373	-0.0057219
374	-0.0057225
375	-0.0057236
376	-0.0057238
377	-0.0057236
378	-0.0057229
379	-0.0057230
380	-0.0057227
381	-0.0057218
382	-0.0057219
383	-0.0057220
384	-0.0057219
385	-0.0057220
386	-0.0057219
387	-0.0057219
388	-0.0057220
