x	y
1	39911.5748373
2	39911.5023824
3	39911.3960505
4	39911.4373026
5	39911.8549168
6	39911.7153726
7	39912.0373336
8	39912.0041257
9	39912.5101840
10	39912.3830459
11	39912.3172462
12	39912.4411045
13	39912.4120752
14	39912.3888518
15	39912.3830459
16	39912.2378996
17	39912.1275883
18	39912.3326305
19	39912.3998524
20	39911.9512354
21	39911.8532616
22	39911.8532616
23	39912.7386546
24	39912.6571536
25	39912.6370521
26	39912.5354497
27	39912.0492092
28	39911.0912431
29	39910.8972247
30	39911.0767284
31	39911.3089627
32	39912.1217824
33	39914.2699490
34	39915.4020908
35	39919.5939185
36	39920.0177460
37	39926.2880700
38	39931.3043292
39	39937.2439400
40	39941.4413530
41	39945.4667462
42	39949.2270053
43	39952.7453538
44	39955.0270550
45	39959.2072710
46	39962.4585501
47	39962.6036965
48	39962.8649600
49	39966.0001220
50	39967.6722084
51	39968.1831237
52	39968.5381103
53	39969.7623164
54	39970.9699344
55	39971.4120088
56	39971.5613022
57	39971.3415091
58	39971.3150519
59	39971.6826031
60	39971.6100299
61	39972.0838292
62	39972.2704460
63	39972.2229435
64	39972.1015952
65	39972.6187973
66	39972.7929730
67	39973.2806649
68	39973.3155000
69	39973.4461318
70	39973.3645557
71	39973.4647934
72	39974.2180466
73	39974.2743458
74	39974.3306450
75	39974.2485839
76	39974.3605540
77	39974.4379654
78	39974.4637692
79	39974.4725241
80	39974.3978774
81	39974.4040979
82	39975.1515099
83	39975.1770024
84	39975.4019793
85	39975.7012699
86	39975.7249301
87	39975.7829886
88	39975.2138079
89	39975.3231037
90	39975.4926958
91	39976.7560206
92	39976.1023107
93	39975.4056080
94	39975.1443445
95	39974.0992905
96	39971.7479190
97	39967.9595983
98	39964.4470556
99	39961.5348913
100	39958.0969011
101	39951.9572089
102	39946.9206292
103	39943.5314610
104	39939.6647612
105	39937.0947025
106	39936.2767219
107	39934.3872385
108	39932.0881197
109	39931.8399194
110	39930.8867914
111	39929.9336635
112	39928.6805663
113	39926.5493335
114	39926.7129012
115	39926.6986269
116	39926.1014532
117	39924.6776363
118	39923.8713826
119	39924.3721377
120	39924.3579044
121	39923.5379279
122	39923.6754350
123	39923.3488556
124	39923.5709296
125	39923.9541161
126	39923.7304378
127	39923.8121299
128	39923.7500817
129	39923.0036146
130	39923.0579031
131	39923.0658202
132	39923.0658202
133	39922.9497031
134	39922.9289679
135	39922.3815586
136	39922.1451774
137	39922.1078540
138	39921.7207970
139	39921.7159587
140	39922.1078540
141	39921.6536746
142	39920.9176536
143	39920.9263624
144	39921.0740810
145	39921.0628000
146	39920.9991520
147	39920.8668524
148	39920.8481119
149	39920.8015365
150	39920.0467753
151	39920.0661281
152	39920.0854810
153	39920.1483778
154	39920.7231574
155	39920.6149197
156	39920.5229499
157	39920.4531852
158	39920.0699987
159	39919.8871142
160	39919.8609879
161	39918.3195332
162	39918.3401593
163	39918.5106296
164	39918.1889015
165	39918.1844919
166	39918.8319552
167	39918.7549724
168	39918.7241059
169	39918.3195333
170	39917.7795887
171	39918.1889015
172	39918.2082544
173	39918.1210398
174	39917.7708799
175	39917.4622142
176	39917.4341403
177	39917.4704269
178	39917.3724531
179	39917.3133882
180	39917.3006056
181	39917.3304643
182	39917.2744792
183	39916.3552188
184	39915.4359583
185	39915.3803189
186	39915.1277642
187	39915.6633543
188	39915.6343251
189	39915.6806249
190	39915.7825272
191	39916.6350712
192	39916.3600570
193	39915.3150030
194	39915.4474823
195	39915.4525101
196	39915.4769558
197	39915.3150030
198	39914.8795638
199	39914.9231077
200	39914.7924760
201	39914.7924760
202	39915.2218478
203	39915.3896497
204	39915.3672557
205	39915.2163035
206	39915.0653512
207	39914.8454340
208	39915.0537395
209	39915.0247102
210	39914.4938891
211	39914.4658966
212	39914.3739706
213	39914.6763589
214	39914.2118904
215	39914.2046331
216	39913.6167903
217	39913.4933240
218	39913.6240170
219	39913.6017816
220	39913.5981286
221	39913.9433696
222	39914.1393173
223	39913.8899294
224	39913.4208426
225	39913.0192709
226	39913.0507193
227	39912.9142817
228	39912.7546207
229	39912.7894558
230	39912.5292949
231	39912.3713550
232	39912.6370521
233	39912.4991631
234	39911.3960505
235	39911.9838934
236	39912.2233849
237	39912.2124989
238	39912.3684852
239	39912.3698508
240	39912.4236869
241	39912.3024253
242	39912.0020763
243	39911.9185775
244	39910.6993478
245	39910.7864357
246	39910.9799642
247	39911.0872845
248	39910.9108469
249	39910.8497723
250	39911.0397821
251	39910.8851352
252	39910.6775759
253	39910.2469749
254	39910.2796789
255	39910.2368349
256	39910.2717138
257	39910.2017031
258	39910.2639087
259	39910.4163124
260	39910.0275192
261	39910.0258686
262	39910.0413017
263	39910.0897330
264	39909.6222088
265	39908.6953091
266	39908.6963277
267	39908.5838852
268	39908.5696545
269	39909.3930303
270	39910.0123216
271	39909.9155573
272	39909.1027376
273	39908.7834155
274	39908.7834155
275	39908.8813893
276	39908.3262044
277	39907.8254493
278	39907.9623016
279	39908.7225923
280	39908.6789101
281	39908.5356990
282	39908.5653734
283	39908.4931227
284	39908.4882262
285	39908.2899178
286	39908.3915202
287	39907.9996250
288	39908.0471275
289	39907.9996250
290	39907.9202539
291	39907.7383615
292	39907.5097559
293	39907.5424139
294	39907.4117821
295	39907.4117821
296	39907.0852028
297	39906.9219131
298	39906.4973599
299	39906.4973599
300	39906.9182844
301	39906.9773106
302	39907.0363368
303	39906.9545710
304	39906.4320440
305	39906.4320440
306	39906.7029839
307	39906.3573973
308	39906.2523389
309	39906.1472806
310	39905.3579607
311	39905.4064652
312	39905.3869900
313	39905.3173197
314	39905.2476495
315	39905.3543321
316	39905.9095170
317	39905.9095170
318	39905.8321056
319	39905.7546942
320	39904.5378836
321	39904.4551525
322	39905.3782789
323	39905.2919851
324	39905.4927113
325	39905.5437481
326	39905.3463490
327	39905.3347373
328	39905.5829376
329	39905.2302319
330	39903.8252149
331	39903.9935847
332	39904.3419360
333	39904.2299659
334	39904.2299659
335	39904.2766201
336	39904.7054451
337	39904.6031995
338	39904.3941887
339	39904.2244226
340	39904.3027649
341	39903.8194090
342	39903.7569469
343	39903.7889532
344	39903.4834988
345	39903.4387738
346	39903.6194587
347	39903.4013874
348	39903.4234350
349	39903.5818967
350	39903.6666950
351	39903.6626509
352	39903.5303657
353	39903.0356185
354	39902.7453257
355	39902.6152452
356	39902.4689964
357	39902.2913559
358	39902.3824597
359	39902.4114890
360	39902.4405183
361	39902.1792548
362	39901.9954027
363	39902.0181853
364	39901.9905645
365	39901.9193108
366	39901.9163911
367	39902.0652112
368	39902.0143157
369	39902.0486231
370	39901.5053609
371	39900.8805402
372	39900.6842470
373	39900.7495629
374	39901.2067740
375	39901.4680375
376	39901.6422132
377	39901.8039477
378	39901.3608118
379	39901.3620164
380	39901.1592715
381	39900.1617200
382	39900.3358957
383	39900.5536152
384	39900.5359773
385	39900.4882994
386	39900.3856601
387	39900.3992323
388	39900.3817314
