x	y
1	-4705.8947044
2	-4705.7678507
3	-4705.8128461
4	-4705.6539108
5	-4705.8781620
6	-4706.1432226
7	-4706.2500132
8	-4706.3587578
9	-4706.4239124
10	-4706.2923130
11	-4706.0646531
12	-4705.9156582
13	-4705.9030442
14	-4706.0980075
15	-4706.3136012
16	-4706.3202900
17	-4706.3353731
18	-4706.3426304
19	-4706.3531865
20	-4706.5880598
21	-4706.2789669
22	-4706.5033282
23	-4706.5337399
24	-4706.4137338
25	-4705.6822144
26	-4705.2540325
27	-4705.0617136
28	-4705.1181227
29	-4704.6146553
30	-4703.6014372
31	-4702.1625982
32	-4701.5673142
33	-4702.1659178
34	-4702.4692954
35	-4703.5980442
36	-4705.2903191
37	-4702.8663744
38	-4705.1838784
39	-4711.3550191
40	-4712.0091455
41	-4714.7611210
42	-4715.3595896
43	-4717.2431242
44	-4719.6641660
45	-4720.2273340
46	-4722.3228332
47	-4724.6193255
48	-4722.8929474
49	-4722.5990260
50	-4723.3692695
51	-4723.5134482
52	-4723.8712656
53	-4725.0889808
54	-4725.3422927
55	-4725.0810293
56	-4726.4071895
57	-4726.3815409
58	-4727.9433160
59	-4728.2359840
60	-4728.2273191
61	-4728.1407151
62	-4729.4370820
63	-4729.5230624
64	-4729.2063075
65	-4729.2670511
66	-4729.8852219
67	-4729.7736146
68	-4729.3867632
69	-4729.1653357
70	-4729.3054773
71	-4729.2939032
72	-4729.7184564
73	-4729.4558755
74	-4729.5971555
75	-4729.8817461
76	-4729.7522166
77	-4729.5878246
78	-4729.3410758
79	-4729.1040033
80	-4728.9738554
81	-4729.1814147
82	-4729.8701689
83	-4729.3037524
84	-4729.2903204
85	-4729.6430534
86	-4729.6780227
87	-4729.7637282
88	-4729.9206246
89	-4729.8198389
90	-4731.4762671
91	-4730.7992996
92	-4731.2207215
93	-4731.4384411
94	-4731.5168201
95	-4731.9435505
96	-4730.8288263
97	-4730.1234148
98	-4728.9999817
99	-4728.8906785
100	-4727.8467110
101	-4724.5052819
102	-4723.6789151
103	-4720.7701815
104	-4718.6583015
105	-4719.9863910
106	-4718.0704587
107	-4717.1507432
108	-4716.1980702
109	-4714.6208128
110	-4716.1719439
111	-4716.8708238
112	-4716.1944416
113	-4714.5361441
114	-4715.5633847
115	-4715.5884554
116	-4717.0738481
117	-4717.4708988
118	-4717.4077216
119	-4717.4048588
120	-4717.5192323
121	-4717.8084412
122	-4717.5769609
123	-4717.4027853
124	-4717.5682522
125	-4717.8454818
126	-4717.9766312
127	-4717.4782614
128	-4717.5782470
129	-4717.5531985
130	-4717.5827668
131	-4717.9336064
132	-4718.1962522
133	-4718.0387904
134	-4716.9356475
135	-4716.6828592
136	-4716.3306373
137	-4716.3267667
138	-4716.0906619
139	-4716.0790502
140	-4716.5144894
141	-4716.5435187
142	-4716.4188010
143	-4716.6532188
144	-4716.4266758
145	-4716.0969076
146	-4716.1321207
147	-4715.8401053
148	-4715.7013680
149	-4715.8497189
150	-4714.6932683
151	-4714.2941207
152	-4714.5651734
153	-4714.6632849
154	-4714.3204038
155	-4714.3188576
156	-4713.9819348
157	-4713.8823256
158	-4713.4174801
159	-4712.9409853
160	-4712.6590719
161	-4712.6653664
162	-4712.0334590
163	-4711.9466006
164	-4712.0724838
165	-4711.9017371
166	-4712.6751600
167	-4713.8466987
168	-4713.8104581
169	-4713.5866754
170	-4713.4272441
171	-4712.5713458
172	-4712.0551776
173	-4712.5533998
174	-4712.7907588
175	-4712.9496941
176	-4713.1579791
177	-4713.1921325
178	-4712.8086434
179	-4712.0033396
180	-4712.0840184
181	-4711.8979866
182	-4712.0417628
183	-4712.0265630
184	-4711.9307664
